"symbol";"company";"identifier";"sedol";"weight";"sector";"shares_held";"local_currency"
"AAPL";"Apple Inc.";"03783310";"2046251";0,0482373217114897;"Information Technology";47890690;"USD"
"MSFT";"Microsoft Corporation";"59491810";"2588173";0,0459531665943602;"Information Technology";87473800;"USD"
"AMZN";"Amazon.com Inc.";"02313510";"2000019";0,0285772162340178;"Consumer Discretionary";4775593;"USD"
"FB";"Facebook Inc. Class A";"30303M10";"B7TL820";0,0193614286562933;"Communication Services";27593184;"USD"
"GOOGL";"Alphabet Inc. Class A";"02079K30";"BYVY8G0";0,0161648916072663;"Communication Services";3435375;"USD"
"GOOG";"Alphabet Inc. Class C";"02079K10";"BYY88Y7";0,0161460099116901;"Communication Services";3427252;"USD"
"JPM";"JPMorgan Chase & Co.";"46625H10";"2190385";0,0155841394557231;"Financials";35963590;"USD"
"JNJ";"Johnson & Johnson";"47816010";"2475833";0,0141840337262286;"Health Care";30177976;"USD"
"V";"Visa Inc. Class A";"92826C83";"B2PZN04";0,0129375717939471;"Information Technology";19628332;"USD"
"PG";"Procter & Gamble Company";"74271810";"2704407";0,0114475479898095;"Consumer Staples";28586416;"USD"
"MA";"Mastercard Incorporated Class A";"57636Q10";"B121557";0,0104657998288246;"Information Technology";10178809;"USD"
"T";"AT&T Inc.";"00206R10";"2831811";0,0103673909917111;"Communication Services";83761576;"USD"
"UNH";"UnitedHealth Group Incorporated";"91324P10";"2917766";0,0103526496679402;"Health Care";10863302;"USD"
"XOM";"Exxon Mobil Corporation";"30231G10";"2326618";0,0103346680531912;"Energy";48515108;"USD"
"BAC";"Bank of America Corp";"06050510";"2295677";0,0101120380610179;"Financials";92826180;"USD"
"INTC";"Intel Corporation";"45814010";"2463247";0,00991986080350015;"Information Technology";49878704;"USD"
"DIS";"Walt Disney Company";"25468710";"2270726";0,00943604735705266;"Communication Services";20667240;"USD"
"HD";"Home Depot Inc.";"43707610";"2434209";0,00924065981125105;"Consumer Discretionary";12514652;"USD"
"VZ";"Verizon Communications Inc.";"92343V10";"2090571";0,00909309656007109;"Communication Services";47422548;"USD"
"MRK";"Merck & Co. Inc.";"58933Y10";"2778844";0,00829744511057093;"Health Care";29193032;"USD"
"PFE";"Pfizer Inc.";"71708110";"2684703";0,00808545607395544;"Health Care";63455840;"USD"
"KO";"Coca-Cola Company";"19121610";"2206657";0,008075605189346;"Consumer Staples";44214276;"USD"
"CMCSA";"Comcast Corporation Class A";"20030N10";"2044545";0,00782929307051773;"Communication Services";52055068;"USD"
"CVX";"Chevron Corporation";"16676410";"2838555";0,00776521731651502;"Energy";21694264;"USD"
"CSCO";"Cisco Systems Inc.";"17275R10";"2198163";0,00756599942674852;"Information Technology";48643360;"USD"
"PEP";"PepsiCo Inc.";"71344810";"2681511";0,00726312222837611;"Consumer Staples";15977903;"USD"
"WFC";"Wells Fargo & Company";"94974610";"2649100";0,00679412011198606;"Financials";44130590;"USD"
"C";"Citigroup Inc.";"17296742";"2297907";0,00635719087574064;"Financials";25033296;"USD"
"ADBE";"Adobe Inc.";"00724F10";"2008154";0,00615482270307874;"Information Technology";5545726;"USD"
"BA";"Boeing Company";"09702310";"2108601";0,00600594933425022;"Industrials";6130673;"USD"
"WMT";"Walmart Inc.";"93114210";"2936921";0,00598234721477989;"Consumer Staples";16252668;"USD"
"ABT";"Abbott Laboratories";"00282410";"2002305";0,00590188998972108;"Health Care";20265144;"USD"
