"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;40,700001;41,040001;40,360001;40,380001;1701700;39,404591
2010-01-05;40,299999;40,310001;39,720001;40,139999;1932400;39,17038
2010-01-06;40,049999;40,779999;40,049999;40,490002;1406200;39,511925
2010-01-07;39,549999;40,540001;39,549999;40,48;1256800;39,502171
2010-01-08;40,25;40,82;40,110001;40,639999;960300;39,658298
2010-01-11;40,720001;40,799999;40,09;40,240002;1038400;39,267963
2010-01-12;39,43;39,720001;38,82;39,540001;1910800;38,584877
2010-01-13;39,5;40,150002;39,41;40,09;810000;39,121586
2010-01-14;39,939999;39,939999;39,25;39,560001;1157600;38,604382
2010-01-15;39,34;39,66;39,169998;39,310001;738900;38,360432
2010-01-19;39,299999;39,52;39,049999;39,5;1295000;38,545841
2010-01-20;38,75;39,380001;38,380001;39,16;1865000;38,214054
2010-01-21;39,34;39,650002;38,950001;39,23;1297400;38,282356
2010-01-22;39,130001;40,639999;39,130001;39,740002;2629300;38,780033
2010-01-25;40,009998;40,599998;40;40,5;1396900;39,521675
2010-01-26;40,48;41;40,259998;40,549999;1084100;39,570492
2010-01-27;40,59;40,740002;39,950001;40,59;1203200;39,609524
2010-01-28;40,5;40,5;39,669998;39,77;1206000;38,809307
2010-01-29;39,990002;40,400002;39,419998;39,450001;948500;38,497047
2010-02-01;39,549999;40,509998;39,5;40,490002;1106600;39,511925
2010-02-02;40,459999;41,349998;40,459999;41,189999;1296200;40,195011
2010-02-03;41,189999;41,380001;40,93;41,189999;1147600;40,195011
2010-02-04;41,060001;41,73;40,689999;40,93;1611600;39,941303
2010-02-05;41,009998;41,130001;40,02;40,720001;1313200;39,736374
2010-02-08;41,009998;41,740002;40,619999;40,810001;1721900;39,824188
2010-02-09;41,150002;41,720001;40,77;41,57;1030000;40,565838
2010-02-10;41,389999;42,849998;41,369999;42,330002;1858600;41,307487
2010-02-11;42,41;43,099998;42,130001;42,549999;1548600;41,52216
2010-02-12;42,369999;42,810001;42;42,810001;1509800;41,775883
2010-02-16;42,900002;42,98;42,369999;42,630001;1721200;41,600235
2010-02-17;42,68;43,080002;42,16;42,880001;2253400;41,844193
2010-02-18;39,880001;40,349998;39,080002;40,150002;7767100;39,180138
2010-02-19;39,790001;40,34;39,509998;40;2525300;39,033768
2010-02-22;39,970001;40,459999;39,880001;40,240002;1706100;39,267963
2010-02-23;40,18;40,509998;40,049999;40,220001;1653500;39,248455
2010-02-24;40,34;40,529999;40,150002;40,459999;1441500;39,482655
2010-02-25;40,080002;40,900002;40,049999;40,73;1328800;39,74612
2010-02-26;40,73;40,91;40,400002;40,799999;1153800;39,814434
2010-03-01;40,869999;41,450001;40,650002;41,299999;1553400;40,302353
2010-03-02;41,419998;41,709999;41,139999;41,34;1221000;40,3414
2010-03-03;41,349998;41,759998;41,23;41,490002;1036600;40,487766
2010-03-04;41,630001;42;41,599998;41,779999;1159700;40,770756
2010-03-05;41,970001;42,290001;41,779999;42,290001;1914300;41,268444
2010-03-08;42,330002;42,34;41,700001;42,099998;3080000;41,083046
2010-03-09;42,040001;42,360001;41,790001;41,939999;2018700;40,926907
2010-03-10;41,91;42,279999;41,880001;42,130001;1692400;41,112301
2010-03-11;42,139999;42,419998;41,919998;42,380001;1361500;41,356258
2010-03-12;42,439999;42,549999;42,040001;42,18;1155000;41,16111
2010-03-15;42,25;42,290001;41,759998;42,080002;1806300;41,063519
2010-03-16;41,869999;42,650002;41,849998;42,299999;843400;41,278202
2010-03-17;42,470001;42,59;42,110001;42,349998;1653100;41,326988
