"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;36,650002;37,299999;36,650002;37,09;4710200;37,09
2010-01-05;37,040001;37,799999;36,869999;37,700001;7108800;37,700001
2010-01-06;37,330002;37,740002;37,200001;37,619999;5336400;37,619999
2010-01-07;37,41;37,59;36,810001;36,889999;5576700;36,889999
2010-01-08;36,75;36,970001;36,34;36,689999;5429200;36,689999
2010-01-11;36,68;36,77;35,950001;36,209999;4901400;36,209999
2010-01-12;36,139999;36,139999;35,380001;35,66;5073900;35,66
2010-01-13;35,830002;36,360001;35,599998;36,279999;3660100;36,279999
2010-01-14;36,130001;36,509998;35,790001;35,900002;4536200;35,900002
2010-01-15;35,919998;36,209999;35,470001;35,869999;6732300;35,869999
2010-01-19;35,869999;37,02;35,810001;36,950001;5964100;36,950001
2010-01-20;36,369999;36,509998;35,619999;36,490002;6258500;36,490002
2010-01-21;36,490002;36,650002;35,459999;35,82;7404400;35,82
2010-01-22;35,619999;35,82;34,349998;34,380001;7721300;34,380001
2010-01-25;34,630001;34,98;33,970001;34,16;6961500;34,16
2010-01-26;33,810001;34,290001;33,619999;33,939999;5356300;33,939999
2010-01-27;33,68;33,68;32,650002;33,139999;9896900;33,139999
2010-01-28;33,290001;33,66;32,48;32,889999;6417800;32,889999
2010-01-29;32,950001;33,240002;32,169998;32,299999;8377800;32,299999
2010-02-01;32,389999;32,540001;32,060001;32,48;8705500;32,48
2010-02-02;32,540001;33,130001;32,310001;32,98;5735700;32,98
2010-02-03;32,849998;33,43;32,540001;32,98;6732000;32,98
2010-02-04;32,880001;32,959999;32,200001;32,240002;9450300;32,240002
2010-02-05;32,43;32,799999;31,85;32,77;11881500;32,77
2010-02-08;32,77;32,790001;32,02;32,049999;8615600;32,049999
2010-02-09;32,599998;32,66;31,91;32,310001;8047700;32,310001
2010-02-10;33,450001;33,549999;32,57;32,759998;9592000;32,759998
2010-02-11;32,599998;33,16;32,279999;32,639999;10125400;32,639999
2010-02-12;32,25;32,279999;31,280001;31,450001;21221400;31,450001
2010-02-16;31,5;31,870001;31,280001;31,809999;9113700;31,809999
2010-02-17;32,16;32,43;31,959999;32,330002;9213000;32,330002
