"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;31,790001;32,189999;31,610001;31,67;2102700;24,388929
2010-01-05;31,67;31,809999;31,41;31,620001;2040100;24,350426
2010-01-06;31,709999;31,85;31,34;31,559999;2105000;24,304222
2010-01-07;31,459999;31,65;31,07;31,309999;2033400;24,1117
2010-01-08;31,200001;31,51;31;31,49;2393100;24,250319
2010-01-11;31,58;31,59;30,84;31,309999;2963900;24,1117
2010-01-12;30,549999;30,75;29,700001;30,01;6868800;23,110575
2010-01-13;30,200001;30,200001;29,389999;30;5327100;23,102873
2010-01-14;30;30,049999;29,379999;29,969999;5073700;23,079769
2010-01-15;29,85;29,85;28,93;28,959999;5807800;22,301964
2010-01-19;29,030001;29,549999;29,02;29,469999;3906700;22,694721
2010-01-20;29,52;29,52;28,549999;28,93;4657200;22,278872
2010-01-21;29,129999;29,52;28,780001;29,059999;4415200;22,378981
2010-01-22;29,1;29,1;27,66;27,76;4761400;21,377855
2010-01-25;27,870001;28,32;27,780001;28,01;2937000;21,570385
2010-01-26;27,74;27,99;27,549999;27,6;3203300;21,254644
2010-01-27;27,43;28;27,370001;27,700001;4760700;21,331657
2010-01-28;27,66;27,700001;26,620001;27,15;7521600;20,908096
2010-01-29;27,6;27,950001;26,76;26,959999;7080100;20,761776
2010-02-01;27,049999;27,610001;26,92;27,52;4133900;21,193035
2010-02-02;27,549999;27,93;27,35;27,780001;2902000;21,393261
2010-02-03;27,620001;27,870001;27,469999;27,65;2201000;21,293146
2010-02-04;27,440001;27,440001;26,5;26,5;5900100;20,407532
2010-02-05;26,5;26,950001;26,379999;26,9;5844800;20,71558
2010-02-08;26,98;27,15;26,48;26,799999;5526400;20,638567
2010-02-09;27,209999;27,559999;26,92;27,120001;4841300;20,884996
2010-02-10;27,030001;27,42;26,82;27,049999;4745300;20,831095
2010-02-11;27,18;27,98;26,93;27,67;8066300;21,308546
2010-02-12;27,51;28,200001;27,190001;27,99;7836200;21,554977
2010-02-16;28,6;28,690001;28,139999;28,6;6318100;22,02474
2010-02-17;28,67;28,85;28,01;28,379999;6629000;21,85532
2010-02-18;28,959999;29,799999;28,530001;29,57;10230000;22,771736
2010-02-19;29,360001;30;29,280001;29,75;3853400;22,910351
2010-02-22;29,950001;30,040001;29,59;29,889999;4298200;23,018156
2010-02-23;29,77;29,879999;28,92;29,15;6081200;22,448294
2010-02-24;29,299999;29,66;29,209999;29,49;3698100;22,710123
2010-02-25;29,200001;29,629999;28,75;29,629999;4270500;22,817936
2010-02-26;29,790001;29,790001;28,98;29,24;3606800;22,517603
2010-03-01;29,309999;29,85;29,299999;29,82;3629400;22,964256
2010-03-02;29,91;30,139999;29,450001;29,620001;4293600;22,810236
2010-03-03;29,620001;29,76;29,16;29,190001;2398800;22,631914
2010-03-04;29,299999;29,4;28,889999;29,07;2814600;22,538866
2010-03-05;29,299999;29,790001;29,120001;29,5;3195700;22,872261
2010-03-08;29,43;29,6;29,33;29,52;2995700;22,887774
2010-03-09;29,27;29,440001;28,91;29,25;4010700;22,678431
2010-03-10;29,76;30,42;29,68;30,08;5723100;23,321955
2010-03-11;30;30;28,98;29,17;5894800;22,616405
2010-03-12;29,309999;29,51;28,950001;28,98;3475400;22,46909
2010-03-15;29,02;29,049999;28,75;28,92;2589200;22,422569
2010-03-16;29,059999;30,049999;28,959999;30,01;5235400;23,267679
2010-03-17;30,110001;30,58;30,030001;30,43;3439300;23,593323
2010-03-18;30,540001;30,540001;30;30,16;2673600;23,38398
2010-03-19;29,75;30,379999;29,639999;29,75;4870300;23,066099
2010-03-22;29,6;30,219999;29,59;30,07;2386500;23,314203
2010-03-23;30,110001;30,440001;30,01;30,43;1911000;23,593323
2010-03-24;30,32;30,32;29,030001;29,059999;7601100;22,531113
2010-03-25;29,299999;29,52;28,870001;28,940001;5233800;22,438082
2010-03-26;28,940001;29,18;28,209999;28,49;5712500;22,089182
2010-03-29;28,530001;29,08;28,530001;28,82;4141500;22,345036
2010-03-30;28,889999;29,129999;28,629999;29,01;2870600;22,492355
2010-03-31;28,809999;29,120001;28,719999;28,82;2956500;22,345036
2010-04-01;29;29,35;28,530001;28,82;2076900;22,345036
2010-04-05;28,889999;29,57;28,889999;29,450001;2608700;22,833494
2010-04-06;29,34;29,450001;28,98;29,290001;2424000;22,709442
2010-04-07;29,16;29,65;29,040001;29,459999;3822900;22,841251
2010-04-08;29,299999;29,4;28,75;28,99;4642300;22,476847
2010-04-09;29,049999;29,120001;28,809999;29,110001;3324000;22,569885
2010-04-12;29,190001;29,75;29,110001;29,549999;3073900;22,91103
2010-04-13;29,559999;29,799999;29,35;29,780001;2674100;23,089354
2010-04-14;30,24;31,370001;30,23;31,35;7090600;24,306622
2010-04-15;31,190001;31,5;30,99;31,35;4419200;24,306622
2010-04-16;31,18;31,18;30,33;30,58;7443100;23,709623
2010-04-19;30,459999;30,66;29,73;30,41;3712800;23,57781
2010-04-20;30,52;30,940001;30,4;30,75;3036800;23,841425
2010-04-21;30,9;31,059999;29,93;30,290001;4365200;23,484774
2010-04-22;29,950001;30,48;29,24;30,42;3105000;23,585564
2010-04-23;30,370001;30,68;29,780001;30,67;3670800;23,779404
2010-04-26;30,76;31,309999;30,690001;31,129999;4520200;24,136047
2010-04-27;30,969999;30,99;30,030001;30,040001;6192100;23,290939
2010-04-28;30,24;30,43;29,530001;30,25;7435300;23,45376
