"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;28,030001;28,27;27,690001;27,76;1299300;18,415007
2010-01-05;27,77;27,84;27,41;27,65;1422200;18,342035
2010-01-06;27,610001;27,889999;27,35;27,459999;1880300;18,215996
2010-01-07;27,469999;27,469999;27,049999;27,200001;936900;18,04352
2010-01-08;27,219999;27,219999;26,83;27,01;954100;17,91748
2010-01-11;27,049999;27,280001;27,049999;27,23;997900;18,063423
2010-01-12;27,15;27,459999;27,09;27,200001;1021900;18,04352
2010-01-13;27,200001;27,49;27,139999;27,379999;1240900;18,162924
2010-01-14;27,26;27,5;27,25;27,48;763100;18,229263
2010-01-15;27,41;27,48;26,92;27,34;1776100;18,136391
2010-01-19;27,370001;27,74;27,27;27,690001;1273000;18,368565
2010-01-20;27,5;27,540001;27,030001;27,17;1638600;18,023621
2010-01-21;27,209999;27,4;26,219999;26,52;4065200;17,59243
2010-01-22;26,58;26,58;25,75;25,780001;2570000;17,101545
2010-01-25;26,01;26,07;25,76;25,91;1582000;17,187782
2010-01-26;25,860001;26,08;25,73;25,98;1525100;17,234211
2010-01-27;25,950001;26,049999;25,6;25,99;1943700;17,240852
2010-01-28;25,879999;26,030001;25,5;25,73;1887900;17,068375
2010-01-29;25,860001;25,93;25,51;25,549999;1583000;16,948969
2010-02-01;25,59;25,75;25,32;25,49;1714600;16,909168
2010-02-02;25,48;25,780001;25,25;25,77;1981000;17,094906
2010-02-03;25,309999;25,65;25,290001;25,610001;2162500;16,988768
2010-02-04;25,450001;25,459999;24,98;24,98;1652900;16,57085
2010-02-05;25;25,030001;24,450001;24,860001;2836400;16,491247
2010-02-08;24,99;24,99;24,42;24,42;1857800;16,199368
2010-02-09;24,620001;24,99;24,51;24,629999;1916200;16,338671
2010-02-10;24,66;24,66;24,290001;24,41;2090500;16,192734
2010-02-11;24,41;24,709999;24,139999;24,629999;2604900;16,338671
2010-02-12;24,459999;24,629999;24,25;24,559999;1986800;16,292234
2010-02-16;24,76;25,15;24,709999;25,09;1454800;16,64382
2010-02-17;25,219999;25,4;25,059999;25,4;1957500;16,849461
2010-02-18;25,469999;26,25;25,469999;25,639999;3138500;17,008675
2010-02-19;25,620001;26,059999;25,35;25,65;2066000;17,015308
2010-02-22;25,799999;25,82;25,360001;25,41;1396900;16,856098
2010-02-23;25,42;25,469999;25,17;25,290001;1402600;16,776497
2010-02-24;25,34;25,450001;24,889999;25,139999;1640200;16,676987
2010-02-25;24,91;25,07;24,66;25,07;1876100;16,630556
2010-02-26;25,120001;25,120001;24,65;24,709999;2139100;16,391743
2010-03-01;24,82;25,139999;24,82;25,040001;1375600;16,610651
2010-03-02;25,17;25,360001;25,129999;25,33;1253100;16,803028
2010-03-03;25,34;25,530001;25,280001;25,43;1580800;16,869364
2010-03-04;25,42;25,6;25,299999;25,59;1604000;16,975506
2010-03-05;25,74;25,940001;25,6;25,940001;2016800;17,207678
2010-03-08;25,440001;25,530001;25,309999;25,5;1957300;17,170649
2010-03-09;25,440001;25,610001;25,370001;25,57;1365600;17,217781
2010-03-10;25,58;25,780001;25,450001;25,57;1601300;17,217781
2010-03-11;25,559999;25,76;25,360001;25,76;1269000;17,345716
2010-03-12;25,82;25,889999;25,5;25,51;1175200;17,177382
2010-03-15;25,52;25,6;25,35;25,49;1699600;17,163914
2010-03-16;25,450001;25,58;25,4;25,5;1448400;17,170649
2010-03-17;25,5;25,700001;25,43;25,67;1014500;17,285114
2010-03-18;25,690001;26;25,67;26;1627400;17,507324
2010-03-19;26,040001;26,200001;25,83;26,040001;2912200;17,534267
2010-03-22;25,950001;25,969999;25,65;25,82;1865900;17,38612
2010-03-23;25,790001;25,9;25,73;25,879999;936900;17,426521
2010-03-24;25,76;25,889999;25,49;25,5;1336700;17,170649
2010-03-25;25,57;25,68;25,280001;25,290001;1730700;17,029242
