"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;35,099998;36;34,799999;34,939999;4076600;23,3932
2010-01-05;34,98;35,119999;34,360001;34,540001;5112400;23,125393
2010-01-06;34,560001;35,099998;34,459999;34,889999;3157400;23,359728
2010-01-07;34,779999;35,310001;34,689999;35,189999;3581200;23,560587
2010-01-08;35,18;35,810001;34,93;35,610001;3980600;23,841785
2010-01-11;35,779999;36,099998;35,610001;35,98;3992900;24,08952
2010-01-12;35,790001;35,869999;35,57;35,619999;2834400;23,84848
2010-01-13;35,580002;36,110001;35,580002;36,060001;2729800;24,143074
2010-01-14;36,099998;36,25;35,900002;36,200001;3117800;24,236807
2010-01-15;35,970001;36,119999;35,459999;36,009998;4896100;24,109602
2010-01-19;35,830002;36,48;35,830002;36,439999;4263400;24,397493
2010-01-20;36,299999;36,549999;36,02;36,52;4945600;24,451059
2010-01-21;36,73;36,860001;36;36,110001;4413200;24,176554
2010-01-22;36,169998;36,189999;35,419998;35,419998;4206300;23,714575
2010-01-25;35,669998;35,849998;35,200001;35,619999;2516000;23,84848
2010-01-26;35,549999;35,790001;35,470001;35,610001;3542700;23,841785
2010-01-27;35,540001;35,939999;35,049999;35,529999;3908500;23,788227
2010-01-28;35,580002;35,73;35,060001;35,060001;3953900;23,473545
2010-01-29;35,139999;35,299999;34,619999;34,650002;3931700;23,199043
2010-02-01;34,810001;34,91;34,220001;34,599998;5117000;23,16556
2010-02-02;34,689999;35,110001;34,349998;35,060001;2912500;23,473545
2010-02-03;34,970001;34,970001;34,549999;34,700001;5341100;23,232517
2010-02-04;34,52;34,650002;33,720001;33,75;3442800;22,596478
2010-02-05;33,689999;33,860001;33,049999;33,639999;4444000;22,522823
2010-02-08;33,34;33,34;32,77;32,82;3219900;22,244936
2010-02-09;33,049999;33,540001;33,029999;33,200001;3414800;22,502487
2010-02-10;33,189999;33,220001;32,709999;33,02;2619200;22,380495
2010-02-11;32,959999;33,130001;32,75;33,080002;3055500;22,421162
