"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,25;23,85;23,25;23,785;4724000;15,13781
2010-01-05;23,745001;24,540001;23,530001;24,475;7930600;15,576957
2010-01-06;24,915001;24,915001;24,360001;24,690001;5851600;15,71379
2010-01-07;24,705;25;24,5;24,955;5535800;15,882447
2010-01-08;24,83;24,83;24,375;24,705;4393400;15,723335
2010-01-11;24,934999;25,389999;24,855;25,355;5699200;16,137022
2010-01-12;25,695;25,860001;25,135;25,225;7697600;16,054287
2010-01-13;25,309999;25,559999;25,215;25,5;5104200;16,229305
2010-01-14;25,58;25,895;25,34;25,834999;4533800;16,44252
2010-01-15;25,775;25,865;25,334999;25,555;5949400;16,264305
2010-01-19;25,620001;26,08;25,469999;26,049999;6527600;16,579355
2010-01-20;25,889999;25,889999;25,375;25,575001;5305600;16,277042
2010-01-21;25,745001;25,77;25,049999;25,235001;8123800;16,060652
2010-01-22;25,145;25,309999;24,5;24,549999;8376000;15,624682
2010-01-25;25,004999;25,370001;25,004999;25,09;9892000;15,968363
2010-01-26;24,99;25,5;24,82;24,860001;9834600;15,821989
2010-01-27;24,870001;25,08;24,535;24,905001;8353400;15,850625
2010-01-28;25,174999;25,24;24,405001;24,594999;8419000;15,653325
2010-01-29;24,780001;24,924999;24,1;24,215;8465200;15,411481
2010-02-01;24,295;24,735001;24,295;24,59;6870200;15,650142
2010-02-02;24,674999;24,915001;24,355;24,85;10021800;15,815616
2010-02-03;25,254999;25,950001;25,254999;25,469999;11918400;16,210215
2010-02-04;25,225;25,35;24,115;24,15;10892200;15,370108
2010-02-05;24,205;24,405001;22,975;23,825001;17984600;15,163264
2010-02-08;23,855;23,889999;22,934999;22,975;13129600;14,622289
2010-02-09;23,35;23,825001;22,889999;23,530001;11155000;14,975513
2010-02-10;23,57;23,865;23,155001;23,555;6684200;14,991426
2010-02-11;23,43;23,815001;23,055;23,68;6632200;15,252285
2010-02-12;23,5;23,605;22,934999;23,57;10385600;15,181432
2010-02-16;23,76;24,190001;23,575001;24,125;6279800;15,53891
2010-02-17;24,360001;24,565001;24,165001;24,370001;5900600;15,69672
2010-02-18;24,125;24,530001;24,025;24,424999;4833600;15,732141
2010-02-19;24,34;24,65;24,055;24,52;7204200;15,793333
2010-02-22;24,639999;24,690001;24,4;24,559999;5542000;15,819092
2010-02-23;24,594999;24,68;23,895;24,065001;5783400;15,500263
2010-02-24;24,120001;24,625;24,120001;24,535;4585400;15,80299
2010-02-25;24,195;24,629999;23,975;24,594999;5502800;15,841637
2010-02-26;24,575001;24,77;24,415001;24,725;4703400;15,92537
2010-03-01;24,83;25,02;24,764999;25,01;5342200;16,108938
2010-03-02;25,09;25,174999;24,865;24,969999;4766800;16,083174
2010-03-03;25,014999;25,280001;24,995001;25,084999;5124800;16,157244
2010-03-04;25,16;25,360001;25,125;25,285;5098200;16,286064
2010-03-05;25,5;25,809999;25,205;25,754999;5177400;16,588793
2010-03-08;25,805;26;25,745001;25,85;4408000;16,649982
2010-03-09;25,764999;25,84;25,459999;25,625;4445600;16,50506
2010-03-10;25,73;26,25;25,545;26,235001;7183400;16,897963
2010-03-11;26,139999;26,32;25,955;26,315001;5077400;16,949484
2010-03-12;26,445;26,504999;26,125;26,344999;3764600;16,968805
2010-03-15;26,254999;26,485001;26,125;26,385;5003200;16,994577
2010-03-16;26,49;26,875;26,375;26,85;4767200;17,294085
2010-03-17;27,040001;27,5;26,924999;27,32;5413200;17,596807
2010-03-18;27,365;27,415001;27,200001;27,41;4801800;17,654772
2010-03-19;27,049999;27,6;27,030001;27,049999;7447400;17,422903
2010-03-22;26,75;26,93;26,530001;26,93;4293000;17,345615
2010-03-23;26,594999;26,764999;26,305;26,75;7604600;17,229671
2010-03-24;26,705;26,940001;26,594999;26,825001;4708400;17,277977
2010-03-25;27,004999;27,15;26,559999;26,605;5430800;17,136278
2010-03-26;26,67;27,030001;26,605;26,735001;4811800;17,220009
2010-03-29;26,855;27,004999;26,74;26,825001;4707200;17,277977
2010-03-30;26,860001;26,975;26,684999;26,895;5451800;17,323065
2010-03-31;26,73;27,16;26,73;27,145;6307000;17,484093
2010-04-01;27,365;27,584999;27,215;27,370001;4532200;17,629009
2010-04-05;27,540001;27,76;27,450001;27,76;4161200;17,880215
2010-04-06;27,610001;28,059999;27,559999;27,98;4903200;18,021915
2010-04-07;27,9;27,9;27,424999;27,639999;5455600;17,802921
2010-04-08;27,504999;27,825001;27,43;27,700001;5574600;17,841572
2010-04-09;27,77;27,879999;27,525;27,879999;3727000;17,957506
2010-04-12;27,959999;27,975;27,715;27,780001;4526200;17,893093
2010-04-13;27,73;27,815001;27,42;27,735001;4858600;17,864113
2010-04-14;27,950001;28,280001;27,795;28,280001;4614600;18,215149
2010-04-15;28,014999;28,139999;27,615;27,735001;6474200;17,864113
2010-04-16;27,594999;27,705;26,870001;27,209999;9725200;17,525957
2010-04-19;26,934999;27,33;26,83;27,295;5282800;17,580708
2010-04-20;27,440001;27,700001;27,365;27,66;4359400;17,815804
2010-04-21;27,745001;27,875;27,07;27,375;4785800;17,632235
2010-04-22;27,18;27,325001;26,75;27,299999;4898200;17,583927
2010-04-23;27,32;27,799999;27,16;27,735001;5140400;17,864113
2010-04-26;27,695;27,809999;27,334999;27,365;4924600;17,625793
2010-04-27;27,125;27,190001;26,105;26,205;8466600;16,878641
2010-04-28;27,065001;27,120001;24,365;24,815001;29944400;15,983338
2010-04-29;25,41;26,285;25,25;26,165001;19296800;16,852871
2010-04-30;26,025;26,18;25,465;25,48;8957600;16,411663
2010-05-03;25,700001;25,870001;25,42;25,715;6408600;16,56303
2010-05-04;25,155001;25,25;24,030001;24,41;19391800;15,722476
2010-05-05;24,030001;24,674999;23,625;24,07;13016600;15,503486
2010-05-06;23,93;24,51;21,245001;23,139999;20330600;14,904473
2010-05-07;23,129999;23,25;21,700001;22,135;22673000;14,257151
2010-05-10;23,76;25,200001;22,254999;24,875;27616400;16,021984
2010-05-11;24,34;25,125;24,18;24,469999;10550800;15,761123
2010-05-12;24,530001;25,094999;24,375;25,02;8821000;16,115376
2010-05-13;25,049999;25,049999;24,205;24,209999;5581400;15,593654
2010-05-14;23,93;23,955;22,5;22,950001;17390600;14,782089
2010-05-17;22,705;23,129999;22,315001;22,985001;10639600;14,98749
2010-05-18;23,84;23,84;22,254999;22,504999;13305600;14,674507
2010-05-19;22,35;22,594999;21,565001;22,17;15446800;14,456065
2010-05-20;21,540001;21,635;20,615;20,809999;14802800;13,569269
2010-05-21;20,445;21,93;20,254999;21,695;20044200;14,146338
2010-05-24;21,74;21,74;21,08;21,110001;11073200;13,764884
2010-05-25;20,49;21,285;20,16;21,245001;12910200;13,852914
2010-05-26;21,74;22,02;21,275;21,379999;12617200;13,940939
2010-05-27;21,965;22,959999;21,834999;22,915001;14455800;14,941849
2010-05-28;22,924999;22,93;22,049999;22,15;10102000;14,443029
2010-06-01;21,815001;22,315001;21,5;21,565001;9200600;14,061568
2010-06-02;21,77;22,34;21,42;22,32;10042200;14,55387
2010-06-03;22,385;22,535;21,83;22,23;6307400;14,495184
2010-06-04;21,370001;21,725;20,52;20,665001;13453600;13,474728
2010-06-07;20,91;21,035;20,190001;20,24;12321800;13,197598
2010-06-08;20,365;20,9;19,955;20,879999;13445200;13,614915
2010-06-09;21,084999;21,344999;20,52;20,610001;11060000;13,438862
2010-06-10;20,955;21,43;20,865;21,389999;8199600;13,947459
2010-06-11;20,83;21,424999;20,83;21,395;6114400;13,950727
2010-06-14;21,415001;21,785;21,145;21,245001;7551000;13,852914
2010-06-15;21,254999;22,26;21,254999;22,190001;10848800;14,469106
2010-06-16;21,905001;22,190001;21,855;22,01;7597600;14,351733
2010-06-17;21,844999;22,16;21,469999;21,875;8751400;14,263712
2010-06-18;21,969999;22,264999;21,950001;22,200001;8400800;14,475628
2010-06-21;22,639999;22,809999;22,065001;22,225;7538800;14,491927
2010-06-22;22,309999;22,575001;21,85;21,885;8838000;14,270227
2010-06-23;21,969999;21,969999;21,334999;21,705;8039800;14,152857
2010-06-24;21,514999;21,77;21,26;21,344999;7872600;13,91812
2010-06-25;21,605;21,860001;21,17;21,795;9145800;14,211543
2010-06-28;22,059999;23,1;22,035;22,389999;14170200;14,599514
2010-06-29;21,889999;22,135;21,014999;21,18;17380200;13,810532
2010-06-30;21,200001;21,705;21,110001;21,334999;12440600;13,911596
