"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;30,530001;30,540001;29,41;29,889999;7750900;21,957905
2010-01-05;29,98;30,360001;29,15;29,33;8920500;21,546516
2010-01-06;29,35;29,4;28,76;29,139999;7163500;21,406933
2010-01-07;29;29,1;28,27;28,58;9235500;20,995548
2010-01-08;28,629999;30,200001;28,610001;29,34;12702600;21,55386
2010-01-11;29,83;30,27;29,040001;29,629999;10730700;21,766899
2010-01-12;29,59;30,15;28,27;28,459999;9036300;20,907391
2010-01-13;28,99;29,25;28,35;29,059999;6138000;21,348164
2010-01-14;28,719999;28,889999;28,370001;28,6;6143300;21,010239
2010-01-15;28,559999;28,65;28,040001;28,059999;5545200;20,613543
2010-01-19;28,049999;29,57;27,290001;28,25;18187900;20,75312
2010-01-20;28,059999;29,1;27,780001;27,959999;6911400;20,540083
2010-01-21;28,01;28,780001;27,42;27,549999;8018300;20,238884
2010-01-22;27,690001;27,75;26,35;26,5;5902700;19,467527
2010-01-25;26,74;27;25,5;26,09;6672200;19,166334
2010-01-26;25,700001;25,940001;24,08;24,4;8585600;17,924822
2010-01-27;24,48;25,190001;23,040001;24,91;16431200;18,299477
2010-01-28;25,85;26,02;24,049999;24,16;7113600;17,74851
2010-01-29;24,530001;24,74;24,08;24,23;5708200;17,799932
2010-02-01;24,379999;24,5;23,440001;23,959999;4632200;17,601582
2010-02-02;23,99;24,4;23,67;23,969999;5869300;17,608931
2010-02-03;23,889999;24,450001;23,709999;23,790001;4817500;17,476702
2010-02-04;23,530001;23,74;22,559999;22,59;5951800;16,595152
2010-02-05;22,5;22,620001;21,540001;22,41;7498300;16,462915
2010-02-08;22,41;22,799999;21,799999;22,16;4293600;16,279261
2010-02-09;22,379999;23,799999;22,15;23,139999;9705500;16,999197
2010-02-10;23,209999;27,639999;22,950001;26,92;31633400;19,776075
2010-02-11;26,5;28,65;26,02;26,299999;31152700;19,320602
2010-02-12;25,82;27,120001;25,379999;26,82;13396300;19,70261
2010-02-16;27,43;27,889999;27,049999;27,43;6887900;20,150728
2010-02-17;27,530001;27,84;26,66;26,9;5361600;19,761379
2010-02-18;26,41;27,52;26,25;26,709999;6481400;19,621803
2010-02-19;26,540001;26,83;26,34;26,530001;4671500;19,489571
2010-02-22;26,889999;29,299999;26,57;28,43;24154700;20,885353
2010-02-23;28,219999;28,77;26,58;26,76;13607000;19,658529
2010-02-24;27,16;28,459999;26,860001;27,99;12118400;20,562119
2010-02-25;27,440001;28,549999;27;27,51;12376000;20,209499
2010-02-26;25,67;25,940001;24,709999;24,77;27126500;18,196629
2010-03-01;27,959999;27,98;25,780001;25,780001;29658700;18,938606
2010-03-02;25,93;25,940001;24,5;25,030001;18185800;18,387632
2010-03-03;25,110001;25,450001;24,540001;24,879999;10424000;18,277441
2010-03-04;25,09;27,290001;24,99;26,709999;25802100;19,621803
2010-03-05;26,940001;28,620001;26,74;28,08;19516700;20,628235
2010-03-08;29,43;30,25;28,65;29,1;27312500;21,377552
2010-03-09;28,389999;34,799999;28,08;32,77;57916300;24,073624
2010-03-10;33,900002;37,34;33,200001;36,240002;70650900;26,622766
2010-03-11;37,610001;38,450001;35,02;35,110001;46473300;25,792645
2010-03-12;36,099998;36,450001;33,830002;34,23;21011100;25,146172
2010-03-15;34,509998;36,369999;33,299999;34,32;43645300;25,212286
2010-03-16;34,790001;35,98;33,34;33,610001;35336600;24,690708
2010-03-17;34,48;34,68;33,82;34,41;18017700;25,27841
2010-03-18;34,84;35,380001;34,099998;34,639999;14330100;25,447367
2010-03-19;34,799999;35,02;33,849998;34,799999;11326800;25,564907
2010-03-22;33,82;34,18;33,099998;33,389999;14772300;24,529085
2010-03-23;33,650002;33,799999;32,25;33,279999;13088000;24,448278
2010-03-24;33,009998;34,330002;32,939999;33,169998;13741900;24,367466
2010-03-25;33,709999;35,669998;33,34;34,509998;29454700;25,351868
2010-03-26;34,830002;35,599998;33,860001;34,209999;13033500;25,131483
2010-03-29;34,650002;35;33,860001;34,450001;10840700;25,307789
2010-03-30;34,860001;35,150002;34,080002;34,189999;8607400;25,116785
2010-03-31;33,950001;34,720001;33,599998;34,139999;8121500;25,080053
2010-04-01;34,25;34,490002;33,810001;34,110001;6250200;25,058022
2010-04-05;34,43;35,450001;33,900002;35,060001;16281300;25,755913
2010-04-06;35,490002;36,380001;35,200001;35,91;19971000;26,380339
2010-04-07;36,52;39,900002;35,919998;39,689999;34528800;29,157217
2010-04-08;39,919998;40,799999;37,52;37,59;33895100;27,614511
2010-04-09;38,16;39,299999;37,75;38,139999;22286200;28,018549
