"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;16,15;16,35;15,81;15,96;1938700;11,917636
2010-01-05;16,07;16,370001;15,89;16,360001;2070700;12,216322
2010-01-06;16,360001;16,889999;16,360001;16,65;3797300;12,432871
2010-01-07;16,59;17,360001;16,43;17,26;3902600;12,888368
2010-01-08;17,1;17,209999;16,6;16,860001;3825200;12,58968
2010-01-11;17,059999;17,110001;16,860001;16,99;1314000;12,686757
2010-01-12;16,85;17,209999;16,48;16,549999;2220200;12,358197
2010-01-13;16,59;17,040001;16,59;17,01;1609900;12,701691
2010-01-14;16,91;17,110001;16,75;16,82;2133000;12,559814
2010-01-15;16,629999;16,809999;16,23;16,43;2280800;12,268595
2010-01-19;16,57;16,969999;16,530001;16,940001;2030400;12,649421
2010-01-20;16,799999;16,870001;16,469999;16,65;1804200;12,432871
2010-01-21;16,52;16,629999;15,78;15,8;4178000;11,798158
2010-01-22;15,8;16,129999;15,26;15,33;2891800;11,447206
2010-01-25;15,59;15,65;15,2;15,54;1865700;11,604015
2010-01-26;15,53;15,79;15,38;15,42;1704500;11,514407
2010-01-27;15,38;15,59;15,01;15,56;2567300;11,618949
2010-01-28;15,68;15,72;15,25;15,48;1780500;11,559211
2010-01-29;15,57;15,76;15,22;15,36;2357500;11,469606
2010-02-01;15,43;15,74;15,34;15,74;1289900;11,753358
2010-02-02;15,71;16,370001;15,51;16,26;2619100;12,14165
2010-02-03;15,99;16,09;15,66;15,93;2356200;11,895233
2010-02-04;15,73;15,76;15,2;15,26;3633400;11,39493
2010-02-05;15,43;15,78;15,11;15,69;3521800;11,716022
2010-02-08;15,63;15,81;15,15;15,21;1807900;11,357594
2010-02-09;15,42;15,56;15,1;15,48;2638300;11,559211
2010-02-10;15,49;15,66;15,1;15,44;1678300;11,529342
2010-02-11;15,38;15,56;15,16;15,53;1640100;11,596547
2010-02-12;15,61;15,9;15,35;15,87;2537400;11,85043
2010-02-16;16,08;16,65;16,08;16,639999;2247500;12,425402
2010-02-17;16,65;17,059999;16,540001;16,709999;2053400;12,477673
2010-02-18;16,73;16,99;16,57;16,889999;2158200;12,612085
2010-02-19;16,799999;16,879999;16,59;16,65;3038400;12,432871
2010-02-22;16,639999;16,780001;16,48;16,629999;3295500;12,417934
2010-02-23;16,5;16,700001;16,450001;16,57;2718700;12,373132
2010-02-24;16,610001;16,879999;16,549999;16,73;2077200;12,492607
2010-02-25;16,440001;16,870001;16,34;16,84;1479600;12,574751
2010-02-26;16,780001;16,940001;16,66;16,690001;2170300;12,462741
2010-03-01;16,76;16,83;16,59;16,75;1053200;12,507544
2010-03-02;16,799999;17,030001;16,74;16,969999;1230400;12,671817
2010-03-03;16,959999;17,1;16,860001;16,9;1344900;12,619555
2010-03-04;16,92;17,02;16,809999;16,940001;978800;12,649421
2010-03-05;17,110001;17,65;16,950001;17,6;1542500;13,142252
2010-03-08;17,6;18,01;17,33;17,91;1154900;13,373739
2010-03-09;17,75;18,280001;17,66;17,889999;2155400;13,358803
2010-03-10;17,84;18;17,77;17,940001;2151400;13,396138
2010-03-11;17,860001;17,879999;17,620001;17,77;1240000;13,269197
2010-03-12;17,92;17,959999;17,59;17,75;1831000;13,25426
2010-03-15;17,73;17,950001;17,4;17,75;1628800;13,25426
2010-03-16;17,76;17,940001;17,629999;17,92;2621500;13,381208
2010-03-17;17,940001;18,440001;17,91;18,35;1753900;13,702291
2010-03-18;18,33;18,42;18,15;18,25;1957800;13,627622
2010-03-19;17,950001;18,309999;17,91;17,950001;3111000;13,403606
2010-03-22;17,76;18,16;17,690001;18,110001;1686700;13,523084
2010-03-23;18,15;18,33;17,940001;18,27;1726200;13,642554
2010-03-24;18,18;18,620001;18,120001;18,5;2858200;13,814302
2010-03-25;18,559999;19,17;18,559999;18,77;2835100;14,015917
2010-03-26;18,790001;18,91;18,379999;18,66;2487500;13,933778
2010-03-29;18,799999;18,799999;18,34;18,379999;2342100;13,724696
2010-03-30;18,389999;18,540001;18,33;18,48;1822800;13,799369
2010-03-31;18,389999;18,639999;18,290001;18,41;2109800;13,747097
2010-04-01;18,620001;18,67;18,389999;18,6;1622600;13,888972
2010-04-05;18,709999;19,440001;18,59;19,43;1734000;14,508752
2010-04-06;19,559999;20,17;19,18;20,17;2941000;15,06132
2010-04-07;20,09;20,23;19,32;19,5;2256700;14,561017
2010-04-08;19,4;19,530001;19,280001;19,52;1949500;14,575957
2010-04-09;19,540001;20,049999;19,43;19,92;1677800;14,874641
2010-04-12;20,01;20,040001;19,66;19,75;1400300;14,747696
2010-04-13;19,719999;20,49;19,700001;20,42;1505900;15,248
2010-04-14;20,540001;20,57;20,299999;20,4;2021000;15,233068
2010-04-15;20,23;20,41;19,690001;19,690001;2112800;14,702899
2010-04-16;19,66;19,790001;19,120001;19,190001;3299300;14,329536
2010-04-19;19,040001;19,43;18,530001;19,389999;1772400;14,478882
2010-04-20;19,52;20;19,299999;19,950001;1575600;14,897044
2010-04-21;19,879999;20,860001;19,83;20,52;2192300;15,322681
2010-04-22;20,34;21,450001;20,18;21,360001;2036100;15,94991
2010-04-23;21,35;22,190001;21,1;22,110001;3837400;16,509958
2010-04-26;21,469999;22,35;21,469999;22,139999;2439900;16,53236
2010-04-27;22;22,280001;21,639999;21,67;3247300;16,181402
2010-04-28;21,85;22,15;21,620001;21,83;2910900;16,300877
2010-04-29;22;23,299999;21,709999;23,129999;3910300;17,271614
2010-04-30;22,1;23,07;21,83;22,41;4205600;16,733971
2010-05-03;22,57;24,040001;22,51;23,68;4808700;17,682306
2010-05-04;23,33;24,040001;23,209999;23,84;4232100;17,801788
2010-05-05;23,33;24,209999;22,91;23,32;3066000;17,41349
2010-05-06;23,17;23,52;20,280001;22,110001;4310600;16,509958
2010-05-07;22,030001;22,610001;20,91;21,23;3446900;15,852844
2010-05-10;22,49;22,719999;21,940001;22,42;4080000;16,741436
2010-05-11;22,129999;22,92;22;22,35;3806000;16,689167
2010-05-12;22,530001;23,190001;22,469999;22,98;2725300;17,159597
2010-05-13;22,879999;22,98;22,17;22,290001;2260300;16,644369
2010-05-14;22;22,02;21,049999;21,379999;2115000;15,96485
2010-05-17;21,469999;21,940001;20,57;21,440001;2354100;16,009659
2010-05-18;21,92;22,02;20,610001;20,709999;2789900;15,46455
2010-05-19;20,59;21,139999;19,82;20,43;2257300;15,329493
2010-05-20;19,790001;20,049999;19,01;19,049999;3249600;14,294018
2010-05-21;18,77;20,040001;18,440001;19,99;3159900;14,999346
2010-05-24;19,639999;19,92;19,15;19,15;1834500;14,36905
2010-05-25;18,41;19,540001;18,139999;19,450001;2615800;14,594153
2010-05-26;19,790001;20,25;19,389999;19,549999;2604700;14,669186
2010-05-27;20,09;20,950001;19,879999;20,91;2677900;15,689648
2010-05-28;20,84;21,41;20,530001;20,629999;2548900;15,47956
2010-06-01;20,360001;21,059999;20,34;20,459999;2584000;15,351999
2010-06-02;20,559999;21,08;20,209999;21,040001;1879400;15,787198
2010-06-03;21,16;21,59;20,959999;21,290001;2171400;15,974786
2010-06-04;20,59;21;19,66;19,77;3148400;14,834267
2010-06-07;19,93;20,35;19,549999;19,58;2448600;14,691701
2010-06-08;19,68;20,209999;19,27;20,139999;2525300;15,111889
2010-06-09;20,35;21,42;20,299999;20,43;2590300;15,329493
2010-06-10;20,860001;21,809999;20,73;21,76;2908900;16,327446
2010-06-11;21,450001;22,059999;21,33;22,02;2028900;16,522533
2010-06-14;22,370001;22,379999;21,639999;21,879999;3566400;16,41748
2010-06-15;22,129999;22,440001;21,950001;22,34;3124000;16,76264
2010-06-16;22,17;22,469999;21,950001;22,27;2875600;16,710119
2010-06-17;22,27;22,530001;22,059999;22,440001;2158500;16,837673
2010-06-18;22,540001;22,559999;22,09;22,25;1790600;16,69511
2010-06-21;22,549999;22,719999;21,83;21,879999;1792900;16,41748
2010-06-22;21,870001;21,99;20,76;20,780001;2322400;15,592112
2010-06-23;20,780001;21,25;20,5;21;1598200;15,757183
2010-06-24;20,799999;20,959999;20,360001;20,43;1998300;15,329493
2010-06-25;20,58;21,290001;20,370001;21,190001;2769600;15,899751
2010-06-28;21,35;21,35;20,77;20,950001;1020600;15,719666
2010-06-29;20,57;20,629999;19,639999;19,84;2085400;14,886784
2010-06-30;19,860001;20,299999;19,309999;19,370001;2740300;14,534124
2010-07-01;19,370001;19,530001;18,629999;19,299999;2497100;14,481606
2010-07-02;19,450001;19,450001;18,530001;18,74;2335000;14,061411
2010-07-06;19,16;19,469999;18,120001;18,42;3303300;13,821302
2010-07-07;18,51;19,549999;18,42;19,540001;2729000;14,661684
2010-07-08;19,790001;20,059999;19,41;19,91;1968600;14,93931
2010-07-09;19,92;20,299999;19,73;20,290001;1084600;15,224442
2010-07-12;20,219999;20,5;19,889999;20,43;1463900;15,329493
2010-07-13;20,73;21,219999;20,719999;21,139999;1512500;15,862228
2010-07-14;21,040001;21,25;20,66;21,02;1232400;15,772188
2010-07-15;21,08;21,08;20,370001;20,879999;1243800;15,667136
2010-07-16;20,629999;20,860001;20;20,110001;2500800;15,089376
2010-07-19;20,23;20,719999;19,719999;20,469999;1536400;15,359505
2010-07-20;20,08;21;19,76;20,950001;1623200;15,719666
2010-07-21;21,200001;21,200001;20,440001;20,540001;1549600;15,412029
2010-07-22;20,889999;21,950001;20,809999;21,66;2406700;16,252407
2010-07-23;21,549999;21,549999;20,85;21,24;3630200;15,937267
2010-07-26;21,24;21,93;21,030001;21,92;1367600;16,447496
2010-07-27;22,139999;22,24;21,48;21,719999;1916300;16,29743
2010-07-28;21,719999;22,23;21,52;21,809999;1786300;16,364964
2010-07-29;22,129999;22,17;21,110001;21,32;2312400;15,997291
2010-07-30;20,92;22,23;20,92;21,469999;3121500;16,109846
2010-08-02;21,93;22,6;21,780001;22,42;2150800;16,822668
2010-08-03;22,299999;22,41;21,780001;21,84;2349000;16,387466
2010-08-04;21,879999;21,950001;21,559999;21,75;1772800;16,319941
2010-08-05;21,549999;21,790001;21,379999;21,51;1463500;16,13986
2010-08-06;21,280001;21,68;20,91;21,309999;1929500;15,989789
2010-08-09;21,48;21,700001;21,16;21,66;1742900;16,252407
2010-08-10;21,34;21,67;21,16;21,4;1664200;16,057323
2010-08-11;20,92;21,09;20,48;20,6;2492300;15,457049
2010-08-12;20,23;20,48;20,07;20,27;1958200;15,209435
2010-08-13;20,24;20,52;20,07;20,26;1673300;15,201932
2010-08-16;20,09;20,530001;19,969999;20,15;1628100;15,119397
2010-08-17;20,469999;20,700001;20,290001;20,440001;2103200;15,336993
2010-08-18;20,290001;20,49;20,07;20,33;2142400;15,329452
2010-08-19;20,15;20,200001;19,65;19,84;2175500;14,959975
2010-08-20;19,65;19,809999;19,360001;19,709999;988300;14,861955
2010-08-23;19,83;19,91;19,59;19,59;1830400;14,771466
2010-08-24;19,24;19,76;19,01;19,6;2166600;14,779005
2010-08-25;19,49;20,07;19,459999;19,959999;1647200;15,050465
2010-08-26;20,110001;20,379999;19,85;19,85;2570000;14,967515
2010-08-27;20;20,200001;19,41;20,09;1818400;15,148486
2010-08-30;19,959999;20,41;19,950001;20;1648200;15,080623
2010-08-31;20;20,809999;19,93;20,440001;3334500;15,412398
2010-09-01;20,860001;21,379999;20,84;21,290001;2931900;16,053326
2010-09-02;21,26;21,719999;21,120001;21,709999;1820300;16,370016
2010-09-03;21,93;22,139999;21,780001;22,1;1354900;16,664085
2010-09-07;21,889999;22,15;21,610001;21,66;1695100;16,332314
2010-09-08;21,73;22,059999;21,67;21,790001;1588100;16,430334
2010-09-09;22,040001;22,110001;21,6;21,76;1933700;16,407721
2010-09-10;21,75;22,17;21,6;22,120001;1466000;16,679165
2010-09-13;22,33;22,639999;22,23;22,5;2029600;16,965696
2010-09-14;22,42;22,530001;22,18;22,360001;1163300;16,86014
2010-09-15;21,940001;22,459999;21,879999;22,360001;1648400;16,86014
2010-09-16;22,290001;22,58;22,1;22,25;1546800;16,777191
2010-09-17;22,389999;22,440001;22,030001;22,18;1979500;16,724407
2010-09-20;22,209999;22,780001;22,1;22,67;2092900;17,093884
2010-09-21;22,68;22,82;22,139999;22,370001;2201200;16,867674
2010-09-22;22,23;22,43;22,01;22,01;2029800;16,596222
2010-09-23;21,780001;21,879999;21,24;21,299999;1491000;16,060863
2010-09-24;21,629999;22;21,52;21,959999;1465600;16,558523
2010-09-27;21,950001;21,950001;21,440001;21,48;1047300;16,19659
2010-09-28;21,48;21,67;21,110001;21,620001;1519500;16,302158
2010-09-29;21,469999;21,51;21,23;21,32;1326400;16,075941
2010-09-30;21,51;21,76;21,049999;21,379999;2453800;16,121185
2010-10-01;21,57;21,59;21,219999;21,530001;1651700;16,234287
2010-10-04;21,41;21,74;21,360001;21,629999;1537500;16,309687
2010-10-05;21,9;22,370001;21,780001;22,24;2474700;16,769651
2010-10-06;22,200001;22,459999;22,1;22,26;1821200;16,784733
2010-10-07;22,450001;22,52;22,299999;22,379999;1510600;16,875214
2010-10-08;22,450001;22,68;22,280001;22,57;1457500;17,018482
2010-10-11;22,57;22,719999;22,48;22,6;758300;17,041107
2010-10-12;22,57;23,08;22,41;22,99;1467400;17,335173
2010-10-13;23,17;23,58;22,860001;22,889999;2459100;17,259768
2010-10-14;22,799999;22,99;22,610001;22,75;1575200;17,154203
2010-10-15;22,940001;23,110001;22,58;22,620001;1352900;17,056183
2010-10-18;22,59;22,959999;22,59;22,959999;1051700;17,312553
