"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;22,6;22,809999;22,280001;22,33;379300;15,952864
2010-01-05;22,35;22,42;21,9;22,209999;545700;15,867135
2010-01-06;22,26;22,440001;22,110001;22,219999;349400;15,874281
2010-01-07;22,1;22,15;21,959999;22,08;633500;15,774261
2010-01-08;22,1;22,18;22;22,139999;391300;15,817134
2010-01-11;22,139999;22,299999;22,049999;22,17;582600;15,838559
2010-01-12;22,1;22,35;22,1;22,299999;447000;15,931433
2010-01-13;22,309999;22,360001;22,200001;22,290001;244200;15,92429
2010-01-14;22,219999;22,280001;22,129999;22,23;299400;15,881427
2010-01-15;22,24;22,280001;21,98;22;243300;15,717113
2010-01-19;22,02;22,26;22,02;22,25;400800;15,895708
2010-01-20;22,08;22,139999;21,9;22,139999;278800;15,817134
2010-01-21;22,09;22,370001;22,02;22,309999;501600;15,938579
2010-01-22;22,360001;22,73;22,309999;22,700001;778500;16,217205
2010-01-25;22,82;23,34;22,68;22,82;558700;16,302929
2010-01-26;22,84;22,99;22,66;22,66;317000;16,188618
2010-01-27;22,59;22,83;22,32;22,48;561700;16,06003
2010-01-28;22,549999;22,74;22,27;22,6;385900;16,145754
2010-01-29;22,66;22,98;22,549999;22,549999;470000;16,110035
2010-02-01;22,610001;22,84;22,530001;22,780001;404700;16,274359
2010-02-02;22,83;23;22,549999;22,700001;903500;16,217205
2010-02-03;22,799999;24,120001;22,799999;23,74;1457900;16,96019
2010-02-04;23,5;23,780001;23,32;23,559999;925300;16,831594
2010-02-05;23,49;23,52;22,82;23,1;843400;16,502966
2010-02-08;23,25;23,25;22,709999;22,77;571100;16,267208
2010-02-09;22,92;23;22,719999;22,860001;530800;16,331511
2010-02-10;22,85;22,950001;22,709999;22,879999;339600;16,345797
2010-02-11;22,9;23;22,76;22,940001;304500;16,388662
2010-02-12;22,85;22,98;22,68;22,98;523700;16,417238
2010-02-16;23,040001;23,040001;22,76;23,040001;399100;16,460096
2010-02-17;23,059999;23,33;22,950001;23,27;588600;16,624418
2010-02-18;23,280001;23,360001;23,15;23,34;443600;16,674429
2010-02-19;23,34;23,540001;23,280001;23,540001;361100;16,817307
2010-02-22;23,6;23,620001;23,41;23,610001;317200;16,867315
2010-02-23;23,6;23,809999;23,49;23,719999;455900;16,945898
2010-02-24;23,790001;23,879999;23,73;23,870001;378800;17,053066
2010-02-25;23,629999;23,799999;23,59;23,77;362500;16,981625
2010-02-26;23,790001;23,83;23,59;23,73;480800;16,953053
2010-03-01;23,77;24,030001;23,700001;24,02;567700;17,160227
2010-03-02;24,01;24,16;23,879999;24,129999;484400;17,238815
2010-03-03;24,09;24,32;24,059999;24,290001;389100;17,353119
2010-03-04;24,389999;24,5;24,02;24,17;482800;17,267387
2010-03-05;24,32;24,450001;24,049999;24,43;334800;17,453135
2010-03-08;24,42;24,559999;24,360001;24,389999;541200;17,424562
2010-03-09;24,370001;24,48;24,190001;24,43;728800;17,453135
2010-03-10;24,42;24,639999;24,200001;24,639999;768400;17,603167
2010-03-11;24,58;24,809999;24,459999;24,73;434900;17,667463
2010-03-12;24,860001;25,209999;24,700001;25,209999;729200;18,010378
2010-03-15;25,25;25,440001;25,049999;25,32;625900;18,088963
2010-03-16;25,299999;25,610001;25,290001;25,49;496500;18,210413
2010-03-17;25,559999;25,68;25,4;25,639999;325300;18,317577
2010-03-18;25,700001;25,84;25,610001;25,73;327900;18,381876
2010-03-19;25,58;25,6;24,959999;25,58;915900;18,274717
2010-03-22;25,5;25,5;24,92;24,969999;2011100;17,838919
