"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;8,705;8,82;8,6;8,7175;1802400;7,727966
2010-01-05;8,69;9,235;8,69;9,195;3052800;8,151261
2010-01-06;9,0625;9,285;9,05;9,1125;2994000;8,078128
2010-01-07;9,1375;9,42;9,04;9,065;2887200;8,036019
2010-01-08;9,0575;9,215;8,81;8,885;2457600;7,87645
2010-01-11;8,9575;8,9875;8,7125;8,83;2324000;7,827697
2010-01-12;8,775;9,05;8,7525;9,0275;1866800;8,002777
2010-01-13;9,0825;9,4;8,9875;9,335;1442000;8,275371
2010-01-14;9,3475;9,4425;9,3025;9,35;1028400;8,288669
2010-01-15;9,1825;9,195;8,9125;9,015;2452800;7,991695
2010-01-19;9,0475;9,3;8,9975;9,2925;1736400;8,237698
2010-01-20;9,1875;9,3;9,02;9,25;2017200;8,200022
2010-01-21;9,3;9,4875;9,21;9,3075;2466000;8,250995
2010-01-22;9,3075;9,3925;8,9825;9,0125;1602400;7,98948
2010-01-25;9,065;9,2;9,04;9,1275;1302800;8,091424
2010-01-26;9,075;9,145;8,8625;8,87;1676000;7,863157
2010-01-27;8,84;9,1675;8,735;9,125;2150800;8,089208
2010-01-28;8,89;9;8,145;8,1475;7360000;7,222667
2010-01-29;8,1975;8,2475;7,81;7,835;3382800;6,945638
2010-02-01;7,8425;8,0025;7,81;7,9925;1856800;7,085262
2010-02-02;8,025;8,3125;8,01;8,3125;2856000;7,368938
2010-02-03;8,29;8,39;8,1725;8,315;3080400;7,371154
2010-02-04;8,035;8,1425;7,91;8;5684800;7,091909
2010-02-05;7,975;8,085;7,8775;8,04;3012000;7,127368
2010-02-08;8,0175;8,2275;7,97;8,0975;2164800;7,17834
2010-02-09;8,225;8,425;8,1925;8,3425;2364400;7,395531
2010-02-10;8,2875;8,305;7,8975;7,94;2656800;7,038719
2010-02-11;7,95;8,1625;7,9;8,0825;3575200;7,165045
2010-02-12;8,045;8,205;7,8575;8,1875;2327200;7,258125
2010-02-16;8,2925;8,5625;8,2475;8,5025;1916000;7,537368
2010-02-17;8,5625;8,625;8,4625;8,5625;1792000;7,590557
2010-02-18;8,5775;8,8975;8,555;8,89;2375600;7,880885
