"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;14,05;14,57;14,03;14,3;18615100;11,63747
2010-01-05;14,24;14,38;14,04;14,19;15173200;11,547951
2010-01-06;14,23;14,4;14,1;14,16;13704800;11,523536
2010-01-07;14,14;14,21;13,96;14,01;21543200;11,401463
2010-01-08;14,24;14,59;14,11;14,55;41212100;11,840925
2010-01-11;14,84;14,94;14,45;14,87;33667800;12,101341
2010-01-12;14,76;14,77;14,03;14,2;40350900;11,556092
2010-01-13;14,29;14,42;13,92;14,27;25137300;11,613054
2010-01-14;14,22;14,38;14,02;14,35;26920500;11,678161
2010-01-15;14,16;14,34;13,67;13,73;36020100;11,173597
2010-01-19;13,77;14,02;13,75;13,97;14620900;11,368915
2010-01-20;13,83;13,89;13,65;13,8;19220200;11,230567
2010-01-21;13,86;14,09;13,52;13,58;25265000;11,051528
2010-01-22;13,35;13,39;12,61;12,63;48104300;10,278406
2010-01-25;12,66;12,94;12,59;12,64;39765000;10,286549
2010-01-26;12,72;13,01;12,64;12,65;36897100;10,294683
2010-01-27;12,75;13,07;12,69;13,04;30448800;10,612073
2010-01-28;13,08;13,09;12,35;12,61;35016600;10,262136
2010-01-29;12,78;12,85;12,15;12,18;25601600;9,912192
2010-02-01;12,34;12,56;12,23;12,52;20227300;10,188891
2010-02-02;12,59;12,59;12,35;12,51;21525000;10,180753
2010-02-03;12,35;12,48;12,12;12,28;36170300;9,993577
2010-02-04;12,22;12,22;11,66;11,8;40737400;9,602947
2010-02-05;11,8;12,27;11,68;12,23;43781500;9,952887
2010-02-08;12,25;12,33;12,03;12,07;17976400;9,82268
2010-02-09;12,24;12,4;12,04;12,15;21123700;9,88778
2010-02-10;12,2;12,32;12,1;12,23;17213400;9,952887
2010-02-11;12,22;12,53;12,06;12,47;18388100;10,148202
2010-02-12;12,3;12,72;12,15;12,47;23748600;10,148202
2010-02-16;12,67;12,97;12,56;12,95;21663600;10,538829
2010-02-17;13,09;13,15;12,75;12,99;25202600;10,571382
2010-02-18;12,78;12,79;12,31;12,68;45212200;10,319101
2010-02-19;12,62;12,64;12,35;12,5;29090400;10,172613
2010-02-22;12,53;12,59;12,39;12,45;22697700;10,180792
2010-02-23;12,45;12,48;11,94;12,01;30237000;9,820992
2010-02-24;12,08;12,42;12,05;12,27;25624000;10,0336
2010-02-25;12,07;12,25;11,94;12,22;21748200;9,992716
2010-02-26;12,27;12,3;12,03;12,24;15882200;10,009069
2010-03-01;12,3;12,5;12,29;12,5;16465100;10,221678
2010-03-02;12,55;12,64;12,35;12,42;22421700;10,15626
2010-03-03;12,45;12,55;12,34;12,39;17029600;10,131729
