"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;58,689999;59,810001;58,380001;59,75;4641800;51,784992
2010-01-05;60,59;61,25;60,169998;60,400002;8385500;52,348339
2010-01-06;60,119999;61,529999;60,119999;61,380001;6449100;53,197708
2010-01-07;61,68;63,779999;61,23;63,66;6028900;55,173756
2010-01-08;63,59;64,07;63,009998;63,939999;5270900;55,416428
2010-01-11;64,279999;64,879997;63,869999;64,309998;4369600;55,73711
2010-01-12;63,799999;64,309998;62,630001;63,459999;5813100;55,000416
2010-01-13;63,759998;65,010002;63,470001;64,970001;5555800;56,309143
2010-01-14;64,949997;66,480003;64,68;66,220001;5137400;57,392506
2010-01-15;66,339996;67,230003;65,620003;66,650002;7040100;57,765182
2010-01-19;67,82;69,489998;67,389999;68,059998;12115500;58,987217
2010-01-20;69,370003;70;67,199997;67,68;14642100;58,657864
2010-01-21;67,879997;68,360001;65,32;65,5;8138200;56,768482
2010-01-22;65,870003;66,779999;62,25;65,099998;6916000;56,421806
2010-01-25;65,449997;66,459999;65,169998;65,550003;5771700;56,81181
2010-01-26;65;65,099998;63,880001;63,880001;7404900;55,364429
2010-01-27;62,709999;65,330002;62,110001;64,620003;9362400;56,005795
2010-01-28;65;66,470001;64,339996;64,419998;8125600;55,832455
2010-01-29;64,470001;64,75;63,709999;63,720001;4598900;55,225758
2010-02-01;64,099998;64,879997;62,599998;64,199997;3976300;55,641781
2010-02-02;64,459999;65,18;63,98;65,050003;4178500;56,378456
2010-02-03;64,529999;65,129997;63,380001;64,07;3813900;55,529106
2010-02-04;63,369999;64,150002;62,779999;62,830002;4609000;54,454414
2010-02-05;62,59;63,07;60,310001;61,689999;8633700;53,46637
2010-02-08;61,630001;62,66;61,099998;61,650002;5380200;53,431717
2010-02-09;62,150002;62,290001;60,439999;61,450001;7747100;53,258366
2010-02-10;61,450001;61,59;58,560001;60,009998;10418700;52,010315
2010-02-11;60;60,580002;59,349998;60,52;5832300;52,452343
2010-02-12;59,830002;59,849998;59,060001;59,330002;5727000;51,420975
2010-02-16;59,279999;59,57;56,990002;58,459999;9030900;50,666962
2010-02-17;58,549999;61,09;58,549999;59,700001;9182300;51,741653
2010-02-18;59,110001;59,880001;58,25;59,110001;6166400;51,230301
2010-02-19;59,119999;59,27;58,389999;58,470001;5993500;50,67561
2010-02-22;58,349998;59,779999;57,91;59,439999;8005200;51,516308
2010-02-23;59,32;59,759998;58,540001;59,009998;5930200;51,143635
2010-02-24;59,34;60,369999;58,5;60,139999;6493800;52,122993
2010-02-25;59,799999;61,610001;59,220001;61,450001;15277300;53,258366
2010-02-26;61,490002;62,990002;61,490002;61,869999;7666100;53,622372
2010-03-01;62,490002;63,459999;61,200001;62,060001;6988200;53,787048
2010-03-02;61,27;62,889999;61,189999;61,900002;5509600;53,648373
2010-03-03;61,34;62,700001;61,119999;62,360001;4413200;54,047066
2010-03-04;62,23;62,23;60,07;61,23;8895200;53,067692
2010-03-05;61,279999;62,310001;61,169998;62,25;4360700;53,951714
2010-03-08;62,130001;62,75;61,619999;61,959999;4424000;53,700382
2010-03-09;61,580002;62,07;61,290001;61,43;3654300;53,241032
2010-03-10;61,25;62,919998;61,25;62,48;6002200;54,151081
2010-03-11;62,41;63,73;62,07;63,549999;6307100;55,078423
2010-03-12;63,950001;63,950001;62,189999;62,580002;5541500;54,237724
2010-03-15;62,459999;62,560001;60,610001;61,52;6408200;53,319038
2010-03-16;61,43;62,02;60,669998;61,970001;4710100;53,709049
2010-03-17;62,150002;62,380001;61,029999;61,939999;6469400;53,683041
2010-03-18;61,689999;64,300003;60,82;63,82;10554100;55,312428
2010-03-19;65,07;65,839996;64,25;65,07;12464700;56,395794
2010-03-22;65,209999;66,330002;64,120003;64,389999;8654700;55,806435
2010-03-23;64,370003;64,529999;62,939999;63,610001;5986200;55,130432
2010-03-24;63,310001;64,169998;63,09;63,400002;5141200;54,948425
2010-03-25;63,900002;64,260002;63,009998;63,59;3414400;55,113102
2010-03-26;63,810001;63,91;63,029999;63,049999;3656500;54,645077
2010-03-29;63,299999;64,379997;63,029999;64,190002;4434200;55,63311
2010-03-30;64,25;65,150002;63,84;64,690002;3618400;56,066456
2010-03-31;65,129997;65,209999;64,309998;64,379997;5289300;55,797787
2010-04-01;64,470001;64,839996;64,18;64,709999;3527900;56,083786
2010-04-05;65,110001;65,57;64,699997;65,339996;2962700;56,629814
2010-04-06;64,980003;65,809998;64,610001;64,610001;3795700;55,997131
2010-04-07;64,309998;64,580002;62,790001;63,259998;7326800;54,827084
2010-04-08;63,049999;63,209999;61,540001;62,09;7520400;53,813057
2010-04-09;61,939999;62,049999;60,310001;61,259998;7036700;53,0937
2010-04-12;61,18;61,639999;61;61,34;4583700;53,163036
2010-04-13;61,07;61,400002;59,900002;60,18;6152100;52,157658
2010-04-14;59,790001;60;58,619999;58,959999;7712600;51,100304
2010-04-15;58,73;58,900002;56,98;58,580002;11739900;50,770958
2010-04-16;58,360001;59,349998;58,220001;59,080002;8120100;51,204296
2010-04-19;58,889999;60,77;58,830002;60,549999;6357600;52,47834
2010-04-20;61,490002;61,490002;59,389999;59,84;6309900;51,862976
2010-04-21;59,75;60,02;58,299999;58,639999;4945000;50,822952
2010-04-22;58,349998;58,560001;57,400002;58,41;4702800;50,623615
2010-04-23;58,290001;58,32;57,43;57,98;6426100;50,250938
2010-04-26;58,290001;58,41;56,119999;56,560001;7605100;49,020241
2010-04-27;56,310001;57,02;55,689999;55,919998;6182500;48,465549
2010-04-28;55,43;58,189999;55,23;57,450001;8218100;49,791588
2010-04-29;57,990002;59,93;57,790001;59,080002;7866500;51,204296
2010-04-30;58,080002;58,139999;53,5;53,799999;18770900;46,628151
2010-05-03;54,59;54,900002;53,029999;53,52;8863200;46,385483
2010-05-04;53,240002;53,529999;51,82;52,599998;8588500;45,588127
2010-05-05;51,009998;52,900002;50,68;52,529999;6335300;45,527447
2010-05-06;52,400002;53,34;49,099998;51,299999;6949900;44,461422
2010-05-07;50,889999;51,52;49,790001;50,939999;6543500;44,149403
2010-05-10;52,68;53;50,43;51,139999;8039100;44,322731
2010-05-11;50,669998;52,810001;50,5;52,110001;5368700;45,163437
2010-05-12;52,310001;54,060001;51,650002;54,040001;5568300;46,836166
2010-05-13;54,209999;54,209999;53,049999;53,16;4188400;46,073475
2010-05-14;52,779999;53,18;52,150002;53,09;3463900;46,012798
2010-05-17;52,970001;53,689999;52,380001;53,52;3931000;46,385483
2010-05-18;53,68;54,400002;52,990002;53,080002;4790500;46,004135
2010-05-19;52,799999;53,720001;52,41;53,400002;4244900;46,281483
2010-05-20;52,360001;52,779999;51,130001;51,169998;6948000;44,348736
2010-05-21;50,599998;51,57;50,080002;51,25;6164200;44,418083
2010-05-24;50,990002;51,720001;50,599998;51,099998;4266300;44,288078
2010-05-25;50,130001;50,869999;49,82;50,700001;5216500;43,941395
2010-05-26;50,860001;51,68;50,73;50,889999;5054300;44,106068
2010-05-27;51,790001;52,029999;51,029999;51,720001;3248900;44,825428
2010-05-28;51,799999;51,84;51,16;51,299999;2855400;44,461422
2010-06-01;50,919998;51,720001;50,82;51,049999;3860100;44,244747
2010-06-02;51,110001;52,41;50,869999;52,369999;4040200;45,388779
2010-06-03;52,509998;54,560001;52,509998;54,450001;6149300;47,191521
2010-06-04;53,700001;56,34;53,689999;54,139999;8060500;46,922836
2010-06-07;54,360001;55,48;52,450001;53,57;8954700;46,428814
2010-06-08;53,73;54,279999;52,599998;53,27;6156200;46,168804
2010-06-09;53,400002;53,900002;52,16;52,310001;4695400;45,336781
2010-06-10;53;53,330002;52,259998;52,790001;4494200;45,752792
2010-06-11;52,360001;53,279999;51,93;52,650002;3746400;45,63147
2010-06-14;52,919998;53,889999;52,709999;53,099998;3400800;46,021465
2010-06-15;53,34;54,080002;53,220001;54,029999;3749900;46,827507
2010-06-16;53,540001;54,950001;53,5;54,709999;4271900;47,416847
2010-06-17;54,93;55,130001;54,529999;55,049999;3798000;47,711521
2010-06-18;55,02;55,349998;54,799999;55,220001;6458200;47,858852
2010-06-21;55,540001;55,98;55,02;55,240002;4184100;47,876198
2010-06-22;55,16;55,560001;53,619999;53,720001;5136200;46,558819
2010-06-23;53,75;53,779999;52,759998;53,029999;4099900;45,9608
2010-06-24;52,790001;53,32;52,099998;52,369999;3304700;45,388779
2010-06-25;52,369999;52,82;51,630001;51,75;7671700;44,851433
2010-06-28;51,91;51,98;50,779999;50,790001;3558800;44,019402
2010-06-29;50,43;50,630001;49,369999;49,57;5118000;42,962036
2010-06-30;49,540001;49,709999;48,860001;48,93;4979300;42,407341
2010-07-01;48,73;48,73;46,52;47,790001;7295600;41,419319
2010-07-02;48,009998;48,09;47,110001;47,43;3473700;41,107307
2010-07-06;48,009998;48,619999;47,619999;48,110001;3705200;41,696671
2010-07-07;48,310001;49;48,209999;48,91;3723500;42,390011
2010-07-08;49,169998;49,880001;48,939999;49,869999;3022300;43,222042
2010-07-09;49,900002;51,18;49,669998;51,169998;3941800;44,348736
2010-07-12;51,060001;51,349998;50,380001;51,279999;3470000;44,444088
2010-07-13;51,77;51,939999;51,380001;51,610001;3140600;44,730106
2010-07-14;51,380001;51,990002;50,860001;51,970001;2752100;45,042099
2010-07-15;51,740002;53,16;51,48;53,150002;4627400;46,064812
2010-07-16;52,810001;53,189999;51,369999;51,389999;4127700;44,539425
2010-07-19;51,630001;52,73;51,630001;52,490002;3210000;45,492783
2010-07-20;52,189999;52,779999;51,43;52,610001;3477400;45,596786
2010-07-21;52,689999;52,91;51,200001;51,490002;3110100;44,626087
2010-07-22;51,900002;52,75;51,630001;52,459999;2669100;45,466785
2010-07-23;52,18;52,459999;51,630001;51,990002;2881600;45,059448
2010-07-26;52,150002;53,189999;51,990002;53,189999;2364000;46,099476
2010-07-27;53,299999;53,869999;52,639999;52,799999;3052800;45,761459
2010-07-28;52,619999;52,799999;50,200001;50,830002;5779600;44,054066
2010-07-29;51,18;51,459999;49,450001;49,880001;5047900;43,230698
2010-07-30;49,32;51,040001;48,759998;50,720001;4321900;43,958733
2010-08-02;51,119999;52,099998;50,970001;52,009998;4464700;45,076767
2010-08-03;51,810001;53,84;51,700001;53,240002;5206200;46,142807
2010-08-04;53,41;54,349998;53,130001;54,240002;4395900;47,009502
2010-08-05;53,900002;55,060001;53,650002;54,959999;3402900;47,633507
2010-08-06;54,580002;55,139999;54,220001;55,049999;3716600;47,711521
2010-08-09;55,32;55,700001;55,080002;55,139999;2459500;47,789524
2010-08-10;54,849998;55,459999;54,560001;55,02;3682600;47,68552
2010-08-11;54,470001;54,5;51,290001;51,310001;14100100;44,470085
2010-08-12;50,860001;51,950001;50,720001;51,580002;3969500;44,704098
2010-08-13;51,310001;52,040001;50,810001;51,790001;2322600;44,886105
2010-08-16;51,369999;51,799999;50,779999;51,619999;2969800;44,738762
2010-08-17;52,139999;52,610001;51,720001;52,380001;2805700;45,397449
2010-08-18;52,48;52,619999;51,709999;51,98;2807900;45,050777
2010-08-19;51,700001;51,709999;49,790001;50,119999;3827000;43,438725
2010-08-20;50,130001;50,290001;49,169998;49,889999;3035600;43,239372
2010-08-23;50,099998;50,779999;49,580002;49,639999;2494600;43,022705
2010-08-24;49,150002;49,939999;48,610001;49,68;4368100;43,057377
2010-08-25;49,560001;51,509998;49,279999;51,040001;4358000;44,23608
2010-08-26;51,330002;52,290001;50,560001;50,639999;3249400;43,8894
2010-08-27;50,93;51,200001;49,810001;50,869999;2416900;44,088741
2010-08-30;50,709999;50,91;49,599998;49,599998;1945300;42,988026
2010-08-31;49,200001;50,580002;48,82;49,66;3994600;43,040039
2010-09-01;50,279999;51,049999;49,91;50,880001;3672300;44,097404
2010-09-02;51,220001;51,82;50,93;51,82;2445200;44,912098
2010-09-03;52,16;53,27;52,060001;53,25;3655600;46,151474
2010-09-07;52,810001;52,950001;52,299999;52,400002;2393600;45,414783
2010-09-08;52,5;53,09;52,259998;52,91;2441800;45,856792
2010-09-09;53,48;54,639999;53,310001;54,529999;4567900;47,260838
2010-09-10;54,450001;55,25;54,16;54,830002;3993900;47,520847
2010-09-13;55,279999;55,759998;54,970001;55,369999;4400400;47,988865
2010-09-14;55,099998;55,84;54,400002;55,450001;3806900;48,058197
2010-09-15;55,130001;55,330002;53,759998;54,639999;4439500;47,356178
2010-09-16;54,610001;54,75;54,119999;54,700001;3041200;47,40818
2010-09-17;54,740002;55,220001;54,060001;54,060001;5647800;46,853504
2010-09-20;54,110001;55,209999;54,110001;54,959999;4678600;47,633507
2010-09-21;55,110001;56,43;54,709999;55,75;4836300;48,318207
2010-09-22;55,669998;56,860001;55,34;56,639999;4643700;49,089565
2010-09-23;56,169998;57,419998;56,099998;56,5;3731000;48,968227
2010-09-24;57,009998;57,490002;56,5;56,689999;4557900;49,132896
2010-09-27;56,689999;56,77;55,869999;55,880001;3295300;48,43087
2010-09-28;56,139999;56,349998;55,380001;56,23;3469500;48,734226
2010-09-29;55,849998;56,259998;55,349998;56,130001;3127400;48,647564
2010-09-30;56,5;57,16;56,099998;56,639999;4270400;49,089565
2010-10-01;56,639999;56,91;55,439999;56,110001;4573400;48,630226
2010-10-04;55,919998;55,919998;54,549999;54,880001;3891900;47,564186
2010-10-05;55,380001;55,740002;54,400002;55,25;5437500;47,884861
2010-10-06;55,09;55,439999;52,93;54,34;7502100;47,096184
2010-10-07;54,43;55,220001;54,349998;55,060001;4173600;47,720196
2010-10-08;55,080002;55,400002;54,549999;55,009998;1735900;47,676853
2010-10-11;54,970001;55,75;54,919998;55,389999;2150200;48,006207
2010-10-12;55,18;55,759998;54,84;55,66;2207800;48,2402
2010-10-13;56;57,02;55,75;56,799999;4961400;49,228237
2010-10-14;56,830002;58,130001;56,27;57,060001;4105100;49,453587
2010-10-15;57,369999;57,900002;56,759998;57,779999;3660300;50,077595
2010-10-18;57,75;58,389999;57,34;58,389999;2818900;50,606285
2010-10-19;57,599998;57,689999;55,900002;56,110001;4264000;48,630226
2010-10-20;56,32;57,57;56,240002;57,220001;3640900;49,592247
2010-10-21;57,450001;57,490002;56,23;56,630001;2868400;49,080906
2010-10-22;56,68;57,700001;56,68;57,540001;1802000;49,869595
2010-10-25;57,84;58,330002;57,200001;57,259998;2237500;49,626915
2010-10-26;56,389999;56,639999;55,669998;55,939999;3959800;48,482876
2010-10-27;55,369999;55,630001;54,23;54,91;3976900;47,590187
2010-10-28;55,330002;55,389999;54,299999;54,610001;2584400;47,330189
2010-10-29;54,549999;55,009998;54,099998;54,34;2515800;47,096184
2010-11-01;54,639999;55,189999;54,259998;54,720001;3431400;47,425518
2010-11-02;55,209999;56,41;55,139999;55,75;4622500;48,318207
2010-11-03;55,150002;57,740002;54,5;56,049999;7910700;48,578213
2010-11-04;56,709999;57,040001;55,439999;56,709999;7246400;49,150227
2010-11-05;56,669998;58,009998;56,669998;57,349998;4803100;49,704922
2010-11-08;57,299999;58,82;57,209999;58,68;4540000;50,857613
2010-11-09;58,509998;58,700001;57,509998;57,740002;4779400;50,042931
2010-11-10;57,720001;58,950001;56,900002;58,900002;3852000;51,048302
2010-11-11;58,360001;58,84;57,91;58,59;3020800;50,779621
2010-11-12;58,259998;58,810001;57,490002;58,080002;3932300;50,337612
2010-11-15;57,09;58,040001;56,700001;57,18;4179100;49,557587
2010-11-16;56,720001;57,02;55,950001;55,990002;4511900;48,526211
2010-11-17;56,080002;56,650002;55,599998;56,450001;3541800;48,924892
2010-11-18;56,599998;57;54,860001;56,32;4895500;48,812229
2010-11-19;56,349998;58,720001;55,880001;58,610001;9891200;50,796959
2010-11-22;60,400002;61;59,389999;59,970001;12529100;51,975662
2010-11-23;59,509998;60,09;58,48;58,52;6020500;50,718948
2010-11-24;58,98;59,48;57,84;57,860001;4465300;50,146931
2010-11-26;57,66;58,27;57;57,099998;2179700;49,488247
2010-11-29;56,619999;57,27;56,009998;57,07;3896400;49,462254
2010-11-30;56,560001;56,740002;55,639999;55,740002;7501600;48,309536
2010-12-01;56,450001;57,43;56,330002;56,490002;5198400;48,959557
2010-12-02;56,419998;58,560001;56,419998;58,439999;6610000;50,649609
2010-12-03;58,119999;58,119999;56,869999;57,02;5655000;49,418911
2010-12-06;57;57,130001;55,860001;55,939999;3418200;48,482876
2010-12-07;56,540001;56,57;55,650002;55,75;4847700;48,318207
2010-12-08;56,119999;56,529999;55,860001;56,529999;3188800;48,994232
2010-12-09;56,849998;56,970001;56,240002;56,709999;4083700;49,150227
2010-12-10;56,700001;57,740002;56,650002;57,68;3932800;49,990932
2010-12-13;57,939999;59,689999;57,34;57,529999;6854000;49,860931
2010-12-14;57,700001;58,299999;57,5;58,110001;3681200;50,363605
2010-12-15;57,91;58,009998;56,220001;56,32;4713000;48,812229
2010-12-16;56,5;57,07;55,939999;56,02;4601100;48,552223
2010-12-17;55,93;56,02;55,560001;55,93;5306300;48,474201
2010-12-20;55,98;56,470001;55,599998;56,099998;2782700;48,621555
2010-12-21;56,060001;57,779999;56,049999;56,560001;3914000;49,020241
2010-12-22;56,490002;57,18;56,48;57,119999;1699400;49,505585
2010-12-23;57,130001;57,509998;57;57,439999;2240800;49,782925
2010-12-27;57,209999;57,310001;56,830002;57,150002;1409900;49,531582
2010-12-28;57,110001;57,32;56,669998;56,990002;1766300;49,392906
2010-12-29;57,09;57,18;56,91;56,91;1427300;49,323574
2010-12-30;56,779999;57,080002;56,549999;56,610001;1443600;49,063564
2010-12-31;56,610001;56,990002;56,599998;56,860001;1488500;49,280243
2011-01-03;57,09;58,029999;56,790001;57,950001;2456500;50,224934
2011-01-04;57,849998;58,400002;57,5;58,330002;2460300;50,554287
2011-01-05;58,110001;58,540001;57,98;58,48;2508400;50,68428
2011-01-06;58,41;59,68;58,279999;59,52;2276000;51,585648
2011-01-07;59,669998;60,529999;59,490002;60,459999;3249500;52,400345
2011-01-10;60,049999;61,59;59,849998;61,130001;3324500;52,981033
2011-01-11;61,240002;62,209999;61,16;61,869999;2738600;53,622372
2011-01-12;62,32;62,34;61,450001;61,93;1889200;53,674385
2011-01-13;62,02;62,259998;61,509998;61,810001;2336200;53,570374
2011-01-14;62,07;63,849998;61,810001;63,549999;3461000;55,078423
2011-01-18;63,630001;63,630001;62,610001;62,970001;2919700;54,575741
2011-01-19;63,060001;63,060001;61,529999;62,060001;2735300;53,787048
2011-01-20;62,290001;62,66;61,139999;61,560001;2745700;53,353695
2011-01-21;62;62,25;61,360001;61,450001;2947900;53,258366
2011-01-24;61,57;61,939999;60,759998;60,990002;2770400;52,859692
2011-01-25;60,82;62,240002;60,689999;61,700001;3373600;53,475033
2011-01-26;60,75;63,48;60,32;62,549999;5342800;54,211735
2011-01-27;62,57;64,970001;62,5;64,360001;4523500;55,780457
2011-01-28;64,300003;64,300003;62,419998;62,66;2571300;54,307064
2011-01-31;62,759998;63,380001;61,610001;62,119999;4127200;53,839054
2011-02-01;62,66;63,98;62,380001;63,75;3078200;55,25177
2011-02-02;63,599998;64,629997;63,349998;64,480003;2814400;55,884453
2011-02-03;64,269997;65,5;62,740002;64,389999;4150800;55,806435
2011-02-04;66,110001;67,300003;64,269997;65,07;4727000;56,395794
