"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;38,450001;38,5;37,810001;37,939999;3407100;33,65546
2010-01-05;37,720001;37,849998;37,509998;37,700001;4986100;33,442551
2010-01-06;37,75;37,790001;37,5;37,689999;1816600;33,433685
2010-01-07;37,82;37,82;37,459999;37,580002;1740900;33,336117
2010-01-08;37,529999;37,889999;37,349998;37,889999;1980600;33,611099
2010-01-11;38,099998;38,200001;37,880001;38,049999;1444800;33,75304
2010-01-12;38;38,200001;37,849998;37,990002;1444100;33,699814
2010-01-13;38;38,25;37,75;38,060001;910400;33,761894
2010-01-14;37,880001;37,880001;37,5;37,759998;1553500;33,495785
2010-01-15;37,529999;37,779999;37,389999;37,560001;3660800;33,318378
2010-01-19;37,57;38;37,330002;37,830002;1270800;33,557884
2010-01-20;37,450001;38,200001;37,400002;38,09;2593900;33,788509
2010-01-21;38,009998;38,459999;37,900002;38,200001;2212900;33,886089
2010-01-22;38,27;38,830002;38,25;38,529999;2752500;34,178844
2010-01-25;38,849998;39,07;38,68;38,93;1833900;34,533657
2010-01-26;38,790001;39,290001;38,790001;39,040001;2105200;34,631237
2010-01-27;39,220001;39,259998;38,779999;39,18;2135300;34,755421
2010-01-28;39,25;39,25;38,869999;39,02;2735000;34,746525
2010-01-29;39,02;39,189999;38,799999;38,900002;2207700;34,63966
2010-02-01;39,099998;39,27;38,599998;38,790001;3274100;34,541698
2010-02-02;38,790001;39,459999;38,610001;39,459999;1497800;35,138332
2010-02-03;39,310001;39,5;39,139999;39,310001;1314800;35,004757
2010-02-04;38,990002;39,189999;38,450001;38,810001;2819900;34,559513
2010-02-05;38,880001;39,889999;38,720001;39,709999;5676000;35,360947
2010-02-08;39,68;40,049999;39,48;39,650002;2752500;35,307529
2010-02-09;39,919998;40,029999;39,610001;39,830002;1764500;35,467815
2010-02-10;39,779999;39,959999;39,419998;39,639999;1287100;35,298615
2010-02-11;39,529999;39,720001;39,18;39,41;1359700;35,0938
2010-02-12;39,16;39,880001;39,16;39,810001;2295400;35,449993
2010-02-16;40,029999;40,09;39,439999;39,900002;1358600;35,530144
2010-02-17;40,060001;40,509998;39,490002;40,279999;1909500;35,868523
2010-02-18;40,060001;40,5;40,060001;40,27;1394900;35,859631
2010-02-19;40,259998;40,700001;40;40,57;1829300;36,126774
2010-02-22;40,529999;40,599998;40,349998;40,459999;1147600;36,028816
2010-02-23;40,470001;40,799999;40,25;40,59;1739100;36,144566
2010-02-24;40,689999;40,93;40,369999;40,740002;1544300;36,278126
2010-02-25;40,43;41,040001;40,290001;40,990002;1621800;36,500763
2010-02-26;41,049999;41,130001;40,869999;40,939999;1446300;36,456226
2010-03-01;40,830002;41,07;40,740002;40,98;994600;36,491852
