"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;7,295;7,48;7,261667;7,435;1104400;5,172473
2010-01-05;7,431667;7,431667;7,308333;7,34;1207200;5,106382
2010-01-06;7,335;7,405;7,301667;7,343333;662800;5,108703
2010-01-07;7,356667;7,425;7,311666;7,365;564000;5,123775
2010-01-08;7,331666;7,485;7,311666;7,473333;504400;5,199142
2010-01-11;7,491667;7,498333;7,406667;7,438334;564400;5,174792
2010-01-12;7,393333;7,453333;7,286667;7,386667;486400;5,138849
2010-01-13;7,405;7,433333;7,281667;7,345;675600;5,109861
2010-01-14;7,341667;7,475;7,341667;7,38;520000;5,134212
2010-01-15;7,408333;7,408333;7,176667;7,323333;694000;5,094788
2010-01-19;7,35;7,493333;7,35;7,451667;740800;5,184069
2010-01-20;7,415;7,515;7,303333;7,493333;1063600;5,213055
2010-01-21;7,49;7,52;7,146667;7,236667;1091200;5,034496
2010-01-22;7,228333;7,29;7,12;7,156667;1195200;4,978839
2010-01-25;7,196667;7,285;7,091667;7,141667;1794000;4,968403
2010-01-26;7,418334;7,418334;7,011667;7,065;1850400;4,915068
2010-01-27;7,198333;7,338333;7,016667;7,301667;2554800;5,223899
2010-01-28;7,338333;7,353333;7,138333;7,193333;1046400;5,146393
2010-01-29;7,211667;7,291667;7,086667;7,096667;986800;5,077233
2010-02-01;7,093333;7,166667;7,058333;7,083333;1291600;5,067695
2010-02-02;7,083333;7,166667;7,04;7,093333;1066000;5,074849
2010-02-03;7,05;7,166667;7,05;7,108333;427200;5,085581
2010-02-04;7,06;7,078333;6,881667;6,91;798000;4,943686
2010-02-05;6,913333;7,066667;6,848333;6,948333;1509600;4,971111
2010-02-08;6,993333;7,093333;6,871666;6,99;953200;5,00092
2010-02-09;7,083333;7,225;7,048333;7,165;1026400;5,126121
2010-02-10;7,125;7,196667;7,078333;7,141667;1363200;5,109429
2010-02-11;7,115;7,326667;7,05;7,266667;948000;5,198859
2010-02-12;7,215;7,408333;7,181667;7,316667;1018000;5,23463
2010-02-16;7,358333;7,411667;7,301667;7,328333;972000;5,242977
2010-02-17;7,333333;7,358333;7,258333;7,28;925600;5,208399
2010-02-18;7,288333;7,418334;7,288333;7,415;749200;5,304983
2010-02-19;7,418334;7,548333;7,4;7,446667;1224000;5,327638
2010-02-22;7,476666;7,5;7,403333;7,488333;668400;5,357449
2010-02-23;7,498333;7,498333;7,405;7,428333;1189200;5,314521
2010-02-24;7,465;7,538333;7,453333;7,538333;1102800;5,393221
2010-02-25;7,44;7,541667;7,381667;7,541667;730000;5,395605
2010-02-26;7,541667;7,588333;7,485;7,55;2046000;5,401566
2010-03-01;7,591667;7,803333;7,59;7,65;2423200;5,47311
2010-03-02;7,798333;7,94;7,783333;7,856667;3206800;5,620968
2010-03-03;7,895;7,965;7,858333;7,901667;1667200;5,653163
2010-03-04;7,863333;7,92;7,856667;7,901667;1356400;5,653163
2010-03-05;7,926667;7,965;7,895;7,963333;1378000;5,697281
2010-03-08;7,95;7,985;7,846667;7,901667;636000;5,653163
2010-03-09;7,866667;7,961667;7,828333;7,926667;727600;5,671048
2010-03-10;7,908333;7,968333;7,88;7,943333;598000;5,682973
2010-03-11;7,905;8,073334;7,886667;8,058333;1338400;5,765247
2010-03-12;8,065;8,093333;7,956666;8,093333;478000;5,790288
2010-03-15;8,101666;8,238334;8,071667;8,216666;1840000;5,878526
2010-03-16;8,263333;8,405;8,225;8,26;1503600;5,909528
2010-03-17;8,296667;8,398334;8,261666;8,3;993600;5,938146
2010-03-18;8,275;8,316667;8,208333;8,275;601600;5,92026
2010-03-19;8,19;8,32;8,156667;8,19;1117200;5,859447
2010-03-22;8,148334;8,32;8,106667;8,313334;1345600;5,947685
2010-03-23;8,633333;8,893333;8,601666;8,753333;4684000;6,262477
2010-03-24;8,805;8,805;8,651667;8,71;1651600;6,231477
2010-03-25;8,746667;8,921667;8,568334;8,57;1921200;6,131314
2010-03-26;8,62;8,7;8,521667;8,566667;1320000;6,12893
2010-03-29;8,731667;8,9;8,636666;8,666667;2083600;6,200476
2010-03-30;8,678333;8,83;8,678333;8,785;1376800;6,285135
2010-03-31;8,788333;8,87;8,751667;8,761666;1830400;6,268441
2010-04-01;8,788333;8,838333;8,696667;8,753333;1438000;6,262477
2010-04-05;8,815;8,956667;8,773334;8,956667;1413600;6,40795
2010-04-06;8,888333;9,04;8,858334;8,988334;1264800;6,430606
2010-04-07;8,951667;9,025;8,891666;8,926666;1710400;6,386486
2010-04-08;8,873333;9,05;8,863334;9,031667;1125600;6,46161
2010-04-09;9,033334;9,141666;9,006667;9,115;1201200;6,521229
2010-04-12;9,145;9,145;9,028334;9,046667;1021200;6,472341
2010-04-13;9,046667;9,295;9;9,291667;1671600;6,647622
2010-04-14;9,365;9,44;9,3;9,431666;1394400;6,747786
2010-04-15;9,298333;9,375;9,251667;9,341666;1565200;6,683393
2010-04-16;9,32;9,343333;9,203333;9,333333;2661600;6,677433
2010-04-19;9,283334;9,331667;9,136666;9,305;2622400;6,65716
2010-04-20;8,9;8,956667;8,533334;8,66;4859200;6,195705
2010-04-21;8,66;8,743333;8,586667;8,676666;3232800;6,207629
2010-04-22;8,666667;8,833333;8,56;8,811666;1490400;6,304212
2010-04-23;8,861667;8,883333;8,803333;8,866667;1396000;6,343561
2010-04-26;8,885;9,031667;8,826667;8,836667;1042800;6,322099
2010-04-27;8,813334;8,953333;8,731667;8,756667;1837600;6,264863
