"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;75,957443;77,021278;75,587418;76,928772;1131400;57,95192
2010-01-05;76,688255;76,928772;75,763184;76,290474;790100;57,471073
2010-01-06;75,85569;76,484734;75,393158;75,661423;1248600;56,997208
2010-01-07;75,679924;75,920441;74,810364;75,226639;1514400;56,66967
2010-01-08;75,060127;76,059204;74,884369;75,70768;1244800;57,032036
2010-01-11;76,484734;77,289543;76,105461;77,095284;1197600;58,077358
2010-01-12;76,244217;76,95652;75,633675;76,114708;949100;57,33868
2010-01-13;76,207214;76,882515;75,633675;76,873268;874600;57,910107
2010-01-14;76,743759;77,520813;75,679924;75,920441;663400;57,192333
2010-01-15;76,068459;76,743759;75,809433;76,567993;1542200;57,680145
2010-01-19;76,734505;76,817764;75,846436;76,392227;1415100;57,547726
2010-01-20;75,85569;75,85569;75,041626;75,374657;1315100;56,78117
2010-01-21;75,24514;76,142464;73,829788;73,876038;1546800;55,652229
2010-01-22;73,876038;74,819611;72,127663;72,220169;1953400;54,404812
2010-01-25;73,163734;74,875114;73,163734;74,246071;1942000;55,930981
2010-01-26;73,515266;75,004623;73,080482;73,61702;1482200;55,457111
2010-01-27;73,61702;74,236816;71,90564;72,950974;1842200;54,955364
2010-01-28;73,283997;73,524513;71,165588;71,267342;1456500;53,68705
2010-01-29;71,369102;71,776131;70,222015;70,268272;2528100;52,934425
2010-02-01;70,90657;71,304344;69,685478;71,054581;2507200;53,526764
2010-02-02;71,091583;71,822388;70,305275;70,878815;1597300;53,39436
2010-02-03;70,508789;71,202591;70,027756;70,481033;1322600;53,094723
2010-02-04;69,861237;70,268272;68,14061;68,168365;1612400;51,352524
2010-02-05;62,580944;63,987049;60,175762;63,496761;10094300;47,833321
2010-02-08;63,561516;64,930618;62,923218;63,228493;3684300;47,631233
2010-02-09;62,802959;63,691029;62,414433;62,858463;4046300;47,352486
2010-02-10;63,922295;63,922295;62,062904;63,108234;4041300;47,540649
2010-02-11;63,200741;63,913044;62,442184;63,274746;3649100;47,666077
2010-02-12;62,599445;64,024055;61,979649;63,395004;3714400;47,756683
