"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,504999;23,504999;22,955;22,969999;2457200;20,82267
2010-01-05;22,934999;23,049999;22,42;22,49;2705400;20,38755
2010-01-06;22,52;22,764999;22,445;22,575001;1664400;20,464598
2010-01-07;22,495001;22,620001;22,35;22,424999;1377600;20,328613
2010-01-08;22,325001;22,59;22,25;22,59;1346800;20,478193
2010-01-11;22,719999;22,77;22,299999;22,645;1635200;20,528057
2010-01-12;22,385;22,469999;21,860001;22,15;3822400;20,079321
2010-01-13;22,190001;22,549999;22,025;22,5;1200000;20,396601
2010-01-14;22,49;22,75;22,42;22,645;1983800;20,528057
2010-01-15;22,51;22,555;21,84;21,92;2166000;19,870827
2010-01-19;21,915001;22,055;21,719999;22,040001;2071000;19,979612
2010-01-20;21,905001;22,135;21,67;22,049999;2366400;19,988676
2010-01-21;22,285;22,74;21,215;21,25;6785400;19,263462
2010-01-22;21,110001;21,25;20,254999;20,27;3938800;18,375076
2010-01-25;20,49;20,57;20,15;20,424999;2572800;18,515585
2010-01-26;20,25;20,795;20,129999;20,6;3938000;18,674229
2010-01-27;20,5;20,625;20,01;20,395;3627000;18,48839
2010-01-28;20,41;20,530001;19,809999;20,01;2168200;18,13938
2010-01-29;20,200001;20,344999;19,885;19,92;3747200;18,057796
2010-02-01;20,084999;20,355;20,01;20,285;2225000;18,388676
2010-02-02;20,365;20,375;20,030001;20,285;1866200;18,388676
2010-02-03;20,225;20,475;20,145;20,215;997600;18,325222
2010-02-04;20,01;20,01;19,254999;19,26;2197800;17,459501
2010-02-05;19,25;19,450001;18,889999;19,43;3104200;17,6136
2010-02-08;19,389999;19,844999;19,264999;19,48;2270000;17,65893
2010-02-09;19,725;19,955;19,49;19,809999;1745800;17,95808
2010-02-10;19,75;19,860001;19,385;19,775;1571600;17,926353
2010-02-11;19,764999;20,035;19,395;20,030001;2128600;18,157513
2010-02-12;19,85;20,025;19,530001;19,940001;1399800;18,075928
2010-02-16;20,18;20,684999;20,004999;20,65;2322800;18,719557
2010-02-17;20,745001;20,945;20,59;20,844999;1552800;18,896326
2010-02-18;20,795;21,045;20,725;20,98;2145200;19,018703
2010-02-19;21,545;21,809999;21,155001;21,395;3459400;19,394907
2010-02-22;21,450001;21,450001;20,844999;20,879999;2312400;18,928057
2010-02-23;20,870001;21,045;20,549999;20,615;1628800;18,687822
2010-02-24;20,66;20,860001;20,530001;20,815001;1810600;18,869129
2010-02-25;20,41;20,780001;20,155001;20,735001;1925600;18,7966
2010-02-26;20,67;20,870001;20,504999;20,825001;1382400;18,878197
2010-03-01;21,01;21,285;21,01;21,25;1363400;19,263462
2010-03-02;21,325001;21,48;21,115;21,219999;2178800;19,236261
2010-03-03;21,25;21,85;21,23;21,775;2917400;19,739388
2010-03-04;21,754999;21,790001;21,465;21,625;1935800;19,603409
2010-03-05;21,719999;22,01;21,719999;21,955;2980200;19,902555
2010-03-08;21,985001;22,07;21,855;21,879999;2404200;19,834568
2010-03-09;21,844999;22,24;21,754999;22,145;2002000;20,074795
2010-03-10;22,195;22,605;22,190001;22,57;2428800;20,460058
2010-03-11;22,445;22,540001;22,094999;22,165001;7145400;20,092922
2010-03-12;22,195;22,225;21,995001;22,075001;4472200;20,011337
2010-03-15;21,995001;22,190001;21,9;21,945;2167000;19,907017
2010-03-16;21,965;22,190001;21,965;22,190001;2481200;20,129261
2010-03-17;22,209999;22,450001;22,18;22,285;4379200;20,215441
