"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;29,5;29,82;29,370001;29,52;442700;21,479414
2010-01-05;29,58;29,629999;29,07;29,209999;527700;21,253851
2010-01-06;29,23;29,34;29,08;29,219999;272600;21,261129
2010-01-07;29,120001;29,290001;28,82;28,940001;286500;21,057398
2010-01-08;28,639999;28,85;28,02;28,459999;524800;20,708139
2010-01-11;28,4;28,639999;28,360001;28,629999;249000;20,831835
2010-01-12;28,559999;28,74;28,459999;28,620001;315000;20,824554
2010-01-13;28,73;28,889999;28,440001;28,870001;268600;21,006466
2010-01-14;28,709999;29,02;28,709999;28,889999;302300;21,021017
2010-01-15;28,790001;28,9;28,26;28,66;346300;20,853659
2010-01-19;28,75;29,139999;28,709999;29,1;242200;21,173819
2010-01-20;28,9;29;28,58;28,85;238400;20,991913
2010-01-21;28,950001;29,139999;28,219999;28,549999;449700;20,773621
2010-01-22;28,459999;28,690001;28,1;28,129999;346300;20,468021
2010-01-25;28,360001;28,620001;28,08;28,43;331200;20,686308
2010-01-26;28,450001;28,549999;28,1;28,27;226700;20,569889
2010-01-27;28,200001;28,26;27,76;28,040001;242300;20,402534
2010-01-28;28,15;28,219999;27,879999;28,02;260400;20,387985
2010-01-29;28;28,24;27,6;27,620001;453900;20,096935
2010-02-01;27,799999;27,83;27,43;27,6;665400;20,082382
2010-02-02;27,6;27,799999;27,389999;27,67;723100;20,133316
2010-02-03;27,23;27,709999;27,18;27,610001;525000;20,089657
2010-02-04;27,52;27,68;27,309999;27,360001;491700;19,907755
2010-02-05;27,43;27,540001;26,780001;27,26;383500;19,834991
2010-02-08;27,26;27,26;26,700001;26,700001;447600;19,427523
2010-02-09;26,91;26,91;26,459999;26,76;769400;19,471184
2010-02-10;26,709999;26,799999;26,4;26,52;326600;19,296553
2010-02-11;26,549999;26,959999;26,33;26,950001;239500;19,609423
2010-02-12;26,809999;27;26,530001;26,99;375700;19,638536
2010-02-16;27,1;27,26;27,02;27,219999;440800;19,805882
2010-02-17;27,27;27,4;27,18;27,4;382200;19,936857
2010-02-18;27,33;27,610001;27,190001;27,379999;458900;19,922308
2010-02-19;27,389999;27,82;27,290001;27,780001;406200;20,213356
2010-02-22;27,9;28,190001;27,82;28;373400;20,37343
2010-02-23;27,73;27,73;27,33;27,48;441800;20,237188
2010-02-24;27,59;27,77;27,200001;27,42;399900;20,193005
2010-02-25;27,15;27,459999;27,040001;27,33;326600;20,126722
2010-02-26;27,459999;27,549999;27,059999;27,459999;487800;20,222473
2010-03-01;27,57;28,07;27,48;27,93;443900;20,56859
2010-03-02;28,02;28,059999;27,809999;28,049999;281700;20,65696
2010-03-03;28,030001;28,309999;28,02;28,299999;376600;20,841064
2010-03-04;28,360001;28,469999;28,16;28,25;321400;20,804241
2010-03-05;28,42;28,68;28,290001;28,6;327100;21,061996
2010-03-08;28,549999;28,709999;28,389999;28,610001;224000;21,069365
2010-03-09;28,51;28,629999;28,27;28,450001;381800;20,951532
2010-03-10;28,5;28,639999;28,24;28,639999;388500;21,091455
2010-03-11;28,620001;28,77;28,469999;28,719999;223900;21,15037
2010-03-12;28,860001;28,969999;28,58;28,799999;373200;21,209286
2010-03-15;28,700001;28,9;28,549999;28,799999;188000;21,209286
2010-03-16;28,809999;28,969999;28,709999;28,91;169300;21,290297
2010-03-17;28,91;29,17;28,91;29,07;210600;21,408123
2010-03-18;28,99;29,24;28,959999;29,02;135600;21,371302
2010-03-19;28,950001;29,190001;28,690001;28,950001;425200;21,319757
2010-03-22;28,85;29,040001;28,719999;28,950001;225500;21,319757
2010-03-23;28,940001;29,049999;28,77;28,99;240600;21,349201
2010-03-24;28,93;29,09;28,809999;28,83;297300;21,231379
2010-03-25;29,059999;29,059999;28,370001;28,379999;244100;20,899981
