"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;25,41;25,700001;25,299999;25,629999;14376100;18,489267
2010-01-05;25,51;25,549999;25,01;25,23;16973600;18,200708
2010-01-06;25,17;25,290001;25,07;25,219999;15528900;18,193501
2010-01-07;25,18;25,41;25,1;25,24;15761700;18,20793
2010-01-08;25,299999;25,34;24,719999;24,82;18730800;17,90494
2010-01-11;24,940001;25,110001;24,860001;25,08;14106100;18,092501
2010-01-12;25,01;25,200001;24,709999;24,809999;11940500;17,897724
2010-01-13;24,790001;25,08;24,700001;24,99;14428100;18,027578
2010-01-14;25,02;25,110001;24,879999;25,049999;11354600;18,070866
2010-01-15;25,049999;25,18;24,9;25,07;13449500;18,085283
2010-01-19;25,110001;26;25,07;25,65;19370400;18,503695
2010-01-20;25,450001;25,879999;25,190001;25,459999;16368400;18,366627
2010-01-21;25,42;25,639999;24,889999;24,950001;16776800;17,998718
2010-01-22;24,98;25,049999;24,5;24,6;15945500;17,746231
2010-01-25;24,74;24,809999;24,299999;24,33;11292200;17,55146
2010-01-26;24,27;24,370001;23,5;24,299999;13539300;17,529814
2010-01-27;24,280001;24,41;24,08;24,299999;12404200;17,529814
2010-01-28;24,629999;24,82;24,1;24,1;18705200;17,385542
2010-01-29;24,139999;24,620001;23,959999;24,360001;20525500;17,573101
2010-02-01;24,77;24,77;24,23;24,379999;15287600;17,587524
2010-02-02;24,370001;24,799999;24,139999;24,780001;9867000;17,876081
2010-02-03;24,67;24,719999;24,32;24,5;8116200;17,674095
2010-02-04;24,309999;24,51;23,9;23,99;16693900;17,306189
2010-02-05;23,940001;24,08;23,49;23,969999;15208300;17,291758
2010-02-08;23,91;24,299999;23,76;23,959999;12496000;17,284542
2010-02-09;24,1;24,41;23,9;24,25;9906600;17,493748
2010-02-10;24,27;24,27;23,76;23,92;10597500;17,255688
2010-02-11;23,85;23,98;23,57;23,889999;11005400;17,234047
2010-02-12;23,76;24;23,549999;23,91;9663100;17,248482
2010-02-16;24,030001;24,280001;23,860001;24,209999;10274500;17,464893
2010-02-17;24,33;24,639999;24,290001;24,51;9011200;17,681309
2010-02-18;24,51;24,879999;24,42;24,84;11287500;17,919367
2010-02-19;24,780001;25,01;24,66;24,950001;10744300;17,998718
2010-02-22;24,950001;24,98;24,440001;24,68;8655000;17,803946
