"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;16,725;17,014999;16,715;16,889999;1286000;15,392982
2010-01-05;16,889999;17,77;16,865;17,695;2654000;16,126629
2010-01-06;17,695;18,389999;17,65;18,344999;4171000;16,719019
2010-01-07;18,25;18,635;18,030001;18,594999;2592200;16,946857
2010-01-08;18,49;18,594999;18,200001;18,254999;2500600;16,636997
2010-01-11;18,405001;18,52;18,115;18,225;2885200;16,609652
2010-01-12;18,120001;18,295;17,705;17,754999;3873200;16,181311
2010-01-13;17,809999;18;17,700001;17,879999;3943800;16,295231
2010-01-14;17,879999;19,040001;17,85;18,940001;4483800;17,261284
2010-01-15;18,99;19,18;18,445;18,674999;3369600;17,019768
2010-01-19;18,690001;18,959999;18,530001;18,84;2778000;17,170143
2010-01-20;18,57;18,65;18,405001;18,584999;1999400;16,937746
2010-01-21;18,655001;18,915001;18,280001;18,42;3701400;16,787369
2010-01-22;18,465;18,735001;18,165001;18,235001;2183800;16,618769
2010-01-25;18,375;18,950001;18,165001;18,514999;2195800;16,873951
2010-01-26;18,465;18,68;18,09;18,115;1936200;16,509403
2010-01-27;17,98;18,115;17,184999;17,629999;3824800;16,06739
2010-01-28;17,674999;17,76;16,995001;17,200001;3062000;15,675502
2010-01-29;17,225;17,995001;17,225;17,545;4052400;15,989922
2010-02-01;17,645;17,98;17,584999;17,950001;2172200;16,359034
2010-02-02;17,924999;18,23;17,674999;18,110001;2000400;16,504848
2010-02-03;18;18,715;18;18,525;2900200;16,883068
2010-02-04;18,305;18,305;17,655001;17,66;1750800;16,094732
2010-02-05;17,615;17,66;16,934999;17,355;3925800;15,816765
2010-02-08;17,445;17,945;17,290001;17,68;2833400;16,112959
2010-02-09;17,92;18,344999;17,75;17,985001;5739000;16,390932
2010-02-10;17,875;18,299999;17,684999;18,115;3087600;16,509403
2010-02-11;18,424999;18,49;17,725;17,83;4811400;16,249664
2010-02-12;17,625;18,325001;17,625;18,32;3554600;16,696234
2010-02-16;18,559999;18,615;18,305;18,51;2195000;16,869396
2010-02-17;18,620001;18,85;18,52;18,594999;2330200;16,946857
