"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;32,240002;32,66;31,9;32,529999;3824400;25,021994
2010-01-05;32,419998;32,599998;32,150002;32,240002;3023700;24,798933
2010-01-06;32,380001;32,380001;31,58;31,709999;3856700;24,391251
2010-01-07;31,700001;32,049999;31,42;31,700001;4737900;24,383566
2010-01-08;31,709999;31,860001;31,48;31,6;3845300;24,306643
2010-01-11;31,6;32,32;31,6;32,02;7568300;24,629704
2010-01-12;32,060001;32,060001;31,67;31,83;3763900;24,483559
2010-01-13;31,950001;32,139999;31,91;32,009998;4807100;24,622015
2010-01-14;32,110001;32,669998;31,889999;32,619999;5296300;25,091227
2010-01-15;32,619999;32,619999;32,209999;32,34;2658200;24,875851
2010-01-19;32,450001;33,16;32,439999;33,080002;2339500;25,445059
2010-01-20;33;33,279999;32,52;32,82;3379900;25,245062
2010-01-21;32,740002;32,799999;31,610001;32,029999;4779800;24,637396
2010-01-22;31,719999;32,310001;31,719999;31,969999;6572600;24,591244
2010-01-25;32,279999;32,580002;32,130001;32,209999;4386700;24,77586
2010-01-26;32,200001;32,59;31,92;32,389999;3512800;24,91431
2010-01-27;32,41;32,41;31,299999;31,309999;7319900;24,083572
2010-01-28;33;33,52;32,5;32,91;10174100;25,314295
2010-01-29;33,709999;33,799999;33,029999;33,07;5745500;25,437363
2010-02-01;33,18;33,66;32,790001;33,66;4374000;25,891191
2010-02-02;33,77;34,419998;33,669998;34,25;5154800;26,345015
2010-02-03;34,169998;34,189999;33,5;33,709999;3034400;25,929647
2010-02-04;33,689999;33,689999;32,549999;32,599998;5343600;25,075844
2010-02-05;32,279999;32,490002;31,889999;32,470001;4211400;24,975853
2010-02-08;32,369999;32,639999;32,209999;32,259998;2807400;24,81431
2010-02-09;32,490002;32,93;32,360001;32,639999;2386500;25,106609
2010-02-10;32,540001;32,59;32,02;32,16;2786500;24,737391
2010-02-11;33,080002;33,360001;32,549999;33,25;4564100;25,575817
2010-02-12;33,060001;33,459999;32,700001;33,380001;3679300;25,675817
2010-02-16;33,610001;33,669998;33,189999;33,540001;3826700;25,798887
2010-02-17;33,689999;33,799999;33,209999;33,75;3148300;25,960421
2010-02-18;33,740002;33,970001;33,650002;33,77;2594800;25,9758
2010-02-19;33,650002;33,869999;33,400002;33,830002;3120100;26,021959
2010-02-22;33,950001;33,950001;33,419998;33,669998;2610100;25,898884
2010-02-23;33,529999;33,619999;32,919998;32,990002;3072900;25,375828
2010-02-24;33,209999;33,43;33;33,259998;3648300;25,583509
2010-02-25;33,029999;33,68;32,77;33,610001;4928100;25,852722
2010-02-26;33,689999;34,200001;33,650002;33,970001;4734400;26,129646
2010-03-01;34,049999;35,080002;33,970001;35,07;5589000;26,975754
2010-03-02;35,150002;35,720001;35,150002;35,549999;5199600;27,344971
2010-03-03;35,580002;35,689999;35;35,16;4602600;27,044987
2010-03-04;35,23;35,450001;35,040001;35,240002;2886000;27,106531
2010-03-05;35,389999;35,639999;35,299999;35,5;3365000;27,306515
2010-03-08;35,540001;35,610001;35,240002;35,299999;2136600;27,152676
2010-03-09;35,41;35,41;35,07;35,200001;2150700;27,07575
2010-03-10;35,16;35,259998;34,849998;35,02;3478900;26,937292
2010-03-11;35,009998;35,110001;34,650002;34,990002;4465700;26,914223
2010-03-12;35,139999;35,279999;34,75;34,91;2339300;26,852684
2010-03-15;34,759998;35,459999;34,759998;35,43;2743600;27,252678
2010-03-16;35,43;35,549999;35,259998;35,32;2983100;27,168062
2010-03-17;35,5;35,610001;35,32;35,490002;2664300;27,298828
2010-03-18;35,77;36;35,32;35,549999;4137800;27,344971
2010-03-19;35,849998;36;35,580002;35,849998;5030700;27,575733
2010-03-22;35,549999;36,349998;35,529999;36,189999;2730400;27,837257
2010-03-23;36,299999;36,330002;35,959999;36,259998;2451600;27,891109
2010-03-24;36,200001;36,34;35,77;35,790001;2840400;27,529581
2010-03-25;36,130001;36,240002;35,75;35,75;2736000;27,498821
2010-03-26;35,799999;36;35,290001;35,419998;2577400;27,244974
2010-03-29;35,549999;36,16;35,48;36,07;1988900;27,744961
2010-03-30;36,02;36,549999;35,950001;36,450001;2668600;28,173941
2010-03-31;36,419998;36,450001;35,950001;36,029999;3133500;27,849304
2010-04-01;36,130001;36,290001;35,970001;36,279999;2865600;28,042543
2010-04-05;36,48;36,59;36,27;36,330002;1981400;28,08119
2010-04-06;36,240002;36,310001;35,82;36,099998;2251400;27,903412
2010-04-07;35,970001;35,990002;35,490002;35,68;2388700;27,578773
2010-04-08;35,57;36,029999;35,509998;35,919998;2840800;27,76428
2010-04-09;35,98;36,470001;35,93;36,450001;2240700;28,173941
2010-04-12;36,580002;36,580002;35,77;35,959999;2856500;27,795204
2010-04-13;35,810001;35,939999;35,630001;35,93;2814000;27,772018
2010-04-14;35,869999;35,869999;35,419998;35,57;2354100;27,493761
2010-04-15;35,59;35,93;35,48;35,68;2044600;27,578773
2010-04-16;35,130001;35,419998;34,779999;35,07;4344500;27,107271
2010-04-19;35,009998;35,209999;34,860001;35,139999;2742700;27,161381
2010-04-20;35,34;35,970001;35,34;35,869999;2371500;27,725634
2010-04-21;35,900002;35,939999;35,470001;35,57;2812700;27,493761
2010-04-22;35,43;36,040001;35,310001;35,939999;3653200;27,779749
2010-04-23;35,990002;36,290001;35,700001;36,200001;2325900;27,980711
2010-04-26;36,189999;36,66;36,07;36,25;2856300;28,019356
2010-04-27;36,049999;36,540001;35,630001;35,700001;3382500;27,594227
2010-04-28;35,880001;36,400002;35,540001;36,290001;5370100;28,050268
2010-04-29;36,119999;36,389999;35,5;35,650002;5164200;27,555582
2010-04-30;35,66;35,790001;34,599998;34,689999;5017500;26,81356
2010-05-03;34,689999;35,360001;34,560001;35,34;3671000;27,315966
2010-05-04;34,990002;35,369999;34,689999;34,869999;2977700;26,952686
2010-05-05;34,619999;35,799999;34,619999;35,779999;5171800;27,656067
2010-05-06;35,740002;35,790001;32,360001;34,419998;4634200;26,604862
2010-05-07;34,509998;34,509998;33,240002;33,790001;4205000;26,117899
2010-05-10;35,299999;35,580002;34,59;34,959999;3766400;27,022247
2010-05-11;34,68;35,389999;34,630001;35,029999;3041200;27,076353
2010-05-12;35,040001;35,349998;34,77;35,349998;2705300;27,3237
2010-05-13;35,18;35,41;34,639999;34,66;4936600;26,790373
2010-05-14;34,549999;34,77;33,68;33,82;4802800;26,14109
2010-05-17;33,849998;34,209999;33,439999;34,119999;3474400;26,372982
2010-05-18;34,259998;34,77;34,119999;34,330002;3923000;26,535299
2010-05-19;34,23;34,450001;33,849998;34,139999;2962400;26,388433
2010-05-20;33,48;33,630001;32,900002;32,93;3204200;25,453169
2010-05-21;32,5;33,459999;32,150002;33,209999;5476400;25,669598
2010-05-24;32,970001;33,310001;32,650002;32,880001;2883800;25,41452
2010-05-25;32,27;32,830002;31,77;32,810001;4753800;25,360422
2010-05-26;32,869999;33,369999;32,689999;32,799999;3109800;25,352688
2010-05-27;33,32;33,66;33,07;33,66;2287800;26,01742
2010-05-28;33,619999;34,779999;33,610001;34,490002;5076900;26,658974
2010-06-01;34,209999;34,650002;33,799999;33,91;4334100;26,210655
