"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;50,400002;50,73;49,139999;49,27;2670300;34,148804
2010-01-05;48,619999;49,060001;47,689999;48,16;9280400;33,379475
2010-01-06;48,200001;48,41;47,48;47,5;5479100;32,922039
2010-01-07;47,700001;47,959999;47,32;47,77;7213100;33,109165
2010-01-08;47,759998;47,880001;47,32;47,5;2484200;32,922039
2010-01-11;47,619999;48,099998;47,09;48,009998;3899100;33,27552
2010-01-12;48,209999;48,369999;47,639999;48,110001;3012300;33,34483
2010-01-13;48,299999;48,509998;48,09;48,27;2293900;33,455719
2010-01-14;48,09;48,810001;48,049999;48,73;2444700;33,774544
2010-01-15;48,450001;48,560001;47,919998;48,209999;2105000;33,414143
2010-01-19;48,09;48,959999;48;48,82;2328700;33,836922
2010-01-20;48,389999;48,810001;48,150002;48,740002;1519300;33,781475
2010-01-21;48,869999;48,869999;47,740002;48,41;2192800;33,552757
2010-01-22;48,330002;48,619999;47,810001;47,889999;3630300;33,192352
2010-01-25;48,189999;48,610001;47,990002;48,439999;1607700;33,573536
2010-01-26;48,450001;49,439999;48,439999;48,549999;2622800;33,649788
2010-01-27;48,400002;48,970001;48,220001;48,959999;1325400;33,933952
2010-01-28;49,02;49,139999;48,470001;48,830002;1801400;33,843853
2010-01-29;48,82;49,650002;48,560001;49,27;2832700;34,148804
2010-02-01;49,380001;49,400002;48,860001;49,02;2365100;33,975559
2010-02-02;49,150002;49,650002;48,560001;49,560001;2709900;34,349812
2010-02-03;50,57;50,700001;49,220001;49,66;3324700;34,419117
2010-02-04;49,48;49,889999;47,93;48,130001;5433300;33,358688
2010-02-05;48,34;48,880001;47,349998;48,330002;3492200;33,497303
2010-02-08;48,419998;48,810001;48,150002;48,310001;2172300;33,48344
2010-02-09;48,77;49;48,389999;48,700001;1739700;33,753735
2010-02-10;48,689999;48,939999;48,34;48,790001;1299700;33,816124
2010-02-11;48,869999;49;47,66;48,779999;2167100;33,809185
2010-02-12;48,509998;48,84;48,02;48,810001;2110700;33,830002
2010-02-16;49,200001;49,5;48,23;49,490002;2424700;34,301304
2010-02-17;49,849998;49,939999;49,290001;49,75;2926000;34,481514
2010-02-18;49,34;50,630001;49,040001;50,32;2134500;34,876564
2010-02-19;50,07;50,630001;49,630001;50,389999;1455400;34,925079
2010-02-22;50,32;50,830002;50,25;50,700001;1303700;35,139938
2010-02-23;50,52;50,709999;50,279999;50,290001;1522600;34,85577
2010-02-24;50,07;50,389999;49,849998;50,330002;1892800;34,883492
2010-02-25;49,98;50,419998;49,849998;50,369999;1911400;34,911221
2010-02-26;50,52;50,57;49,849998;49,990002;1979300;34,64785
2010-03-01;50,02;50,509998;49,990002;50,43;1886600;34,952797
2010-03-02;50,5;50,540001;50,259998;50,349998;1422400;34,897366
2010-03-03;50,380001;50,810001;50,009998;50,549999;1273500;35,035973
2010-03-04;50,720001;50,990002;50,169998;50,849998;1196700;35,243904
2010-03-05;50,919998;51,540001;50,599998;51,490002;1462700;35,687485
2010-03-08;51,709999;52,009998;51,380001;51,82;1156700;35,916214
2010-03-09;51,540001;51,549999;50,220001;50,43;3166000;34,952797
2010-03-10;50,5;50,630001;49,68;49,939999;3305900;34,613197
2010-03-11;49,709999;50,34;49,5;50,240002;3273700;34,82111
2010-03-12;50,389999;50,549999;50,049999;50,200001;2362300;34,793404
2010-03-15;49,970001;50,889999;49,900002;50,810001;2724900;35,216187
2010-03-16;50,939999;51,27;50,580002;51,259998;1296900;35,528088
2010-03-17;51,439999;52,029999;51,290001;51,5;2072100;35,953949
2010-03-18;51,369999;51,610001;50,950001;51,52;1485400;35,967911
2010-03-19;52,700001;52,73;51,689999;52,700001;4248300;36,791687
2010-03-22;52,41;52,549999;51,98;52,43;3447700;36,603218
2010-03-23;52,52;52,810001;52,110001;52,790001;2598500;36,854538
2010-03-24;52,82;53,290001;52,490002;52,880001;2009000;36,917362
2010-03-25;53,240002;53,240002;52,650002;52,669998;1706000;36,770763
2010-03-26;52,810001;53,32;52,509998;52,759998;1961500;36,833588
2010-03-29;52,77;52,860001;52,389999;52,689999;1249600;37,00214
2010-03-30;52,759998;52,880001;52,580002;52,610001;1080400;36,945953
2010-03-31;52,59;52,599998;52,209999;52,299999;1563200;36,728249
2010-04-01;52,470001;52,82;52,439999;52,82;1386500;37,093441
2010-04-05;52,450001;53,049999;52,080002;52,560001;1694300;36,910835
2010-04-06;52,650002;52,919998;52,389999;52,73;1585900;37,030212
2010-04-07;52,57;53,66;52,32;53,560001;2215700;37,613098
2010-04-08;53,330002;53,450001;53;53,299999;1413900;37,4305
2010-04-09;53,549999;53,709999;53,220001;53,439999;1669600;37,528824
2010-04-12;53,32;53,470001;52,869999;53,049999;1244400;37,254948
2010-04-13;52,93;53,509998;52,889999;53,400002;1495200;37,500732
2010-04-14;53,639999;53,91;53,459999;53,889999;1598000;37,84486
2010-04-15;53,599998;53,650002;53,220001;53,349998;1584300;37,465626
2010-04-16;53,360001;53,689999;52,5;52,619999;1736000;36,952969
2010-04-19;52,23;52,540001;52,07;52,419998;1903700;36,812519
2010-04-20;52,43;52,720001;51,919998;52,709999;1981200;37,016182
2010-04-21;52,740002;52,869999;52,150002;52,450001;2260700;36,833588
2010-04-22;51,98;52,389999;51,740002;52,200001;2165500;36,658024
2010-04-23;51,959999;53,139999;51,799999;53,130001;2895300;37,311123
2010-04-26;53,189999;53,25;52,630001;52,650002;1882500;36,974033
2010-04-27;52,400002;52,689999;51,970001;52,400002;3024100;36,798485
2010-04-28;53,450001;53,849998;52,950001;53,650002;3427500;37,676311
2010-04-29;52,66;54,169998;52,119999;53,139999;3387600;37,318165
2010-04-30;53,02;53,349998;52,57;53,189999;2459300;37,35326
2010-05-03;53,209999;53,34;52,709999;52,869999;2449400;37,128544
2010-05-04;52,43;52,610001;51,889999;52,080002;1336900;36,573753
2010-05-05;51,599998;52,509998;51,599998;52,259998;1582000;36,700146
2010-05-06;52,130001;52,189999;49,130001;50,619999;2382500;35,548447
2010-05-07;50,5;51,509998;50,130001;50,540001;1854900;35,492268
2010-05-10;51,880001;51,93;51,080002;51,540001;1989300;36,194546
2010-05-11;50,869999;51,790001;50,689999;51,630001;1509700;36,257748
2010-05-12;51,650002;53,880001;51,48;53,790001;4820700;37,774612
2010-05-13;53,439999;54,23;53,439999;53,720001;3071500;37,725464
2010-05-14;53,25;53,549999;52,849998;53,029999;2459900;37,240898
2010-05-17;53,029999;53,41;52,509998;53,310001;2118900;37,437531
2010-05-18;53,549999;53,630001;52,549999;52,75;2259100;37,04427
2010-05-19;52,740002;53,459999;52,240002;52,830002;3380600;37,100452
2010-05-20;52,049999;52,549999;49,959999;49,959999;4088300;35,084957
2010-05-21;49,57;50,040001;49,18;49,939999;4977600;35,070919
2010-05-24;51,18;51,18;49,099998;49,150002;4841400;34,516144
2010-05-25;48,32;48,860001;47,59;48,709999;4534800;34,20713
2010-05-26;49,369999;49,450001;48,330002;48,43;3305800;34,010498
2010-05-27;49,009998;49,810001;48,84;49,810001;2911200;34,97963
2010-05-28;49,790001;49,790001;49,130001;49,16;2552300;34,523151
2010-06-01;49,130001;49,810001;48,529999;48,560001;4609700;34,101795
2010-06-02;48,73;49,330002;48,09;49,330002;3539400;34,642536
2010-06-03;49,310001;50,169998;49,080002;50,09;2327600;35,176254
2010-06-04;49,150002;49,450001;48,259998;48,439999;2655800;34,017513
2010-06-07;48,68;48,98;48,279999;48,490002;2758500;34,052643
2010-06-08;48,549999;49,41;48,009998;49,369999;2790300;34,670631
2010-06-09;49,490002;50,099998;49,02;49,43;3183200;34,712765
2010-06-10;49,939999;50,73;49,93;50,630001;1982700;35,555473
2010-06-11;50,139999;51,369999;50,139999;51,259998;1960200;35,997906
2010-06-14;51,400002;51,830002;50,900002;51,389999;2105900;36,089188
2010-06-15;51,439999;52,450001;51,130001;52,32;1900800;36,742302
2010-06-16;52,049999;52,459999;51,93;52,110001;1577900;36,594845
2010-06-17;52,02;52,580002;51,889999;52,549999;1575000;36,903812
2010-06-18;52,549999;53,290001;52,43;53,080002;2699200;37,276001
2010-06-21;53,889999;53,950001;53,040001;53,360001;1512600;37,472637
2010-06-22;53,240002;54,119999;53,240002;53,5;4685600;37,570961
2010-06-23;53,18;53,439999;52,52;52,880001;3553600;37,394173
2010-06-24;52,57;53,150002;52,450001;52,790001;3706400;37,330524
2010-06-25;53,139999;53,529999;52,110001;53,200001;22405800;37,620457
2010-06-28;53,18;53,720001;52,82;53,380001;3621600;37,747749
2010-06-29;52,790001;52,950001;51,509998;51,77;3985700;36,609234
2010-06-30;51,889999;52,330002;51,419998;51,48;3020200;36,404152
2010-07-01;51,5;51,790001;50,580002;51,200001;2326800;36,206158
2010-07-02;51,5;51,73;50,619999;50,830002;2324600;35,944504
2010-07-06;51,459999;51,740002;50,439999;50,860001;2991700;35,965736
2010-07-07;51,59;51,889999;50,830002;51,889999;3317100;36,694088
2010-07-08;52,02;52,290001;51,68;52,220001;2170900;36,927452
2010-07-09;55,450001;55,66;54,580002;54,689999;18243500;38,674118
2010-07-12;54,599998;55,299999;54,549999;55,02;9753700;38,907486
2010-07-13;55,290001;55,959999;55,27;55,880001;9211500;39,515633
2010-07-14;55,810001;55,919998;55,060001;55,200001;73235200;39,03476
2010-07-15;54,959999;55,110001;54,290001;55;7620800;38,893337
2010-07-16;54,549999;54,98;53,549999;53,700001;4447300;37,974052
2010-07-19;53,91;53,91;53;53,32;4106400;37,705326
2010-07-20;52,75;53,540001;52,549999;53,5;3828800;37,832611
2010-07-21;53,799999;54,009998;52,349998;52,470001;5506700;37,10424
2010-07-22;52,98;53,25;52,639999;52,91;4908200;37,41539
2010-07-23;52,73;53,139999;52,509998;52,75;3474300;37,536362
2010-07-26;52,549999;53,16;52,549999;52,82;4283300;37,58617
2010-07-27;53;53,549999;52,98;53,470001;4093100;38,048717
2010-07-28;53,52;54,040001;52,150002;52,970001;4770600;37,692913
2010-07-29;53,43;53,849998;52,450001;52,970001;3565500;37,692913
2010-07-30;52,68;53,330002;52,43;53,080002;3509900;37,771183
2010-08-02;53,740002;53,740002;52,959999;53,259998;2626700;37,899269
2010-08-03;53,09;53,549999;53;53,32;2165300;37,941971
2010-08-04;53,66;54,299999;53,450001;54,25;3722400;38,603745
2010-08-05;54,110001;54,310001;53,650002;53,740002;1514700;38,240829
2010-08-06;53,439999;53,560001;52,639999;53,560001;2107900;38,112732
2010-08-09;53,540001;54,240002;53,52;54,200001;1540100;38,568169
2010-08-10;53,650002;54,470001;53,59;54,16;1773400;38,539703
2010-08-11;53,57;53,700001;52,419998;52,43;1797000;37,308651
2010-08-12;52,029999;53,060001;51,75;52,970001;2713500;37,692913
2010-08-13;52,16;53,830002;52,16;53,419998;2389100;38,013123
2010-08-16;53,029999;53,610001;52,740002;53,52;1962100;38,084278
2010-08-17;53,959999;54,84;53,959999;54,549999;2473400;38,817215
2010-08-18;54,439999;54,799999;53,91;54,400002;2291700;38,710476
2010-08-19;54,169998;54,169998;53,259998;53,32;2295600;37,941971
2010-08-20;52,91;53,540001;52,91;53,509998;1722900;38,077168
2010-08-23;53,799999;53,869999;53,369999;53,48;1514600;38,055828
2010-08-24;52,970001;53,200001;52,419998;52,880001;2883900;37,628868
2010-08-25;52,919998;53,529999;52,349998;53,389999;2734000;37,991776
2010-08-26;53,66;53,700001;53,119999;53,439999;2275700;38,027351
2010-08-27;53,740002;54,34;53;54,34;2298900;38,667793
2010-08-30;54,310001;54,330002;53,380001;53,43;2136800;38,020248
2010-08-31;53,349998;53,540001;52,75;53,470001;5040700;38,048717
2010-09-01;53,98;54,73;53,759998;54,619999;4521300;38,867035
2010-09-02;54,73;54,810001;54,41;54,529999;2794000;38,802982
2010-09-03;54,990002;55,27;54,5;55,240002;3222500;39,30822
2010-09-07;54,98;55,049999;54,150002;54,200001;1927300;38,568169
2010-09-08;54,34;55,27;54,34;55,029999;2168400;39,158783
2010-09-09;55,57;55,970001;55,259998;55,630001;1940900;39,585735
2010-09-10;55,580002;55,830002;55,41;55,549999;1876500;39,528816
2010-09-13;56;56,709999;55,849998;56,68;2312800;40,332897
2010-09-14;57;57,5;56,450001;57,360001;2414400;40,816799
2010-09-15;57;57,869999;56,700001;57,709999;1602600;41,332458
2010-09-16;57,470001;57,900002;57,299999;57,790001;2370500;41,389759
2010-09-17;57,98;58,360001;57,540001;57,900002;3902600;41,468533
2010-09-20;57,950001;58,939999;57,790001;58,799999;1405300;42,113117
2010-09-21;58,900002;59,139999;58,41;58,709999;1670700;42,048676
2010-09-22;58,549999;58,860001;57,529999;57,630001;2140200;41,275166
2010-09-23;57,360001;57,689999;56,849998;56,849998;1986000;40,716522
2010-09-24;57,380001;58,540001;57,310001;58,049999;2054600;41,575974
2010-09-27;57,869999;58,279999;57,529999;57,57;1210700;41,232189
2010-09-28;57,759998;58,560001;57,279999;58,419998;1519800;41,840965
2010-09-29;57,790001;58,060001;57,5;57,740002;2210300;41,588879
2010-09-30;58,029999;58,970001;58,029999;58,25;3516000;41,956219
2010-10-01;58,68;58,860001;57,650002;58,189999;1633200;41,912991
2010-10-04;58,080002;58,470001;57,75;58,099998;1235000;41,848167
2010-10-05;58,360001;59,57;57,75;59,5;2253600;42,856575
2010-10-06;59,299999;59,459999;58,93;59,099998;1289800;42,568451
2010-10-07;59,299999;59,490002;58,700001;59,009998;1271400;42,503628
2010-10-08;58,91;59,119999;58,619999;58,91;1465200;42,431595
2010-10-11;58,869999;59,349998;58,779999;59,18;736400;42,626068
2010-10-12;58,849998;59,75;58,66;59,689999;1545200;42,993404
2010-10-13;59,75;60;59,580002;59,689999;1855200;42,993404
2010-10-14;59,630001;60,189999;59,48;59,740002;2076800;43,029423
2010-10-15;59,959999;60,040001;59,580002;59,669998;1639200;42,979015
2010-10-18;59,880001;60,400002;59,57;60,400002;1394400;43,50481
2010-10-19;59,959999;60,599998;59,189999;59,41;1886500;42,791733
2010-10-20;59,59;60,84;59,48;60,57;2035500;43,627266
2010-10-21;60,799999;60,990002;60,18;60,43;1895800;43,526413
2010-10-22;60,630001;61;60,25;60,380001;1382700;43,490414
2010-10-25;60,720001;61,09;60,560001;60,720001;1685000;43,735291
2010-10-26;60,639999;61,380001;60,419998;61,259998;1947800;44,124256
2010-10-27;60,740002;60,91;59,880001;60,450001;2306500;43,540829
