"date";"open";"high";"low";"close";"volume";"adjusted"
2010-06-15;32,799999;33,75;32,299999;32,490002;17022500;28,051689
2010-06-16;32,369999;32,790001;31,969999;32,07;2158800;27,689058
2010-06-17;32,349998;32,48;31,25;31,5;1467700;27,196932
2010-06-18;31,450001;31,65;30,76;31,01;1132200;26,773865
2010-06-21;31,66;33;31,01;32,040001;1066900;27,663168
2010-06-22;32,380001;33,150002;31,809999;32,689999;1008800;28,224369
2010-06-23;33;33,5;32;33,48;1029400;28,906448
2010-06-24;33,490002;34,18;32,759998;33,290001;1600800;28,742405
2010-06-25;33,299999;33,349998;32,07;32,07;640100;27,689058
2010-06-28;32,470001;33,049999;31,76;32,779999;718200;28,302069
2010-06-29;32,25;32,299999;31,27;31,76;622300;27,421415
2010-06-30;31,99;32,650002;31,65;32,549999;402400;28,103495
2010-07-01;32,25;32,5;30;30,309999;1023200;26,169485
2010-07-02;30,25;31;30,02;30,860001;483700;26,644361
2010-07-06;31,4;31,4;29,700001;29,799999;805200;25,72916
2010-07-07;29,799999;30,43;29,17;29,23;583700;25,237024
2010-07-08;29,049999;30,32;28,450001;29,01;2176300;25,047081
2010-07-09;29,219999;29,33;28,66;28,969999;448600;25,012539
2010-07-12;28,75;28,84;26,67;26,799999;1194500;23,138977
2010-07-13;27,379999;27,969999;26,92;27,85;877900;24,045536
2010-07-14;27,370001;27,370001;27,129999;27,34;885100;23,605204
2010-07-15;27,200001;27,25;26,1;26,5;642100;22,879959
2010-07-16;26,26;27,15;26,219999;26,450001;708700;22,836784
2010-07-19;26,93;26,93;26,059999;26,49;306000;22,871321
2010-07-20;26,24;26,700001;26;26,08;490100;22,517324
2010-07-21;26,110001;27,08;26,110001;26,610001;854200;22,97493
2010-07-22;26,9;27,6;26,75;27,030001;322600;23,337561
2010-07-23;26,889999;27,190001;26,629999;27,15;233300;23,441164
2010-07-26;27;27,139999;26,110001;26,5;631200;22,879959
2010-07-27;26,41;27,65;26,25;27,190001;537900;23,475698
2010-07-28;27,049999;27,219999;26,57;27,15;131300;23,441164
2010-07-29;27;27,209999;26,299999;26,67;296200;23,026731
2010-07-30;26,469999;27,190001;26,32;26,6;220100;22,966293
2010-08-02;27,139999;27,629999;26,68;27,540001;356600;23,777887
2010-08-03;27,34;27,629999;27,15;27,25;254100;23,527506
2010-08-04;27,299999;27,5;26,65;26,709999;412500;23,061268
2010-08-05;26,26;26,26;24,24;24,799999;1554200;21,412186
2010-08-06;24,25;24,360001;23,120001;23,799999;1221700;20,54879
2010-08-09;24;24,190001;23,530001;23,969999;436800;20,695568
2010-08-10;23,889999;23,889999;23;23;396600;19,858074
2010-08-11;22,860001;23,17;22,379999;22,950001;578900;19,814901
2010-08-12;22,940001;23,549999;22,700001;23,309999;515200;20,125727
2010-08-13;23,1;23,360001;22,799999;23;322000;19,858074
2010-08-16;22,790001;23,219999;22,73;22,790001;190700;19,676764
2010-08-17;22,870001;23,15;22,459999;23,120001;329500;19,961687
2010-08-18;22,879999;23,18;22,5;23,110001;361500;19,953049
2010-08-19;23,43;23,65;22,799999;23;655000;19,858074
2010-08-20;22,91;23,01;22,629999;22,870001;326700;19,745842
2010-08-23;22,780001;23,200001;22,780001;23;279500;19,858074
2010-08-24;22,5;22,67;21,25;21,790001;762400;18,813368
2010-08-25;21,290001;21,83;21,25;21,67;242700;18,709768
2010-08-26;21,76;22,280001;21,25;21,280001;213900;18,373037
2010-08-27;21,360001;21,42;20,25;20,870001;378500;18,019045
2010-08-30;20,870001;21,17;20,35;20,620001;273200;17,803196
2010-08-31;20,51;20,98;20,41;20,91;110300;18,053581
2010-09-01;21,059999;21,99;20,950001;21,620001;257000;18,756296
2010-09-02;21,790001;21,91;21,030001;21,67;143800;18,799667
2010-09-03;21,75;22,43;21,549999;22,17;233400;19,23344
2010-09-07;22,23;22,23;21,709999;22,23;188100;19,285484
2010-09-08;22,219999;22,58;21,809999;22,049999;263000;19,129333
2010-09-09;22,51;22,51;21,51;21,799999;214400;18,912453
2010-09-10;21,790001;22,25;21,700001;21,940001;136100;19,033907
2010-09-13;22,18;22,18;21,360001;21,83;237700;18,938471
2010-09-14;21,57;22,66;21,52;22,17;375100;19,23344
2010-09-15;21,9;22,559999;21,9;22,34;245800;19,380922
2010-09-16;22,34;22,66;22,01;22,299999;327700;19,346228
2010-09-17;22,299999;22,85;22,25;22,459999;404600;19,485025
2010-09-20;22,290001;22,4;21,42;21,860001;379500;18,964502
2010-09-21;21,93;21,98;21,379999;21,52;298500;18,669538
2010-09-22;21,610001;21,84;21,200001;21,33;256100;18,5047
2010-09-23;21,059999;21,219999;20,58;20,58;319600;17,854044
2010-09-24;20,799999;20,950001;20,530001;20,610001;237000;17,880077
2010-09-27;20,66;21,309999;20,379999;21,07;397100;18,279139
2010-09-28;21,030001;21,469999;20,84;21,309999;204900;18,487356
2010-09-29;21,35;21,469999;20,76;20,780001;298300;18,027555
2010-09-30;20,969999;21;19,6;20,200001;1710100;17,524385
2010-10-01;20,25;20,68;19,83;20,6;480700;17,871395
2010-10-04;20,57;20,690001;20,02;20,389999;271400;17,689213
2010-10-05;20,469999;20,93;20,32;20,83;385200;18,070925
2010-10-06;20,799999;21,1;20,549999;20,83;179400;18,070925
2010-10-07;20,83;20,940001;20,32;20,6;176900;17,871395
2010-10-08;20,57;20,99;20,5;20,85;168900;18,088282
2010-10-11;20,9;21,43;20,57;21,059999;279200;18,270466
2010-10-12;21,059999;22,379999;21;22,23;608600;19,285484
2010-10-13;22,48;22,799999;22,1;22,209999;714000;19,268143
2010-10-14;22,299999;22,84;22,18;22,629999;287000;19,632513
2010-10-15;22,690001;22,690001;22,219999;22,48;250500;19,502378
2010-10-18;22,450001;23,49;22,35;23,200001;467600;20,127007
2010-10-19;23,200001;23,5;23,07;23,129999;432900;20,066278
2010-10-20;23,200001;23,92;22,91;23,73;394200;20,586803
2010-10-21;23,879999;24,059999;23,42;23,91;243700;20,742968
2010-10-22;24,040001;24,610001;23,99;24,540001;454800;21,28952
2010-10-25;24,620001;24,98;24,25;24,370001;329600;21,142038
2010-10-26;24,6;24,75;24;24,23;161600;21,020576
2010-10-27;24;24,209999;23,9;24,17;228400;20,968521
2010-10-28;24,18;24,24;23,559999;24;166400;20,821049
2010-10-29;23,92;24,190001;23,92;24,01;195000;20,829718
2010-11-01;24,030001;24,5;23,129999;23,59;269800;20,465349
2010-11-02;23,690001;24,15;23,23;24,110001;279600;20,916479
2010-11-03;24,059999;24,25;23,6;24;229500;20,821049
2010-11-04;24,450001;24,450001;23,799999;24,01;456600;20,829718
2010-11-05;24,09;25;23,98;24,65;474200;21,384945
2010-11-08;24,67;25;23,98;24,870001;587400;21,575808
2010-11-09;25;25,18;24,559999;24,92;499300;21,619184
2010-11-10;25;25,18;24,610001;24,84;159100;21,54978
2010-11-11;24,6;24,93;24,35;24,709999;145900;21,437002
2010-11-12;24,58;24,790001;24,1;24,15;127000;20,951176
2010-11-15;24,1;24,5;24,049999;24,34;136700;21,116009
2010-11-16;24,120001;24,940001;24,08;24,6;482000;21,341566
2010-11-17;24,75;24,780001;24,33;24,4;120000;21,16806
2010-11-18;24,549999;24,799999;24,389999;24,709999;142100;21,437002
2010-11-19;24,709999;25,299999;24,27;25,02;327900;21,705944
2010-11-22;24,9;24,950001;24,59;24,799999;151000;21,515079
2010-11-23;24,5;24,9;24,5;24,690001;104600;21,419651
2010-11-24;24,49;24,49;23,1;23,879999;533700;20,716938
2010-11-26;23,73;24,57;23,360001;23,5;95700;20,387274
2010-11-29;23,5;23,85;23,219999;23,629999;198700;20,50005
2010-11-30;23,530001;23,83;23,42;23,790001;397000;20,638865
2010-12-01;23,950001;24,33;23,9;23,91;350500;20,830528
2010-12-02;23,91;24,34;23,91;24,34;177900;21,205143
2010-12-03;24,07;24,450001;24,01;24,4;162200;21,257416
2010-12-06;24,4;25,16;24,200001;24,82;192900;21,623323
2010-12-07;25,059999;25,059999;24,389999;24,790001;133900;21,597189
2010-12-08;24,709999;24,77;24,059999;24,23;231300;21,109308
2010-12-09;24,35;24,4;23,299999;23,530001;305300;20,499468
2010-12-10;23,469999;23,65;22,9;22,969999;388600;20,011589
2010-12-13;22,92;23,290001;22,57;23,01;436100;20,046438
2010-12-14;22,950001;23,42;22,65;22,950001;376600;19,994171
2010-12-15;22,75;23,4;22,540001;22,860001;411200;19,915758
2010-12-16;22,92;23,16;22;22,040001;861100;19,201372
2010-12-17;21,940001;22,280001;21,780001;22,110001;636300;19,262358
2010-12-20;22,110001;22,32;21,799999;22,200001;429200;19,340759
2010-12-21;22,25;22,299999;22,02;22,200001;486300;19,340759
2010-12-22;22,17;22,309999;22,01;22,1;504300;19,253639
2010-12-23;22,02;22,549999;22,01;22,42;406200;19,532433
2010-12-27;22,290001;22,620001;22,290001;22,43;237500;19,541138
2010-12-28;22,25;23,200001;22,25;23,040001;481400;20,072577
2010-12-29;23,15;23,15;22,629999;22,690001;192400;19,767654
2010-12-30;22,51;22,969999;22,5;22,73;339200;19,802504
2010-12-31;22,65;22,99;22,65;22,860001;269700;19,915758
2011-01-03;23,02;23,85;22,879999;23,75;576400;20,691128
2011-01-04;23,690001;24,15;23,629999;23,82;505600;20,75211
2011-01-05;23,709999;23,940001;23,280001;23,75;502000;20,691128
2011-01-06;23,51;23,76;23,26;23,6;310900;20,560448
2011-01-07;23,6;23,85;23,530001;23,809999;288900;20,743397
2011-01-10;23,6;24,450001;23,42;24,26;343700;21,135454
2011-01-11;24,41;24,459999;23,9;23,98;372300;20,89151
2011-01-12;24,049999;24,24;23,709999;23,940001;379400;20,856651
2011-01-13;23,93;24;23,33;23,540001;303700;20,508179
2011-01-14;23,43;23,889999;23,360001;23,799999;299400;20,734688
2011-01-18;23,73;23,91;23,450001;23,59;204500;20,551739
2011-01-19;23,530001;23,67;23,120001;23,200001;299500;20,211967
2011-01-20;23,139999;23,35;22,9;23;201700;20,037729
2011-01-21;23,08;23,23;22,9;23,200001;250000;20,211967
2011-01-24;23,1;23,35;22,950001;23,1;157400;20,124849
2011-01-25;23;23,040001;22,799999;22,940001;107300;19,985453
2011-01-26;23;23,23;22,959999;23,190001;249900;20,203257
2011-01-27;23,27;23,290001;22,870001;23,15;211700;20,168411
2011-01-28;23,01;23,08;22,65;22,969999;324500;20,011589
2011-01-31;23,01;23,01;22,43;23,01;495700;20,046438
2011-02-01;23,08;23,110001;22,9;22,950001;324300;19,994171
2011-02-02;22,860001;23,370001;22,719999;23,25;364700;20,255527
2011-02-03;23,219999;23,889999;23,219999;23,780001;443600;20,717266
2011-02-04;23,83;24,08;23,77;23,98;430800;20,89151
2011-02-07;24;24,34;24;24,299999;305800;21,170294
2011-02-08;24,16;24,48;24,02;24,469999;388000;21,318399
2011-02-09;24,48;27,58;24,42;25,51;5430700;22,224455
2011-02-10;26;27,139999;25,18;26,870001;2210500;23,409298
2011-02-11;27,1;27,190001;25,75;26,32;1090700;22,93013
2011-02-14;26,5;28,200001;26,35;27,84;1706300;24,254366
2011-02-15;27,9;27,9;26,139999;26,209999;1408300;22,834297
2011-02-16;26,309999;26,700001;25,75;26,32;793200;22,93013
2011-02-17;26,51;27,440001;26,32;27,309999;833900;23,792625
2011-02-18;27,42;27,75;26,809999;27,110001;860200;23,618382
2011-02-22;26,98;26,98;25,9;25,969999;653600;22,6252
2011-02-23;26,25;27,299999;25,65;26,389999;1291800;22,99111
2011-02-24;26,5;27,629999;26,23;27,52;958700;23,975584
2011-02-25;28,42;29,5;28,01;29,43;2222900;25,639585
2011-02-28;29,5;29,77;28,85;29,59;1035900;25,778971
2011-03-01;29,59;29,59;27,790001;27,870001;1093700;24,2805
2011-03-02;27,93;28,15;27,450001;27,59;861300;24,123117
2011-03-03;27,91;28,6;27,84;28,120001;768800;24,586517
2011-03-04;28,209999;28,209999;27,620001;27,93;412400;24,420391
2011-03-07;28,09;28,49;27,790001;28,379999;519500;24,81385
2011-03-08;28,299999;28,5;27,9;28,440001;418800;24,866306
2011-03-09;28,48;28,5;28,09;28,389999;426100;24,82259
2011-03-10;28;28,190001;26,9;26,950001;1441000;23,563538
2011-03-11;26,9;27,889999;26,9;27,77;415100;24,2805
2011-03-14;27,299999;28,049999;27,01;27,950001;507200;24,437881
2011-03-15;27,16;27,799999;27,040001;27,559999;720200;24,096882
2011-03-16;27,5;28,040001;27,370001;27,700001;491800;24,219301
2011-03-17;27,9;28,059999;27,700001;27,82;427700;24,324217
2011-03-18;28;28,129999;27,639999;27,780001;711300;24,289248
2011-03-21;28;28,32;27,790001;28,139999;394200;24,604006
2011-03-22;28,15;28,82;28,110001;28,75;491300;25,137356
