"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;20,940001;21,102501;20,7125;21,067499;3055200;20,908363
2010-01-05;21,355;22,344999;21,25;22,3125;7324400;22,143961
2010-01-06;22,5;22,872499;22,264999;22,547501;6844000;22,377186
2010-01-07;22,422501;22,75;22,23;22,68;2969200;22,508684
2010-01-08;22,577499;22,6625;22,344999;22,6325;3238400;22,461544
2010-01-11;22,547501;22,74;21,952499;22,174999;5187200;22,007498
2010-01-12;21,9925;22,17;21,715;21,754999;4124800;21,59067
2010-01-13;21,809999;22,23;21,5;22,0875;3388000;21,92066
2010-01-14;21,932501;22,157499;21,82;22,049999;1802800;21,883442
2010-01-15;21,950001;22,174999;21,504999;21,76;2459600;21,595634
2010-01-19;21,977501;22,23;21,752501;22,227501;2353200;22,059603
2010-01-20;21,995001;22,047501;21,195;21,702499;3566800;21,538565
2010-01-21;21,93;21,93;21,26;21,3225;3677600;21,161438
2010-01-22;21,315001;21,387501;20,809999;20,875;3095600;20,717319
2010-01-25;20,775;21,0625;20,605;20,719999;2485200;20,563488
2010-01-26;20,584999;20,895;20,375;20,635;2797200;20,47913
2010-01-27;20,684999;20,8025;20,3025;20,622499;2182400;20,466726
2010-01-28;20,615;20,862499;19,952499;20,067499;2824000;19,915916
2010-01-29;20,0625;20,1;18,907499;18,915001;6840800;18,772123
2010-02-01;19,012501;19,7775;18,5975;19,422501;5991200;19,275789
2010-02-02;19,442499;19,7875;19,3475;19,7225;2814000;19,573524
2010-02-03;19,559999;19,6325;19,125;19,290001;3334400;19,144291
2010-02-04;19,0075;19,137501;18,879999;18,922501;2942000;18,779568
2010-02-05;18,9275;19,237499;18,629999;19,135;4091200;18,990461
2010-02-08;19,125;19,442499;18,84;19,3375;4582800;19,191431
2010-02-09;19,65;19,842501;19,35;19,74;4864400;19,590893
2010-02-10;20,254999;20,625;19,309999;19,344999;12884800;19,198874
2010-02-11;19,264999;19,877501;18,817499;19,809999;6288800;19,660364
2010-02-12;19,665001;19,772499;19,262501;19,68;3638800;19,531343
2010-02-16;19,870001;20,0525;19,584999;19,9125;2539200;19,762091
2010-02-17;20;20,2425;19,91;20,092501;2047600;19,940729
2010-02-18;20,120001;20,385;20,0425;20,315001;1937200;20,161549
2010-02-19;20,27;20,525;20,205;20,43;1841600;20,275681
2010-02-22;20,545;20,629999;20,27;20,532499;2054800;20,377403
2010-02-23;20,52;20,66;20,105;20,225;3282800;20,072229
2010-02-24;20,385;20,747499;20,1;20,6325;2435200;20,47665
2010-02-25;20,3125;20,655001;19,93;20,5825;2247200;20,427029
2010-02-26;20,682501;20,99;20,559999;20,737499;2931600;20,580856
2010-03-01;20,897499;21,225;20,6425;21,225;2164800;21,064674
2010-03-02;21,24;21,25;20,782499;20,965;2312800;20,806637
2010-03-03;21,0075;21,040001;20,610001;20,737499;2294400;20,580856
2010-03-04;20,727501;20,815001;20,6175;20,7225;2061600;20,565969
2010-03-05;20,795;21,237499;20,59;21,155001;1786000;20,995205
2010-03-08;21,092501;21,16;20,897499;20,93;1172800;20,771902
2010-03-09;20,84;21,01;20,752501;20,98;943200;20,821526
2010-03-10;20,9475;21,225;20,9475;21,16;1918000;21,000164
2010-03-11;21,002501;21,2875;20,709999;21,2875;2417200;21,126701
2010-03-12;21,365;21,372499;20,9025;21,299999;2630400;21,139107
2010-03-15;21,280001;21,297501;20,985001;21,139999;1096800;20,980314
