"date";"open";"high";"low";"close";"volume";"adjusted"
2014-09-24;21,5;23,219999;21,35;23,08;60450900;20,475246
2014-09-25;22,559999;23,41;22,450001;23,049999;8430000;20,448633
2014-09-26;23,18;23,370001;22,91;23,25;2504400;20,626062
2014-09-29;23,139999;23,450001;22,91;23,23;4832600;20,608322
2014-09-30;23,110001;23,57;23,049999;23,42;4103100;20,776876
2014-10-01;23,219999;23,610001;23,110001;23,440001;3915500;20,794617
2014-10-02;23,34;23,59;23,302999;23,34;3121400;20,705906
2014-10-03;23,379999;23,469999;23,01;23,23;1585900;20,608322
2014-10-06;23,280001;23,370001;22,610001;22,639999;1208400;20,084909
2014-10-07;22,559999;22,74;22,26;22,52;1508400;19,978447
2014-10-08;22,110001;23,15;22,110001;22,75;1649200;20,182491
2014-10-09;23;23;22,24;22,48;1229100;19,942966
2014-10-10;22,389999;22,559999;22,135;22,280001;924000;19,765535
2014-10-13;22,129999;22,66;22,120001;22,450001;1382800;19,916349
2014-10-14;22,5;22,790001;22,299999;22,450001;1605800;19,916349
2014-10-15;22,129999;22,200001;21,5;21,85;3405400;19,384069
2014-10-16;21,51;21,950001;21,469999;21,799999;3105800;19,339706
2014-10-17;21,889999;22,07;21,73;21,92;2750600;19,446163
2014-10-20;21,82;22,379999;21,82;22,379999;1870600;19,854248
2014-10-21;22,110001;22,93;22,110001;22,82;1165500;20,244593
2014-10-22;22,780001;23;22,403;22,6;884700;20,049423
2014-10-23;22,969999;23,08;22,59;23,030001;1154200;20,430893
2014-10-24;23,32;23,49;22,77;23,18;1357800;20,563967
2014-10-27;23,15;23,190001;22,725;22,85;2898800;20,271208
2014-10-28;23,16;23,59;22,93;23,280001;1500600;20,652676
2014-10-29;23,35;23,530001;23,200001;23,48;1302300;20,830111
2014-10-30;23,459999;23,690001;23,297001;23,440001;1153600;20,794617
2014-10-31;23,59;23,92;23,370001;23,620001;1238600;20,954309
2014-11-03;23,49;24;23,16;24;1826900;21,291424
2014-11-04;23,74;23,91;23,43;23,6;1474500;21,024162
2014-11-05;23,799999;23,950001;23,549999;23,9;1097600;21,29142
2014-11-06;23,790001;24,459999;23,75;24,299999;1010700;21,64776
2014-11-07;24,48;24,48;23,959999;23,969999;600700;21,353777
2014-11-10;24,040001;24,25;23,75;23,950001;1531300;21,335962
2014-11-11;23,969999;24,219999;23,75;23,940001;658300;21,327055
2014-11-12;23,75;23,98;23,51;23,860001;940800;21,255787
2014-11-13;23,620001;23,959999;23,58;23,82;1149700;21,220148
2014-11-14;23,74;24;23,74;23,959999;1111500;21,344873
2014-11-17;24,110001;24,110001;23,559999;24;992400;21,380508
2014-11-18;24,040001;24,040001;23,709999;23,73;586000;21,139973
2014-11-19;23,799999;24;23,51;23,719999;812800;21,131069
2014-11-20;23,57;23,870001;23,5;23,709999;745800;21,122156
2014-11-21;23,950001;24,209999;23,695;23,77;725200;21,17561
