"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;15,145;15,34;15,11;15,335;2232400;11,400667
2010-01-05;15,3;15,425;15,0125;15,1275;1936000;11,246405
2010-01-06;15,1475;15,22;15,0275;15,2;2628400;11,300303
2010-01-07;15,125;15,195;14,9675;15,03;2211200;11,17392
2010-01-08;14,9575;15,0825;14,905;14,9975;1773200;11,149758
2010-01-11;14,9875;15,045;14,7675;14,9325;1963600;11,10143
2010-01-12;14,8575;15,3225;14,8575;15,3125;2563200;11,38394
2010-01-13;15,2925;15,5225;15,2825;15,5125;2070000;11,532628
2010-01-14;15,455;15,73;15,4175;15,6325;3110800;11,621842
2010-01-15;15,66;15,8325;15,6125;15,7075;2657600;11,677602
2010-01-19;15,71;16,022499;15,665;15,8625;3658800;11,79283
2010-01-20;15,8375;15,875;15,675;15,8475;2292400;11,781684
2010-01-21;15,82;15,9525;15,4025;15,5525;2924400;11,562365
2010-01-22;15,615;15,73;15,41;15,4325;2052000;11,473154
2010-01-25;15,4775;15,4975;15,26;15,29;1582400;11,367214
2010-01-26;15,305;15,365;15,1575;15,2375;1756000;11,328184
2010-01-27;15,26;15,3475;15,1325;15,235;924000;11,326324
2010-01-28;15,285;15,515;15,2;15,22;1207200;11,315171
2010-01-29;15,3275;15,3775;15,0425;15,0725;1705600;11,205518
2010-02-01;15,115;15,225;14,9775;15,055;1858800;11,192502
2010-02-02;15,1125;15,55;15,0725;15,53;1484000;11,545639
2010-02-03;15,54;15,595;15,405;15,4775;1186800;11,50661
2010-02-04;15,425;15,4825;15,2125;15,23;1318800;11,322607
2010-02-05;15,1925;15,3525;15,0725;15,275;2270800;11,356062
2010-02-08;15,235;15,3525;15,11;15,1425;2469600;11,361688
2010-02-09;15,35;16,02;15,2075;15,935;5662800;11,956318
2010-02-10;15,95;16,0875;15,6925;15,7825;1912000;11,841891
2010-02-11;15,8025;16,0875;15,8025;16,084999;2087200;12,068863
2010-02-12;16,032499;16,094999;15,875;16,09;1673200;12,072616
2010-02-16;16,120001;16,1625;15,975;16,110001;1446000;12,087624
2010-02-17;16,165001;16,227501;16,030001;16,215;1390400;12,166406
2010-02-18;16,209999;16,467501;16,112499;16,465;1573200;12,353983
2010-02-19;16,4;16,48;16,344999;16,475;1686400;12,361487
2010-02-22;16,525;16,59;16,365;16,549999;2188000;12,417763
2010-02-23;16,5075;16,612499;16,35;16,48;1650000;12,365237
2010-02-24;16,522499;16,842501;16,4575;16,84;2504400;12,635352
2010-02-25;16,725;16,9725;16,59;16,860001;3416000;12,650362
2010-02-26;16,879999;16,879999;16,7125;16,795;2052400;12,601588
2010-03-01;16,817499;16,862499;16,7425;16,8125;1752000;12,614722
2010-03-02;16,875;16,9375;16,780001;16,9;1458000;12,680369
2010-03-03;16,865;16,91;16,6625;16,717501;1451600;12,543439
2010-03-04;16,717501;16,7575;16,610001;16,719999;1391200;12,545315
2010-03-05;16,7875;16,889999;16,6775;16,8025;1087200;12,607214
2010-03-08;16,764999;16,9;16,764999;16,875;1484400;12,661617
2010-03-09;16,8825;16,9025;16,795;16,8475;1233200;12,640982
2010-03-10;16,842501;16,885;16,764999;16,879999;1025600;12,665365
2010-03-11;16,8925;17,012501;16,825001;17,0075;2659200;12,761033
2010-03-12;17,0075;17,1325;16,952499;17,127501;1326400;12,851074
2010-03-15;17,0525;17,139999;16,6425;16,82;2887600;12,620347
2010-03-16;16,825001;17,035;16,76;16,975;1769600;12,736648
2010-03-17;17,0375;17,0375;16,85;16,942499;1557200;12,712262
2010-03-18;16,895;17,0375;16,885;16,952499;1240800;12,719762
2010-03-19;16,967501;17,0525;16,8825;16,967501;1277600;12,73102
2010-03-22;16,887501;17,247499;16,887501;17,1975;1410000;12,903593
2010-03-23;17,25;17,34;17,102501;17,299999;1090800;12,980498
2010-03-24;17,2875;17,2875;17,125;17,165001;1028000;12,879207
2010-03-25;17,264999;17,272499;16,825001;16,834999;1484800;12,631598
2010-03-26;16,842501;16,862499;16,51;16,622499;3019200;12,472157
2010-03-29;16,695;16,817499;16,635;16,815001;1585600;12,616594
2010-03-30;16,870001;16,875;16,727501;16,8125;721600;12,614722
2010-03-31;16,752501;16,870001;16,6325;16,737499;942000;12,558447
2010-04-01;16,795;16,952499;16,752501;16,93;1171600;12,702885
2010-04-05;16,9925;17,025;16,889999;16,932501;650800;12,704758
2010-04-06;16,905001;16,9625;16,870001;16,889999;1443200;12,672868
2010-04-07;16,8825;16,922501;16,870001;16,915001;2553600;12,691628
2010-04-08;16,915001;17,0425;16,875;16,945;1450800;12,71414
2010-04-09;16,9475;17,047501;16,905001;17,0175;717600;12,768533
2010-04-12;16,872499;17,0075;16,700001;16,950001;2230400;12,717887
2010-04-13;16,885;17,0175;16,745001;16,975;1478400;12,736648
2010-04-14;17,049999;17,112499;16,9;17,0975;874800;12,828562
2010-04-15;17,025;17,145;17,002501;17,09;747200;12,822931
2010-04-16;17,084999;17,17;16,997499;17,0825;1528400;12,817306
2010-04-19;17,014999;17,094999;16,98;17,022499;1076800;12,772286
2010-04-20;17,022499;17,120001;16,934999;16,99;1090800;12,747904
2010-04-21;16,98;17,0875;16,8325;17,0625;1094800;12,802298
2010-04-22;16,99;17,0825;16,915001;17,047501;832400;12,791046
2010-04-23;17,02;17,059999;16,885;17,040001;1147200;12,785416
2010-04-26;17,067499;17,27;16,985001;17,2425;1256400;12,93736
2010-04-27;17,190001;17,3375;17,1075;17,245001;1851600;12,939234
2010-04-28;17,24;17,262501;17,1;17,16;1208000;12,875457
2010-04-29;17,2075;17,25;16,9475;17,200001;2048400;12,905471
2010-04-30;17,247499;17,4275;17,2075;17,3125;1778800;12,98988
2010-05-03;17,3375;17,4;17,137501;17,3225;1640400;12,997379
2010-05-04;17,217501;17,344999;17,139999;17,327499;1538800;13,001133
2010-05-05;17,3325;17,487499;17,2425;17,3375;1899600;13,008639
2010-05-06;17,317499;17,3375;16,445;16,9475;3442800;12,716012
2010-05-07;16,995001;17,0275;16,565001;16,692499;3972400;12,524682
2010-05-10;17,110001;17,424999;16,9575;17,35;2745600;13,018019
2010-05-11;16,8375;17,047501;16,525;16,752501;6560400;12,569704
2010-05-12;16,782499;16,9475;16,5725;16,782499;3196000;12,59221
2010-05-13;16,467501;16,977501;16,467501;16,65;3128000;12,597885
2010-05-14;16,6075;16,702499;16,3225;16,4;2206800;12,408727
2010-05-17;16,397499;16,8375;16,397499;16,782499;3142400;12,698134
2010-05-18;16,879999;16,940001;16,6075;16,637501;1570000;12,588426
2010-05-19;16,627501;16,747499;16,512501;16,6625;1553200;12,60734
2010-05-20;16,450001;16,522499;16,219999;16,225;2374800;12,276318
2010-05-21;16,1425;16,385;16,120001;16,227501;1915200;12,278207
2010-05-24;16,227501;16,504999;16,192499;16,3825;2075600;12,395485
2010-05-25;16,440001;16,440001;15,95;16,145;3309600;12,215788
2010-05-26;16,254999;16,5175;16,0975;16,395;2451200;12,404943
2010-05-27;16,57;16,5725;16,200001;16,4125;2313200;12,418188
2010-05-28;16,344999;16,615;16,3325;16,452499;1706000;12,448452
2010-06-01;16,405001;16,565001;16,290001;16,49;1894800;12,476821
2010-06-02;16,540001;16,797501;16,487499;16,795;2312800;12,707593
2010-06-03;16,7875;16,877501;16,7125;16,825001;2675600;12,730298
2010-06-04;16,639999;16,639999;16,23;16,27;2343200;12,310365
2010-06-07;16,252501;16,5;16,252501;16,3825;1938000;12,395485
2010-06-08;16,352501;16,594999;16,227501;16,5825;3298800;12,546812
2010-06-09;16,690001;16,834999;16,547501;16,754999;2114800;12,67733
2010-06-10;16,8325;16,9375;16,815001;16,8675;2371200;12,762456
2010-06-11;16,8125;17,122499;16,6975;17,105;2662800;12,94215
2010-06-14;17,202499;17,209999;17;17,0175;2503200;12,875949
2010-06-15;17,0525;17,190001;17,0525;17,15;1641200;12,976199
2010-06-16;17,0275;17,08;16,76;16,8025;2995200;12,71327
2010-06-17;16,8675;16,959999;16,782499;16,9;1500000;12,787041
2010-06-18;16,8675;16,907499;16,5975;16,629999;2794400;12,582753
2010-06-21;16,735001;16,8125;16,627501;16,665001;1594800;12,609237
2010-06-22;16,6875;16,705;16,355;16,355;1889600;12,37468
2010-06-23;16,355;16,42;16,24;16,3025;1795200;12,334958
2010-06-24;16,272499;16,307501;16,182501;16,2125;1540800;12,266856
2010-06-25;16,237499;16,365;16,094999;16,1525;1719200;12,22146
2010-06-28;16,24;16,35;16,075001;16,2575;824800;12,30091
2010-06-29;16,1525;16,182501;15,7775;15,835;2972400;11,981231
2010-06-30;15,7825;15,88;15,6525;15,6775;3920400;11,862061
2010-07-01;15,6575;15,6925;15,495;15,6675;2315200;11,854496
2010-07-02;15,6925;15,7225;15,6325;15,6575;1790800;11,846931
2010-07-06;15,7425;15,845;15,5375;15,69;2696800;11,871521
2010-07-07;15,74;15,9225;15,7075;15,8725;1839200;12,009607
2010-07-08;15,9125;16,0875;15,9025;16,0825;2796000;12,168497
2010-07-09;16,102501;16,217501;16,025;16,172501;1574400;12,236595
2010-07-12;16,115;16,25;16,09;16,1775;860800;12,240377
2010-07-13;16,282499;16,4375;16,2575;16,360001;1400800;12,378465
2010-07-14;16,365;16,450001;16,272499;16,450001;1339200;12,446561
2010-07-15;16,424999;16,5075;16,355;16,5;1205600;12,484389
2010-07-16;16,4925;16,4925;16,209999;16,23;971200;12,2801
2010-07-19;16,25;16,465;16,1975;16,450001;1549600;12,446561
2010-07-20;16,3475;16,754999;16,295;16,745001;1757200;12,669769
2010-07-21;16,772499;16,775;16,3575;16,4;3088800;12,408727
2010-07-22;16,502501;16,5425;16,317499;16,395;1730800;12,404943
2010-07-23;16,397499;16,5525;16,3375;16,5525;2106800;12,524115
2010-07-26;16,594999;16,885;16,594999;16,8475;1382400;12,747321
2010-07-27;16,8825;16,955;16,815001;16,8925;1881200;12,781367
2010-07-28;16,922501;16,959999;16,7125;16,782499;736400;12,698134
2010-07-29;16,85;16,85;16,4275;16,620001;1358400;12,575189
2010-07-30;16,487499;16,68;16,422501;16,567499;1230800;12,535463
2010-08-02;16,75;16,75;16,455;16,605;2346400;12,563837
2010-08-03;16,497499;16,540001;16,092501;16,2225;5652400;12,274424
2010-08-04;16,2875;16,4575;16,165001;16,3825;4170800;12,395485
2010-08-05;15,9725;15,9725;15,375;15,5875;5640800;11,793967
2010-08-06;15,5625;15,5825;15,2925;15,5775;2419200;11,786402
2010-08-09;15,59;15,7225;15,535;15,715;1840800;11,890435
2010-08-10;15,6525;15,75;15,595;15,6375;1766800;11,831795
2010-08-11;15,5075;15,535;15,275;15,2775;1356400;11,559411
2010-08-12;15,415;15,5475;15;15,515;1930000;11,871209
2010-08-13;15,48;15,5775;15,42;15,485;1510000;11,848253
2010-08-16;15,3875;15,5825;15,2925;15,55;1200000;11,897985
2010-08-17;15,6025;15,7275;15,5225;15,6375;790000;11,964933
2010-08-18;15,5875;15,6475;15,51;15,5775;1328400;11,919029
2010-08-19;15,5225;15,5575;15,36;15,42;2546800;11,798517
2010-08-20;15,3125;15,3625;15,1675;15,2275;2595600;11,651229
2010-08-23;15,24;15,29;15,075;15,0775;4031200;11,536455
2010-08-24;14,9575;15,1875;14,86;15,09;2158000;11,546021
2010-08-25;15,0225;15,14;14,9525;15,085;1730000;11,542196
2010-08-26;15,08;15,1725;15,005;15,1175;1310800;11,567063
2010-08-27;15,4175;15,625;15,28;15,4;1946800;11,783215
2010-08-30;15,36;15,435;15,1325;15,18;1080000;11,614884
2010-08-31;15,1225;15,41;15,1225;15,3075;2149600;11,712441
2010-09-01;15,425;15,47;15,3525;15,465;1552800;11,832949
2010-09-02;15,55;15,685;15,4675;15,6725;1934000;11,991714
2010-09-03;15,7525;15,7625;15,6275;15,71;1715200;12,02041
2010-09-07;15,705;15,7075;15,4875;15,515;1049600;11,871209
2010-09-08;15,515;15,86;15,515;15,82;2041600;12,104577
2010-09-09;15,965;15,965;15,7775;15,83;1318400;12,112227
2010-09-10;15,85;15,9275;15,75;15,9175;1214000;12,179177
2010-09-13;15,98;16,035;15,9125;15,9725;1234000;12,221259
2010-09-14;15,9975;16,049999;15,9375;15,96;1259200;12,211695
2010-09-15;15,95;16,147499;15,905;16,115;1044800;12,330295
2010-09-16;16,112499;16,1425;16,0075;16,067499;1060000;12,293948
2010-09-17;16,192499;16,247499;16,112499;16,112499;1570000;12,32838
2010-09-20;16,165001;16,25;16,092501;16,165001;1112000;12,36855
2010-09-21;16,157499;16,184999;16,059999;16,09;1158800;12,311164
2010-09-22;16,032499;16,182501;15,995;16,002501;1341600;12,244214
2010-09-23;15,9425;16,065001;15,8625;15,8825;1221600;12,152397
2010-09-24;16,055;16,15;15,9525;16,112499;2653600;12,32838
2010-09-27;16,122499;16,365;16,0375;16,264999;1771600;12,445062
2010-09-28;16,264999;16,325001;16,08;16,252501;1572400;12,435503
2010-09-29;16,2425;16,362499;16,1525;16,27;2062400;12,448891
2010-09-30;16,305;16,365;16,23;16,235001;2345200;12,422112
2010-10-01;16,317499;16,317499;16,110001;16,305;2027600;12,475672
2010-10-04;16,315001;16,9475;16,262501;16,92;3898800;12,946232
2010-10-05;16,9725;17,120001;16,855;17,1;2913600;13,083961
2010-10-06;17,0625;17,102501;16,965;17,09;2034400;13,076307
2010-10-07;17,102501;17,147499;16,98;17,129999;1402000;13,106911
2010-10-08;17,1675;17,485001;17,092501;17,4475;1694000;13,349847
2010-10-11;17,432501;17,455;17,362499;17,375;1180800;13,294376
2010-10-12;17,3025;17,4125;17,25;17,33;1656000;13,259941
2010-10-13;17,43;17,485001;17,35;17,415001;1120400;13,324978
2010-10-14;17,4475;17,5;17,4;17,452499;876400;13,353671
2010-10-15;17,49;17,535;17,4275;17,4475;1566400;13,349847
2010-10-18;17,370001;17,4475;17,2675;17,290001;1688800;13,229337
2010-10-19;17,145;17,227501;16,9575;17,040001;2145600;13,038054
2010-10-20;17,105;17,192499;17,035;17,08;1574800;13,068656
2010-10-21;17,110001;17,165001;16,9125;16,997499;1363200;13,00553
2010-10-22;17,0525;17,0525;16,92;16,975;1028400;12,988317
2010-10-25;17,057501;17,110001;16,924999;16,9725;952800;12,986403
2010-10-26;16,955;16,955;16,75;16,764999;1500400;12,827639
2010-10-27;16,7675;16,8125;16,625;16,74;1326400;12,808508
2010-10-28;16,77;16,8025;16,5525;16,565001;1601200;12,674607
2010-10-29;16,565001;16,594999;16,445;16,4625;2413200;12,596181
