"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;59,220001;59,650002;58,939999;59,34;822900;47,18074
2010-01-05;59,18;59,490002;57,389999;58,110001;2352700;46,202785
2010-01-06;57,82;57,990002;57,200001;57,34;1685500;45,590557
2010-01-07;57,080002;57,139999;56,18;56,790001;1939600;45,153263
2010-01-08;56,700001;57,619999;56,599998;57,549999;1332500;45,757538
2010-01-11;57,5;57,91;57,220001;57,720001;1227300;45,8927
2010-01-12;57,470001;57,639999;56,790001;56,990002;1425700;45,312279
2010-01-13;57;57,470001;56,34;57,32;1513300;45,574673
2010-01-14;57,02;57,880001;57,02;57,619999;818100;45,813194
2010-01-15;57,509998;58,110001;57,23;57,720001;1592400;45,8927
2010-01-19;57,700001;58,470001;57,639999;58,130001;1061200;46,218685
2010-01-20;57,529999;57,849998;56,889999;57,779999;1157700;45,940399
2010-01-21;57,689999;58,369999;56,98;57,630001;1659200;45,82114
2010-01-22;57,709999;58,150002;57,240002;57,349998;1558100;45,598522
2010-01-25;57,490002;57,849998;56,790001;57,459999;1167300;45,685974
2010-01-26;57,189999;57,59;56,939999;57,099998;1347100;45,399742
2010-01-27;56,830002;57,599998;56,619999;57,459999;881300;45,685974
2010-01-28;57,639999;57,639999;56,200001;56,540001;1173200;44,954491
2010-01-29;56,68;57,279999;56,630001;56,630001;1527800;45,026051
2010-02-01;56,84;57,650002;56,689999;57,400002;981500;45,638279
2010-02-02;57,240002;57,540001;56,68;57,419998;1470300;45,654167
2010-02-03;52,84;54,380001;51,5;53,540001;8727300;42,569218
2010-02-04;53,310001;53,950001;52,669998;53,25;3974300;42,338638
2010-02-05;53,16;54,080002;51,16;52,439999;2833000;41,694618
2010-02-08;52,650002;52,970001;52,009998;52,080002;2046300;41,408379
2010-02-09;52,639999;53,68;52,110001;52,669998;2709800;41,877487
2010-02-10;52;52,509998;51,310001;51,84;1904200;41,217571
2010-02-11;51,630001;53,299999;51,459999;53,099998;2533300;42,219372
2010-02-12;52,470001;52,700001;51,68;52,119999;2414800;41,440178
2010-02-16;52,389999;53,290001;52,389999;52,75;1511000;41,94109
2010-02-17;53,049999;53,43;52,57;53;1345300;42,139877
2010-02-18;53,049999;53,080002;52,77;52,900002;1032000;42,060356
2010-02-19;52,779999;53,970001;52,779999;53,5;1768100;42,537407
2010-02-22;53,77;54,310001;53,310001;54,16;1625500;43,062168
2010-02-23;54,240002;54,5;53,139999;53,560001;2650100;42,585125
2010-02-24;54;54,240002;53,310001;53,68;1822500;42,680538
2010-02-25;53;53,540001;52,5;53,490002;1612200;42,529472
2010-02-26;53,490002;53,560001;52,700001;53,330002;1701400;42,402256
2010-03-01;53,290001;63,650002;53,02;53,560001;2163600;42,585125
2010-03-02;53,5;53,740002;53,169998;53,209999;1597700;42,306839
2010-03-03;52,82;53,080002;52,380001;52,470001;2205500;41,915409
2010-03-04;52,700001;52,91;52,25;52,669998;1610000;42,075172
2010-03-05;52,68;53,380001;52,669998;53,25;1621000;42,538502
2010-03-08;54,049999;54,099998;53,299999;53,32;1488500;42,594425
2010-03-09;53,25;53,560001;53,02;53,389999;1060200;42,650341
2010-03-10;53,52;54,07;53,09;53,669998;1695600;42,874012
2010-03-11;53,360001;53,650002;53,040001;53,459999;1975500;42,706253
2010-03-12;53,57;54,07;53,119999;53,869999;1710800;43,033783
2010-03-15;53,970001;54,23;53,450001;53,880001;1651000;43,041771
2010-03-16;54,119999;55,68;53,990002;55,279999;3479600;44,160164
2010-03-17;55,349998;56,209999;55,16;55,68;1992300;44,47971
2010-03-18;55,459999;56,810001;55,279999;56,580002;2114600;45,198662
2010-03-19;57,240002;57,68;56,380001;56,599998;3059500;45,214638
2010-03-22;56,360001;56,650002;56,139999;56,23;1451200;44,919071
2010-03-23;56,07;56,490002;55,759998;56,43;1303900;45,078831
2010-03-24;56,400002;56,419998;55,73;56,119999;1293800;44,831184
2010-03-25;56,43;56,779999;55,560001;55,650002;1779900;44,455734
2010-03-26;55,639999;55,970001;55,25;55,560001;1545600;44,383842
2010-03-29;55,709999;56,77;55,709999;56,09;1279500;44,807217
2010-03-30;56,009998;56,450001;55,799999;56,220001;1372800;44,911079
2010-03-31;55,830002;56,119999;55,639999;55,849998;1376400;44,615482
2010-04-01;55,98;56,23;55,169998;55,68;1178800;44,47971
2010-04-05;55,98;56,16;55,439999;55,66;1094800;44,463715
2010-04-06;55,240002;55,68;54,990002;55,279999;1574400;44,160164
2010-04-07;55,43;55,669998;54,970001;55,150002;2051300;44,056309
2010-04-08;54,970001;55,720001;54,779999;55,599998;1837700;44,415775
2010-04-09;55,75;56,689999;55,709999;56,450001;2885200;45,094799
2010-04-12;57,599998;57,599998;56,439999;56,439999;3151600;45,086823
2010-04-13;56,279999;56,73;55,91;56,59;1647900;45,206646
2010-04-14;56,5;57,810001;56,490002;57,740002;1980200;46,125317
2010-04-15;58,009998;59,759998;57,860001;58,93;3466500;47,075935
2010-04-16;58,849998;58,950001;57,84;58,380001;2157300;46,636559
2010-04-19;58,060001;58,860001;58,060001;58,630001;1601300;46,836296
2010-04-20;58,919998;59,310001;58,48;58,900002;1480200;47,051979
2010-04-21;57;61,27;56,990002;60;5813800;47,930706
2010-04-22;60,110001;62,150002;59,509998;61,459999;4289700;49,097019
2010-04-23;61,57;61,740002;60,959999;61,580002;2183800;49,192898
2010-04-26;61,5;61,709999;61,029999;61,150002;1454600;48,849369
2010-04-27;61,07;61,470001;60,07;60,27;2987300;48,1464
2010-04-28;61;61,029999;60,330002;60,560001;1778100;48,378056
2010-04-29;60,869999;61,459999;60,810001;61,150002;1554200;48,849369
2010-04-30;60,91;61,619999;60,299999;60,32;1720800;48,186333
2010-05-03;60,439999;61,889999;60,220001;61,77;1788500;49,344669
2010-05-04;61,439999;61,48;60,119999;60,700001;1978200;48,489891
2010-05-05;60,599998;61,52;60,310001;60,709999;2088900;48,497883
