"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;41,244999;41,439999;40,93;41,424999;4874200;29,772614
2010-01-05;41,305;41,834999;40,98;41,759998;5296800;30,013372
2010-01-06;41,810001;41,875;41,200001;41,665001;7195200;29,945101
2010-01-07;41,529999;41,535;41,125;41,5;3752200;29,826506
2010-01-08;40,105;40,830002;40,049999;40,755001;8150200;29,291073
2010-01-11;40,32;40,665001;39,755001;40,575001;7054200;29,161703
2010-01-12;39,814999;40,599998;39,814999;40,34;5733800;28,992809
2010-01-13;40,264999;40,700001;40,215;40,529999;4570600;29,129354
2010-01-14;40,389999;40,490002;40,075001;40,209999;5403800;28,899372
2010-01-15;40,27;40,605;39,790001;40;7913200;28,748442
2010-01-19;40,014999;40,365002;39,895;40,294998;4460400;28,960453
2010-01-20;40,060001;40,060001;39,200001;39,605;7762000;28,464548
2010-01-21;40,119999;40,48;39,130001;39,535;9020200;28,733463
2010-01-22;39,525002;40,59;39,18;40,355;10959000;29,32942
2010-01-25;40,564999;40,724998;39,915001;40,235001;6220000;29,242212
2010-01-26;39,93;40,380001;39,75;40,189999;5581400;29,209507
2010-01-27;40,195;40,41;39,830002;40,195;6222200;29,213142
2010-01-28;40,355;40,865002;39,834999;39,994999;8153400;29,067781
2010-01-29;40,235001;40,43;39,650002;40,014999;6692600;29,082315
2010-02-01;40,209999;40,209999;39,509998;39,970001;6400400;29,049618
2010-02-02;39,919998;40,535;39,740002;40,525002;5937400;29,452984
2010-02-03;40,474998;40,615002;40,220001;40,41;5777600;29,369392
2010-02-04;40,23;40,375;39,805;39,834999;7284000;28,951502
2010-02-05;39,82;40,025002;39,035;39,630001;6091800;28,802504
2010-02-08;39,764999;39,895;39,474998;39,544998;3262400;28,740736
2010-02-09;39,755001;40,299999;39,549999;40,084999;4059600;29,133202
2010-02-10;40,139999;40,139999;39,529999;39,91;3793400;29,006006
2010-02-11;39,785;40,195;39,625;40,165001;3524000;29,191341
2010-02-12;40,055;40,130001;39,544998;39,830002;4864600;28,947866
2010-02-16;39,959999;40,395;39,650002;40,310001;3914400;29,296728
2010-02-17;40,41;40,689999;40,275002;40,599998;3467800;29,507486
2010-02-18;40,525002;41,365002;40,514999;41,220001;4855200;29,958099
2010-02-19;41,209999;41,209999;40,615002;40,875;4863000;29,707361
2010-02-22;40,924999;41,174999;40,75;41,040001;4043400;29,827282
2010-02-23;41,064999;41,244999;40,619999;40,945;4416600;29,75823
2010-02-24;41,040001;41,52;40,924999;41,48;4016000;30,147068
2010-02-25;40,869999;41,654999;40,435001;41,555;5434400;30,201569
2010-02-26;41,689999;41,695;41,255001;41,470001;3667400;30,139795
2010-03-01;41,610001;41,919998;41,450001;41,895;3972200;30,448681
2010-03-02;42,075001;42,125;41,794998;41,93;5687800;30,474115
2010-03-03;41,880001;42,130001;41,799999;41,93;3841400;30,474115
2010-03-04;41,959999;42,32;41,779999;42,080002;3954800;30,583139
2010-03-05;42,189999;42,195;41,825001;42,105;5870000;30,601299
2010-03-08;42,029999;42,139999;41,720001;41,974998;3466000;30,506828
2010-03-09;41,810001;42,465;41,740002;42,25;4540800;30,706676
2010-03-10;42,345001;42,355;41,605;41,790001;5145400;30,372364
2010-03-11;41,625;42,040001;41,389999;42,040001;4436200;30,554056
2010-03-12;41,875;42,150002;41,855;42,075001;4126400;30,579504
2010-03-15;41,990002;42,224998;41,919998;42,185001;3536800;30,659454
2010-03-16;42,220001;42,415001;42,044998;42,310001;3490600;30,750296
2010-03-17;42,365002;42,365002;41,900002;42,314999;4796600;30,753925
2010-03-18;42,255001;42,435001;41,955002;42,384998;2695800;30,804806
2010-03-19;42,419998;42,544998;42,145;42,419998;5987200;30,830248
2010-03-22;42,185001;42,805;42,185001;42,474998;4573800;30,87022
2010-03-23;42,474998;42,785;42,240002;42,669998;4531200;31,01194
2010-03-24;42,580002;42,59;42,044998;42,169998;4359600;30,648544
2010-03-25;42,235001;42,27;41,685001;41,705002;5516600;30,310579
2010-03-26;41,744999;42,34;41,744999;42,220001;5112200;30,684883
2010-03-29;42,174999;42,615002;42,125;42,490002;2998400;30,881109
2010-03-30;42,459999;42,814999;42,32;42,73;3925800;31,055546
2010-03-31;42,595001;42,775002;42,485001;42,630001;3754600;30,982861
2010-04-01;42,674999;42,965;42,634998;42,904999;3489200;31,182724
2010-04-05;42,994999;43,075001;42,695;42,810001;3914400;31,113689
2010-04-06;42,645;42,66;42,154999;42,465;4068200;30,862942
2010-04-07;42,400002;42,674999;42,25;42,555;4380000;30,928356
2010-04-08;42,535;42,625;42,205002;42,279999;4190600;30,728491
2010-04-09;42,275002;42,375;42,005001;42,134998;5346000;30,623106
2010-04-12;42,244999;42,419998;42,084999;42,395;3557000;30,81208
2010-04-13;42,389999;42,494999;42,105;42,275002;3755000;30,724857
2010-04-14;42,195;42,365002;41,965;42,32;2644800;30,757566
2010-04-15;42,275002;42,279999;41,759998;42,125;5188400;30,615843
2010-04-16;41,994999;42,369999;41,849998;42,125;5536400;30,615843
2010-04-19;41,625;42,099998;41,505001;42,075001;5416000;30,579504
2010-04-20;42,165001;42,330002;41,91;42,27;3439600;30,72123
2010-04-21;42,310001;42,459999;42,105;42,349998;4145000;30,779373
2010-04-22;41,919998;42,150002;41,825001;41,990002;3404000;30,904488
2010-04-23;41,945;41,945;41,290001;41,634998;6383600;30,643198
2010-04-26;41,77;42,200001;41,66;42,099998;4110600;30,985439
2010-04-27;41,900002;42,279999;41,75;41,794998;4482200;30,76096
2010-04-28;41,98;42,57;41,584999;42,5;6286000;31,279844
2010-04-29;42,25;42,91;42,18;42,400002;6213200;31,206242
2010-04-30;42,619999;42,73;42,009998;42,049999;5243600;30,948648
2010-05-03;42,150002;42,23;41,759998;42,134998;4227200;31,0112
2010-05-04;41,919998;41,965;41,360001;41,435001;5942000;30,49601
2010-05-05;41,455002;41,830002;41,224998;41,360001;5291000;30,440807
2010-05-06;41,365002;41,755001;39,75;40,884998;9461800;30,091223
2010-05-07;40,799999;40,959999;39,849998;40,105;8095800;29,51713
2010-05-10;40,900002;41,669998;40,764999;41,59;5709200;30,610079
2010-05-11;41,299999;41,755001;41,115002;41,415001;5098000;30,481285
2010-05-12;41,400002;41,84;41,23;41,775002;4711400;30,746244
2010-05-13;42,005001;42,005001;41,540001;41,564999;3443000;30,591688
2010-05-14;41,700001;41,875;41,23;41,380001;5933600;30,455542
2010-05-17;41,490002;42,09;41,445;41,904999;5550400;30,841932
2010-05-18;42,044998;42,125;41,490002;41,575001;4739600;30,599052
2010-05-19;41,424999;41,619999;40,855;41,075001;6132000;30,231054
2010-05-20;40,529999;40,825001;40,150002;40,150002;6360200;29,550247
2010-05-21;39,935001;40,115002;39,355;39,794998;10941400;29,288967
2010-05-24;39,615002;39,764999;39,240002;39,365002;5781800;28,972502
2010-05-25;38,57;39,195;38,27;39,165001;5927800;28,825296
2010-05-26;39,365002;39,57;38,939999;38,990002;8645000;28,696497
2010-05-27;39,404999;39,610001;39,134998;39,384998;5342000;28,987215
2010-05-28;39,064999;39,445;39,005001;39,044998;5300600;28,73698
2010-06-01;38,884998;39,115002;38,424999;38,465;6696000;28,310101
2010-06-02;38,634998;39,119999;38,32;39,110001;9404000;28,784815
2010-06-03;39,384998;39,525002;38,919998;39,439999;4201000;29,027689
2010-06-04;38,994999;39,195;38,514999;38,619999;5903800;28,424168
2010-06-07;38,605;39,25;38,605;38,82;5416600;28,571375
2010-06-08;38,82;39,445;38,75;39,380001;4894400;28,983532
2010-06-09;39,415001;39,605;39,205002;39,360001;5436600;28,968817
2010-06-10;39,59;39,869999;39,575001;39,735001;3870200;29,244814
2010-06-11;39,465;39,599998;39,134998;39,575001;3579400;29,127045
2010-06-14;39,634998;39,950001;39,634998;39,66;3712200;29,189615
2010-06-15;39,869999;40,43;39,84;40,404999;4172200;29,737928
2010-06-16;40,09;40,375;40,09;40,314999;2863400;29,67169
2010-06-17;40,41;40,470001;40,084999;40,450001;3043600;29,771046
2010-06-18;40,48;40,610001;40,259998;40,294998;5187800;29,656967
2010-06-21;40,575001;40,775002;40,419998;40,580002;5114400;29,86673
2010-06-22;40,584999;40,974998;40,419998;40,470001;5446200;29,785772
2010-06-23;40,355;40,540001;40,025002;40,165001;4431200;29,561295
2010-06-24;40,150002;40,5;39,970001;40,16;4429800;29,557617
2010-06-25;40,25;40,294998;39,5;39,514999;9237400;29,082888
2010-06-28;39,560001;39,785;39,279999;39,619999;3760200;29,160172
