"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;67,695999;68,695999;67,503998;68,482002;2660500;45,474884
2010-01-05;68,085999;68,856003;67,587997;68,426003;2835000;45,43771
2010-01-06;68,101997;68,400002;67,615997;67,961998;2522500;45,129581
2010-01-07;67,886002;68,421997;67,624001;68,045998;2940500;45,185364
2010-01-08;67,882004;70,010002;67,540001;69,863998;4470500;46,39259
2010-01-11;70,024002;70,606003;69,241997;69,849998;2242500;46,383305
2010-01-12;69,758003;70,260002;68,267998;68,433998;2433000;45,442989
2010-01-13;68,688004;68,898003;66,902;68,646004;3101000;45,583809
2010-01-14;68,400002;68,846001;67,998001;68,349998;1585500;45,387238
2010-01-15;68,349998;68,601997;67,400002;67,447998;2306500;44,788254
2010-01-19;67,410004;68,222;66,93;67,638;2519000;44,914433
2010-01-20;66,739998;67,197998;65,641998;65,998001;3049500;43,825405
2010-01-21;66,134003;66,134003;61,169998;62,203999;9080000;41,306034
2010-01-22;61,632;63,599998;61,630001;62,425999;5768500;41,453442
2010-01-25;63,285999;63,612;61,312;61,397999;3680000;40,770817
2010-01-26;60,259998;60,324001;57,208;57,240002;6832500;38,009735
2010-01-27;57,518002;59,099998;56,722;58,866001;6649000;39,089466
2010-01-28;59,695999;60;57,852001;58,102001;5256500;38,582142
2010-01-29;58,722;59,276001;57,167999;57,363998;3903000;38,092072
2010-02-01;57,618;58,529999;56,706001;58,243999;3722000;38,676441
2010-02-02;58,200001;59,144001;57,622002;58,641998;3470000;38,940727
2010-02-03;58,458;59,195999;58,015999;58,422001;3455000;38,794632
2010-02-04;57,299999;57,299999;53,150002;53,858002;11223000;35,763939
2010-02-05;54,200001;56,534;54,200001;56,16;8544500;37,292572
2010-02-08;57;58,765999;56,035999;56,056;7100000;37,223511
2010-02-09;56,939999;57,560001;56,042;56,636002;3779500;37,608662
2010-02-10;56,304001;56,316002;55,183998;55,27;5282000;36,701576
2010-02-11;56,09;57,290001;55,636002;57,014;5299500;37,85965
2010-02-12;56,598;58,316002;56,242001;58,214001;4503000;38,656506
2010-02-16;59,004002;59,698002;58,5;59,43;3283500;39,463993
2010-02-17;59,647999;59,667999;58,414001;58,616001;2089500;38,923458
2010-02-18;58,532001;58,872002;58,102001;58,338001;2511000;38,738857
2010-02-19;58,066002;59,698002;57,900002;58,360001;5206000;38,75346
2010-02-22;57,883999;58,610001;57,169998;57,408001;4063500;38,121288
2010-02-23;57,487999;57,863998;55,208;55,313999;4706500;36,730793
2010-02-24;55,854;58,256001;55,638;58,113998;6629500;38,590107
2010-02-25;57,41;59,139999;57,363998;59,088001;5392000;39,236885
2010-02-26;59,132;60,338001;58,771999;60,338001;5462000;40,066929
2010-03-01;60,403999;60,598;59,5;60,206001;3462000;39,979279
2010-03-02;60,349998;62,535999;60,015999;61,891998;4407500;41,098854
2010-03-03;61,98;62,228001;60,473999;61,172001;3644000;40,620747
2010-03-04;61,349998;61,841999;60,438;61,504002;3022500;40,841206
2010-03-05;62;62,377998;61,666;62,026001;2115500;41,18784
2010-03-08;62,043999;62,799999;61,119999;62,625999;5004500;41,741043
2010-03-09;62,141998;62,200001;61,243999;61,627998;5859500;41,075867
2010-03-10;61,507999;61,821999;61,028;61,580002;3362500;41,043869
2010-03-11;61,389999;62,655998;61,183998;62,655998;2841000;41,761032
2010-03-12;63,189999;63,59;62,664001;62,883999;2536500;41,913006
2010-03-15;62,576;62,911999;61,919998;62,830002;2474000;41,876999
2010-03-16;62,933998;63,198002;62,396;62,866001;2152000;41,901001
2010-03-17;63,396;63,509998;62,900002;63,200001;1783000;42,123619
2010-03-18;63,318001;63,318001;62,014;62,178001;2612000;41,442451
2010-03-19;62,995998;62,998001;61,924;62,327999;3966500;41,542431
2010-03-22;62,018002;62,66;61,812;62,321999;1765000;41,538425
2010-03-23;62,400002;62,580002;61,674;62,118;4332000;41,402451
2010-03-24;61,928001;64,377998;61,830002;63,779999;3881500;42,510201
2010-03-25;64,092003;65;63,82;63,970001;2848500;42,636833
