"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;46,349998;47,110001;46,259998;46,939999;1148600;37,323948
2010-01-05;47,25;48,18;46,959999;48,049999;1592300;38,206547
2010-01-06;47,849998;48,619999;47,779999;48,490002;1745900;38,556416
2010-01-07;48,259998;51,049999;48,25;50,950001;3558600;40,512447
2010-01-08;50,349998;54,419998;50,099998;53,669998;4848000;42,67524
2010-01-11;53,610001;55,41;53,5;55;3159800;43,732784
2010-01-12;53,66;53,950001;52,84;53,349998;3841800;42,420788
2010-01-13;52,18;53,25;51,360001;52,779999;2413300;41,967548
2010-01-14;51,790001;53,209999;51,27;52,889999;1802900;42,055012
2010-01-15;51,98;52,48;51,380001;51,73;2039900;41,132664
2010-01-19;50,84;52,939999;50,59;52,939999;1689400;42,094776
2010-01-20;52,41;52,41;50,619999;51,470001;2002000;40,925922
2010-01-21;51,310001;51,639999;48,98;49,470001;2264300;39,33564
2010-01-22;49,240002;49,240002;47,740002;47,77;2049400;37,983902
2010-01-25;48,700001;49,189999;47,279999;47,630001;1626500;37,872574
2010-01-26;47,43;48,400002;46,82;47,290001;2935300;37,602234
2010-01-27;47,060001;47,209999;44,84;46,41;3368300;36,902508
2010-01-28;46,849998;46,939999;45,130001;45,549999;1538100;36,218685
2010-01-29;46,080002;46,77;44,98;45,16;2110900;35,908588
2010-02-01;45,73;46,98;45,549999;46,939999;2299600;37,323948
2010-02-02;50,150002;52,259998;49,119999;51,09;8399900;40,623772
2010-02-03;51,110001;53,049999;51,02;51,84;3425700;41,220123
2010-02-04;51,009998;51,209999;49,82;50,099998;2765300;39,836575
2010-02-05;49,93;50,57;48,889999;50,48;3215000;40,138729
2010-02-08;50,259998;51,52;49,93;50,110001;2097900;39,844536
2010-02-09;51,169998;52,889999;51;52,240002;2641200;41,538177
2010-02-10;52,009998;52,48;51,459999;51,98;2198500;41,33144
2010-02-11;51,889999;55,84;51,889999;54,860001;4053400;43,621449
2010-02-12;53,75;56,439999;53,080002;54,950001;4198100;43,693024
2010-02-16;56,139999;57,450001;55,950001;57,110001;3499800;45,410519
2010-02-17;57,5;57,5;55,959999;56,459999;2400800;45,031677
2010-02-18;56,119999;57,599998;55,84;57,490002;1744900;45,853184
2010-02-19;57,110001;58,630001;56,889999;57,93;1946700;46,204121
2010-02-22;58,470001;58,470001;56,959999;57,18;1993600;45,605919
2010-02-23;57,029999;57,639999;55,27;55,639999;2451500;44,377651
2010-02-24;56,18;56,790001;55,52;55,950001;2428600;44,624908
2010-02-25;54,48;56,209999;53,860001;56,029999;2192600;44,688694
2010-02-26;55,990002;57,009998;55,169998;56,779999;1675000;45,286888
2010-03-01;57,200001;59,029999;57,200001;58,959999;2341300;47,025623
2010-03-02;59,490002;59,52;58,73;59,240002;3112900;47,248959
2010-03-03;59,580002;60,470001;58,880001;59,18;2724700;47,201096
2010-03-04;59,349998;60,360001;59,099998;59,73;2610800;47,639759
2010-03-05;60,029999;60,990002;59,75;60,700001;2550300;48,413437
2010-03-08;60,709999;60,93;59,720001;60,02;2069200;47,871075
2010-03-09;59,75;61,470001;59,5;61,130001;2504200;48,756397
2010-03-10;61,369999;61,369999;59,540001;60,23;4113000;48,03857
2010-03-11;59,880001;59,93;58,560001;59,439999;2389100;47,408459
2010-03-12;60,240002;60,5;59,650002;60,369999;2220000;48,150223
2010-03-15;59,889999;60,240002;58,939999;60,220001;2589700;48,03059
2010-03-16;60,41;61,02;58,990002;60,700001;3562000;48,413437
2010-03-17;61,650002;61,650002;59,959999;60,169998;3462400;47,9907
2010-03-18;59,889999;60,450001;58,860001;59,330002;3887000;47,320732
2010-03-19;58,16;60,18;58,060001;58,16;3043300;46,387562
2010-03-22;57,900002;60,27;57,650002;59,950001;1820600;47,815243
2010-03-23;60,09;62,689999;60,09;62,349998;3014900;49,729446
2010-03-24;62,32;63,200001;61,759998;61,810001;3131500;49,298748
2010-03-25;62,540001;63,439999;61,52;61,560001;2615600;49,099346
2010-03-26;61,830002;63,400002;61,630001;62,360001;1880200;49,737415
2010-03-29;62,900002;63,18;62,43;63,080002;2177000;50,311687
2010-03-30;63,220001;63,23;61,580002;62,150002;2284200;49,569935
2010-03-31;61,93;62,490002;61,610001;61,950001;2397000;49,410404
2010-04-01;62,470001;63,630001;61,959999;62,34;2262900;49,72147
2010-04-05;62,82;65,980003;62,82;65,629997;3273700;52,345516
2010-04-06;65,370003;65,459999;64,900002;65,120003;2415400;51,938755
2010-04-07;64,739998;65,349998;64,209999;64,709999;2630300;51,61174
2010-04-08;64,360001;65,589996;63,75;65,029999;3117600;51,86697
2010-04-09;66,730003;66,730003;65,610001;66,07;3111300;52,696472
2010-04-12;66,449997;66,449997;64,919998;65,129997;2838400;51,946732
2010-04-13;65,160004;66,120003;65,029999;66,059998;1656600;52,688484
2010-04-14;66,160004;67,790001;66,099998;67,720001;2047600;54,012466
2010-04-15;67,540001;67,980003;66,440002;67,010002;2128500;53,446194
2010-04-16;66,699997;67,169998;65;65,910004;2088200;52,568848
2010-04-19;65,769997;66,629997;64,559998;65,93;1873700;52,584816
2010-04-20;66,910004;69,349998;66,809998;67,040001;3173300;53,470127
2010-04-21;67,440002;67,919998;65,949997;66,739998;2356100;53,23085
2010-04-22;65,980003;68,32;64,779999;68,059998;1881100;54,283661
2010-04-23;68,260002;69,839996;67,57;69,760002;2334100;55,639545
2010-04-26;70,239998;71,5;70,010002;70,309998;2942100;56,078232
2010-04-27;74,449997;76,349998;71,989998;72,400002;9373000;57,745186
2010-04-28;73,199997;74,949997;73,07;73,809998;4623600;58,869762
2010-04-29;74,709999;76,949997;74,220001;75,790001;4009900;60,449001
2010-04-30;75,75;76,559998;72,050003;72,230003;3565500;57,609589
2010-05-03;72,669998;74,25;72,599998;73,25;2891000;58,423138
2010-05-04;71,959999;72,010002;69,330002;70,650002;5014200;56,349403
2010-05-05;68,82;71,800003;67,300003;70,410004;4479100;56,15799
2010-05-06;69,949997;72;58,91;67,239998;8957800;53,629635
2010-05-07;64,849998;68,489998;64,57;65,309998;6749900;52,090302
2010-05-10;69,720001;72,379997;69,599998;72,129997;4854300;57,529823
2010-05-11;70,769997;72,949997;70,599998;71,760002;2946800;57,234726
2010-05-12;72,739998;75,449997;72,519997;75,089996;2981300;59,890686
2010-05-13;75,18;76,230003;73,650002;74,040001;2855100;59,053207
2010-05-14;73,290001;73,309998;70,68;71,550003;4568600;57,06723
2010-05-17;71,75;72,440002;68,709999;71,269997;4033200;56,843903
2010-05-18;73,040001;73,449997;69,510002;69,949997;2625300;55,791088
2010-05-19;68,040001;69,769997;66,510002;68,470001;3783300;54,747635
2010-05-20;66,029999;66,080002;62;63,700001;7800300;50,933601
2010-05-21;62;66,199997;60,360001;65,870003;4074500;52,668716
2010-05-24;66;66,809998;64,07;64,230003;2162600;51,357407
2010-05-25;61,450001;65,110001;60,5;64,940002;4194500;51,925098
2010-05-26;66,419998;68,620003;65,540001;65,980003;3562400;52,756668
2010-05-27;68,099998;69,620003;67,730003;69,589996;2377400;55,64315
2010-05-28;69,779999;70,199997;67,019997;67,980003;3170300;54,355831
2010-06-01;67,080002;69,099998;66,050003;66,089996;1911800;52,844612
2010-06-02;67,169998;69,889999;66,160004;69,779999;2779600;55,795101
2010-06-03;71,220001;72;69,139999;70,540001;3427800;56,402775
2010-06-04;69;70;65,5;66,349998;4142600;53,052494
2010-06-07;66,519997;66,519997;62,860001;62,939999;3060900;50,325932
2010-06-08;63,5;65,5;62,799999;65,190002;2923400;52,124996
2010-06-09;65,949997;67,510002;65,400002;65,889999;3417100;52,684704
2010-06-10;67,57;70,839996;67,57;70,480003;3982600;56,354797
2010-06-11;69,040001;72,43;68,919998;72,220001;2585100;57,746086
2010-06-14;73,690002;74,339996;72,080002;72,410004;2619200;57,89801
2010-06-15;73;75,459999;72,980003;75,370003;2652100;60,26479
2010-06-16;74,620003;75,040001;74,040001;74,510002;3103900;59,577141
2010-06-17;75,150002;75,199997;72,959999;73,809998;2259000;59,01741
2010-06-18;74,059998;74,949997;73,349998;74,300003;2796500;59,409225
2010-06-21;76;77,099998;74,330002;74,970001;3687300;59,94495
2010-06-22;75,010002;75,57;72,010002;72,209999;3050500;57,738091
2010-06-23;72,300003;73,849998;70,610001;73,150002;2393800;58,489693
2010-06-24;72,089996;72,849998;70,75;71,360001;2625000;57,058441
2010-06-25;71,849998;72,690002;70,540001;72,589996;5343100;58,041916
2010-06-28;72,57;72,760002;70,400002;70,459999;3046100;56,338806
2010-06-29;68,980003;69,019997;65,5;66,239998;4498100;52,96455
2010-06-30;66,190002;67,360001;65,019997;65,129997;3268500;52,077015
2010-07-01;64,870003;66,639999;63,240002;64,82;5136200;51,829147
2010-07-02;65,010002;65,669998;63,709999;64,239998;3766900;51,365387
2010-07-06;65,860001;66,300003;63,040001;63,57;3913900;50,829655
2010-07-07;63,689999;67,589996;63,580002;67,410004;4362500;53,900074
2010-07-08;68,279999;69,199997;67,190002;68,940002;3937700;55,123432
2010-07-09;69;71,639999;68,370003;71,529999;3400900;57,194366
2010-07-12;71,260002;71,699997;69,870003;70,660004;3155700;56,498711
2010-07-13;72,349998;74,239998;71,959999;73,730003;4266500;58,953453
