"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;15,67;15,86;15,61;15,79;5875500;11,164153
2010-01-05;15,89;15,89;15,64;15,74;4288600;11,128801
2010-01-06;15,74;15,84;15,66;15,69;4671800;11,093452
2010-01-07;15,72;15,72;15,33;15,49;5909300;10,952043
2010-01-08;15,42;15,58;15,3;15,55;2398800;10,994466
2010-01-11;15,69;15,79;15,54;15,75;4536800;11,135875
2010-01-12;15,69;15,77;15,56;15,66;2906900;11,072241
2010-01-13;15,68;15,86;15,56;15,78;2073000;11,157085
2010-01-14;15,77;15,95;15,7;15,8;2644900;11,171225
2010-01-15;15,78;15,79;15,49;15,69;3998800;11,093452
2010-01-19;15,69;15,91;15,65;15,9;1860700;11,241931
2010-01-20;15,84;15,88;15,56;15,86;3240300;11,213651
2010-01-21;15,92;16,02;15,54;15,54;3018700;10,987398
2010-01-22;15,6;15,6;15,2;15,22;4304900;10,761141
2010-01-25;15,37;15,47;15,19;15,38;2741700;10,874269
2010-01-26;15,45;15,65;15,29;15,54;3243200;10,987398
2010-01-27;15,52;15,52;15,23;15,39;3061000;10,88134
2010-01-28;15,42;15,48;15,23;15,3;2980200;10,817703
2010-01-29;15,3;15,48;15,13;15,17;4142700;10,72579
2010-02-01;15,23;15,28;15,08;15,25;3137700;10,782351
2010-02-02;15,31;15,52;15,13;15,51;2445800;10,966183
2010-02-03;15,46;15,53;15,28;15,36;2443400;10,860128
2010-02-04;15,16;15,21;14,89;14,89;3015300;10,631645
2010-02-05;14,86;14,91;14,57;14,81;2723300;10,574522
2010-02-08;14,83;14,85;14,57;14,59;2721000;10,417439
2010-02-09;14,78;14,86;14,61;14,65;2576100;10,460281
2010-02-10;14,59;14,64;14,4;14,57;2397400;10,403159
2010-02-11;14,53;14,94;14,47;14,89;3992700;10,631645
2010-02-12;14,81;14,88;14,71;14,83;3395000;10,588804
2010-02-16;14,99;15,13;14,86;15,12;1912200;10,795869
2010-02-17;15,18;15,22;15,04;15,13;1475600;10,803008
2010-02-18;15,16;15,27;15,05;15,19;3177500;10,845848
2010-02-19;15,14;15,61;15,05;15,58;4304500;11,124313
2010-02-22;15,49;15,59;15,44;15,49;2315700;11,060055
2010-02-23;15,47;15,51;15,23;15,32;3054700;10,938669
2010-02-24;15,09;15,42;14,92;15,4;4645400;10,995792
2010-02-25;15,14;15,34;15,06;15,29;3015400;10,917249
2010-02-26;15,3;15,46;15,2;15,27;2641200;10,902969
2010-03-01;15,33;15,45;15,19;15,38;5502600;10,981511
2010-03-02;15,5;15,68;15,44;15,63;5157200;11,160016
2010-03-03;15,64;15,75;15,47;15,51;5419300;11,074332
2010-03-04;15,47;15,53;15,3;15,5;4527200;11,067192
2010-03-05;15,56;15,69;15,49;15,69;2549300;11,202853
2010-03-08;15,59;15,74;15,57;15,62;3532200;11,152874
2010-03-09;15,62;15,79;15,48;15,76;4026000;11,252836
2010-03-10;15,75;15,76;15,56;15,73;3165500;11,231415
2010-03-11;15,7;15,77;15,62;15,77;1395100;11,259975
2010-03-12;15,78;15,8;15,63;15,71;1477000;11,217134
2010-03-15;15,72;15,75;15,49;15,65;1187900;11,174294
2010-03-16;15,65;15,76;15,58;15,74;1851500;11,238553
2010-03-17;15,75;15,83;15,59;15,75;1901500;11,245695
2010-03-18;15,71;15,93;15,68;15,83;2197300;11,302816
2010-03-19;15,82;16;15,68;15,82;2113600;11,295673
2010-03-22;15,74;15,75;15,61;15,67;2246800;11,188576
2010-03-23;15,66;15,74;15,61;15,69;2558700;11,202853
2010-03-24;15,67;15,71;15,47;15,55;2180500;11,102895
2010-03-25;15,59;15,73;15,43;15,43;2498600;11,017213
2010-03-26;15,49;15,63;15,41;15,53;3102800;11,088614
2010-03-29;15,51;15,67;15,44;15,55;2913100;11,102895
2010-03-30;15,53;15,75;15,51;15,53;2099200;11,088614
2010-03-31;15,46;15,54;15,4;15,46;2990400;11,038631
2010-04-01;15,52;15,65;15,49;15,62;3093400;11,152874
2010-04-05;15,68;15,85;15,59;15,84;2037400;11,309958
2010-04-06;15,8;16;15,75;15,98;2007900;11,409915
2010-04-07;15,88;16,040001;15,85;15,94;4070500;11,381355
2010-04-08;15,87;15,94;15,69;15,78;2122000;11,267118
2010-04-09;15,77;15,91;15,65;15,9;1898800;11,352797
2010-04-12;15,91;16,07;15,91;16,049999;2171700;11,459899
2010-04-13;16,02;16,09;15,85;15,91;2389400;11,359937
2010-04-14;15,93;15,98;15,81;15,92;1468800;11,367076
2010-04-15;15,88;15,95;15,8;15,85;2379200;11,3171
2010-04-16;15,82;15,92;15,68;15,72;3621600;11,224277
2010-04-19;15,67;15,79;15,6;15,77;3190900;11,259975
2010-04-20;15,86;15,94;15,78;15,8;5002300;11,281395
2010-04-21;15,82;15,85;15,71;15,77;2560800;11,259975
2010-04-22;15,72;15,86;15,66;15,8;3488100;11,281395
2010-04-23;15,9;16,48;15,81;16,379999;6010300;11,69552
2010-04-26;16,459999;16,67;16,42;16,549999;6374600;11,816906
2010-04-27;16,5;16,620001;16,110001;16,129999;5987700;11,517019
2010-04-28;16,200001;16,389999;16,1;16,35;3176300;11,674103
2010-04-29;16,4;16,48;16,27;16,309999;2702100;11,645545
2010-04-30;16,370001;16,49;16,25;16,26;2881000;11,60984
2010-05-03;16,290001;16,52;16,200001;16,51;4108500;11,788344
2010-05-04;16,360001;16,41;16,030001;16,110001;3493500;11,502742
2010-05-05;15,84;15,94;15,63;15,69;4635000;11,308143
2010-05-06;15,61;15,76;14,53;15,27;9256800;11,005441
2010-05-07;15,32;15,48;14,85;15,07;7555200;10,861295
2010-05-10;15,58;15,72;15,3;15,5;3417200;11,171208
2010-05-11;15,34;15,65;15,3;15,46;3630600;11,142377
2010-05-12;15,43;15,77;15,39;15,75;2237800;11,351387
2010-05-13;15,69;15,9;15,59;15,68;3129700;11,300939
2010-05-14;15,57;15,74;15,45;15,56;4057600;11,214453
2010-05-17;15,57;15,67;15,35;15,59;2623100;11,236073
2010-05-18;15,68;15,79;15,4;15,45;3109700;11,135171
2010-05-19;15,35;15,48;15,14;15,3;3136800;11,027061
2010-05-20;14,9;15,06;14,71;14,74;3876400;10,623459
2010-05-21;14,54;14,84;14,42;14,78;3113200;10,652287
2010-05-24;14,68;14,87;14,59;14,61;1762700;10,529761
2010-05-25;14,31;14,39;14,09;14,38;5866800;10,363998
2010-05-26;14,47;14,69;14,28;14,51;8307600;10,457692
2010-05-27;14,72;14,87;14,49;14,71;3395600;10,601834
2010-05-28;14,69;14,86;14,62;14,68;3027800;10,580215
2010-06-01;14,55;14,73;14,32;14,32;2339700;10,320754
2010-06-02;14,41;14,62;14,34;14,61;2461400;10,529761
2010-06-03;14,64;14,8;14,59;14,76;1715300;10,637874
2010-06-04;14,55;14,67;14,2;14,26;3152800;10,277512
2010-06-07;14,26;14,59;14,26;14,31;3884200;10,313545
2010-06-08;14,27;14,45;14,21;14,42;2710100;10,392826
2010-06-09;14,47;14,81;14,4;14,45;4080300;10,414449
2010-06-10;14,64;14,84;14,62;14,8;2448600;10,666701
2010-06-11;14,67;14,93;14,56;14,91;3211200;10,74598
2010-06-14;15;15,1;14,89;14,95;2016400;10,774813
2010-06-15;15,01;15,3;14,99;15,29;2039600;11,019856
2010-06-16;15,23;15,47;15,17;15,39;2258200;11,091928
2010-06-17;15,41;15,55;15,31;15,55;1842000;11,207244
2010-06-18;15,54;15,62;15,41;15,54;2167300;11,200034
2010-06-21;15,69;15,71;15,37;15,46;2054600;11,142377
2010-06-22;15,5;15,55;15,11;15,13;1772700;10,90454
2010-06-23;15,17;15,17;14,8;14,89;2174200;10,731568
2010-06-24;14,9;15,34;14,85;15,08;6098200;10,868503
2010-06-25;15,11;15,25;14,9;15,18;5288900;10,940575
2010-06-28;15,15;15,34;15,07;15,27;982600;11,005441
2010-06-29;15,13;15,14;14,86;14,93;2602600;10,760395
2010-06-30;14,93;15,02;14,59;14,65;2546800;10,558593
2010-07-01;14,7;14,74;14,47;14,68;4692400;10,580215
2010-07-02;14,71;14,78;14,53;14,68;2170800;10,580215
2010-07-06;14,79;14,96;14,67;14,87;2100100;10,717153
2010-07-07;14,86;15,24;14,83;15,24;1855200;10,983818
2010-07-08;15,29;15,44;15,14;15,44;2233600;11,127962
2010-07-09;15,45;15,7;15,32;15,67;2912800;11,293729
2010-07-12;15,64;15,83;15,62;15,76;3001200;11,358593
2010-07-13;15,86;15,97;15,76;15,84;2815100;11,416251
2010-07-14;15,76;15,84;15,65;15,81;5039400;11,394632
2010-07-15;15,8;16,02;15,71;16;4176600;11,53157
2010-07-16;15,88;15,95;15,58;15,62;2939300;11,257695
2010-07-19;15,68;15,89;15,59;15,85;4507000;11,423461
2010-07-20;15,71;16,02;15,6;15,97;2963300;11,509949
2010-07-21;16,030001;16,059999;15,58;15,69;3050400;11,308143
2010-07-22;15,78;15,97;15,78;15,92;2772200;11,473908
2010-07-23;15,95;16,07;15,8;16,059999;2281200;11,57481
2010-07-26;16,030001;16,280001;16,030001;16,280001;2644200;11,73337
2010-07-27;16,33;16,58;16,219999;16,57;5855800;11,94238
2010-07-28;16,469999;16,57;16,120001;16,309999;5399200;11,754992
2010-07-29;16,459999;16,459999;16;16,16;2673100;11,646884
2010-07-30;16,01;16,059999;15,79;15,92;3611800;11,473908
2010-08-02;16,07;16,23;16,07;16,23;2232000;11,697335
2010-08-03;16,15;16,4;16,110001;16,17;2469300;11,654092
2010-08-04;15,93;16,09;15,84;16,059999;3629900;11,68319
2010-08-05;15,96;16,200001;15,95;16,190001;1475500;11,777761
2010-08-06;16,059999;16,889999;15,96;16,889999;11315500;12,286991
2010-08-09;16,98;17,370001;16,870001;17,059999;11771900;12,41066
2010-08-10;16,950001;17,209999;16,82;17,16;4031000;12,483406
2010-08-11;16,950001;17,120001;16,85;16,959999;4416600;12,337916
2010-08-12;16,67;17,17;16,620001;17,17;4684800;12,490683
2010-08-13;17,139999;17,469999;17,129999;17,360001;4872000;12,628902
2010-08-16;17,32;17,540001;17,16;17,4;2461300;12,658005
2010-08-17;17,52;17,610001;17,290001;17,34;6605200;12,614355
2010-08-18;17,370001;17,43;17,040001;17,139999;7062800;12,46886
2010-08-19;17,129999;17,129999;16,82;17,040001;4149600;12,396114
2010-08-20;16,889999;17,129999;16,860001;17,040001;3658100;12,396114
2010-08-23;17,120001;17,49;17,059999;17,33;4390000;12,60708
2010-08-24;17,25;17,559999;17,200001;17,5;5006000;12,730748
2010-08-25;17,440001;17,5;17,200001;17,5;5339900;12,730748
2010-08-26;17,690001;17,77;17,42;17,469999;4338500;12,708926
2010-08-27;17,559999;17,84;17,34;17,76;3733100;12,919891
2010-08-30;17,74;17,77;17,41;17,43;2520600;12,679828
