"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;11,1625;11,5825;11,1625;11,5575;4514800;10,676369
2010-01-05;11,355;11,5625;11,2125;11,5425;6313200;10,662511
2010-01-06;11,5625;11,615;11,4425;11,4925;4633200;10,616326
2010-01-07;11,4425;11,4425;11,1525;11,39;6752800;10,521638
2010-01-08;11,3075;11,37;11,1275;11,365;5024800;10,498542
2010-01-11;11,575;11,585;10,8875;11,0725;7786000;10,228343
2010-01-12;10,8725;10,89;10,725;10,785;4062000;9,962763
2010-01-13;10,84;10,985;10,6325;10,965;5404000;10,129039
2010-01-14;11;11,1125;10,84;10,9525;4032800;10,117493
2010-01-15;10,9375;10,9725;10,6925;10,7475;3718000;9,928126
2010-01-19;10,72;10,97;10,72;10,96;3827200;10,124421
2010-01-20;10,75;10,875;10,585;10,815;4386000;9,990475
2010-01-21;10,8625;11,06;10,6875;10,7475;5875600;9,928126
2010-01-22;10,7125;10,78;10,4575;10,4875;5751200;9,687942
2010-01-25;10,61;10,785;10,54;10,58;2984400;9,773394
2010-01-26;10,415;10,49;10,29;10,3275;5162800;9,540143
2010-01-27;10,195;10,2875;9,7775;9,9375;9936400;9,179875
2010-01-28;9,995;10,0575;9,5875;9,75;5558800;9,006669
2010-01-29;9,8475;9,9875;9,5025;9,5675;6362400;8,838084
2010-02-01;9,7175;9,9875;9,715;9,985;5766400;9,252767
2010-02-02;10,0225;10,2875;9,82;10,245;7289200;9,493702
2010-02-03;10,225;10,325;10,08;10,1125;3955600;9,370916
2010-02-04;9,9775;9,9775;9,565;9,6075;3502800;8,902952
2010-02-05;9,6075;9,625;9,305;9,6125;7260400;8,907582
2010-02-08;9,6175;9,695;9,4075;9,415;5448400;8,724566
2010-02-09;9,5825;9,7875;9,53;9,595;6408000;8,891366
2010-02-10;9,575;9,64;9,3325;9,58;4379600;8,877469
2010-02-11;9,565;9,78;9,4975;9,76;5689600;9,044268
2010-02-12;9,585;9,9;9,5275;9,875;7223200;9,150835
2010-02-16;10,03;10,26;10,03;10,2075;5854800;9,458952
2010-02-17;10,235;10,27;9,9625;10,0975;5468400;9,357017
2010-02-18;10,0725;10,25;10,015;10,235;6501600;9,48443
2010-02-19;10,2175;10,4225;10,1525;10,33;6856000;9,572464
2010-02-22;10,5625;10,7225;10,25;10,2825;16485600;9,528453
2010-02-23;10,215;10,2875;9,9125;9,93;7316000;9,201799
2010-02-24;9,9725;10,1475;9,9625;10,04;8075200;9,303735
2010-02-25;9,85;10,16;9,75;10,1075;5284000;9,366284
2010-02-26;10,005;10,1875;9,8775;10,035;8014800;9,299102
2010-03-01;10,115;10,2125;10,08;10,1925;5256000;9,445052
2010-03-02;10,3225;10,3225;10,145;10,1925;5685200;9,445052
2010-03-03;10,2475;10,325;10,1875;10,215;3818800;9,4659
