"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;38,259998;38,48;37,610001;37,75;481200;37,531242
2010-01-05;37,52;38,209999;37,48;38,189999;310900;37,968685
2010-01-06;37,939999;38,48;37,860001;38,169998;390700;37,948803
2010-01-07;37,900002;38,700001;37,779999;38,57;350600;38,346489
2010-01-08;38,25;38,43;37,790001;37,950001;235800;37,730087
2010-01-11;38;38,150002;37,700001;38;206300;37,779797
2010-01-12;37,619999;38,220001;37,540001;37,630001;203700;37,411945
2010-01-13;37,759998;38,66;37,740002;38,66;330000;38,435966
2010-01-14;38,360001;38,900002;38,110001;38,52;554300;38,326515
2010-01-15;38,259998;38,310001;37,580002;37,689999;354600;37,500698
2010-01-19;37,810001;38,59;37,709999;38,25;243700;38,057873
2010-01-20;38,060001;38,34;37,970001;38,07;230900;37,878777
2010-01-21;38,259998;38,259998;36,509998;37,040001;498900;36,853954
2010-01-22;37,02;37,290001;36,529999;36,669998;435400;36,485809
2010-01-25;36,82;37,060001;36,119999;36,439999;640200;36,256966
2010-01-26;36,349998;36,759998;35,91;36,16;264300;35,978378
2010-01-27;36,009998;36,259998;35,43;35,830002;312300;35,65004
2010-01-28;36,049999;36,060001;35,360001;35,43;228900;35,252037
2010-01-29;35,669998;35,849998;35,32;35,32;327600;35,142597
2010-02-01;35,66;35,68;34,900002;35,150002;558800;34,973454
2010-02-02;35,150002;35,950001;35,150002;35,799999;645500;35,620182
2010-02-03;35,77;35,799999;35,259998;35,259998;200400;35,082893
2010-02-04;35,099998;36,59;34,849998;36,450001;677000;36,266918
2010-02-05;36,419998;36,490002;35,799999;36,169998;466000;35,988323
2010-02-08;36,259998;36,73;36,060001;36,200001;229800;36,018177
2010-02-09;36,299999;36,75;35,869999;36,650002;359700;36,465912
2010-02-10;36,689999;37,049999;36,349998;36,970001;4e+05;36,784309
2010-02-11;36,849998;37,669998;36,75;37,66;318900;37,47084
2010-02-12;37,549999;38,400002;37,259998;38,330002;773900;38,137482
2010-02-16;38,389999;38,470001;37,610001;38,139999;288500;37,948429
2010-02-17;38,110001;38,799999;38,110001;38,73;254200;38,535469
2010-02-18;38,509998;38,610001;38,09;38,419998;205600;38,22702
2010-02-19;38,23;38,599998;38,080002;38,439999;180000;38,246918
2010-02-22;38,57;39,23;38,029999;39,18;433500;38,9832
2010-02-23;39,169998;39,459999;38,759998;39,18;655900;38,9832
2010-02-24;39,139999;40,189999;39,080002;40,080002;391900;39,878681
2010-02-25;39,75;40,240002;39,650002;40,200001;445700;39,998077
2010-02-26;40,110001;40,41;39,84;40,060001;419900;39,858784
2010-03-01;40,279999;40,98;40,029999;40,709999;311200;40,505516
2010-03-02;40,700001;41;40,490002;40,959999;399200;40,754261
2010-03-03;41,18;41,240002;39,709999;39,77;624500;39,570244
2010-03-04;40;40,290001;39,799999;40,200001;492500;39,998077
2010-03-05;39,41;40,139999;38,150002;38,509998;1297000;38,31657
2010-03-08;38,639999;39,330002;38,5;39,25;546900;39,052849
2010-03-09;39,25;39,25;38,73;39,080002;262800;38,883713
2010-03-10;39,009998;39,919998;38,810001;39,75;264400;39,550346
2010-03-11;39,810001;39,810001;39,09;39,470001;282300;39,271751
2010-03-12;39,470001;39,669998;38,709999;38,869999;188600;38,674751
2010-03-15;38,900002;39,130001;38,540001;38,990002;147400;38,794167
2010-03-16;38,810001;39,099998;38,240002;39,040001;181100;38,84391
2010-03-17;39,189999;39,66;39,049999;39,639999;201900;39,440895
2010-03-18;39,799999;40;39,580002;39,880001;164000;39,679691
2010-03-19;40,07;40,59;39,619999;40,07;422900;39,868732
2010-03-22;39,790001;41,549999;39,790001;41,009998;283500;40,804008
2010-03-23;41,029999;41,029999;40,09;40,68;187600;40,475674
2010-03-24;40,700001;40,779999;40,09;40,25;164000;40,047829
2010-03-25;40,380001;40,439999;39,650002;39,689999;203100;39,490639
2010-03-26;39,790001;39,790001;37,259998;38,02;1260200;37,829033
2010-03-29;38,150002;38,700001;37,959999;38,509998;805200;38,31657
2010-03-30;38,549999;38,950001;38,290001;38,720001;587700;38,52552
2010-03-31;38,610001;39,099998;38,439999;38,880001;497400;38,684715
2010-04-01;38,990002;39,389999;38,669998;38,970001;292700;38,774261
2010-04-05;38,889999;39,400002;38,84;39,16;236500;38,963314
2010-04-06;38,970001;38,970001;38,330002;38,389999;373600;38,197178
2010-04-07;38,25;38,279999;37,709999;38,049999;242400;37,858879
2010-04-08;38,080002;38,34;37,639999;38,25;618900;38,057873
2010-04-09;38,349998;38,759998;38,220001;38,759998;206300;38,565311
2010-04-12;38,91;39,580002;38,66;39,450001;515300;39,251842
2010-04-13;39,900002;40,09;38,919998;39,169998;342700;38,973251
2010-04-14;39,310001;39,360001;38,619999;38,799999;287500;38,605106
2010-04-15;38,830002;38,830002;38,34;38,57;211300;38,37627
2010-04-16;38,560001;38,59;37,900002;38,119999;281700;37,928528
2010-04-19;38,099998;38,549999;37,900002;38,009998;305500;37,819077
2010-04-20;38,209999;39,57;38,16;39,240002;393400;39,042912
2010-04-21;39,18;39,25;38,709999;39;222900;38,804111
2010-04-22;38,869999;38,939999;38,450001;38,650002;238300;38,455883
2010-04-23;38,709999;38,91;38,360001;38,849998;102800;38,654858
2010-04-26;38,91;39,220001;38,91;39,060001;236000;38,863811
2010-04-27;38,880001;39,16;38,779999;38,830002;337900;38,634972
2010-04-28;38,880001;39,34;38,700001;39,040001;275200;38,84391
2010-04-29;39,07;39,439999;38,869999;39,400002;184400;39,202099
2010-04-30;39,349998;39,560001;38,860001;38,889999;318500;38,69466
2010-05-03;39;39,060001;38,549999;38,889999;268700;38,69466
2010-05-04;38,57;38,810001;37,369999;37,610001;339900;37,421093
2010-05-05;37,23;38;36,66;37,700001;319000;37,510632
2010-05-06;37,57;37,91;35,639999;37,23;435600;37,043011
2010-05-07;37,07;37,299999;36,110001;36,25;654900;36,067921
2010-05-10;37,259998;37,73;36,450001;36,73;474400;36,545506
2010-05-11;36,57;36,700001;36,310001;36,580002;660100;36,396267
2010-05-12;36,57;37,16;36,57;37,09;400200;36,903698
2010-05-13;36,959999;37,5;36,959999;37,27;226500;37,082806
2010-05-14;37,130001;37,130001;36,189999;36,400002;376900;36,217167
2010-05-17;36,57;37,049999;35,950001;36,619999;376100;36,436066
2010-05-18;36,73;37,139999;36,540001;36,599998;252600;36,416161
2010-05-19;36,549999;36,720001;35,970001;36,290001;183800;36,107727
2010-05-20;36;36,299999;34,759998;35,09;466600;34,91375
2010-05-21;34,700001;35,209999;34,279999;34,849998;287900;34,674953
2010-05-24;35,91;37,41;35,700001;35,799999;761600;35,620182
2010-05-25;35,759998;35,759998;34,700001;35,57;513000;35,391342
2010-05-26;35,560001;36,369999;35,330002;35,459999;348500;35,281887
2010-05-27;35,93;37,060001;35,880001;37,02;302100;36,834057
2010-05-28;37,07;37,27;36,810001;36,860001;218100;36,674858
2010-06-01;36,709999;36,970001;35,990002;36,049999;233400;35,868923
2010-06-02;36,110001;37,259998;35,799999;37,130001;349200;36,943501
2010-06-03;37,150002;38,509998;37,150002;37,959999;626800;37,769333
2010-06-04;36,939999;38,380001;36,790001;37,220001;943800;37,033054
2010-06-07;37,310001;37,580002;36,700001;37,029999;556200;36,844002
