"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;39,46513;40,158836;39,282173;40,082603;13880800;27,849669
2010-01-05;40,135967;40,227444;39,800549;40,12072;10084500;27,87615
2010-01-06;40,151215;40,456139;39,892025;40,4104;11631900;28,077414
2010-01-07;40,181705;40,471386;40,021618;40,250313;7648900;27,966194
2010-01-08;40,105473;40,616226;39,968258;40,600979;7284200;28,209833
2010-01-11;40,81443;40,966892;40,448517;40,837299;8968000;28,374029
2010-01-12;40,402779;40,4104;39,853909;39,968258;11301000;27,770208
2010-01-13;39,800549;40,372284;39,625214;40,219822;9470700;27,945
2010-01-14;40,143589;40,517124;40,021618;40,387531;8835600;28,061531
2010-01-15;40,273182;40,448517;39,991127;40,418022;11596700;28,082716
2010-01-19;39,983505;41,01263;39,983505;40,944023;11379200;28,448185
2010-01-20;40,257938;40,52475;40,029243;40,448517;12374600;28,103899
2010-01-21;40,425648;40,608604;39,686199;39,823418;20681800;27,669582
2010-01-22;39,640461;39,785301;38,504608;38,573219;17651400;26,800932
2010-01-25;38,847652;39,32029;38,611332;38,687565;11458200;26,880371
2010-01-26;38,367393;38,893391;38,085335;38,443623;14525800;26,710888
2010-01-27;38,443623;38,908638;37,34589;37,970989;15845200;26,382507
2010-01-28;38,14632;38,298782;36,415863;36,858006;17975200;25,609186
2010-01-29;37,0867;37,25441;36,423485;36,591194;22175000;25,423807
2010-02-01;36,934238;37,597454;36,789398;37,406872;14723900;25,990547
2010-02-02;37,627945;38,298782;37,353512;38,230175;16306700;26,562586
2010-02-03;37,986233;38,504608;37,902378;38,108204;13534900;26,477835
2010-02-04;37,80328;37,810902;36,522587;36,713165;17513700;25,508558
2010-02-05;36,507339;36,667427;35,546822;36,575947;20077200;25,41321
2010-02-08;36,522587;36,781773;36,057571;36,110935;10417300;25,09012
2010-02-09;36,553078;38,359768;36,133804;36,964729;17508000;25,683352
2010-02-10;36,979977;37,0867;36,438732;36,789398;11795600;25,561527
2010-02-11;36,804642;37,437366;36,560703;37,277279;9869600;25,900515
2010-02-12;36,865627;37,223919;36,545456;37,101948;13941000;25,778694
2010-02-16;37,414497;38,214928;37,414497;38,054844;14967900;26,440767
2010-02-17;38,047218;38,306408;37,34589;37,582207;15882300;26,112379
2010-02-18;37,063831;37,475483;36,995224;37,25441;12565600;26,233637
2010-02-19;37,124817;37,521221;36,94186;37,277279;12413600;26,249743
2010-02-22;37,574585;37,574585;36,995224;37,124817;10961500;26,142374
2010-02-23;36,918991;37,0867;36,255775;36,476849;13906100;25,6861
2010-02-24;36,48447;36,987598;36,309139;36,858006;10245700;25,954491
