"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;24,110001;24,84;24,01;24,690001;59853700;19,112885
2010-01-05;24,6;24,73;24,379999;24,58;45124500;19,027733
2010-01-06;24,540001;24,74;24,34;24,42;35715700;18,903877
2010-01-07;24,299999;24,57;24,17;24,530001;31531200;18,989027
2010-01-08;24,379999;24,700001;24,25;24,66;39115900;19,089663
2010-01-11;24,639999;24,889999;24,41;24,59;35852900;19,035473
2010-01-12;24,440001;24,5;24,08;24,200001;35780400;18,733572
2010-01-13;24,280001;24,700001;24,200001;24,639999;43683900;19,074177
2010-01-14;24,58;25,08;24,52;24,950001;52302100;19,314154
2010-01-15;25;25,1;24,299999;24,4;51648100;18,888395
2010-01-19;24,540001;24,879999;24,5;24,85;37607500;19,236748
2010-01-20;24,620001;24,73;24,120001;24,41;42125400;18,896137
2010-01-21;24,51;24,65;23,860001;23,98;54767500;18,563265
2010-01-22;23,84;23,93;22,870001;22,969999;70424300;17,781412
2010-01-25;23,1;23,18;22,74;22,99;51288800;17,796888
2010-01-26;22,799999;23,200001;22,639999;22,9;55312800;17,727221
2010-01-27;22,889999;23,26;22,76;23,15;51802900;17,920753
2010-01-28;23,18;23,219999;22,35;22,52;63620000;17,433052
2010-01-29;22,950001;23,129999;22,440001;22,469999;73431900;17,394348
2010-02-01;22,65;22,940001;22,379999;22,73;54386100;17,595625
2010-02-02;22,809999;23,110001;22,51;23,02;54108900;17,820112
2010-02-03;23,16;23,25;22,85;23,07;80035500;17,858826
2010-02-04;23,41;23,77;23,1;23,16;126098600;17,92849
2010-02-05;23,299999;23,879999;23,16;23,700001;99148600;18,346514
2010-02-08;23,780001;23,9;23,48;23,5;69909000;18,191689
2010-02-09;23,799999;24;23,58;23,889999;60331600;18,493595
2010-02-10;23,860001;24;23,620001;23,76;50574100;18,392965
2010-02-11;23,67;23,99;23,540001;23,93;42458500;18,524561
2010-02-12;23,719999;23,799999;23,51;23,76;56455000;18,392965
2010-02-16;23,959999;24;23,799999;24;46758200;18,578747
2010-02-17;23,99;24,09;23,74;24,07;48505500;18,632936
2010-02-18;24,049999;24,360001;23,9;24,280001;41154700;18,795502
2010-02-19;24,129999;24,379999;24,059999;24,360001;38781900;18,857428
2010-02-22;24,389999;24,459999;24,15;24,299999;31374800;18,810984
2010-02-23;24,16;24,23;23,83;24,049999;36286000;18,617456
2010-02-24;24,09;24,450001;24,09;24,34;33182100;18,841948
2010-02-25;24;24,389999;23,870001;24,33;37112100;18,834204
