"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;36,540001;37;36,369999;36,66;2068100;16,397459
2010-01-05;36,759998;36,990002;36,689999;36,720001;3450100;16,424295
2010-01-06;36,540001;36,540001;35,220001;35,279999;5333000;15,780205
2010-01-07;35,419998;35,490002;34,830002;34,939999;3994000;15,628127
2010-01-08;34,990002;34,990002;34,509998;34,84;2286100;15,583402
2010-01-11;35,099998;35,240002;34,93;35,200001;1976800;15,744425
2010-01-12;35,099998;35,43;34,98;35,110001;2251500;15,704169
2010-01-13;35,240002;35,439999;35,110001;35,400002;1780100;15,833879
2010-01-14;35,450001;35,599998;35,290001;35,43;1730100;15,847299
2010-01-15;35,450001;35,490002;34,849998;35,07;2595900;15,686275
2010-01-19;35,16;35,48;35,02;35,439999;2699800;15,85177
2010-01-20;35,200001;35,580002;35,049999;35,25;3936000;15,766788
2010-01-21;35,240002;35,419998;34,369999;34,43;3156800;15,400017
2010-01-22;34,41;34,630001;33,959999;33,990002;2841800;15,20321
2010-01-25;34,18;34,959999;34,02;34,77;2935900;15,552089
2010-01-26;34,84;34,939999;34,25;34,77;2813500;15,552089
2010-01-27;34,799999;34,970001;34,119999;34,5;3770700;15,431321
2010-01-28;34,450001;34,549999;33,84;34,110001;2295100;15,256882
2010-01-29;34,290001;34,439999;33,91;34,009998;2008400;15,212155
2010-02-01;34,189999;34,389999;34,060001;34,27;1977900;15,32845
2010-02-02;34,360001;34,360001;34;34,16;2975900;15,279251
2010-02-03;34,049999;34,630001;34,049999;34,470001;4931400;15,417908
2010-02-04;34,25;34,490002;33,630001;33,630001;2236900;15,042186
2010-02-05;33,630001;33,810001;33,169998;33,810001;3541600;15,122697
2010-02-08;34,310001;35,139999;34;34,349998;3081200;15,364224
2010-02-09;34,720001;35,139999;34,509998;34,740002;2589300;15,53867
2010-02-10;34,84;35,209999;34,68;35,009998;1954500;15,659436
2010-02-11;35,060001;35,389999;34,740002;35,259998;2277200;15,771256
2010-02-12;34,880001;34,990002;34,279999;34,57;3915600;15,462633
2010-02-16;34,93;35,240002;34,82;35,139999;2161200;15,717585
2010-02-17;35,27;35,34;34,919998;35,099998;2972000;15,699697
2010-02-18;35,099998;35,830002;35,099998;35,810001;2033500;16,017265
2010-02-19;35,790001;35,790001;35;35,099998;3357500;15,699697
2010-02-22;35,290001;35,380001;35,040001;35,119999;2128600;15,708637
2010-02-23;35,139999;35,400002;34,900002;35,07;2324500;15,686275
2010-02-24;35,110001;35,330002;34,900002;35,279999;2139500;15,780205
2010-02-25;34,48;34,740002;34,099998;34,650002;4296400;15,498416
2010-02-26;34,73;34,919998;34,200001;34,27;4155800;15,32845
2010-03-01;34,290001;34,689999;34,25;34,68;2969700;15,511835
2010-03-02;34,860001;35;34,540001;34,77;3059300;15,552089
2010-03-03;34,900002;34,990002;34,419998;34,580002;4042500;15,467113
2010-03-04;34,630001;34,669998;34,130001;34,150002;4697600;15,274776
2010-03-05;33,68;33,700001;32,98;33,380001;5217100;15,254212
2010-03-08;33,310001;33,709999;33,25;33,57;3756700;15,341036
2010-03-09;33,59;34,16;33,560001;34,02;3297100;15,546681
2010-03-10;34,009998;34,32;33,98;34,18;3680000;15,619801
2010-03-11;34,23;34,75;34,23;34,73;3762400;15,871143
2010-03-12;34,740002;34,799999;34,419998;34,619999;2407500;15,820871
2010-03-15;34,540001;34,790001;34,540001;34,790001;2721200;15,89856
2010-03-16;34,759998;34,860001;34,560001;34,849998;2891100;15,925978
2010-03-17;34,900002;35,209999;34,869999;35,07;2781100;16,026512
2010-03-18;35,080002;35,25;34,77;35,029999;2733700;16,008236
2010-03-19;34,860001;35,240002;34,720001;34,860001;2699200;15,930552
2010-03-22;34,779999;35,299999;34,75;35,18;2022200;16,076786
2010-03-23;35,279999;35,400002;35,040001;35,34;1658700;16,149904
2010-03-24;35,240002;35,32;35;35,119999;2228700;16,049362
2010-03-25;35,360001;35,389999;34,900002;34,91;2452400;15,953402
2010-03-26;35,049999;35,459999;34,93;35,400002;6541200;16,177324
2010-03-29;35,490002;35,529999;35,189999;35,52;2854400;16,232157
2010-03-30;35,630001;35,84;35,389999;35,41;2598400;16,18189
2010-03-31;35,41;35,68;35,299999;35,459999;2405700;16,204744
2010-04-01;35,669998;35,970001;35,650002;35,880001;2284000;16,396679
2010-04-05;36;36,240002;35,939999;36,200001;2233700;16,542913
2010-04-06;36,049999;36,049999;35,610001;35,959999;2439700;16,433233
2010-04-07;36,110001;36,130001;35,650002;35,830002;2821300;16,373829
2010-04-08;35,759998;35,84;35,290001;35,75;2377600;16,337267
2010-04-09;35,689999;36,040001;35,5;36,02;2362300;16,460653
2010-04-12;36,099998;36,290001;36,009998;36,110001;1490500;16,501783
2010-04-13;36,169998;36,290001;35,849998;36,099998;1829700;16,497211
2010-04-14;36,23;36,27;35,950001;36,209999;1831400;16,54748
2010-04-15;36,220001;36,470001;36,07;36,34;1907900;16,606886
2010-04-16;36,32;36,439999;35,669998;36,060001;2647900;16,478935
2010-04-19;36,009998;36,220001;35,91;36,200001;1550800;16,542913
2010-04-20;36,400002;36,73;36,310001;36,509998;2382600;16,684576
2010-04-21;36,369999;36,470001;36;36,200001;2308500;16,542913
2010-04-22;35,540001;35,75;34,849998;35,009998;22061700;15,999098
2010-04-23;35,009998;35,009998;33,5;34,330002;14540000;15,688346
2010-04-26;34,200001;34,360001;33,75;33,959999;6669200;15,519262
2010-04-27;33,799999;33,91;33,549999;33,669998;5854900;15,386733
2010-04-28;33,849998;33,93;33,509998;33,759998;5479900;15,427864
2010-04-29;33,830002;34,209999;33,799999;34,099998;4883400;15,583238
2010-04-30;34,200001;34,490002;34,110001;34,110001;5949000;15,587807
2010-05-03;34,299999;34,619999;34,25;34,5;4992900;15,766035
2010-05-04;34,330002;34,389999;33,860001;34,07;5109200;15,56953
2010-05-05;34,25;34,75;34;34,669998;5458000;15,843718
2010-05-06;34,48;34,52;14,16;33,52;6808000;15,318187
2010-05-07;32,139999;33,639999;32,110001;33,029999;7412700;15,094262
2010-05-10;33,720001;33,970001;33,290001;33,66;5767700;15,382164
2010-05-11;33,5;33,970001;33,41;33,700001;4904900;15,400446
2010-05-12;33,790001;34,349998;33,540001;34,27;3085300;15,660929
2010-05-13;34,27;34,57;34;34,25;3153700;15,651788
2010-05-14;34,240002;34,279999;33,759998;34,130001;4161200;15,596951
2010-05-17;34,290001;34,32;33,73;34,169998;3396000;15,615226
2010-05-18;34,369999;34,52;33,900002;34,029999;3177300;15,551249
2010-05-19;33,75;34,009998;33,619999;33,849998;3234000;15,46899
2010-05-20;33,66;33,66;32,91;32,93;4427900;15,048564
2010-05-21;32,630001;33,25;32,459999;33,25;3935700;15,194803
2010-05-24;33,549999;34,200001;33,25;33,66;5376600;15,382164
2010-05-25;33,299999;33,610001;32,950001;33,580002;5578400;15,345607
2010-05-26;33,82;34,09;33,59;33,740002;3934800;15,418724
2010-05-27;34,220001;34,5;34,110001;34,5;2497200;15,766035
2010-05-28;34,630001;34,73;34,25;34,330002;3289600;15,688346
2010-06-01;34,25;34,779999;34,16;34,16;2989400;15,610659
2010-06-02;34,43;34,98;34,279999;34,970001;4592000;15,980822
2010-06-03;35,040001;35,119999;34,720001;34,93;5506800;15,962538
2010-06-04;34,02;34,290001;33,66;33,759998;4657700;15,754865
2010-06-07;33,790001;34,060001;33,419998;33,419998;3260800;15,596199
2010-06-08;33,380001;33,82;33,25;33,759998;2782500;15,754865
2010-06-09;33,830002;34,23;33,709999;33,860001;3533900;15,801532
2010-06-10;34,189999;34,43;33,98;34,290001;2711200;16,002205
2010-06-11;33,98;34,459999;33,98;34,41;2215000;16,058207
2010-06-14;34,650002;34,68;34,23;34,240002;2637600;15,978869
2010-06-15;34,560001;34,740002;34,380001;34,709999;2658100;16,198204
2010-06-16;34,52;34,900002;34,490002;34,82;2417700;16,249538
2010-06-17;34,919998;35,02;34,549999;35,02;2362200;16,342878
2010-06-18;35,07;35,150002;34,900002;34,970001;2884800;16,319544
2010-06-21;35,119999;35,240002;34,790001;34,950001;2044700;16,310205
2010-06-22;35,07;35,09;34,59;34,599998;2176200;16,146872
2010-06-23;34,75;34,82;34,369999;34,470001;2388600;16,086208
2010-06-24;34,43;34,549999;34,240002;34,290001;3276200;16,002205
2010-06-25;34,450001;34,450001;33,82;33,939999;5739000;15,838861
2010-06-28;33,91;34,369999;33,900002;34,150002;3103600;15,936872
2010-06-29;33,91;33,959999;33,599998;33,73;3641100;15,740866
2010-06-30;33,68;33,84;33,279999;33,310001;3675400;15,544865
2010-07-01;33,32;33,470001;32,98;33,25;5249000;15,516866
2010-07-02;33,380001;33,380001;32,919998;33,150002;2655100;15,470202
2010-07-06;33,419998;33,59;33,139999;33,400002;3567100;15,586867
2010-07-07;33,52;34,240002;33,369999;34,220001;5985500;15,969538
2010-07-08;34,439999;34,439999;34,049999;34,34;3813400;16,025534
2010-07-09;34,25;34,549999;34,029999;34,450001;3007100;16,076874
2010-07-12;34,32;34,540001;34,240002;34,43;2635500;16,067539
2010-07-13;34,720001;35,09;34,599998;34,860001;4027100;16,268211
2010-07-14;34,82;35,02;34,619999;35,02;2694900;16,342878
2010-07-15;35,02;35,040001;34,639999;34,830002;2578500;16,25421
2010-07-16;34,740002;35,009998;34,48;34,580002;4321600;16,137543
2010-07-19;34,599998;34,990002;34,599998;34,950001;2437400;16,310205
2010-07-20;34,540001;35,080002;34,52;35,049999;3161700;16,356874
2010-07-21;35,139999;35,470001;35,009998;35,18;3500100;16,417542
2010-07-22;35,380001;35,759998;35,369999;35,540001;2865800;16,585543
2010-07-23;35,450001;35,650002;35,369999;35,560001;3537900;16,594879
2010-07-26;35,650002;35,880001;35,439999;35,869999;2995500;16,739542
2010-07-27;35,869999;35,950001;35,700001;35,73;3247000;16,67421
2010-07-28;35,610001;35,779999;35,52;35,599998;2391000;16,613546
2010-07-29;35,66;35,73;35,220001;35,400002;3125900;16,520212
2010-07-30;35,23;35,799999;35,099998;35,619999;2290300;16,622877
2010-08-02;35,849998;36,119999;35,720001;35,98;4400200;16,790884
