"date";"open";"high";"low";"close";"volume";"adjusted"
2019-05-24;29,75;32;28,5;29;44000;28,723993
2019-05-28;29,25;30,5;28,51;28,764999;61500;28,491228
2019-05-29;29,9;29,9;27,66;28,5;207800;28,228752
2019-05-30;28,99;29,16;28,219999;28,799999;666000;28,525896
2019-05-31;28,5;28,59;26,969999;26,969999;853800;26,713312
2019-06-03;26,540001;27;24,370001;24,809999;19259600;24,573872
2019-06-04;24,35;27,940001;24,35;27,75;20135100;27,485889
2019-06-05;27,540001;28,219999;26,459999;28,01;10740200;27,743414
2019-06-06;27,690001;27,690001;26,23;26,9;13986100;26,643978
2019-06-07;26,17;26,93;25,715;26,309999;10049100;26,059593
2019-06-10;26,07;26,74;25,120001;25,309999;10247200;25,069111
2019-06-11;25,01;25,360001;24,530001;24,950001;11641200;24,71254
2019-06-12;25,110001;25,450001;24,48;25,07;13392000;24,831396
2019-06-13;25,059999;25,190001;24,700001;24,969999;9710800;24,732347
2019-06-14;24,76;25,24;24,549999;25,190001;7036800;24,950254
2019-06-17;25,530001;26,9;25,450001;25,950001;13710100;25,70302
2019-06-18;26,030001;27,57;25,75;27,299999;14485400;27,040171
2019-06-19;27,48;27,48;26,870001;27,15;10228800;26,8916
2019-06-20;27,370001;27,6;26,42;27,16;7728000;26,901505
2019-06-21;26,870001;27,709999;26,870001;27,209999;12548900;26,951027
2019-06-24;27,139999;28,450001;27,052999;28,01;6494900;27,743414
2019-06-25;28,02;28,09;27,48;27,67;6698600;27,406651
2019-06-26;27,93;29,375;27,85;29,26;6735100;28,981518
2019-06-27;29,379999;30,33;29,26;29,57;5879600;29,288568
2019-06-28;29,6;29,75;29,26;29,57;15517800;29,288568
2019-07-01;29,58;30,75;28,950001;29,68;5290400;29,39752
2019-07-02;29,5;29,6;28,139999;28,99;5438300;28,714087
2019-07-03;28,780001;28,9;28,200001;28,799999;2234900;28,525896
2019-07-05;28,450001;29,32;28,26;28,639999;2888200;28,367418
2019-07-08;28,389999;28,389999;27,639999;27,77;3478600;27,505699
2019-07-09;27,469999;27,77;26,83;26,99;5285700;26,733122
2019-07-10;26,809999;27;26,440001;26,5;5133700;26,247786
2019-07-11;26,549999;26,799999;25,959999;26,43;6066200;26,178452
2019-07-12;26,42;27,73;26,26;27,6;5154500;27,337317
2019-07-15;27,41;28,27;27,4;28,08;3443100;27,812748
2019-07-16;27,93;28,5;27,715;27,860001;3735900;27,594843
2019-07-17;27,6;27,709999;26,85;26,879999;3999300;26,624168
2019-07-18;26,58;26,98;26,413;26,65;3035200;26,396358
2019-07-19;26,790001;27,48;26,639999;27,389999;4694800;27,129314
2019-07-22;27,34;27,85;27,209999;27,76;2546100;27,495792
2019-07-23;27,65;28,48;27,450001;28,120001;2920700;27,852367
2019-07-24;27,77;28,52;27,629999;28,32;2311800;28,050465
2019-07-25;28,1;28,4;27,75;28,02;3532200;27,753321
2019-07-26;27,719999;28,525;27,65;28,48;3052700;28,208941
2019-07-29;28,360001;28,950001;28,32;28,780001;6245200;28,506086
2019-07-30;28;29,290001;27,799999;29,129999;7142300;28,983673
2019-07-31;29,1;30,15;28,709999;29,5;7662000;29,351816
2019-08-01;29,5;32,779999;29,309999;31,25;11564200;31,093025
2019-08-02;30,940001;31,540001;30,85;31,459999;7305800;31,30197
2019-08-05;30,629999;30,969999;29,639999;29,9;5552500;29,749807
2019-08-06;30,059999;30,219999;29,469999;30,049999;5355900;29,899054
2019-08-07;29,58;30,83;29,43;30,639999;4925200;30,48609
2019-08-08;30,709999;31,790001;30,67;31,610001;3962600;31,451218
2019-08-09;31,940001;32;31,219999;31,629999;4753200;31,471115
2019-08-12;31,49;31,83;29,51;29,629999;7112500;29,481163
2019-08-13;29,33;30,15;29,190001;29,6;6855400;29,451315
2019-08-14;29,120001;29,360001;28,280001;28,34;4580100;28,197643
2019-08-15;28,93;29,23;27,93;28,42;3561600;28,277241
2019-08-16;28,690001;30,309999;28,559999;30,24;4285100;30,088099
2019-08-19;30,75;30,84;30,25;30,57;4207300;30,416441
2019-08-20;30,620001;30,68;30,09;30,26;3073700;30,107998
2019-08-21;30,299999;30,98;30,280001;30,58;2815400;30,426392
2019-08-22;30,780001;30,950001;30,209999;30,290001;3351400;30,137848
2019-08-23;29,799999;30,16;28,809999;29,049999;3911600;28,904076
2019-08-26;29,35;29,475;28,67;29,02;3479800;28,874228
2019-08-27;29,15;29,43;28,535;28,73;3528400;28,585684
2019-08-28;28,48;29,530001;28,309999;29,17;5091800;29,023474
2019-08-29;29,549999;30,228001;29,52;29,709999;3135600;29,56076
2019-08-30;30;30,030001;29,26;29,32;5220200;29,17272
2019-09-03;28,99;29,1;28;28,23;3279100;28,088196
2019-09-04;28,620001;28,84;28,17;28,43;2962100;28,287191
2019-09-05;28,74;28,99;27,950001;28,459999;4972700;28,317039
2019-09-06;28,450001;28,809999;27,889999;28,389999;5140000;28,247391
2019-09-09;28,35;28,82;28,02;28,75;4661000;28,605583
2019-09-10;28,700001;29,129999;28,139999;28,559999;3682900;28,416538
2019-09-11;28,5;29,299999;28,110001;29,27;3033600;29,122972
2019-09-12;29,5;30,09;28,9;29,9;7967600;29,749807
2019-09-13;30,040001;30,35;29,9;30,120001;4919600;29,968702
2019-09-16;30,049999;30,059999;28,84;29,4;3300700;29,252317
2019-09-17;29,32;29,469999;28,959999;28,98;4118200;28,834427
2019-09-18;28,75;29,459999;28,75;29,15;3606000;29,003574
2019-09-19;29,26;29,709999;29,059999;29,139999;3222400;28,993624
2019-09-20;29,35;29,57;28,85;28,92;6865000;28,774729
2019-09-23;28,639999;29;28,445;28,879999;3314300;28,73493
2019-09-24;28,709999;28,99;27,961;28,24;2840500;28,098145
2019-09-25;28,219999;28,5;27,77;28,200001;3154200;28,058348
2019-09-26;28,110001;28,200001;27,49;27,639999;3532100;27,501158
2019-09-27;27,549999;28,23;27,309999;27,799999;4534900;27,660355
2019-09-30;27,9;28,35;27,76;28;6245000;27,85935
2019-10-01;28,030001;28,379999;27,23;27,549999;5843200;27,41161
2019-10-02;27,15;27,67;26,620001;26,940001;5181600;26,804676
2019-10-03;26,91;27,16;26,51;26,879999;3622400;26,744976
2019-10-04;27;27,038;25,801001;25,889999;4851400;25,759949
2019-10-07;26;26,469999;25,73;26;5474100;25,869398
2019-10-08;25,639999;26,43;25,59;26,219999;6214200;26,088291
2019-10-09;26,790001;26,83;25,74;26,17;3916700;26,038544
2019-10-10;26,17;26,719999;25,709999;25,73;3003300;25,600754
2019-10-11;26,1;27,120001;25,99;26,66;4555600;26,526081
2019-10-14;26,4;26,77;26,200001;26,33;3064900;26,197739
2019-10-15;26,219999;27,09;26,065001;26,700001;3826500;26,565882
2019-10-16;26,35;27,23;26,290001;26,870001;3023500;26,735027
2019-10-17;27,049999;27,209999;26,66;26,77;2196500;26,63553
2019-10-18;26,6;26,639999;25,639999;26,040001;4332300;25,909197
2019-10-21;26,290001;26,58;25,43;25,5;3318300;25,371908
2019-10-22;25,51;26,049999;25,23;25,98;4166600;25,849497
2019-10-23;25,889999;26,02;25,215;25,610001;4140000;25,481358
2019-10-24;25,629999;26,549999;25,5;26,370001;5359700;26,237539
2019-10-25;26,370001;26,959999;26,24;26,73;2676900;26,59573
2019-10-28;26,790001;27,139999;26,6;26,77;2943500;26,63553
2019-10-29;26,51;27,24;26,42;26,780001;2837000;26,645479
2019-10-30;27,049999;27,59;26,91;27,48;5993500;27,341963
2019-10-31;26,5;27,48;25,25;26,379999;7084400;26,247488
2019-11-01;26,18;26,6;25,51;26,18;10081500;26,048494
2019-11-04;26,17;26,42;25,65;25,74;8316200;25,610703
2019-11-05;25,48;26,030001;24,76;25,66;8240500;25,531105
2019-11-06;25,82;26,32;25,719999;26,129999;6560000;25,998743
2019-11-07;26,469999;26,48;26,120001;26,15;4554200;26,018644
2019-11-08;26,1;26,363001;25,91;26,200001;2998800;26,068394
2019-11-11;26,040001;26,74;25,690001;26,74;3258300;26,60568
2019-11-12;26,93;27,24;26,530001;26,719999;4665500;26,585779
2019-11-13;26,5;26,540001;25,459999;25,719999;3759900;25,590803
2019-11-14;25,709999;26,860001;25,709999;26,379999;7274500;26,247488
2019-11-15;26,57;26,620001;25,434999;25,48;4788600;25,352009
2019-11-18;25,5;25,764999;25,360001;25,48;4656400;25,352009
2019-11-19;25,549999;25,924999;25,309999;25,700001;4135100;25,570906
2019-11-20;25,620001;25,700001;24,915001;24,98;4531200;24,854521
2019-11-21;24,969999;25,41;24,93;25,110001;4165700;24,983868
2019-11-22;25,030001;25,575001;25,030001;25,540001;11212400;25,411709
2019-11-25;25,74;26,110001;25,65;25,93;6107900;25,799749
2019-11-26;25,780001;26,205;25,700001;25,879999;7580900;25,75
2019-11-27;25,77;26,219999;25,68;26,049999;6745600;26,049999
2019-11-29;25,969999;26,08;25,549999;26,02;8233100;26,02
2019-12-02;26,030001;26,139999;25,040001;25,18;7232800;25,18
2019-12-03;24,82;24,870001;24,299999;24,65;8645000;24,65
2019-12-04;24,9;25,212;24,620001;24,84;13263000;24,84
2019-12-05;24,969999;25,09;24,1;24,82;7510700;24,82
2019-12-06;25;25,559999;24,940001;25,26;5835800;25,26
2019-12-09;25,469999;26,129999;25,395;25,77;6603500;25,77
2019-12-10;25,690001;25,879999;25,42;25,870001;5134600;25,870001
2019-12-11;25,889999;26,27;25,83;26,200001;5215000;26,200001
2019-12-12;26,120001;27,075001;26;26,98;4930200;26,98
2019-12-13;26,98;27,15;26,459999;26,49;6268800;26,49
2019-12-16;26,940001;27,559999;26,85;27,549999;9527400;27,549999
2019-12-17;27,26;27,549999;26,58;26,77;9227900;26,77
2019-12-18;26,709999;27,940001;26,49;27,82;13869000;27,82
2019-12-19;27,74;28,27;27,459999;27,709999;11975100;27,709999
2019-12-20;27,68;28,25;27,440001;28,18;30573900;28,18
2019-12-23;28,190001;28,745001;28,1;28,66;5970800;28,66
2019-12-24;28,6;29,040001;28,379999;28,809999;1698400;28,809999
2019-12-26;28,68;29,200001;28,629999;29,190001;2599300;29,190001
2019-12-27;29,200001;29,280001;28,98;29,139999;2738200;29,139999
2019-12-30;29,129999;29,23;28,790001;28,860001;2795600;28,860001
2019-12-31;28,85;29,59;28,809999;29,559999;3414500;29,559999
2020-01-02;29,809999;29,809999;28,719999;28,74;6896100;28,74
2020-01-03;28,42;28,9;28,360001;28,4;5611400;28,4
2020-01-06;28,08;28,500999;27,975;28,360001;6972800;28,360001
2020-01-07;28,309999;28,719999;28,17;28,469999;6014800;28,469999
2020-01-08;28,5;28,780001;28,1;28,700001;3684500;28,700001
2020-01-09;28,799999;28,85;28,379999;28,73;3703200;28,73
2020-01-10;28,809999;28,93;28,32;28,35;4498700;28,35
2020-01-13;28,34;28,6;28,155001;28,58;4735100;28,58
2020-01-14;28,559999;28,790001;28,299999;28,639999;5370600;28,639999
2020-01-15;28,65;28,889999;28,475;28,68;6336800;28,68
2020-01-16;28,77;29,26;28,525;29,219999;5847900;29,219999
2020-01-17;28,459999;28,629999;27,629999;28,299999;8668600;28,299999
2020-01-21;28,059999;28,35;27,709999;27,82;5514000;27,82
2020-01-22;27,82;28,25;27,5;28,16;8672900;28,16
