"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;33,476669;34,1376;33,37315;34,113712;2110600;33,531219
2010-01-05;34,065933;34,177418;33,811115;34,1376;2699500;33,554703
2010-01-06;34,026119;34,503902;33,890747;34,002228;3825700;33,421646
2010-01-07;33,97834;34,272972;33,675743;33,970379;3150100;33,390335
2010-01-08;34,145565;34,989647;33,882782;34,894093;4004100;34,298283
2010-01-11;34,91798;34,973721;33,81908;33,835007;3842200;33,257282
2010-01-12;33,659817;33,731487;32,990921;33,444817;3498100;32,873749
2010-01-13;33,962414;34,193344;33,540371;33,835007;4071600;33,257282
2010-01-14;33,755375;34,384457;33,627968;34,296864;2271100;33,71125
2010-01-15;34,328716;34,647236;33,803154;34,416309;3740600;33,828655
2010-01-19;34,288898;35,037426;34,185379;34,973721;2524700;34,376553
2010-01-20;34,416309;34,456123;33,317406;34,169453;2928600;33,586018
2010-01-21;34,169453;35,045391;33,755375;34,089825;3285900;33,507744
2010-01-22;33,954453;34,065933;32,967033;32,967033;4394700;32,404125
2010-01-25;33,205925;33,205925;32,608696;32,767956;3296400;32,208447
2010-01-26;33,874821;34,233158;33,189999;33,508522;7996100;32,936367
2010-01-27;33,436852;33,643894;32,87944;33,42889;5347400;32,858093
2010-01-28;32,234432;35,0215;32,234432;34,010193;8863800;33,429474
2010-01-29;33,707596;33,747414;32,664436;33,086479;7874800;32,521538
2010-02-01;33,229813;33,723522;33,158146;33,691669;5646000;33,116394
2010-02-02;33,452778;33,842968;33,166111;33,723522;3293000;33,147697
2010-02-03;33,325371;33,97834;33,229813;33,811115;4769000;33,233795
2010-02-04;33,460743;33,548336;32,943142;32,951107;4382200;32,388466
2010-02-05;32,919254;33,277592;32,385731;33,277592;5166400;32,709381
2010-02-08;33,325371;33,9226;32,919254;33,53241;4136600;32,95985
2010-02-09;33,787228;34,567608;33,58815;34,392418;5564500;33,805172
2010-02-10;34,336678;34,591496;34,010193;34,161491;5705600;33,578186
2010-02-11;34,089825;34,36853;33,811115;34,296864;4415000;33,71125
2010-02-12;33,771301;34,519829;33,715561;34,36853;3573600;33,781689
2010-02-16;34,52779;34,734829;34,280937;34,734829;2370900;34,141739
2010-02-17;34,424271;35,013538;34,376492;34,949833;4459300;34,353069
2010-02-18;34,933907;36,064659;34,886127;35,96114;6721600;35,347107
2010-02-19;35,969105;36,303551;35,531136;35,626694;8353300;35,018375
2010-02-22;35,594841;35,738174;35,029465;35,125019;4522600;34,525265
2010-02-23;35,148911;35,324097;34,75872;34,965759;5163700;34,368721
2010-02-24;35,148911;35,403728;34,679089;34,838348;6120100;34,243488
2010-02-25;34,400383;34,400383;32,64851;34,097786;8371600;33,515568
2010-02-26;34,097786;34,336678;33,9226;34,249084;6079400;33,664288
2010-03-01;34,328716;34,949833;34,257046;34,838348;4077900;34,243488
2010-03-02;34,838348;35,013538;34,400383;34,495937;4124600;33,906929
2010-03-03;34,639275;35,196686;34,52779;34,925945;4578300;34,32959
2010-03-04;34,925945;35,085205;34,70298;35,029465;3375800;34,431339
2010-03-05;35,069279;35,833733;35,069279;35,523174;5115600;34,916618
2010-03-08;35,666508;36,319477;35,610767;35,825768;5530400;35,214043
2010-03-09;35,865585;36,677814;35,833733;36,614109;5737700;35,988922
2010-03-10;36,693741;37,585602;36,638;37,123745;5321300;36,489861
2010-03-11;36,860966;37,633381;36,725594;37,633381;4550300;36,990791
2010-03-12;37,283009;38,437649;37,171524;38,28635;7957200;37,632618
2010-03-15;38,294315;39,130436;38,23061;39,018951;8538100;38,352707
2010-03-16;39,06673;39,122471;38,580986;38,979137;5987500;38,313568
2010-03-17;38,12709;38,445614;37,402454;37,768753;18308500;37,123856
2010-03-18;37,689121;38,604874;37,689121;38,270424;8333200;37,616962
2010-03-19;38,509315;38,899506;38,111164;38,493389;9478000;37,836124
2010-03-22;38,28635;38,811913;38,28635;38,373943;3539400;37,718712
2010-03-23;38,365982;38,588947;37,776714;38,222649;4479500;37,570004
2010-03-24;38,190796;38,732281;38,055424;38,644688;3538800;37,984837
2010-03-25;38,795986;38,979137;38,206722;38,254498;4671000;37,601311
2010-03-26;38,294315;38,56506;38,07135;38,294315;3581700;37,640442
2010-03-29;38,318203;38,445614;38,015606;38,206722;2696800;37,554348
2010-03-30;38,166904;38,310242;37,800606;38,214684;2921200;37,562172
2010-03-31;38,007645;38,421722;37,697086;37,800606;5373000;37,155167
2010-04-01;37,983757;38,166904;36,892818;37,34671;5103300;36,709019
2010-04-05;37,34671;37,89616;37,267082;37,68116;3302700;37,037758
2010-04-06;37,633381;37,816532;37,275043;37,62542;2615500;36,982971
2010-04-07;37,633381;37,84042;37,386528;37,593567;2971800;36,951664
2010-04-08;37,62542;37,62542;36,908745;37,442268;3094000;36,802944
2010-04-09;37,553749;38,453575;37,529861;38,421722;2640600;37,765675
2010-04-12;38,421722;38,907471;38,254498;38,8358;3239800;38,17268
2010-04-13;38,78006;38,875618;38,166904;38,270424;3353900;37,616962
2010-04-14;38,198757;38,445614;37,912086;38,262463;3405400;37,609138
2010-04-15;38,254498;38,788025;37,999683;38,724319;4014500;38,063103
2010-04-16;38,692467;38,947285;38,38987;38,596909;4087500;37,93787
2010-04-19;38,342094;38,612835;37,856346;37,999683;4334200;37,350849
2010-04-20;38,031532;39,480808;37,888199;39,369328;5091200;38,697102
2010-04-21;39,178211;39,799332;39,090618;39,679886;5358100;39,002361
2010-04-22;38,119125;38,596909;37,012264;38,46154;11663800;37,804813
2010-04-23;38,421722;38,987099;38,143017;38,580986;5979600;37,922218
2010-04-26;38,381908;39,082657;38,23061;38,923397;2865200;38,258789
2010-04-27;38,708393;39,003025;37,760792;37,832458;4690200;37,186478
2010-04-28;38,007645;38,047459;37,545788;38,007645;6541400;37,358669
2010-04-29;38,079311;38,079311;37,466156;38,047459;4756700;37,397804
2010-04-30;38,047459;38,047459;37,227264;37,45023;3742100;36,810776
2010-05-03;37,418377;38,246536;37,362637;38,143017;3761100;37,491734
2010-05-04;37,824493;37,824493;36,805225;37,243191;3433600;36,607269
2010-05-05;37,13171;37,537823;36,486702;36,622074;5277600;35,996761
2010-05-06;36,534481;36,884853;33,651855;35,395763;6422500;34,791386
2010-05-07;35,172798;35,706322;33,930561;34,734829;5768100;34,141739
2010-05-10;36,58226;37,418377;36,255772;37,394489;6159300;36,755981
2010-05-11;37,18745;37,426342;36,829113;37,147636;4484000;36,513348
2010-05-12;37,083931;37,951904;36,964485;37,935978;4223200;37,288227
2010-05-13;38,039497;38,748207;37,832458;38,246536;7692500;37,593479
2010-05-14;37,983757;38,007645;36,630035;37,036152;4670100;36,403767
2010-05-17;37,155598;37,418377;36,160217;36,868927;4087000;36,239395
2010-05-18;37,012264;37,235229;35,762066;36,048733;4556900;35,433205
2010-05-19;35,849659;36,303551;35,340023;35,634655;5294300;35,026199
2010-05-20;35,324097;35,777988;34,838348;35,037426;5062500;34,439167
2010-05-21;34,320751;35,85762;34,272972;35,57095;3877500;34,963577
2010-05-24;35,300205;35,722248;35,085205;35,140945;2534200;34,54092
2010-05-25;34,352604;34,583534;33,771301;34,36853;5406800;33,781689
2010-05-26;34,519829;35,188725;33,962414;34,113712;5498000;33,531219
2010-05-27;34,822426;35,156872;34,599457;35,07724;5898600;34,478298
2010-05-28;34,941868;35,204651;34,607422;34,726868;4837900;34,133911
2010-06-01;34,511864;35,037426;34,31279;34,36853;2789500;33,781689
2010-06-02;34,272972;35,363911;33,954453;35,363911;4518900;34,760071
2010-06-03;35,25243;35,865585;35,228539;35,722248;4095600;35,112297
2010-06-04;35,132984;35,666508;34,376492;34,480011;4531500;33,891273
2010-06-07;34,336678;34,973721;33,874821;33,930561;3567800;33,3512
2010-06-08;33,739449;33,739449;32,114986;33,381111;10235100;32,811131
2010-06-09;33,564262;34,559643;33,389076;33,986305;6102600;33,405991
2010-06-10;34,52779;34,886127;34,225197;34,86224;3501600;34,266972
2010-06-11;34,376492;35,013538;34,241119;35,013538;2877600;34,41568
2010-06-14;35,25243;35,64262;34,886127;34,933907;3265200;34,337414
2010-06-15;35,188725;35,921326;35,132984;35,849659;3263000;35,237534
