"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;14,87;14,88;14,5;14,61;7552600;12,409562
2010-01-05;14,8;15,16;14,65;15,1;7766400;12,825762
2010-01-06;14,85;15,04;14,85;15;5550200;12,740825
2010-01-07;14,95;15,18;14,85;15,09;6492500;12,817269
2010-01-08;15,11;15,15;14,9;15,03;4458300;12,766304
2010-01-11;15,14;15,17;14,75;14,84;4381800;12,604921
2010-01-12;14,72;14,97;14,68;14,91;6587000;12,664379
2010-01-13;14,95;15,09;14,67;15,01;4991800;12,749319
2010-01-14;15,05;15,14;14,83;14,97;9028000;12,715343
2010-01-15;14,92;15,09;14,56;14,76;10835600;12,53697
2010-01-19;14,66;14,87;14,64;14,86;6135300;12,621906
2010-01-20;14,79;15;14,58;14,82;7563600;12,58793
2010-01-21;14,8;14,87;14,22;14,23;10771500;12,086795
2010-01-22;14,18;14,19;13,44;13,46;14728800;11,432763
2010-01-25;13,88;14,05;13,32;13,48;10757000;11,449753
2010-01-26;13,4;13,75;13,27;13,47;7834000;11,441257
2010-01-27;13,47;13,88;13,24;13,82;9979900;11,738545
2010-01-28;13,99;13,99;13,24;13,51;8616700;11,475236
2010-01-29;13,61;13,94;13,54;13,68;7099000;11,61963
2010-02-01;13,73;13,8;13,21;13,32;8491500;11,31385
2010-02-02;13,62;13,86;13,52;13,8;6514700;11,721557
2010-02-03;13,77;13,81;13,25;13,3;5784800;11,296859
2010-02-04;13,15;13,33;12,87;12,9;7729800;10,957108
2010-02-05;12,92;13,03;12,58;13,01;6965100;11,050542
2010-02-08;12,98;13,07;12,72;12,76;7751000;10,838193
2010-02-09;12,92;13,18;12,77;13,03;4938200;11,067527
2010-02-10;13,04;13,13;12,78;12,92;5150600;10,974092
2010-02-11;12,91;13,07;12,78;13,04;5211900;11,076023
2010-02-12;12,91;13,06;12,8;13,03;5822200;11,067527
2010-02-16;13,18;13,58;13,1;13,55;8678100;11,509209
2010-02-17;13,69;13,69;13,46;13,53;4843200;11,492223
2010-02-18;13,55;13,62;13,44;13,56;2845500;11,517708
2010-02-19;13,5;13,69;13,49;13,67;4207800;11,611138
2010-02-22;13,71;14,1;13,65;13,84;6748700;11,75553
2010-02-23;13,77;13,82;13,46;13,47;6324300;11,441257
2010-02-24;13,48;13,69;13,45;13,63;4646700;11,57716
2010-02-25;13,44;13,48;13,21;13,46;4652200;11,432763
2010-02-26;13,46;13,66;13,4;13,65;3699300;11,594147
2010-03-01;13,7;13,72;13,54;13,61;2834300;11,560172
2010-03-02;13,62;13,97;13,62;13,9;5153100;11,806497
2010-03-03;13,93;14,15;13,78;13,78;4299100;11,70457
2010-03-04;13,76;13,85;13,67;13,77;4542900;11,696077
2010-03-05;13,9;14,29;13,83;14,17;6882800;12,035833
2010-03-08;14,15;14,19;14,05;14,12;5674200;11,993361
2010-03-09;14;14,51;13,83;14,44;6310300;12,265164
2010-03-10;14,51;14,59;14,24;14,38;5159000;12,214202
2010-03-11;14,34;14,94;14,26;14,92;7164600;12,672874
2010-03-12;14,84;15,22;14,84;14,97;10395400;12,715343
2010-03-15;15,01;15,26;14,91;15,2;6135200;12,9107
2010-03-16;15,32;15,48;15,06;15,3;5651500;12,995638
2010-03-17;14,78;15,78;14,73;15,24;10960100;12,944673
2010-03-18;15,19;15,55;15,17;15,52;6226100;13,182503
2010-03-19;15,24;15,66;15,15;15,24;9845400;12,944673
2010-03-22;15,13;15,46;15,04;15,35;6830600;13,038111
2010-03-23;15,41;15,46;15,3;15,4;5736600;13,080575
2010-03-24;15,35;15,42;15,23;15,4;4399800;13,080575
2010-03-25;15,5;15,78;15,35;15,39;5903600;13,072085
2010-03-26;15,41;15,55;15,08;15,39;6204200;13,072085
2010-03-29;15,46;15,51;15,23;15,35;6303100;13,038111
2010-03-30;15,31;15,42;15,03;15,12;8058800;12,859505
2010-03-31;15,08;15,18;14,86;14,9;6788800;12,672397
2010-04-01;15,06;15,38;15,04;15,34;6392000;13,046615
2010-04-05;15,32;15,73;15,32;15,58;5924300;13,250732
2010-04-06;15,52;15,52;15,24;15,38;5937300;13,080634
2010-04-07;15,42;15,67;15,1;15,17;7313900;12,902032
2010-04-08;15,14;15,44;15,06;15,41;6309200;13,10615
2010-04-09;15,47;15,66;15,38;15,5;6542300;13,182693
2010-04-12;15,55;15,68;15,28;15,6;8856900;13,267745
2010-04-13;15,6;15,7;15,42;15,6;8007100;13,267745
2010-04-14;15,61;16,120001;15,5;16,040001;8386400;13,641962
2010-04-15;16,59;16,59;16,030001;16,120001;9330500;13,710002
2010-04-16;16,07;16,110001;15,21;15,36;10845600;13,063623
2010-04-19;15,21;15,71;15,14;15,67;7835400;13,327278
2010-04-20;15,82;15,9;15,6;15,86;6998200;13,488871
2010-04-21;15,85;15,87;15,45;15,66;5364100;13,318773
2010-04-22;15,49;15,87;15,28;15,82;6695300;13,454854
2010-04-23;15,87;16,48;15,71;16,26;8836400;13,829073
2010-04-26;16,26;16,299999;15,94;16,09;5478800;13,684485
2010-04-27;15,92;16,08;15,33;15,37;8504600;13,072127
2010-04-28;15,51;15,66;15,17;15,44;6771900;13,131664
2010-04-29;15,61;16,1;15,57;16,040001;7680800;13,641962
2010-04-30;15,95;16,139999;15,43;15,46;6356900;13,148677
2010-05-03;15,59;16,18;15,57;16,1;7529400;13,692995
2010-05-04;15,78;15,98;15,25;15,34;9233800;13,046615
2010-05-05;15,25;15,4;14,81;14,94;7486600;12,706413
2010-05-06;14,86;15,19;13,42;14,41;10736600;12,255653
2010-05-07;14,32;14,62;13,9;14,08;8936100;11,974987
2010-05-10;14,95;15,18;14,67;14,87;7870300;12,64688
2010-05-11;14,63;15,05;14,54;14,9;11631200;12,672397
2010-05-12;14,95;15,27;14,86;15,21;6679500;12,93605
2010-05-13;15,14;15,28;14,76;14,79;6816300;12,578844
2010-05-14;14,29;14,57;14,11;14,24;9035700;12,11107
