"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;10,96;11,18;10,87;11,16;5799100;9,907474
2010-01-05;11,13;11,59;10,95;11,56;10254500;10,26258
2010-01-06;11,45;11,76;11,39;11,66;8410300;10,351356
2010-01-07;11,94;12,53;11,92;12,27;13808800;10,892895
2010-01-08;12,12;12,31;12,04;12,17;5720700;10,804116
2010-01-11;12,29;12,32;12,02;12,24;3746100;10,866259
2010-01-12;12,09;12,23;11,85;12,21;5982000;10,839626
2010-01-13;12,24;12,57;12,04;12,42;6278400;11,026055
2010-01-14;12,33;12,56;12,23;12,25;4344800;10,875138
2010-01-15;12,19;12,38;11,94;12,14;4686100;10,777482
2010-01-19;12,1;12,5;12,09;12,33;4456200;10,946157
2010-01-20;12,16;12,32;12,08;12,13;5194600;10,768606
2010-01-21;12,11;12,17;11,52;11,55;7275700;10,2537
2010-01-22;11,52;11,86;11,11;11,2;11747600;9,942978
2010-01-25;11,3;11,58;11,17;11,37;6031100;10,093904
2010-01-26;11,29;11,59;11,2;11,29;7266100;10,022882
2010-01-27;11,21;11,72;11,17;11,67;9099400;10,360231
2010-01-28;11,78;12,04;11,53;11,79;9429800;10,466763
2010-01-29;11,96;12,12;11,77;11,79;6786700;10,466763
2010-02-01;11,83;12,04;11,63;11,91;6815800;10,573296
2010-02-02;12,79;13,36;12,23;13,21;28814200;11,727392
2010-02-03;13,27;13,31;12,81;13,25;11711800;11,762904
2010-02-04;13,03;13,34;12,94;13,21;13717800;11,727392
2010-02-05;13,08;13,14;12,16;12,67;14373500;11,248
2010-02-08;12,72;13,26;12,47;12,92;8691600;11,469942
2010-02-09;13,08;13,16;12,61;12,98;8493200;11,523204
2010-02-10;12,97;13,07;12,59;12,85;7313100;11,407798
2010-02-11;12,85;13,22;12,7;13,12;6525900;11,681585
2010-02-12;13,25;13,42;12,96;13,07;8325600;11,637068
2010-02-16;13,3;13,33;13,05;13,22;4582500;11,770621
2010-02-17;13,43;13,53;12,94;13,12;6917100;11,681585
2010-02-18;12,98;13,03;12,69;12,78;7208600;11,37886
2010-02-19;12,74;13;12,74;12,95;7725200;11,530224
2010-02-22;13;13,09;12,77;12,92;6202800;11,503511
2010-02-23;12,88;12,98;12,43;12,57;9556500;11,191883
2010-02-24;12,63;12,65;12,04;12,34;9437600;10,987101
2010-02-25;12,08;12,35;11,96;12,35;6001800;10,996007
2010-02-26;12,37;12,45;12,02;12,36;5250400;11,004908
2010-03-01;12,37;12,59;12,37;12,56;3873800;11,182982
2010-03-02;12,66;12,72;12,4;12,47;3805800;11,102848
2010-03-03;12,59;12,8;12,47;12,57;5471700;11,191883
2010-03-04;12,59;12,72;12,31;12,49;4405000;11,120653
2010-03-05;12,58;12,95;12,55;12,87;6497000;11,458994
2010-03-08;12,87;12,99;12,79;12,96;2870700;11,539126
2010-03-09;12,91;13,17;12,83;13,09;5021400;11,654872
2010-03-10;13,1;13,23;12,9;13,01;5013200;11,583647
2010-03-11;12,95;12,98;12,73;12,96;4345000;11,539126
2010-03-12;12,99;13,01;12,78;13;4572100;11,574743
2010-03-15;12,98;13,03;12,64;12,84;3530400;11,432283
2010-03-16;12,8;13,15;12,6;13,03;5042700;11,601451
2010-03-17;13,05;13,17;12,79;12,89;4875300;11,476801
2010-03-18;12,93;12,99;12,66;12,76;2937600;11,361053
