"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;28,612585;28,6884;28,241093;28,48749;5202600;18,436695
2010-01-05;28,43442;28,472328;28,161486;28,453373;4502200;18,414616
2010-01-06;28,343443;28,53677;28,123579;28,506445;4960700;18,448961
2010-01-07;28,525398;28,802122;28,510235;28,74147;4388800;18,601072
2010-01-08;28,58984;29,181198;28,366186;29,14329;5938600;18,861122
2010-01-11;29,404852;29,575436;29,18878;29,473085;4699300;19,07456
2010-01-12;29,264595;29,510994;28,976498;29,063684;5084200;18,809603
2010-01-13;29,067476;29,268385;28,965126;29,13571;3321700;18,856215
2010-01-14;29,124336;29,317665;29,006823;29,257013;2509000;18,934719
2010-01-15;29,283548;29,435179;28,832449;28,889311;4630400;18,696747
2010-01-19;28,919636;29,184988;28,809704;29,116755;3843300;18,843946
2010-01-20;28,912054;28,934799;28,601213;28,805914;2708900;18,642773
2010-01-21;28,756634;28,912054;28,309326;28,320698;4338900;18,328753
2010-01-22;28,222137;28,294163;27,83169;27,843063;5012700;18,019629
2010-01-25;28,153904;28,400303;27,990902;28,248672;4492700;18,282139
2010-01-26;28,222137;28,316906;27,952995;28,074299;3618200;18,169285
2010-01-27;27,97953;28,165277;27,638363;28,123579;3888400;18,201176
2010-01-28;27,38059;28,043972;27,206217;27,61941;6988300;17,874893
2010-01-29;27,653526;27,67248;27,01668;27,047005;5985000;17,504431
2010-02-01;27,153147;27,27445;26,948446;27,236544;6601800;17,6271
2010-02-02;27,304777;27,733131;27,137983;27,699015;5573300;17,926403
2010-02-03;27,482941;27,72555;27,297195;27,626989;4256600;17,879797
2010-02-04;27,437452;27,520849;26,804398;26,827143;5342400;17,362141
2010-02-05;26,823351;27,009098;26,459438;26,918119;8505900;17,421019
2010-02-08;26,637604;26,849886;26,52009;26,592115;5231600;17,210037
2010-02-09;26,884003;27,024261;26,584534;26,872631;5655800;17,391588
2010-02-10;26,921911;27,092495;26,599697;26,906748;4087800;17,413658
2010-02-11;26,815769;27,27445;26,580744;27,255497;3791000;17,639368
2010-02-12;26,971189;27,308567;26,774071;27,266869;4924300;17,64673
2010-02-16;27,498104;27,884762;27,357847;27,862017;4153200;18,031898
2010-02-17;28,316906;28,544352;28,131161;28,517817;9812300;18,456322
2010-02-18;28,544352;28,703564;28,4837;28,616377;4172200;18,520107
2010-02-19;28,58605;28,923428;28,555723;28,790751;5137200;18,632957
2010-02-22;28,919636;28,919636;28,510235;28,714935;4228900;18,583895
2010-02-23;28,650494;28,733889;28,203184;28,294163;4615900;18,311583
2010-02-24;28,407885;28,419256;28,017437;28,248672;5894600;18,282139
2010-02-25;28,021229;28,320698;27,634571;28,260046;5770600;18,289495
2010-02-26;28,191813;28,362396;28,009855;28,040182;5316000;18,147205
2010-03-01;28,03639;28,597422;27,949203;28,563305;6167900;18,485762
2010-03-02;28,608795;28,699772;28,525398;28,627748;2772500;18,527468
2010-03-03;28,752844;28,843821;28,47991;28,540562;2787300;18,471043
2010-03-04;28,718727;28,805914;28,491282;28,768005;3659100;18,618244
2010-03-05;28,908264;29,181198;28,836239;29,169827;2707300;18,878296
2010-03-08;29,097801;29,166035;28,946171;29,037149;2079500;18,792429
2010-03-09;29,014404;29,416224;29,014404;29,39727;5665100;19,025494
2010-03-10;29,34799;29,617134;29,317665;29,537529;5721200;19,116266
2010-03-11;29,374527;29,673996;29,169827;29,673996;6162100;19,204586
2010-03-12;29,939348;29,939348;29,408644;29,613344;3519600;19,165331
2010-03-15;29,488249;29,613344;29,298712;29,575436;3057900;19,1408
2010-03-16;29,647461;29,658833;29,370735;29,560272;4913200;19,130985
2010-03-17;29,647461;29,715694;29,264595;29,3442;7185300;18,991152
2010-03-18;29,302502;29,583017;29,1395;29,564064;5289700;19,133444
2010-03-19;29,181198;29,711903;29,08643;29,181198;5322900;18,885656
2010-03-22;29,116755;29,45034;29,040939;29,363153;2982200;19,003416
2010-03-23;29,336618;29,503412;29,177406;29,39727;3724800;19,025494
2010-03-24;29,219105;29,260803;28,942381;28,946171;4300900;18,759077
2010-03-25;29,056103;29,325247;28,904472;28,987869;5591200;18,786097
2010-03-26;29,014404;29,351782;28,972706;29,044731;4982600;18,822948
2010-03-29;29,158453;29,382107;29,052313;29,329037;4082800;19,007193
2010-03-30;30,386656;30,742987;30,174374;30,65959;13081000;19,869482
2010-03-31;30,523123;30,579985;30,212282;30,291887;5940700;19,631189
2010-04-01;30,375284;30,693707;30,348749;30,564821;5202600;19,808071
2010-04-05;30,674753;30,70508;30,466263;30,667171;3078000;19,874395
2010-04-06;30,568613;30,614101;30,451099;30,542078;3261800;19,793325
2010-04-07;30,466263;30,572403;30,246399;30,477634;5236100;19,751566
2010-04-08;30,473845;30,511751;30,170584;30,269144;4026300;19,616451
2010-04-09;30,253981;30,458681;30,200911;30,447309;3193800;19,731909
2010-04-12;30,507961;30,526915;30,333586;30,462471;2849500;19,741741
2010-04-13;30,041698;30,212282;29,927977;30,034117;7488200;19,464138
2010-04-14;30,026535;30,712662;29,912813;30,667171;6103500;19,874395
2010-04-15;30,598938;30,928734;30,511751;30,735405;5966300;19,918615
2010-04-16;30,693707;30,75436;30,15542;30,261562;7041000;19,611536
2010-04-19;30,109932;30,329796;29,924185;30,295679;5521800;19,633648
2010-04-20;30,636847;30,852919;30,477634;30,636847;5296300;19,854746
2010-04-21;30,598938;31,194086;30,492798;30,883245;7480000;20,014435
2010-04-22;31,607279;32,282032;31,159969;31,990145;13527600;20,731775
2010-04-23;32,069748;32,388172;31,656557;32,376801;6834700;20,982351
2010-04-26;32,410919;32,410919;32,088703;32,221378;5332900;20,881626
2010-04-27;32,145565;32,27066;31,493555;31,561789;4667600;20,454168
2010-04-28;31,736164;31,929493;31,542835;31,656557;6102700;20,515589
2010-04-29;31,827143;32,327522;31,827143;32,22517;4671600;20,884083
2010-04-30;32,354057;32,407127;31,834723;31,948446;7962000;20,704748
