"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;50,380001;51,009998;49,43;50,150002;1306900;32,330379
2010-01-05;50,029999;50,549999;49,52;50,48;841500;32,543133
2010-01-06;50,66;50,759998;49,549999;49,799999;988300;32,104733
2010-01-07;49,68;50,48;49,52;50,240002;881100;32,388397
2010-01-08;50,119999;50,939999;49,91;50,799999;971700;32,749413
2010-01-11;51,189999;51,389999;50,360001;50,549999;607900;32,588238
2010-01-12;50,139999;50,5;49,419998;49,959999;817100;32,207886
2010-01-13;50;50,470001;49,75;50,200001;814100;32,36261
2010-01-14;49,990002;50,84;49,73;50,5;884800;32,556011
2010-01-15;50,43;50,66;49,630001;50;1392900;32,233685
2010-01-19;50,09;51,400002;50,09;51,049999;1200500;32,910564
2010-01-20;50,77;50,77;49,759998;50,450001;795100;32,523777
2010-01-21;50,759998;51,349998;50,310001;50,470001;2243100;32,536663
2010-01-22;50,400002;50,950001;49,009998;49,099998;1314600;31,653467
2010-01-25;49,709999;49,77;48,259998;48,790001;681700;31,453613
2010-01-26;48,66;49,27;48,290001;48,5;728800;31,266659
2010-01-27;48,349998;48,82;47,790001;48,630001;871900;31,350471
2010-01-28;48,700001;48,889999;47,700001;47,98;660400;30,931431
2010-01-29;48,139999;48,43;47,450001;48;1132200;30,944323
2010-02-01;48,18;48,540001;47,25;48,299999;1233000;31,137732
2010-02-02;48,560001;49,75;48,32;49,57;1493000;31,956465
2010-02-03;49,400002;49,439999;48,650002;49,299999;990200;31,782394
2010-02-04;49,040001;49,040001;47,75;47,889999;1323300;30,873413
2010-02-05;47,880001;48,889999;47,689999;48,849998;1405300;31,492287
2010-02-08;48,779999;49,040001;46,950001;47,02;800800;30,312544
2010-02-09;47,73;47,73;46,509998;46,759998;666900;30,144938
2010-02-10;46,82;47,18;46,209999;46,689999;720800;30,099798
2010-02-11;46,68;47,23;46,5;47,200001;852300;30,428595
2010-02-12;46,59;47,669998;46,5;47,66;529900;30,725142
2010-02-16;47,98;48,540001;47,77;48,43;775500;31,221529
2010-02-17;48,639999;49,110001;48,43;48,849998;625000;31,492287
2010-02-18;48,59;49,990002;48,59;49,84;595700;32,130531
