"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;45,73;45,950001;45,23;45,380001;2142300;30,22541
2010-01-05;45,490002;45,630001;44,509998;44,790001;2856000;29,832441
2010-01-06;44,75;45,490002;44,75;45,27;2035400;30,152153
2010-01-07;45,34;45,349998;44,91;45,110001;1993400;30,045584
2010-01-08;44,990002;45,299999;44,709999;45,25;1306400;30,138823
2010-01-11;45,470001;45,959999;45,360001;45,82;1751900;30,518478
2010-01-12;45,759998;46;45,529999;45,73;1451600;30,458525
2010-01-13;45,73;46,189999;45,700001;46,080002;1247200;30,691645
2010-01-14;46,16;46,299999;45,970001;46,23;1129400;30,791553
2010-01-15;45,919998;46,02;45,27;45,720001;2444700;30,451864
2010-01-19;45,779999;46,41;45,66;46,41;1567200;30,911446
2010-01-20;46,240002;46,259998;45,560001;46,209999;1869100;30,778236
2010-01-21;46,310001;46,450001;45,32;45,610001;2114000;30,378601
2010-01-22;44,82;45,27;43,389999;43,509998;6468200;28,979897
2010-01-25;43,759998;44;43,07;43,619999;3040100;29,053156
2010-01-26;43,580002;44,240002;43,349998;44,080002;2522700;29,359537
2010-01-27;43,669998;44,07;43,349998;44,049999;2840900;29,339569
2010-01-28;44,049999;44,049999;43,450001;43,720001;1885100;29,119766
2010-01-29;43,880001;44;43,5;43,740002;2049700;29,133089
2010-02-01;43,84;43,93;43,360001;43,93;1277700;29,259628
2010-02-02;43,950001;44,16;43,400002;44,139999;1628100;29,399506
2010-02-03;44,02;44,029999;43,599998;43,759998;1205700;29,146408
2010-02-04;43,630001;43,73;43;43,02;3207400;28,653526
2010-02-05;43,040001;43,25;42,509998;43,18;3735600;28,760103
2010-02-08;43,23;43,299999;42,759998;42,810001;1381200;28,513655
2010-02-09;43,040001;43,799999;42,869999;43,439999;2116200;28,933266
2010-02-10;43,400002;43,400002;42,66;42,98;2491000;28,626894
2010-02-11;42,98;43,279999;42,709999;43,169998;2019500;28,753429
2010-02-12;42,259998;42,48;42,09;42,220001;2688500;28,51368
2010-02-16;42,400002;42,950001;42,389999;42,950001;1309500;29,006702
2010-02-17;43,110001;43,110001;42,700001;42,860001;1027500;28,945915
2010-02-18;42,779999;42,869999;42,439999;42,709999;1941500;28,844608
2010-02-19;42,610001;43,34;42,490002;43,130001;1993700;29,128265
2010-02-22;43,139999;43,330002;42,790001;42,919998;1598700;28,986435
2010-02-23;42,91;43;42,650002;42,75;1240200;28,87163
2010-02-24;42,939999;42,939999;42,52;42,880001;1752400;28,959429
2010-02-25;42,5;42,91;42,16;42,869999;1817600;28,952679
2010-02-26;42,950001;42,990002;42,599998;42,75;1353400;28,87163
2010-03-01;42,810001;43,439999;42,810001;43,189999;1548000;29,168785
2010-03-02;43,400002;43,950001;43,360001;43,790001;1898500;29,574007
2010-03-03;43,82;44,200001;43,549999;43,68;1795800;29,499708
2010-03-04;43,669998;43,779999;43,25;43,540001;1737800;29,405157
2010-03-05;43,25;43,720001;43,209999;43,619999;1682900;29,459187
2010-03-08;43,650002;43,799999;43,5;43,790001;1043100;29,574007
2010-03-09;43,77;43,900002;43,59;43,66;1390200;29,486195
2010-03-10;43,779999;43,900002;43,580002;43,740002;1220900;29,54023
2010-03-11;43,740002;43,919998;43,459999;43,889999;1056100;29,641537
2010-03-12;43,950001;44;43,669998;43,700001;1464000;29,513216
2010-03-15;43,889999;44,150002;43,740002;44,150002;1270000;29,817129
