"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;35,07;35,130001;34,700001;34,77;1931500;25,229984
2010-01-05;34,68;34,93;34,360001;34,459999;2485100;25,005047
2010-01-06;34,490002;34,98;34,380001;34,889999;2673000;25,317064
2010-01-07;34,799999;34,84;34,540001;34,68;2059800;25,164682
2010-01-08;34,59;34,709999;34,279999;34,5;1560100;25,034069
2010-01-11;34,610001;35,259998;34,610001;35,169998;2939100;25,520239
2010-01-12;35,040001;35,279999;34,939999;35,130001;2237200;25,491213
2010-01-13;35,16;35,52;35,049999;35,450001;1535700;25,723412
2010-01-14;35,349998;35,48;35,16;35,43;1443700;25,708902
2010-01-15;35,740002;35,810001;34,91;35,240002;2461600;25,571033
2010-01-19;35,209999;35,82;35,18;35,779999;1642900;25,962872
2010-01-20;35,349998;35,560001;34,849998;35,34;2026100;25,643591
2010-01-21;35,470001;35,669998;34,630001;34,889999;2246300;25,317064
2010-01-22;34,720001;34,799999;33,860001;33,869999;2568900;24,576923
2010-01-25;34,209999;34,360001;33,779999;34,099998;1531600;24,743822
2010-01-26;34,049999;34,32;33,759998;34,200001;2691800;24,816385
2010-01-27;34,080002;34,150002;33,560001;34,049999;1976900;24,707533
2010-01-28;34,099998;34,189999;33,439999;33,470001;2243500;24,286676
2010-01-29;33,57;33,869999;33,279999;33,32;2101200;24,177832
2010-02-01;33,470001;33,709999;33,099998;33,66;1843500;24,424541
2010-02-02;33,73;34;33,360001;34;1707600;24,671253
2010-02-03;33,790001;33,939999;33,52;33,599998;1710200;24,381006
2010-02-04;33,400002;33,439999;32,48;32,5;2790700;23,582817
2010-02-05;32,450001;32,630001;31,879999;32,459999;2013700;23,553793
2010-02-08;32,580002;32,610001;32,09;32,130001;1262300;23,314337
2010-02-09;32,369999;32,950001;32,299999;32,549999;1441900;23,619097
2010-02-10;32,509998;32,57;32,080002;32,369999;1158600;23,488482
2010-02-11;32,380001;32,66;32,009998;32,580002;1898100;23,640867
2010-02-12;32,529999;32,610001;32,200001;32,59;1893500;23,648121
2010-02-16;32,759998;33,360001;32,709999;33,349998;1511800;24,1996
2010-02-17;33,82;33,830002;33,18;33,310001;1622500;24,17057
2010-02-18;33,220001;33,900002;33,220001;33,610001;1542600;24,388266
2010-02-19;33,450001;34,400002;33,389999;34,240002;2108100;24,845402
2010-02-22;34,290001;34,5;33,790001;33,810001;1766200;24,53339
2010-02-23;33,68;33,849998;33,25;33,299999;1862800;24,163319
2010-02-24;33,330002;33,490002;32,900002;33,18;2401700;24,076239
2010-02-25;32,700001;32,82;32,349998;32,740002;2907500;23,756968
2010-02-26;32,790001;33;32,540001;32,630001;2342800;23,677153
2010-03-01;32,880001;33,389999;32,880001;33,32;2437000;24,177832
2010-03-02;33,470001;33,700001;33,080002;33,23;2757300;24,11252
2010-03-03;33,349998;33,73;33,18;33,299999;2330000;24,163319
2010-03-04;33,299999;33,369999;33,049999;33,130001;2395800;24,039961
2010-03-05;33,279999;33,810001;33,209999;33,779999;2180700;24,511618
2010-03-08;33,91;33,91;33,529999;33,560001;1746900;24,351982
2010-03-09;33,549999;33,669998;33,419998;33,560001;2055700;24,351982
2010-03-10;34,029999;34,25;33,799999;34,099998;2877300;24,743822
2010-03-11;34,27;34,360001;33,939999;34,259998;2127900;24,859917
2010-03-12;34,419998;34,419998;33,790001;33,790001;1685900;24,518873
2010-03-15;33,73;34,080002;33,650002;34,080002;2088200;24,729307
2010-03-16;34,009998;34,389999;33,779999;34,369999;1581400;24,939732
2010-03-17;34,360001;34,790001;34,279999;34,709999;1981700;25,186451
2010-03-18;34,68;34,919998;34,32;34,509998;2244800;25,041315
2010-03-19;34,41;34,68;34,110001;34,41;3080500;24,968758
2010-03-22;34,279999;34,439999;34,130001;34,23;2256800;24,838144
2010-03-23;34,220001;34,560001;34,150002;34,48;2226600;25,019548
2010-03-24;34,34;34,459999;34,080002;34,09;2146100;24,736565
2010-03-25;34,23;34,380001;33,810001;33,830002;1861300;24,547901
2010-03-26;33,970001;34,060001;33,650002;34,02;1881700;24,685764
2010-03-29;33,799999;34,240002;33,68;34,200001;1784600;25,048315
2010-03-30;34,16;34,560001;34,16;34,509998;1809000;25,275356
2010-03-31;34,389999;34,470001;34,07;34,169998;1928500;25,026335
2010-04-01;34,349998;34,59;34,189999;34,299999;1398800;25,121546
2010-04-05;34,369999;34,459999;34,189999;34,389999;1193700;25,187469
2010-04-06;34,240002;34,669998;34,099998;34,669998;1318900;25,39254
2010-04-07;34,57;34,650002;34,240002;34,380001;1699900;25,180145
2010-04-08;34,27;34,369999;34,07;34,330002;1152700;25,143524
2010-04-09;34,290001;34,290001;33,970001;34,220001;1133300;25,062956
2010-04-12;34,279999;34,59;34,27;34,459999;1373900;25,238741
2010-04-13;34,369999;34,459999;34;34,360001;1222000;25,165499
2010-04-14;34,259998;34,450001;34,049999;34,43;1670400;25,216764
2010-04-15;34,32;34,68;34,130001;34,529999;2034000;25,289999
2010-04-16;34,48;34,509998;33,869999;33,93;2277300;24,850557
2010-04-19;33,82;34,009998;33,669998;33,849998;1951500;24,791964
2010-04-20;33,970001;34,209999;33,919998;34,110001;2124500;24,982389
2010-04-21;34,119999;34,380001;34,060001;34,290001;2261100;25,114225
2010-04-22;34,150002;34,150002;33,790001;34,09;2269500;24,967747
2010-04-23;34;34,389999;33,849998;34,369999;1796400;25,172815
2010-04-26;34,279999;34,41;34,09;34,09;1701400;24,967747
2010-04-27;34;34,080002;33,279999;33,279999;2109000;24,374489
2010-04-28;33,389999;33,779999;33,220001;33,389999;2587400;24,455055
2010-04-29;33,549999;33,919998;33,529999;33,720001;2105300;24,696754
2010-04-30;33,790001;34,619999;33,709999;34,369999;2848100;25,172815
2010-05-03;34,48;34,740002;34,23;34,689999;2606300;25,407187
2010-05-04;34,32;34,470001;33,57;33,66;2454500;24,652807
2010-05-05;33,549999;33,869999;33,400002;33,669998;2230900;24,66013
