"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;30,75;30,965;30,43;30,875;1446400;23,279949
2010-01-05;30,93;31,049999;30,184999;30,48;2269800;22,982117
2010-01-06;30,455;30,99;29,985001;30,275;3099000;22,827541
2010-01-07;30,16;30,6;30,065001;30,35;1076200;22,884094
2010-01-08;30,225;30,475;30,084999;30,43;853400;22,94441
2010-01-11;30,665001;30,74;30,280001;30,445;855600;22,955725
2010-01-12;30,025;30,190001;29,715;30,125;2073600;22,714443
2010-01-13;30,165001;30,940001;29,995001;30,790001;1486000;23,215853
2010-01-14;30,68;30,92;30,25;30,35;1237200;22,884094
2010-01-15;30,315001;30,450001;29,924999;30,209999;1300200;22,778534
2010-01-19;30,225;30,91;30,045;30,905001;948800;23,302561
2010-01-20;30,51;30,51;29,93;30,465;1132600;22,970804
2010-01-21;30,565001;30,695;29,370001;29,375;1619800;22,148933
2010-01-22;29,290001;29,58;28,674999;28,705;1504000;21,643753
2010-01-25;29,174999;29,355;29,030001;29,055;837200;21,907654
2010-01-26;28,905001;29,4;28,75;28,85;1085800;21,753086
2010-01-27;28,84;29,105;28,34;29,030001;1321400;21,888802
2010-01-28;29;29,184999;28,155001;28,49;1694800;21,481636
2010-01-29;29,514999;29,950001;28,215;28,264999;3985400;21,311987
2010-02-01;29,049999;30;29,049999;29,985001;2468000;22,608881
2010-02-02;29,945;30,174999;29,49;29,805;3370400;22,473158
2010-02-03;29,565001;29,969999;29,315001;29,645;1598400;22,352518
2010-02-04;29,280001;29,280001;28,5;28,74;2007400;21,670137
2010-02-05;28,815001;29,040001;27,934999;28,82;3121800;21,730463
2010-02-08;28,775;29,035;28,225;28,295;1930000;21,334616
2010-02-09;28,709999;29,135;28,34;28,93;1675000;21,813408
2010-02-10;28,940001;29,08;28,290001;28,674999;1581400;21,621128
2010-02-11;28,665001;29,059999;28,385;28,92;1721400;21,805861
2010-02-12;28,424999;29,1;28,145;28,995001;1527600;21,862417
2010-02-16;29,32;29,700001;29,174999;29,665001;1596200;22,367598
2010-02-17;29,895;29,985001;29,424999;29,65;1233200;22,356287
2010-02-18;29,459999;29,98;29,459999;29,93;976000;22,567411
2010-02-19;29,85;30,18;29,719999;30,01;1243400;22,627729
2010-02-22;30,184999;30,33;29,870001;30,135;1694400;22,721985
2010-02-23;30,025;30,1;29,275;29,504999;1441400;22,24695
2010-02-24;29,67;29,905001;29,395;29,785;1538800;22,458078
2010-02-25;29,245001;29,76;29,01;29,695;1705200;22,390213
2010-02-26;29,67;29,844999;29,365;29,775;1540400;22,450535
2010-03-01;29,969999;30,049999;29,58;30,030001;3508200;22,642809
2010-03-02;30,219999;30,43;30,030001;30,264999;2700600;22,82
2010-03-03;30,389999;31,035;30,16;30,525;2360200;23,016043
2010-03-04;30,445;30,75;30,355;30,629999;1281000;23,095215
2010-03-05;30,780001;30,924999;30,629999;30,875;1407200;23,279949
2010-03-08;30,860001;31,045;30,735001;30,875;1415800;23,279949
2010-03-09;30,745001;30,98;30,555;30,715;1749400;23,159304
2010-03-10;30,690001;30,93;30,4;30,790001;2838800;23,215853
2010-03-11;30,395;30,905001;30,155001;30,905001;1814200;23,640392
2010-03-12;30,85;31,290001;30,780001;30,965;1660600;23,686291
2010-03-15;30,764999;31,105;30,594999;30,780001;1410600;23,544781
2010-03-16;30,879999;31,120001;30,725;31,110001;1453800;23,797207
2010-03-17;31,184999;31,705;31,084999;31,559999;1807000;24,14143
2010-03-18;31,51;31,715;31,059999;31,18;2143600;23,850752
2010-03-19;30,605;31,424999;30,540001;30,605;1687000;23,410906
2010-03-22;30,4;31,344999;30,209999;31,290001;1505600;23,934893
2010-03-23;31,24;31,514999;31,014999;31,43;1320000;24,041986
2010-03-24;31,174999;31,860001;31,045;31,690001;2461400;24,24087
2010-03-25;31,92;32,18;31,455;31,475;2379200;24,076405
2010-03-26;31,58;32,259998;31,57;31,684999;1624200;24,237047
2010-03-29;31,805;32,119999;31,805;31,995001;1682200;24,474174
2010-03-30;32,035;32,275002;31,905001;32,174999;1309400;24,611866
2010-03-31;32,060001;32,334999;31,785;31,84;1810400;24,35561
2010-04-01;32,009998;32,485001;31,965;32,485001;1360600;24,848997
2010-04-05;32,5;33,259998;32,415001;33,105;1996200;25,323254
2010-04-06;32,904999;33,035;32,794998;32,884998;1520400;25,154966
2010-04-07;32,724998;33,264999;32,674999;32,924999;1336600;25,185575
2010-04-08;32,775002;32,994999;32,619999;32,91;1039200;25,174093
2010-04-09;32,990002;33,450001;32,884998;33,450001;1034200;25,587168
2010-04-12;33,389999;33,5;32,950001;33,009998;1081000;25,250591
2010-04-13;33,009998;33,150002;32,805;32,919998;1031000;25,18174
2010-04-14;32,860001;33,244999;32,860001;33,195;1170000;25,392101
2010-04-15;33,075001;33,380001;33;33,355;1233600;25,514492
2010-04-16;33,264999;33,395;32,314999;32,650002;2155200;24,975208
2010-04-19;32,605;32,810001;32;32,779999;1795400;25,074654
2010-04-20;33,040001;33,380001;32,834999;33,264999;1102600;25,445639
2010-04-21;33,235001;33,465;33,064999;33,345001;981400;25,506842
2010-04-22;32,935001;33,634998;32,735001;33,560001;1725800;25,671299
