"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;43,150002;43,400002;42,73;43,349998;3781000;31,719198
2010-01-05;43,380001;43,43;43,07;43,419998;2707500;31,770418
2010-01-06;43,25;43,830002;43,16;43,810001;4314700;32,055782
2010-01-07;43,599998;43,84;43,290001;43,810001;3085700;32,055782
2010-01-08;43,73;44,09;43,419998;44,060001;3477500;32,238708
2010-01-11;44,23;44,889999;44,009998;44,73;3356800;32,728951
2010-01-12;44,450001;44,759998;44,169998;44,490002;4337000;32,553345
2010-01-13;44,639999;44,689999;44,360001;44,52;3564000;32,575283
2010-01-14;44,52;45;44,209999;44,939999;5364100;32,882599
2010-01-15;44,799999;45,549999;44,139999;44,32;4524600;32,428951
2010-01-19;44,27;44,740002;44,099998;44,73;3531200;32,728951
2010-01-20;44,380001;44,439999;43,720001;44,240002;3225500;32,370415
2010-01-21;44,130001;44,290001;43,029999;43,110001;4886300;31,543602
2010-01-22;43,049999;43,419998;42,060001;42,080002;4855300;30,789942
2010-01-25;42,709999;42,869999;42,34;42,509998;3132300;31,104576
2010-01-26;42,349998;42,77;42,060001;42,169998;3828700;30,855783
2010-01-27;42,150002;42,27;41,450001;42,060001;5676500;30,775307
2010-01-28;42,209999;42,299999;41,220001;41,669998;3799700;30,489948
2010-01-29;41,830002;42,459999;41,450001;41,540001;4657700;30,394831
2010-02-01;41,810001;42,560001;41,790001;42,48;4718300;31,082621
2010-02-02;45,279999;47,119999;42,68;46,77;15023200;34,221622
2010-02-03;46,25;47,009998;46,169998;46,560001;6380900;34,067955
2010-02-04;46,16;46,279999;45;45,27;7859700;33,124058
2010-02-05;45,099998;45,650002;44,360001;45,150002;7978100;33,036263
2010-02-08;45,07;45,25;44,43;44,470001;3976600;32,538704
2010-02-09;44,900002;46,040001;44,619999;45,810001;7029900;33,519184
2010-02-10;45,84;46;45,060001;45,470001;5371600;33,515499
2010-02-11;45,439999;46,619999;45,200001;46,529999;5839700;34,296822
2010-02-12;46,060001;46,349998;45,59;46,209999;5373600;34,060947
2010-02-16;46,59;46,98;46,389999;46,950001;4616500;34,606392
2010-02-17;46,990002;47,209999;46,66;47,169998;4443400;34,768547
2010-02-18;47,060001;47,779999;47,02;47,73;4173200;35,18132
2010-02-19;47,509998;48,139999;47,389999;48,080002;5662300;35,439304
2010-02-22;48,189999;48,389999;47,709999;48,209999;4409600;35,535126
2010-02-23;48,060001;48,200001;47;47,119999;5196900;34,731697
2010-02-24;47,16;48,209999;46,950001;48,16;5654500;35,498272
2010-02-25;47,490002;47,799999;46,689999;47,700001;5332700;35,159214
2010-02-26;47,77;48,029999;47,049999;47,34;5693700;34,893864
2010-03-01;47,580002;47,580002;47,189999;47,369999;4928500;34,915966
2010-03-02;47,59;47,900002;47,450001;47,630001;3286600;35,107616
2010-03-03;47,830002;48,32;47,779999;47,91;3589100;35,313992
2010-03-04;47,959999;48,290001;47,669998;47,950001;3283800;35,343483
2010-03-05;48,279999;48,889999;48,139999;48,490002;3748300;35,74152
2010-03-08;48,560001;48,59;47,950001;47,98;4086200;35,365597
2010-03-09;47,880001;48,189999;47,66;47,990002;2992100;35,372963
2010-03-10;48,119999;48,279999;47,650002;47,990002;3558800;35,372963
2010-03-11;47,799999;47,950001;47,400002;47,950001;3500800;35,343483
2010-03-12;48,150002;48,18;47,619999;48,09;2360500;35,446682
