"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;49,674999;50,220001;49,619999;50,189999;4110000;45,410397
2010-01-05;49,505001;50;48,895;49,575001;4450000;44,853977
2010-01-06;49,419998;49,845001;48,834999;49,740002;3650400;45,003246
2010-01-07;49,445;49,525002;48,720001;49,275002;4496800;44,582535
2010-01-08;48,865002;49,645;48,145;49,525002;5911400;44,808731
2010-01-11;49,790001;49,904999;48,509998;49,07;3030800;44,397053
2010-01-12;47,880001;48,549999;47,580002;47,709999;4477000;43,166576
2010-01-13;47,59;49,080002;47,025002;48,880001;4303600;44,359982
2010-01-14;48,84;49,355;48,724998;49;3175800;44,468864
2010-01-15;49;49,445;48,345001;48,435001;5931000;43,956116
2010-01-19;48,16;48,794998;48,035;48,674999;4412200;44,173916
2010-01-20;47,91;48,264999;47,625;48,165001;4049600;43,71109
2010-01-21;48,285;48,785;47,650002;48,294998;6386400;43,829067
2010-01-22;48,134998;48,595001;46,884998;47,025002;5838200;42,676506
2010-01-25;47,43;48,07;47,310001;47,485001;2796400;43,093975
2010-01-26;46,98;47,535;46,220001;46,57;3936800;42,263584
2010-01-27;46,115002;46,91;45,049999;46,195;6554400;41,923248
2010-01-28;46,505001;46,669998;44,785;45,755001;5442800;41,523945
2010-01-29;45,884998;47,014999;44,685001;45,209999;6351400;41,029335
2010-02-01;45,630001;47,830002;45,625;47,775002;4456800;43,357143
2010-02-02;47,919998;48,610001;47,130001;48,514999;3776200;44,028717
2010-02-03;48,080002;49,110001;48,029999;48,599998;4281200;44,105854
2010-02-04;47,884998;48,02;46,389999;46,450001;4853200;42,154686
2010-02-05;46,450001;46,689999;45,009998;46,43;5978600;42,136517
2010-02-08;46,27;46,875;45,445;45,790001;4260600;41,555706
2010-02-09;46,514999;47,650002;46,189999;47,27;5327800;42,898846
2010-02-10;45,314999;45,494999;43,389999;44,119999;15979600;40,040131
2010-02-11;43,959999;45,575001;43,884998;45,529999;7156400;41,31974
2010-02-12;44,740002;45,619999;44,299999;45,490002;5837000;41,283455
2010-02-16;46,325001;46,935001;46,134998;46,41;5396400;42,118366
2010-02-17;46,549999;46,634998;46,095001;46,43;4310600;42,136517
2010-02-18;46,209999;47,41;46,055;47,169998;4983600;42,808083
2010-02-19;46,935001;47,52;46,494999;47,32;3841200;42,94421
2010-02-22;47,610001;47,610001;45,900002;46,055;3793400;41,796204
2010-02-23;45,700001;45,974998;44,799999;44,955002;4300000;40,79792
2010-02-24;45,705002;46,490002;45,41;46,34;5405400;42,054844
2010-02-25;45,330002;46,665001;44,974998;46,610001;3998800;42,299862
2010-02-26;46,77;47,189999;46,200001;47,025002;3510200;42,676506
2010-03-01;47,235001;47,775002;47,115002;47,325001;4078400;42,948761
2010-03-02;47,580002;48,044998;47,259998;47,415001;3815600;43,030445
2010-03-03;47,73;48,16;47,389999;47,91;4738600;43,479671
2010-03-04;48,02;48,470001;47,415001;47,599998;4888800;43,198322
2010-03-05;47,974998;48,735001;47,630001;48,689999;5520200;44,187538
2010-03-08;48,57;49,110001;48,5;48,685001;4479800;44,183002
2010-03-09;48,259998;49,639999;48,259998;49,025002;5116800;44,491554
2010-03-10;48,945;49,689999;48,709999;49,419998;4033400;44,850033
2010-03-11;49,310001;49,595001;48,689999;48,889999;4580200;44,369045
2010-03-12;49,419998;49,465;48,535;48,790001;2114400;44,278286
2010-03-15;48,66;48,744999;47,68;48,445;3561600;43,965199
2010-03-16;48,744999;48,744999;47,985001;48,240002;3621600;43,779148
2010-03-17;48,384998;48,77;47,625;47,904999;5742400;43,475124
2010-03-18;48,025002;48,195;46,174999;46,639999;6340200;42,327103
2010-03-19;45,849998;47,18;45,169998;45,849998;8416400;41,610153
2010-03-22;45,380001;46,314999;44,794998;45,75;6130600;41,519405
2010-03-23;45,865002;47,125;45,755001;47,07;5594800;42,717342
