"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;84,209999;84,620003;82,150002;82,620003;448000;60,727875
2010-01-05;82,720001;83,25;81,290001;83,120003;542300;61,09539
2010-01-06;83,230003;84,650002;83,120003;83,699997;473000;61,521698
2010-01-07;83,419998;85,290001;83;84,57;284400;62,161167
2010-01-08;84,349998;84,779999;82,93;83,699997;214100;61,521698
2010-01-11;84,110001;84,480003;83,620003;83,760002;181800;61,565807
2010-01-12;83,029999;83,769997;82,07;82,650002;298000;60,749924
2010-01-13;82,93;84,449997;82,639999;84,290001;209100;61,955379
2010-01-14;83,599998;85,129997;83,389999;84,860001;250100;62,37434
2010-01-15;84,769997;85,059998;84;84,290001;244900;61,955379
2010-01-19;84,25;85,610001;84,150002;85,440002;304000;62,800644
2010-01-20;85,110001;86,669998;84,32;85,690002;520600;62,984413
2010-01-21;85,699997;86,669998;83,410004;83,459999;327400;61,34528
2010-01-22;83,529999;84,800003;80,68;80,879997;431400;59,448925
2010-01-25;81,709999;82,349998;80,230003;81,449997;295000;59,867886
2010-01-26;80,559998;82,18;80,550003;81;211100;59,537128
2010-01-27;80,800003;82,339996;79,449997;82;248500;60,272152
2010-01-28;82,25;82,269997;80,550003;81,419998;170500;59,845852
2010-01-29;81,889999;82,18;79,550003;79,690002;372500;58,574242
2010-02-01;80,18;81,190002;79,370003;80,989998;235200;59,529785
2010-02-02;81,32;82,529999;80,480003;82,389999;191000;60,558804
2010-02-03;81,690002;82,019997;79,589996;80,019997;415100;58,816803
2010-02-04;79,150002;79,150002;77,269997;77,660004;509800;57,082134
2010-02-05;77,849998;78,489998;76,349998;78,25;504100;57,515812
2010-02-08;78,690002;79,760002;77,809998;77,870003;339700;57,236504
2010-02-09;78,739998;78,949997;77,260002;78,25;442200;57,515812
2010-02-10;78,309998;79,25;76,480003;78,419998;349500;57,640755
2010-02-11;78,419998;79,529999;77,75;79,440002;190600;58,390472
2010-02-12;78,5;80,279999;78,379997;80,209999;332900;58,956451
2010-02-16;81,080002;82,389999;80,650002;82,220001;301200;60,433872
2010-02-17;82,389999;83,650002;82,230003;83,650002;253400;61,484951
2010-02-18;83,419998;84,519997;82,849998;84,25;281700;61,925968
2010-02-19;83,839996;84,410004;83,629997;84,190002;341900;61,881844
2010-02-22;84,480003;84,940002;83,580002;84,620003;300200;62,197929
2010-02-23;84,419998;84,970001;83,669998;84,589996;247700;62,175865
2010-02-24;84,940002;85,239998;84,309998;85,220001;373100;62,638924
2010-02-25;84,18;85,57;83,75;85,419998;274600;62,785919
2010-02-26;85,470001;87,050003;85,040001;85,900002;560100;63,138771
2010-03-01;86,209999;86,57;85,480003;86,519997;195600;63,594444
2010-03-02;86,989998;87,290001;86,480003;87,099998;348800;64,020782
2010-03-03;87,07;87,480003;86,599998;87,129997;257400;64,042824
2010-03-04;87,199997;88,129997;87,150002;88,059998;398500;64,726418
2010-03-05;88,669998;90,57;88,199997;90,379997;473300;66,431671
2010-03-08;90,040001;91,269997;89,5;90,540001;339800;66,549278
2010-03-09;90,110001;90,93;89,410004;89,839996;636900;66,034752
2010-03-10;89,949997;90,059998;88,860001;89,860001;498800;66,049469
2010-03-11;89,400002;90,5;89,07;90,459999;390500;66,490471
2010-03-12;90,959999;91,57;90,18;91,099998;251700;66,960884
2010-03-15;91;91,849998;89,980003;90,459999;298100;66,490471
2010-03-16;90,589996;92,370003;90,589996;92,370003;543800;67,894371
2010-03-17;92,089996;93,980003;92,089996;93,419998;308600;68,666153
2010-03-18;93,510002;93,860001;92,800003;92,919998;250200;68,29863
2010-03-19;92,169998;93,510002;91,989998;92,169998;402100;67,747375
2010-03-22;91,550003;92,959999;91,550003;92,900002;353000;68,283936
2010-03-23;92,080002;92,849998;90,550003;91,769997;356200;67,453346
2010-03-24;91,470001;92,5;91,43;91,75;270700;67,43869
2010-03-25;92,089996;92,559998;90,919998;91,120003;482200;66,975601
2010-03-26;90,970001;91,589996;89,550003;89,809998;594900;66,012688
2010-03-29;88,889999;90,239998;88,419998;88,5;536500;65,806381
2010-03-30;88,449997;90,050003;88,419998;89,82;319400;66,78791
2010-03-31;89,120003;90,519997;88,540001;89,949997;593200;66,88456
2010-04-01;90,129997;91,050003;89,230003;90,860001;603300;67,561226
2010-04-05;91;93,379997;90,970001;93,349998;381500;69,412689
2010-04-06;92,910004;96,019997;92,860001;96;454400;71,383156
2010-04-07;95,300003;95,889999;94,480003;94,919998;956300;70,580147
2010-04-08;94,43;95,5;94,419998;95,050003;333800;70,676796
2010-04-09;95,639999;98,160004;95,639999;97,720001;525700;72,662132
2010-04-12;97,25;98,18;97,25;97,739998;733300;72,676971
2010-04-13;97,849998;100,989998;97,709999;100,629997;353400;74,825935
2010-04-14;101;101,059998;99,110001;99,32;300600;73,851868
2010-04-15;99,07;99,57;97,349998;97,410004;381600;72,431641
2010-04-16;96,75;97,779999;96,279999;96,349998;474500;71,643417
2010-04-19;95,889999;97,419998;95,269997;96,150002;256200;71,49472
2010-04-20;96,389999;98,230003;95,349998;98,169998;190200;72,996719
2010-04-21;98,540001;101,470001;98,160004;100,440002;364900;74,684654
2010-04-22;99,690002;101,68;99,339996;101,279999;460000;75,309273
