"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;21,92;22,01;21,709999;21,84;597100;14,763896
2010-01-05;21,9;21,92;21,440001;21,549999;558600;14,56786
2010-01-06;21,51;21,67;21,450001;21,67;491200;14,648979
2010-01-07;21,74;21,74;21,49;21,530001;266800;14,554335
2010-01-08;21,530001;21,74;21,41;21,719999;397500;14,682775
2010-01-11;21,799999;22,110001;21,74;22,049999;640600;14,905864
2010-01-12;21,950001;22,049999;21,780001;21,940001;602000;14,831497
2010-01-13;22,040001;22,200001;21,92;22,15;289800;14,973455
2010-01-14;22,17;22,190001;22,049999;22,18;362600;14,993739
2010-01-15;22,780001;22,780001;21,91;22,24;1115100;15,034301
2010-01-19;22,309999;22,530001;22,23;22,530001;556900;15,230344
2010-01-20;22,43;22,530001;22,16;22,43;572400;15,162743
2010-01-21;22,450001;22,549999;21,940001;22,049999;739400;14,905864
2010-01-22;22,049999;22,07;21,540001;21,559999;802100;14,574615
2010-01-25;21,76;21,83;21,5;21,6;640600;14,601655
2010-01-26;21,59;21,66;21,41;21,59;848800;14,5949
2010-01-27;21,540001;21,629999;21,23;21,4;765400;14,466459
2010-01-28;21,4;21,42;21,059999;21,280001;1154400;14,385337
2010-01-29;21,309999;21,58;21,190001;21,33;1967900;14,41913
2010-02-01;21,440001;21,52;21,290001;21,5;686000;14,534057
2010-02-02;21,459999;21,66;21,35;21,620001;610200;14,61518
2010-02-03;21,59;21,75;21,379999;21,43;541500;14,486739
2010-02-04;21,360001;21,370001;21;21;550500;14,196054
2010-02-05;21,049999;21,07;20,559999;20,940001;889100;14,155496
2010-02-08;21,01;21,09;20,799999;20,799999;474700;14,060856
2010-02-09;21;21,24;20,809999;21,049999;817200;14,229858
2010-02-10;20,969999;21,09;20,76;21,02;586200;14,209576
2010-02-11;20,959999;21,18;20,83;21,120001;473400;14,277174
2010-02-12;21;21,219999;20,93;21,219999;698200;14,344779
2010-02-16;21,299999;21,629999;21,299999;21,6;582800;14,601655
2010-02-17;21,73;21,780001;21,58;21,66;567000;14,642219
2010-02-18;21,690001;21,940001;21,68;21,76;802100;14,709822
2010-02-19;21,75;22,299999;21,67;22,18;517600;14,993739
2010-02-22;22,25;22,33;22,139999;22,16;330000;14,980219
2010-02-23;22,16;22,299999;21,93;22,030001;608800;14,892336
2010-02-24;22,059999;22,15;21,879999;22,15;469000;14,973455
2010-02-25;21,889999;22,24;21,809999;22,040001;1102700;14,899104
2010-02-26;22,17;22,18;21,27;21,4;1900800;14,466459
2010-03-01;21,49;21,620001;21,389999;21,440001;754100;14,493496
2010-03-02;22,040001;22,25;21,719999;21,860001;1765200;14,777417
2010-03-03;21,92;22,27;21,860001;22,08;948000;14,92614
2010-03-04;22,059999;22,24;22;22,15;1022000;14,973455
2010-03-05;21,98;21,98;21,690001;21,83;949500;14,966603
2010-03-08;21,879999;21,950001;21,74;21,93;788800;15,035166
2010-03-09;21,91;21,969999;21,74;21,76;724600;14,918615
2010-03-10;21,799999;21,969999;21,73;21,959999;841300;15,055726
2010-03-11;21,870001;22,040001;21,780001;22,040001;595300;15,11058
2010-03-12;22,1;22,1;21,93;22,07;651000;15,131146
2010-03-15;22,1;22,190001;22,01;22,16;1063000;15,19285
2010-03-16;22,23;22,440001;22,139999;22,440001;770800;15,384815
2010-03-17;22,450001;22,66;22,4;22,469999;515900;15,405383
2010-03-18;22,51;22,610001;22,379999;22,43;487900;15,377962
2010-03-19;22,370001;22,700001;22,219999;22,370001;1077600;15,336827
2010-03-22;22,24;22,360001;22,139999;22,309999;517600;15,295691
2010-03-23;22,35;22,48;22,26;22,379999;671600;15,34368
2010-03-24;22,379999;22,4;22;22;670200;15,083159
2010-03-25;22,129999;22,15;21,82;21,83;756600;14,966603
2010-03-26;21,940001;22,030001;21,85;21,959999;472500;15,055726
2010-03-29;22,059999;22,190001;21,940001;22,190001;717700;15,213422
2010-03-30;22,25;22,450001;22,1;22,389999;639100;15,350538
2010-03-31;22,379999;22,49;22,25;22,299999;548300;15,28883
2010-04-01;22,43;22,629999;22,379999;22,59;471200;15,487659
2010-04-05;22,6;22,76;22,540001;22,719999;552000;15,576785
2010-04-06;22,67;23,09;22,66;23,07;619100;15,816744
2010-04-07;22,92;22,99;22,780001;22,91;748100;15,707049
2010-04-08;22,9;22,9;22,6;22,65;599600;15,528787
2010-04-09;22,700001;22,700001;22,4;22,59;856300;15,487659
2010-04-12;22,76;22,879999;22,66;22,790001;756100;15,62478
2010-04-13;22,809999;22,860001;22,610001;22,85;804400;15,665915
2010-04-14;22,879999;22,9;22,610001;22,75;582300;15,597351
2010-04-15;22,799999;22,84;22,620001;22,68;660500;15,549363
2010-04-16;22,68;22,77;22,51;22,59;851100;15,487659
2010-04-19;22,559999;22,66;22,459999;22,639999;576800;15,52194
2010-04-20;22,82;22,969999;22,719999;22,969999;988400;15,748181
2010-04-21;22,969999;22,99;22,83;22,92;678700;15,713904
2010-04-22;22,83;23,02;22,700001;23,01;645100;15,775608
2010-04-23;23,049999;23,299999;22,950001;23,299999;761500;15,974432
2010-04-26;23,26;23,32;23,110001;23,16;667800;15,878448
2010-04-27;23,1;23,34;22,9;22,9;1207100;15,700189
2010-04-28;22,950001;23,16;22,91;23,07;609500;15,816744
2010-04-29;23,15;23,5;23,049999;23,48;823000;16,097839
2010-04-30;23,57;23,83;23,530001;23,690001;1025000;16,241814
2010-05-03;23,709999;23,93;23,610001;23,92;612600;16,3995
2010-05-04;23,719999;23,75;23,549999;23,709999;859300;16,255522
2010-05-05;23,610001;23,77;23,530001;23,559999;1258300;16,152681
2010-05-06;23,43;23,459999;21,75;22,559999;2356800;15,467089
2010-05-07;22,6;22,76;21,9;22,290001;1879400;15,28198
2010-05-10;22,93;23,440001;22,799999;23,370001;2233100;16,022429
2010-05-11;23,18;23,75;23,18;23,559999;2285700;16,152681
2010-05-12;23,6;23,799999;23,389999;23,66;1450100;16,221245
2010-05-13;23,6;23,790001;23,5;23,6;851700;16,180111
2010-05-14;23,540001;23,58;23,219999;23,32;1251000;15,988143
2010-05-17;23,440001;23,530001;23;23,370001;971800;16,022429
2010-05-18;23,48;23,639999;23,15;23,15;1073700;15,87159
2010-05-19;23,040001;23,110001;22,57;22,719999;1529300;15,576785
2010-05-20;22,4;22,41;21,82;21,82;2505600;14,959747
2010-05-21;21,6;21,940001;21,26;21,91;2312100;15,021446
2010-05-24;21,91;22,299999;21,790001;21,9;1515900;15,014589
2010-05-25;21,530001;21,67;21,1;21,629999;1410000;14,82948
2010-05-26;21,77;22;21,639999;21,73;1272500;14,898046
2010-05-27;22,120001;22,16;21,9;22,110001;691600;15,158569
2010-05-28;22,110001;22,219999;21,92;22;1127000;15,083159
2010-06-01;21,92;22,049999;21,51;21,540001;616500;14,767779
2010-06-02;21,6;21,959999;21,5;21,959999;1286600;15,055726
2010-06-03;22,120001;22,360001;21,91;22,360001;781200;15,329969
2010-06-04;21,99;22,110001;21,59;21,68;980200;14,863763
2010-06-07;21,59;21,67;21,15;21,16;1190300;14,7177
2010-06-08;21,25;21,4;21,08;21,370001;1140000;14,863765
2010-06-09;21,43;21,639999;21,16;21,209999;1122700;14,752478
