"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;21,9175;22,1;21,785;21,8675;1030800;21,8675
2010-01-05;21,799999;22,025;21,7875;22,025;929200;22,025
2010-01-06;22,0725;22,3675;21,9275;22,2675;1003200;22,2675
2010-01-07;22,385;22,525;22,1525;22,469999;900800;22,469999
2010-01-08;22,66;22,7075;22,33;22,370001;1191600;22,370001
2010-01-11;22,5;22,865;22,4625;22,8575;1479200;22,8575
2010-01-12;22,75;22,950001;22,625;22,9375;1735200;22,9375
2010-01-13;23;23,17;22,855;23,0275;934000;23,0275
2010-01-14;23,0825;23,1425;23,0075;23,105;1047600;23,105
2010-01-15;23,15;23,15;22,67;22,897499;1620800;22,897499
2010-01-19;22,93;23,264999;22,924999;23,262501;1153200;23,262501
2010-01-20;23,225;23,52;23,075001;23,487499;1568400;23,487499
2010-01-21;23,602501;23,637501;23,315001;23,5175;1676400;23,5175
2010-01-22;23,459999;23,459999;22,674999;22,73;2318800;22,73
2010-01-25;22,727501;23,105;22,497499;22,955;1688000;22,955
2010-01-26;22,797501;23,059999;22,7925;22,92;722000;22,92
2010-01-27;22,842501;22,9925;22,75;22,889999;771600;22,889999
2010-01-28;22,8575;23,184999;22,5975;22,635;1388800;22,635
2010-01-29;22,7925;22,799999;22,405001;22,405001;1447600;22,405001
2010-02-01;22,4;22,6325;22,25;22,557501;870400;22,557501
2010-02-02;22,6425;23,290001;22,52;23,2575;1145600;23,2575
2010-02-03;23,254999;23,475;23,0625;23,110001;1590000;23,110001
2010-02-04;23,0525;23,122499;22,344999;22,415001;2504800;22,415001
2010-02-05;22,110001;22,469999;21,3125;22,43;5664400;22,43
2010-02-08;22,4025;22,4025;21,74;21,762501;3235200;21,762501
2010-02-09;22;22,0625;21,4025;21,6625;2900400;21,6625
2010-02-10;21,5275;21,612499;21,1525;21,452499;2036400;21,452499
2010-02-11;21,375;21,625;21,27;21,5875;2306000;21,5875
2010-02-12;21,5425;21,8325;21,4925;21,8325;1397200;21,8325
2010-02-16;21,865;22,032499;21,565001;22,0275;1773600;22,0275
2010-02-17;22,139999;22,477501;22,0275;22,452499;1539600;22,452499
2010-02-18;22,485001;22,684999;22,355;22,67;1852000;22,67
2010-02-19;22,6975;22,8125;22,497499;22,625;1790000;22,625
2010-02-22;22,764999;22,8675;22,5425;22,842501;2008000;22,842501
2010-02-23;22,8675;22,8675;22,477501;22,540001;2539600;22,540001
2010-02-24;22,719999;22,7675;22,6;22,752501;2406800;22,752501
2010-02-25;22,545;22,815001;22,424999;22,815001;2725200;22,815001
2010-02-26;22,875;22,99;22,6975;22,9575;3396400;22,9575
2010-03-01;22,965;23,4375;22,5075;23,407499;2104800;23,407499
2010-03-02;23,504999;23,782499;23,485001;23,782499;1834400;23,782499
2010-03-03;23,834999;23,870001;23,639999;23,865;1814000;23,865
2010-03-04;23,9375;23,9825;23,85;23,952499;1507600;23,952499
2010-03-05;23,985001;24,235001;23,92;24,2325;1243600;24,2325
2010-03-08;24,235001;24,3125;24,155001;24,195;925200;24,195
2010-03-09;24,209999;24,2925;23,995001;24,0875;784400;24,0875
2010-03-10;24,0375;24,315001;24,0375;24,295;989200;24,295
2010-03-11;24,2675;24,307501;23,805;24,3025;965200;24,3025
2010-03-12;24,397499;24,469999;24,139999;24,4625;838800;24,4625
2010-03-15;24,387501;24,9025;23,969999;24,695;1690800;24,695
2010-03-16;24,8675;24,875;24,49;24,682501;887600;24,682501
2010-03-17;24,75;24,75;24,5375;24,6075;802800;24,6075
2010-03-18;24,7425;24,8125;24,610001;24,782499;810400;24,782499
2010-03-19;24,975;25;24,817499;24,975;1833600;24,975
2010-03-22;24,9175;25,365;24,530001;25,315001;1613600;25,315001
2010-03-23;25,365;25,495001;24,967501;25,139999;1768000;25,139999
2010-03-24;25,127501;25,1875;24,922501;25,002501;912800;25,002501
2010-03-25;25,0625;25,0625;24,73;24,74;2076400;24,74
2010-03-26;24,735001;24,8375;24,475;24,5525;1892400;24,5525
2010-03-29;24,645;24,897499;24,6;24,875;715600;24,875
2010-03-30;24,875;25,0525;24,745001;25,030001;680400;25,030001
2010-03-31;24,924999;24,955;24,7125;24,719999;952400;24,719999
2010-04-01;24,8125;25,1425;24,8125;25,0975;896400;25,0975
2010-04-05;25,195;25,799999;25,195;25,799999;1485600;25,799999
2010-04-06;25,7675;25,805;24,9125;25,6075;3591600;25,6075
2010-04-07;25,702499;25,922501;25,4825;25,75;1077600;25,75
2010-04-08;25,639999;25,7425;25,42;25,705;770400;25,705
2010-04-09;25,940001;26,004999;25,625;26,004999;1300800;26,004999
2010-04-12;25,737499;25,737499;25,3825;25,610001;1474400;25,610001
2010-04-13;25,6525;26,135;25,424999;26,1325;1486000;26,1325
2010-04-14;26,3125;26,385;25,907499;26,0825;1472400;26,0825
2010-04-15;26,127501;26,3675;26;26,344999;977200;26,344999
2010-04-16;26,315001;26,4625;26,0375;26,0875;1224400;26,0875
2010-04-19;25,99;26,2675;25,834999;25,9;1657600;25,9
2010-04-20;25,9;26,200001;25,872499;26,1625;2549600;26,1625
2010-04-21;25,445;25,967501;25,01;25,075001;3980400;25,075001
2010-04-22;25,0825;25,442499;24,762501;25,4;1619200;25,4
2010-04-23;25,327499;25,709999;24,995001;25,684999;1376800;25,684999
2010-04-26;25,459999;25,790001;25,122499;25,5425;1082400;25,5425
2010-04-27;25,52;26,0725;25,405001;25,702499;1564400;25,702499
2010-04-28;25,695;26,317499;25,65;26,127501;1745600;26,127501
2010-04-29;26,155001;26,379999;25,942499;26,375;1474800;26,375
2010-04-30;26,452499;26,477501;25,7425;25,77;1774000;25,77
2010-05-03;25,8375;26,477501;25,8375;26,455;1429600;26,455
2010-05-04;26,219999;26,4175;25,76;25,865;1628800;25,865
2010-05-05;25,799999;25,905001;25,502501;25,7325;2226400;25,7325
2010-05-06;25,725;25,9625;24;24,9575;2298800;24,9575
2010-05-07;25,030001;25,030001;24,077499;24,3675;4160000;24,3675
2010-05-10;25,15;25,622499;24,502501;25,227501;1969200;25,227501
2010-05-11;25,127501;25,1975;24,795;24,9475;2229600;24,9475
2010-05-12;25,07;25,424999;24,897499;25,370001;1788800;25,370001
2010-05-13;25,2875;25,754999;25,2775;25,48;986800;25,48
