"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;49,07;49,209999;48,77;48,880001;4367600;31,860929
2010-01-05;48,939999;48,939999;47,689999;48,080002;5222400;31,33947
2010-01-06;48,07;48,380001;47,540001;48,369999;4089000;31,528486
2010-01-07;48,119999;48,619999;48,119999;48,529999;5127000;31,632782
2010-01-08;48,299999;48,490002;48,209999;48,299999;5090300;31,482878
2010-01-11;48,490002;49,080002;48,380001;48,860001;5094600;31,847891
2010-01-12;48,799999;49,389999;48,52;49,07;4616900;31,984777
2010-01-13;49,130001;49,880001;49,09;49,66;3616800;32,369343
2010-01-14;49,639999;49,650002;49;49,080002;5611800;31,991289
2010-01-15;48,880001;49,009998;48,290001;48,599998;6349800;31,678415
2010-01-19;48,48;49,279999;48,41;49,27;4730600;32,115135
2010-01-20;49,02;49,07;48,040001;48,450001;9356900;31,580647
2010-01-21;48,57;48,959999;47,66;48,049999;7262900;31,319916
2010-01-22;47,93;48,029999;46,580002;46,610001;7045300;30,38129
2010-01-25;47,110001;47,189999;46,060001;46,09;5537700;30,042355
2010-01-26;46,169998;46,799999;45,599998;46,599998;7818200;30,374784
2010-01-27;46,599998;46,599998;45,759998;46,279999;6103700;30,166193
2010-01-28;47;47;45,720001;45,959999;3971000;29,957617
2010-01-29;47;47,200001;45,599998;45,619999;5774900;29,735994
2010-02-01;45,84;46,450001;45,48;45,860001;4308300;29,892435
2010-02-02;45,880001;46,349998;45,509998;46,139999;3749700;30,074936
2010-02-03;46,029999;46,029999;45,560001;45,709999;7963700;29,794657
2010-02-04;45,689999;45,689999;44,720001;44,75;9048000;29,168903
2010-02-05;44,549999;44,650002;43,450001;44,240002;10804100;28,836485
2010-02-08;44,689999;44,740002;43,759998;43,759998;3053800;28,523605
2010-02-09;44,099998;44,59;43,889999;44,220001;4478300;28,823442
2010-02-10;44,130001;44,41;43,709999;44,299999;4410100;28,875591
2010-02-11;43,779999;43,830002;43,139999;43,720001;6387000;28,839317
2010-02-12;43,57;43,599998;42,970001;43,299999;5287800;28,562275
2010-02-16;43,59;44,27;43,509998;44,200001;4076700;29,155939
2010-02-17;44,540001;44,540001;43,889999;43,990002;2853100;29,01741
2010-02-18;43,849998;44,560001;43,759998;44,459999;4149200;29,327444
2010-02-19;44,32;45,09;44,32;44,880001;3848900;29,604504
2010-02-22;45,18;45,18;44,610001;44,689999;3226500;29,47916
2010-02-23;44,529999;44,689999;44,099998;44,139999;3796900;29,116367
2010-02-24;44,200001;44,380001;43,59;44,009998;5129700;29,030605
2010-02-25;43,580002;43,869999;43,02;43,810001;4256900;28,89867
2010-02-26;43,810001;43,959999;43,25;43,299999;4821300;28,562275
2010-03-01;43,669998;44,700001;43,509998;44,459999;5827500;29,327444
2010-03-02;44,549999;44,790001;44,18;44,34;5345800;29,248293
2010-03-03;44,490002;44,849998;44,330002;44,470001;3945300;29,334038
2010-03-04;44,639999;44,790001;44,310001;44,720001;4064200;29,498953
2010-03-05;44,939999;45,57;44,919998;45,5;4107300;30,013462
2010-03-08;45,599998;45,75;45,169998;45,330002;2736100;29,901323
2010-03-09;45,470001;45,470001;44,790001;44,970001;3876200;29,663853
2010-03-10;45,099998;45,290001;44,91;45,110001;4188400;29,756208
