"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;35,09;35,18;34,84;35,080002;1062400;30,665098
2010-01-05;34,990002;35,34;34,869999;35,32;1393500;30,874897
2010-01-06;35,169998;35,349998;34,43;34,5;2028700;30,158089
2010-01-07;34,400002;34,529999;34,009998;34,290001;1186400;29,974527
2010-01-08;34,290001;35,080002;34,290001;34,650002;3329500;30,289221
2010-01-11;34,610001;35,119999;34,439999;34,790001;2296600;30,411594
2010-01-12;34,5;34,720001;34,360001;34,490002;2665100;30,149357
2010-01-13;34,599998;34,889999;34,240002;34,810001;1905700;30,429085
2010-01-14;34,66;34,880001;34,5;34,709999;1332100;30,341667
2010-01-15;34,84;34,889999;34,119999;34,470001;2866500;30,131872
2010-01-19;34,41;34,700001;34,279999;34,459999;1681200;30,123129
2010-01-20;34,32;34,439999;33,77;34,360001;2029900;30,035717
2010-01-21;35,43;36,450001;34,470001;35,360001;5102700;30,909855
2010-01-22;35,41;35,41;34,529999;34,580002;3292700;30,228029
2010-01-25;34,720001;34,740002;34,07;34,669998;2309700;30,306698
2010-01-26;34,43;34,84;34,23;34,549999;2050900;30,201797
2010-01-27;34,369999;34,759998;34,110001;34,709999;1558100;30,341667
2010-01-28;34,75;34,75;34,130001;34,299999;2253200;29,983263
2010-01-29;34,5;34,93;34,049999;34,099998;2097000;29,808441
2010-02-01;34,099998;34,650002;33,970001;34,459999;2564600;30,123129
2010-02-02;34,43;34,919998;34,060001;34,799999;2531700;30,42034
2010-02-03;34,029999;34,16;33,349998;33,970001;5831300;29,694796
2010-02-04;33,790001;33,98;33,419998;33,419998;2623400;29,214014
2010-02-05;33,5;33,869999;32,439999;33,029999;3252900;28,873091
2010-02-08;32,959999;33,310001;32,700001;32,959999;1499000;28,811905
2010-02-09;33,240002;33,98;33,209999;33,459999;2847900;29,248976
2010-02-10;33,360001;33,419998;32,799999;33,099998;1503900;28,934286
2010-02-11;32,98;33,369999;32,82;32,950001;2463700;28,803165
2010-02-12;32,5;32,91;32,360001;32,869999;2626400;28,733227
2010-02-16;33,759998;34,119999;33,310001;33,919998;2557400;29,651083
2010-02-17;34,139999;34,290001;33,900002;34,189999;1172800;29,88711
2010-02-18;34,220001;34,27;33,740002;33,939999;1473600;29,668571
2010-02-19;33,759998;34,380001;33,759998;34,32;2177600;30,000746
2010-02-22;34,240002;34,720001;34,240002;34,549999;2047700;30,201797
2010-02-23;36,48;38,110001;36,259998;36,91;9134000;32,26479
2010-02-24;36,869999;37,049999;36,400002;36,59;3461400;31,985064
2010-02-25;36,07;36,639999;35,400002;36,610001;3295100;32,002548
2010-02-26;36,59;36,630001;36;36,470001;2952300;31,880171
2010-03-01;36,5;36,66;36,200001;36,34;1551300;31,766523
2010-03-02;36,290001;36,549999;36,279999;36,330002;1514300;31,757784
2010-03-03;36,5;36,580002;36,02;36,130001;1118400;31,582958
2010-03-04;36,110001;36,48;35,959999;36,310001;1266500;31,740305
2010-03-05;36,349998;36,700001;36,279999;36,580002;1852600;31,976318
2010-03-08;36,5;36,810001;36,41;36,48;2261500;31,888912
2010-03-09;36,490002;36,720001;36,400002;36,619999;1332400;32,011284
2010-03-10;36,509998;37,32;36,509998;37,049999;2034300;32,387173
2010-03-11;37;37,279999;36,970001;37,259998;2365800;32,570747
2010-03-12;37,419998;37,419998;36,560001;37,209999;1586500;32,527035
2010-03-15;37,279999;37,439999;36,860001;37,029999;1081000;32,369682
2010-03-16;37,09;37,630001;36,990002;37,490002;1173000;32,771797
2010-03-17;37,369999;37,860001;37,279999;37,580002;1093500;32,850471
2010-03-18;37,439999;38,07;37,34;38,029999;959300;33,243839
2010-03-19;38,16;38,93;37,630001;38,610001;3963400;33,750839
2010-03-22;38,189999;38,59;38,150002;38,369999;2101200;33,541042
2010-03-23;38,349998;38,48;37,82;38,419998;1583700;33,584751
2010-03-24;38,400002;38,400002;37,689999;37,830002;1642300;33,069012
2010-03-25;37,889999;37,900002;37,119999;37,200001;1963600;32,518288
2010-03-26;37,040001;37,16;36,43;36,669998;2779400;32,054989
2010-03-29;36,91;37,290001;36,790001;37,02;1227600;32,360943
2010-03-30;37,130001;37,189999;36,720001;37,02;911800;32,360943
2010-03-31;36,919998;37,099998;36,580002;36,919998;1151500;32,273525
2010-04-01;37,029999;37,130001;36,259998;36,650002;1355300;32,03751
2010-04-05;36,790001;37,18;36,41;36,959999;1633500;32,308495
2010-04-06;36,82;36,98;36,599998;36,639999;1627100;32,028767
2010-04-07;36,619999;36,700001;36,240002;36,529999;1777700;31,932611
2010-04-08;36,509998;36,759998;36,009998;36,709999;2538600;32,089958
2010-04-09;36,610001;37,220001;36,5;37,200001;1507500;32,518288
2010-04-12;37,18;37,310001;36,950001;36,98;774100;32,325985
2010-04-13;36,98;37,209999;36,639999;37,150002;994800;32,474586
2010-04-14;37,099998;38,360001;36,950001;38,279999;2417300;33,462379
2010-04-15;38,43;39,939999;38,34;39,849998;4850400;34,834785
2010-04-16;39,82;40;39,119999;39,400002;3394800;34,441425
2010-04-19;39,389999;39,759998;39,060001;39,330002;2935800;34,38023
2010-04-20;39,48;39,57;38,919998;39,299999;2004100;34,353996
2010-04-21;39,049999;40,48;39;40,360001;2996300;35,280609
