"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;10,505;10,5925;10,4225;10,5075;6864000;8,119841
2010-01-05;10,48;10,7375;10,4375;10,725;5797600;8,287916
2010-01-06;11,0475;11,62;11,0025;11,4325;20658800;8,834648
2010-01-07;11,3325;11,72;11,17;11,6275;12490400;8,98534
2010-01-08;11,7275;11,79;11,515;11,745;6632400;9,076137
2010-01-11;11,74;11,745;11,4375;11,515;7970000;8,898403
2010-01-12;11,4375;11,57;11,3875;11,5125;5054800;8,896468
2010-01-13;11,55;11,7325;11,47;11,6725;5322000;9,020116
2010-01-14;11,61;11,82;11,5075;11,575;5339200;8,94477
2010-01-15;11,375;11,7;11,355;11,465;6596800;8,859765
2010-01-19;10,8825;11,62;10,8375;11,205;18768800;8,658843
2010-01-20;11,1375;11,16;10,7775;11,065;7822800;8,550656
2010-01-21;11,0675;11,165;10,865;10,8775;6308000;8,405764
2010-01-22;10,9;10,9875;10,5875;10,6375;4772800;8,220301
2010-01-25;10,7;10,71;10,5075;10,66;4234800;8,237688
2010-01-26;10,6325;10,6575;10,515;10,5375;4563200;8,143023
2010-01-27;10,4775;10,59;10,4375;10,5625;4357600;8,162344
2010-01-28;10,6125;10,6125;10,2525;10,3725;5966800;8,015517
2010-01-29;10,405;10,6275;10,3625;10,37;5723200;8,013588
2010-02-01;10,3975;10,505;10,3475;10,3825;5687600;8,023243
2010-02-02;10,4325;10,7625;10,41;10,7375;7950000;8,297576
2010-02-03;10,69;10,8025;10,6675;10,755;4773200;8,311102
2010-02-04;10,695;10,7225;10,5075;10,535;6236800;8,141091
2010-02-05;10,5825;10,67;10,335;10,4975;7738800;8,112111
2010-02-08;10,4925;10,5;10,2825;10,3025;6296000;7,961425
2010-02-09;10,445;10,65;10,39;10,585;5453200;8,179731
2010-02-10;10,515;10,65;10,3425;10,3825;4502800;8,099766
2010-02-11;10,325;10,5425;10,2425;10,535;3526000;8,218736
2010-02-12;10,4375;10,515;10,36;10,4575;4262400;8,158278
2010-02-16;10,55;10,7525;10,5025;10,745;4319200;8,382564
2010-02-17;10,765;10,835;10,6475;10,78;3233200;8,409871
2010-02-18;10,8025;10,915;10,785;10,91;3139600;8,511288
2010-02-19;10,8425;11,02;10,835;10,9675;3437200;8,556146
2010-02-22;11;11,07;10,9425;11,015;3371200;8,593204
2010-02-23;11,02;11,0875;10,945;10,9825;4558400;8,567846
2010-02-24;11,0575;11,1075;10,9675;11,045;2673200;8,616605
2010-02-25;10,845;11,1075;10,8275;11,0925;4361600;8,653661
2010-02-26;11,09;11,16;11,0025;11,0925;5261600;8,653661
2010-03-01;11,1;11,25;11,0475;11,23;6517600;8,760931
2010-03-02;11,25;11,31;11,16;11,205;4657200;8,741426
2010-03-03;11,26;11,3825;11,2375;11,255;4641200;8,780438
2010-03-04;11,31;11,355;11,2175;11,2725;4554400;8,794086
2010-03-05;11,2925;11,445;11,2825;11,425;5605200;8,913058
2010-03-08;11,395;11,4525;11,3;11,3625;3582400;8,8643
2010-03-09;11,365;11,4125;11,27;11,3225;4378800;8,833096
2010-03-10;11,2925;11,395;11,275;11,3175;3648400;8,829195
2010-03-11;11,2625;11,3075;11,1775;11,305;3856400;8,819444
2010-03-12;11,3275;11,34;11,215;11,3175;3005600;8,829195
2010-03-15;11,3275;11,485;11,285;11,47;3916800;8,948161
2010-03-16;11,4525;11,595;11,3975;11,5875;4368800;9,03983
2010-03-17;11,6125;11,8675;11,5625;11,86;4766400;9,252417
2010-03-18;11,73;11,9125;11,73;11,835;3428800;9,232914
2010-03-19;11,95;11,95;11,6425;11,745;9350000;9,162701
2010-03-22;11,745;12,215;11,7425;12,095;7416400;9,435748
2010-03-23;12,125;12,2625;12,0325;12,25;4408800;9,556672
2010-03-24;12,2175;12,245;12,08;12,085;4741200;9,427944
2010-03-25;12,2;12,2275;11,99;12,0075;4835200;9,367487
2010-03-26;12,0175;12,1775;12,0125;12,07;3003200;9,416245
2010-03-29;12,125;12,1975;12,0825;12,1075;3938000;9,445502
2010-03-30;12,1725;12,2875;12,08;12,125;3044400;9,459155
2010-03-31;12,1;12,1375;11,9825;11,9975;3654000;9,359686
2010-04-01;12,0475;12,195;12,0225;12,145;3109600;9,474755
2010-04-05;12,22;12,4425;12,1775;12,425;3405200;9,693194
2010-04-06;12,41;12,5275;12,395;12,52;4796400;9,767306
2010-04-07;12,4775;13,16;12,4775;12,93;13680400;10,087166
2010-04-08;12,87;12,94;11,625;12,7025;7610400;9,909682
2010-04-09;12,7725;12,7925;12,6775;12,7875;3836400;9,975993
2010-04-12;12,8025;13,0125;12,75;12,975;7695200;10,12227
2010-04-13;13,55;13,7375;13,1575;13,25;13027600;10,336804
2010-04-14;13,2475;13,3575;13,12;13,3575;5920800;10,420671
2010-04-15;13,3275;13,7925;13,2825;13,75;11552000;10,726874
2010-04-16;13,71;13,805;13,5;13,58;7013600;10,594254
2010-04-19;13,5525;13,73;13,4125;13,7175;5356800;10,701518
2010-04-20;13,7275;13,75;13,4625;13,565;8493600;10,582547
2010-04-21;13,55;13,625;13,3525;13,595;6120800;10,605955
2010-04-22;13,4925;13,9675;13,4925;13,9275;7117600;10,86535
2010-04-23;13,9225;14,115;13,8025;14,05;4031200;10,960916
2010-04-26;14,045;14,1625;13,97;14,025;3956000;10,941411
2010-04-27;13,99;14,0525;13,53;13,57;5902000;10,58645
2010-04-28;13,6775;13,7825;13,54;13,6375;4294000;10,639109
2010-04-29;13,8225;14,045;13,6575;14,01;4608800;10,929709
2010-04-30;14,05;14,1225;13,605;13,6725;4446800;10,666415
2010-05-03;13,605;14,1525;13,605;14,12;5404800;11,015529
2010-05-04;13,89;13,9275;13,445;13,5225;6308400;10,549395
2010-05-05;13,4775;13,575;13,2725;13,3275;6636800;10,397268
2010-05-06;13,275;13,415;12,1075;12,8375;8046000;10,015002
2010-05-07;12,76;12,8975;12,3425;12,555;6823600;9,794615
