"date";"open";"high";"low";"close";"volume";"adjusted"
2011-09-16;11,9;12,93;11;12,7;969900;11,607641
2011-09-19;12,25;13,78;12;13,78;665400;12,59475
2011-09-20;13,98;14,02;13,33;13,7;794800;12,521629
2011-09-21;13,8;14;13,18;13,4;619000;12,247436
2011-09-22;13,09;13,25;12,4;13,2;1230500;12,064638
2011-09-23;13,4;13,4;12,02;12,25;406200;11,196351
2011-09-26;12,39;12,67;11,39;12,67;181900;11,580224
2011-09-27;12,75;14,34;12,75;13,37;1788000;12,220016
2011-09-28;13,29;13,7;12,75;12,85;251700;11,744741
2011-09-29;13;13,25;12,67;13,17;222300;12,037218
2011-09-30;13,03;13,25;12,06;12,4;623100;11,333447
2011-10-03;12;12,68;11,75;12,3;23632200;11,24205
2011-10-04;12,19;13,25;11,05;12,3;6068200;11,24205
2011-10-05;11,55;12,3;11,26;12,2;1983000;11,15065
2011-10-06;11,9;12,98;11,9;12,76;3333600;11,662482
2011-10-07;12,59;13;12,27;12,35;2049900;11,287748
2011-10-10;12,35;12,44;11,99;12,37;1922500;11,306026
2011-10-11;11,5;12,76;11,48;12,48;3015200;11,406568
2011-10-12;12,46;12,8;12,38;12,6;3255100;11,516244
2011-10-13;12,4;12,77;12,15;12,62;3575300;11,534527
2011-10-14;12,62;13,07;12,38;13,01;1658700;11,89098
2011-10-17;13,03;13,73;13;13,72;1767600;12,539909
2011-10-18;13,8;15,25;13,78;14,48;5257400;13,234541
2011-10-19;14,33;15,25;14,33;15,06;3400100;13,764655
2011-10-20;14,91;15,24;14,68;14,93;1252900;13,645836
2011-10-21;15,11;15,49;14,78;14,95;1741300;13,664115
2011-10-24;14,92;16,4;14,92;15,8;2008800;14,441005
2011-10-25;15,74;15,83;14,75;14,78;2284900;13,508737
2011-10-26;14,71;15,33;14,51;14,88;856900;13,600135
2011-10-27;14,98;15,9;14,97;15,42;1130900;14,093689
2011-10-28;15,27;15,33;14,76;14,92;1000700;13,636698
2011-10-31;14,7;15,26;14,46;14,53;1162200;13,280242
2011-11-01;14,26;14,91;14,11;14,67;1174900;13,408199
2011-11-02;14,8;15,5;14,62;15,07;1289200;13,773793
2011-11-03;15,42;15,5;14,5;15;2279900;13,709817
2011-11-04;14,77;15,06;14,72;15;611700;13,709817
2011-11-07;14,88;14,98;14,66;14,79;1102000;13,517875
2011-11-08;14,83;15,53;14,8;15,09;708800;13,792072
2011-11-09;14,87;15,15;14,8;14,9;1301400;13,618416
2011-11-10;14,91;15,81;14,85;15,7;801700;14,349604
2011-11-11;15,88;16;15,12;15,25;476900;13,938312
2011-11-14;15,11;15,49;14,92;15,03;325900;13,737234
2011-11-15;14,94;15,72;14,8;15,49;569400;14,157668
2011-11-16;15,31;15,47;14,95;15,04;703200;13,746372
2011-11-17;14,95;15,62;14,88;15,53;699100;14,194229
2011-11-18;15,64;15,69;15,38;15,51;449500;14,175949
2011-11-21;15,25;15,35;14,98;15,26;706800;13,947452
2011-11-22;15,15;15,44;15,15;15,37;428700;14,047991
2011-11-23;15,23;15,44;15;15,31;501200;13,993153
2011-11-25;15,2;15,5;15,15;15,45;96000;14,121109
2011-11-28;15,81;16;15,49;15,97;507600;14,596384
2011-11-29;15,96;16,389999;15,67;16,01;461800;14,632944
2011-11-30;16,370001;16,74;16,209999;16,68;2037200;15,245316
2011-12-01;16,610001;16,799999;15,94;15,99;664000;14,614661
