"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;84,209999;85;83,110001;83,449997;3215100;77,184013
2010-01-05;83,440002;84,589996;82,639999;84,540001;2493300;78,192139
2010-01-06;84,330002;85,120003;83,610001;83,839996;2491000;77,544731
2010-01-07;83,849998;83,849998;82,400002;82,93;3093200;76,70311
2010-01-08;84,080002;85,260002;82,949997;84,989998;4351200;78,608414
2010-01-11;85,589996;88,290001;85,400002;87,25;6131900;80,698708
2010-01-12;86,440002;88,68;85,599998;86,580002;3345100;80,078987
2010-01-13;86,949997;87,330002;85,150002;85,82;2855700;79,376068
2010-01-14;85,580002;86,449997;85,089996;86,290001;2104300;79,810791
2010-01-15;86,339996;86,800003;84,93;85,110001;4369700;78,719391
2010-01-19;84,970001;86,260002;84,970001;85,900002;2289200;79,450073
2010-01-20;84,75;84,800003;83,080002;84,059998;2793100;77,748207
2010-01-21;84,349998;84,480003;81,300003;81,599998;2865500;75,472954
2010-01-22;81,32;81,860001;80,190002;80,290001;2551800;74,261314
2010-01-25;81,220001;81,220001;79,150002;80,690002;1878500;74,631271
2010-01-26;80,459999;81,230003;79,510002;80,760002;2272300;74,696014
2010-01-27;80,75;80,769997;78,610001;80,419998;3523900;74,381531
2010-01-28;80,980003;80,980003;78,389999;79,07;1974200;73,132904
2010-01-29;79,68;80,699997;78,300003;78,349998;3139500;72,466957
2010-02-01;78,809998;80,730003;78,760002;80,669998;3056600;74,612785
2010-02-02;81,07;82,550003;80,360001;82,330002;3217400;76,148148
2010-02-03;81,660004;82,849998;80,910004;82,120003;2593700;75,953873
2010-02-04;81,360001;81,739998;78,75;78,849998;3830100;72,929436
2010-02-05;78,849998;79,25;75,169998;76,690002;5535300;70,931618
2010-02-08;76,82;77,769997;75,309998;76,690002;2966800;70,931618
2010-02-09;77,269997;79,720001;76,959999;79,220001;4694400;73,27166
2010-02-10;79,160004;79,290001;77,519997;78,290001;2196800;72,411491
2010-02-11;78,379997;79,779999;77,440002;79,529999;2272800;73,558365
2010-02-12;78,400002;78,68;77,510002;78,550003;2902000;72,651947
2010-02-16;78,919998;80,199997;78,919998;79,970001;2649200;73,965332
2010-02-17;79,900002;80,489998;78,93;79,940002;2484400;73,937584
2010-02-18;79,629997;80,389999;79,370003;80,099998;1714300;74,085571
2010-02-19;80,099998;82,440002;80,099998;81,760002;3e+06;75,620926
2010-02-22;82,25;83,139999;81,519997;82,360001;2218800;76,17588
2010-02-23;82,059998;83,120003;80,919998;81,489998;2217300;75,371201
2010-02-24;81,730003;83,610001;81,730003;83,080002;3083400;76,841812
2010-02-25;81,540001;83,269997;80,269997;83,18;3007100;76,934296
2010-02-26;83,129997;84,980003;82,32;84,760002;3030000;78,395676
2010-03-01;84,919998;86,449997;84,830002;85,809998;2419000;79,366837
2010-03-02;86,440002;87,120003;85,209999;85,410004;3169300;78,996872
2010-03-03;85,82;87,800003;85,660004;86,139999;3579600;79,672043
2010-03-04;87,230003;87,480003;85,470001;86,360001;2448200;79,875511
2010-03-05;87,019997;87,75;86,629997;86,949997;1817600;80,421196
2010-03-08;87,260002;87,540001;86,139999;86,669998;1924700;80,16227
2010-03-09;86,480003;87,339996;85,639999;86,849998;2023300;80,430809
2010-03-10;87,010002;88,339996;86,879997;87,260002;2557400;80,810516
2010-03-11;86,610001;87;85,639999;86,489998;4330500;80,097427
2010-03-12;86,529999;86,690002;84,800003;86,18;3605200;79,810341
2010-03-15;86,199997;87,830002;86,150002;87,830002;2509100;81,338379
2010-03-16;88,040001;88,940002;87,68;88,629997;2798400;82,079231
2010-03-17;89,050003;90,510002;89,050003;89,800003;4885800;83,162773
