"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,629999;23,959999;23,440001;23,82;4623700;20,644922
2010-01-05;23,99;24,879999;23,93;24,84;4868800;21,528967
2010-01-06;24,93;24,93;24,540001;24,700001;2481200;21,407627
2010-01-07;24,690001;24,690001;24,41;24,559999;3384900;21,286285
2010-01-08;24;24,299999;23,860001;24,049999;2460000;20,844265
2010-01-11;24,200001;24,25;23,74;23,93;3010100;20,740269
2010-01-12;23,799999;23,870001;23,65;23,85;2038700;20,670925
2010-01-13;23,530001;24,35;23,530001;24,25;3467000;21,017607
2010-01-14;24,24;24,4;24,09;24,35;1171000;21,104282
2010-01-15;24,34;24,4;23,9;23,99;2062000;20,792265
2010-01-19;23,879999;24,43;23,860001;24,41;1818400;21,156284
2010-01-20;24,209999;24,450001;23,92;24,25;2168400;21,017607
2010-01-21;24,25;24,940001;24,1;24,34;4964700;21,095613
2010-01-22;24,23;24,48;23,950001;23,959999;3800400;20,766262
2010-01-25;24,15;24,389999;23,950001;24,07;3397900;20,861607
2010-01-26;24,02;24,24;23,950001;24,01;2174000;20,809599
2010-01-27;24,01;24,23;23,870001;24,219999;2454900;20,991606
2010-01-28;24,209999;24,219999;23,629999;23,75;3817900;20,584255
2010-01-29;23,83;23,959999;23,52;23,559999;2714000;20,419582
2010-02-01;23,85;23,85;23,48;23,76;2323400;20,592926
2010-02-02;23,790001;23,950001;23,559999;23,950001;2325200;20,757599
2010-02-03;23,83;24,01;23,620001;23,99;2518200;20,792265
2010-02-04;24,01;24,15;23,52;23,540001;4253000;20,402246
2010-02-05;23,620001;23,620001;22,74;23,040001;4777000;19,968897
2010-02-08;23;23,120001;22,799999;22,92;2876500;19,864891
2010-02-09;23,17;23,440001;22,74;22,780001;4555400;19,743555
2010-02-10;22,73;22,780001;22,27;22,280001;5301300;19,3102
2010-02-11;22,280001;22,52;22,25;22,469999;3877500;19,474871
2010-02-12;22,299999;22,5;22,129999;22,360001;4152000;19,379536
2010-02-16;22,48;22,639999;22,360001;22,52;1954000;19,518204
2010-02-17;22,610001;22,610001;22,32;22,610001;2880100;19,596209
2010-02-18;22,559999;22,780001;22,41;22,610001;3703000;19,596209
2010-02-19;22,48;22,790001;22,42;22,68;2890100;19,656876
2010-02-22;22,709999;22,84;22,6;22,65;1834700;19,630878
2010-02-23;22,65;22,809999;22,450001;22,6;2652000;19,587542
2010-02-24;22,68;22,92;22,450001;22,879999;3328300;19,830217
2010-02-25;22,610001;22,83;22,52;22,799999;4253500;19,760883
2010-02-26;22,780001;22,780001;22,5;22,540001;4975700;19,535543
2010-03-01;22,559999;23,07;22,540001;23,07;1969800;19,994902
2010-03-02;23;23,200001;22,93;22,98;1784200;19,916889
2010-03-03;22,98;23,18;22,860001;22,93;1811300;19,873552
2010-03-04;22,99;23,049999;22,84;23,030001;1463600;19,960224
2010-03-05;23,110001;23,5;22,98;23,48;1796200;20,350243
2010-03-08;23,450001;23,51;23,32;23,4;1490700;20,280907
2010-03-09;23,25;23,34;23,08;23,139999;4013400;20,055571
2010-03-10;23,1;23,18;22,950001;23,18;2785700;20,090231
2010-03-11;23,209999;23,299999;23,09;23,200001;2348800;20,107576
2010-03-12;23,16;23,200001;23,02;23,190001;1558200;20,142311
2010-03-15;23,15;23,389999;23,040001;23,35;1727700;20,281281
2010-03-16;23,33;23,530001;23,280001;23,52;1851600;20,428944
2010-03-17;23,51;23,99;23,48;23,83;2908400;20,6982
2010-03-18;23,74;23,83;23,5;23,57;2086300;20,47237
2010-03-19;23,629999;23,75;23,48;23,629999;3431900;20,524483
2010-03-22;23,57;23,85;23,49;23,709999;1487700;20,593975
2010-03-23;23,780001;23,83;23,59;23,77;1074500;20,646086
2010-03-24;23,75;23,75;23,559999;23,59;1219900;20,489744
2010-03-25;23,67;23,780001;23,379999;23,389999;1805200;20,316027
2010-03-26;23,379999;23,76;23,309999;23,66;2087200;20,550545
2010-03-29;23,790001;23,82;23,459999;23,57;2057200;20,47237
2010-03-30;23,58;23,629999;23,309999;23,43;1812500;20,350773
2010-03-31;23,33;23,469999;23,25;23,440001;1941300;20,359461
2010-04-01;23,5;23,780001;23,48;23,690001;2220100;20,576601
2010-04-05;23,719999;23,860001;23,66;23,82;1165500;20,689512
2010-04-06;23,73;23,98;23,66;23,9;1786000;20,758997
2010-04-07;23,82;24,27;23,75;24,209999;4675800;21,028259
2010-04-08;24,110001;24,4;23,940001;24,32;3238500;21,123804
2010-04-09;24,299999;24,549999;24,219999;24,52;1685800;21,297518
2010-04-12;24,65;24,91;24,65;24,790001;1711600;21,532032
2010-04-13;24,790001;24,92;24,530001;24,67;1913500;21,427805
2010-04-14;24,59;24,940001;24,59;24,860001;3064000;21,592831
2010-04-15;24,77;25,379999;24,700001;25,35;2334800;22,018435
2010-04-16;25,24;25,549999;25,129999;25,190001;3126700;21,879473
2010-04-19;25,1;25,190001;24,9;25,16;1886800;21,853407
