"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;9,88;10,22;9,81;10,12;15429100;7,979392
2010-01-05;9,96;10,4;9,93;10,39;12700700;8,192281
2010-01-06;10,3;10,5;10,25;10,45;13140600;8,239589
2010-01-07;10,4;11,3;10,36;11,08;34759200;8,736331
2010-01-08;11;11,36;10,96;11,09;19963300;8,744216
2010-01-11;11,26;11,29;11;11,2;15251700;8,83095
2010-01-12;11,12;11,28;10,96;10,99;11348400;8,665369
2010-01-13;11,01;11,67;10,69;11,52;26686300;9,083261
2010-01-14;11,43;11,95;11,41;11,77;26508800;9,280381
2010-01-15;11,69;11,72;11,12;11,36;25443100;8,957102
2010-01-19;11,25;11,41;11,15;11,39;17267400;8,98076
2010-01-20;11,21;11,67;11,2;11,31;25445100;8,917679
2010-01-21;12,2;12,59;11,95;12,02;66585800;9,477502
2010-01-22;11,95;12,71;11,69;12,1;39367700;9,54058
2010-01-25;12,25;12,87;12,1;12,49;32935500;9,848084
2010-01-26;12,36;12,67;11,64;11,71;35793800;9,233068
2010-01-27;11,8;12,36;11,68;12,18;24246600;9,603657
2010-01-28;12,49;12,69;12,18;12,26;32530500;9,666736
2010-01-29;12,69;12,72;12,3;12,44;30962500;9,80866
2010-02-01;12,45;12,65;12,34;12,5;19895900;9,85597
2010-02-02;12,48;12,55;12,08;12,48;20103900;9,840199
2010-02-03;12,35;12,35;11,84;12;28331800;9,461731
2010-02-04;11,82;11,94;11,18;11,22;32057800;8,846718
2010-02-05;11,25;11,46;10,82;11,26;22197900;8,878259
2010-02-08;11,26;11,6;11,01;11,39;29759000;8,98076
2010-02-09;11,51;11,68;11,41;11,47;18606400;9,043834
2010-02-10;11,49;11,9;11,31;11,69;17858100;9,217303
2010-02-11;11,77;11,96;11,59;11,87;17497900;9,359231
2010-02-12;11,8;11,82;11,39;11,61;20010100;9,154222
2010-02-16;11,73;12,12;11,67;12,08;15697800;9,524809
2010-02-17;12,16;12,19;11,89;12,05;14963900;9,501156
2010-02-18;11,96;12,03;11,82;11,92;10465200;9,398653
2010-02-19;11,89;12,26;11,87;12,23;16148400;9,643083
2010-02-22;12,28;12,72;12,23;12,55;18310000;9,895392
2010-02-23;12,46;12,56;12,11;12,27;20394700;9,674618
2010-02-24;12,37;12,71;12,3;12,69;17103900;10,00578
2010-02-25;12,31;12,33;11,95;12,2;24791200;9,619427
2010-02-26;12,24;12,34;12,1;12,21;14335100;9,627309
2010-03-01;12,32;12,33;12,03;12,24;12508600;9,650964
2010-03-02;12,21;12,75;12,21;12,66;16660400;9,982123
2010-03-03;12,67;12,74;12,44;12,54;14426700;9,887507
2010-03-04;12,2;12,5;12,18;12,33;14801000;9,72193
2010-03-05;12,53;12,77;12,44;12,73;13242200;10,037317
2010-03-08;12,56;12,82;12,48;12,61;13943200;9,942702
2010-03-09;12,51;12,77;12,36;12,62;13319300;9,950584
2010-03-10;12,79;13,12;12,73;12,96;19743700;10,218669
2010-03-11;13,03;13,38;12,97;13,28;20652000;10,470982
2010-03-12;13,51;13,52;13,09;13,15;13392900;10,36848
2010-03-15;13,14;13,42;13,02;13,38;11582800;10,549829
2010-03-16;13,38;13,55;13,28;13,45;12491200;10,605023
2010-03-17;13,53;13,78;13,49;13,7;13375700;10,80214
2010-03-18;13,7;13,75;13,32;13,44;11392800;10,597137
2010-03-19;13,52;13,6;13,13;13,3;17166900;10,486753
2010-03-22;13,11;13,5;13,05;13,43;10445800;10,589252
2010-03-23;13,47;13,51;13,19;13,46;9507500;10,612905
2010-03-24;13,39;13,77;13,35;13,58;11406000;10,707522
2010-03-25;13,74;14,05;13,37;13,41;22618200;10,573482
2010-03-26;13,49;13,75;13,11;13,2;21076100;10,407904
2010-03-29;13,31;13,43;13,2;13,31;7340200;10,502593
2010-03-30;13,29;13,43;13,14;13,27;6896100;10,471033
2010-03-31;13,15;13,72;13,15;13,56;14098100;10,699863
2010-04-01;13,65;13,73;13,47;13,59;7316000;10,723534
2010-04-05;13,63;13,97;13,6;13,95;7646600;11,0076
2010-04-06;13,93;14,38;13,91;14,35;18082200;11,323231
2010-04-07;14,48;14,61;14,1;14,3;16491200;11,283779
2010-04-08;14,2;14,35;13,98;14,27;13172900;11,260104
2010-04-09;14,26;14,29;13,96;14,1;13394100;11,125963
2010-04-12;14,14;14,44;14,11;14,36;9322900;11,331122
2010-04-13;14,28;14,41;14,12;14,33;11134000;11,307448
2010-04-14;14,5;15,06;14,48;14,94;15020800;11,788784
2010-04-15;15;15,08;14,72;14,9;10748300;11,757224
2010-04-16;14,83;14,87;13,75;14,2;28282000;11,204867
2010-04-19;14;14,4;13,78;14,24;14167400;11,236433
