"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;68,059998;68,349998;66,470001;67,029999;662400;48,685642
2010-01-05;66,57;67,029999;65,480003;66,949997;778800;48,627544
2010-01-06;67;67,559998;66,120003;66,769997;578300;48,496807
2010-01-07;66,550003;67,489998;65,879997;66,75;689700;48,482281
2010-01-08;66,589996;66,75;65,489998;66,330002;770900;48,177227
2010-01-11;66,900002;67,220001;66,650002;67,160004;373900;48,78009
2010-01-12;66,68;67;65,309998;66,010002;763400;47,944798
2010-01-13;66,309998;67,529999;66,139999;67,32;737000;48,896286
2010-01-14;67,290001;67,470001;66,589996;67,050003;522800;48,700169
2010-01-15;66,940002;67,699997;66,379997;67,589996;916500;49,092396
2010-01-19;67,550003;69,599998;67,269997;69,260002;943600;50,305355
2010-01-20;68,559998;68,809998;68,089996;68,360001;665900;49,651672
2010-01-21;68,449997;68,919998;66,830002;66,980003;810300;48,649342
2010-01-22;66,860001;67,800003;65,330002;65,5;730100;47,57436
2010-01-25;66,089996;66,220001;64,470001;65,629997;597100;47,668789
2010-01-26;65,360001;66,489998;65,059998;65,370003;452600;47,47995
2010-01-27;65,07;65,620003;64,199997;65,07;660600;47,262051
2010-01-28;65,209999;65,260002;63,68;64,540001;537800;46,877102
2010-01-29;64,919998;65,400002;64,239998;64,379997;653900;46,76088
2010-02-01;64,830002;65,959999;64,629997;65,879997;680600;47,850365
2010-02-02;66,209999;67,940002;65,589996;67,809998;1016300;49,25219
2010-02-03;67,489998;67,809998;66,290001;66,75;451500;48,482281
2010-02-04;66,190002;66,419998;63,619999;63,73;1122200;46,288773
2010-02-05;63,880001;65,209999;63,360001;65,019997;612600;47,225739
2010-02-08;65,050003;65,440002;63,419998;63,580002;659000;46,179829
2010-02-09;64,489998;64,489998;62,43;63,099998;1325900;45,831184
2010-02-10;63;64,040001;61,93;63,07;604700;45,809391
2010-02-11;62,790001;64,010002;62,43;63,740002;740900;46,296036
2010-02-12;62,889999;64,580002;62,68;64,459999;601500;46,818985
2010-02-16;65,029999;66,400002;64,940002;66,220001;547300;48,097336
2010-02-17;66,43;67,139999;66,209999;67,129997;6e+05;48,758289
2010-02-18;67,260002;68,110001;66,660004;68,080002;659400;49,448303
2010-02-19;67,959999;68,959999;67,57;68,489998;567500;49,74609
2010-02-22;68,730003;68,980003;68,220001;68,580002;543100;49,811466
2010-02-23;68,410004;68,730003;68,07;68,269997;1038800;49,586311
2010-02-24;68,269997;68,779999;68,190002;68,620003;554500;49,840511
2010-02-25;67,580002;69,150002;67,339996;69,050003;410900;50,152824
2010-02-26;69,089996;69,629997;68,519997;68,959999;596000;50,087452
2010-03-01;69,150002;69,580002;68,650002;69,57;378500;50,530533
2010-03-02;69,639999;70,029999;69,389999;69,959999;390500;50,813786
2010-03-03;70,080002;70,080002;69,480003;69,779999;544400;50,683056
2010-03-04;69,839996;70,050003;69,57;69,910004;319500;50,77747
2010-03-05;70,279999;71,57;69,650002;71,449997;1113800;51,896015
2010-03-08;71,370003;72,370003;71,050003;72,209999;434000;52,448013
2010-03-09;71,959999;72,540001;71,589996;71,809998;1127300;52,157497
2010-03-10;71,669998;72,220001;71,400002;71,870003;501300;52,201073
2010-03-11;71,470001;71,889999;71,209999;71,779999;559800;52,1357
2010-03-12;71,959999;72,370003;71,75;72,360001;400400;52,556992
2010-03-15;71,75;72,139999;71,290001;71,599998;598800;52,483662
2010-03-16;71,849998;73,199997;71,559998;73,089996;631200;53,575855
2010-03-17;73,43;74;73,040001;73,669998;805000;54,000988
2010-03-18;73,660004;73,769997;73,230003;73,5;646300;53,876404
2010-03-19;72,779999;73,57;72,629997;72,779999;682600;53,34861
2010-03-22;72,300003;73,879997;72,150002;73,550003;434400;53,91304
2010-03-23;73,68;73,730003;72,849998;73,559998;407900;53,920364
2010-03-24;73,150002;74,309998;73,150002;73,82;443300;54,11095
2010-03-25;74,269997;75,639999;74,019997;74,110001;740100;54,323536
2010-03-26;74,559998;74,849998;73,199997;73,43;408000;53,825085
2010-03-29;73,68;73,68;72,93;73,599998;431200;53,949696
2010-03-30;73,75;73,860001;72,589996;72,910004;386400;53,443909
2010-03-31;72,709999;73,389999;72,25;72,809998;628600;53,370625
2010-04-01;73,230003;73,400002;72;72,669998;363100;53,267986
