"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;29,075001;29,855;29,075001;29,615;1908400;21,875523
2010-01-05;29,610001;30,27;29,555;30,125;2206600;22,252243
2010-01-06;30,040001;30,305;29,434999;30,264999;2724200;22,355654
2010-01-07;30,155001;30,219999;29,715;29,915001;2581000;22,097126
2010-01-08;29,83;30,5;29,625;30,450001;3280400;22,49231
2010-01-11;30,615;30,74;29,48;29,815001;2909400;22,023256
2010-01-12;29,334999;29,35;28,68;28,915001;2422400;21,358463
2010-01-13;29,035;29,440001;28,5;29,195;1515200;21,565287
2010-01-14;28,969999;29,33;28,870001;29,045;1101000;21,454485
2010-01-15;29,02;29,49;28,805;29,4;4599200;21,716711
2010-01-19;29,33;29,870001;29,264999;29,84;2577600;22,041725
2010-01-20;29;29,285;28,684999;29,215;3761200;21,580061
2010-01-21;29,334999;29,49;28,094999;28,1;3689800;20,756451
2010-01-22;27,805;27,975;27,075001;27,115;2602000;20,028862
2010-01-25;27,299999;27,775;27,08;27,305;2154000;20,16921
2010-01-26;27,035;27,805;26,709999;26,99;1876000;19,936533
2010-01-27;27,02;27,200001;26,48;27,105;1942000;20,021477
2010-01-28;27,245001;27,315001;26,299999;26,74;2074200;19,751869
2010-01-29;27,07;27,66;26,455;26,584999;3352600;19,637373
2010-02-01;26,844999;27,700001;26,68;27,58;2369200;20,372345
2010-02-02;27,745001;27,924999;27,245001;27,809999;1830000;20,54224
2010-02-03;27,695;28,184999;27,52;28,1;3214400;20,756451
2010-02-04;27,745001;27,76;27,01;27,040001;3303400;19,973467
2010-02-05;27,040001;27,190001;25,825001;26,805;3774000;19,799879
2010-02-08;26,775;27,370001;26,405001;26,745001;2725800;19,755564
2010-02-09;27,41;28,165001;27,139999;27,67;2692400;20,438822
2010-02-10;27,52;27,924999;27,01;27,700001;1995400;20,460985
2010-02-11;27,764999;28,709999;27,51;28,700001;2748800;21,199646
2010-02-12;28,305;28,764999;27,889999;28,715;3032800;21,210728
2010-02-16;29,25;29,42;28,950001;29,285;3251200;21,631767
2010-02-17;28,514999;29,290001;27,695;27,934999;7167000;20,634567
2010-02-18;27,120001;27,665001;26,76;27,395;7336200;20,235693
2010-02-19;27,514999;27,77;27,23;27,545;3818800;20,346491
2010-02-22;27,674999;27,885;27,325001;27,495001;3294600;20,309557
2010-02-23;27,355;27,42;26,745001;26,969999;4464000;19,921759
2010-02-24;27,59;28,030001;27,360001;28,025;5489000;20,70105
2010-02-25;27,34;28,41;27,200001;28,389999;4084200;20,970663
2010-02-26;28,41;28,475;27,93;28,084999;3225200;20,745371
2010-03-01;28,32;28,485001;28,145;28,445;2208800;21,011288
2010-03-02;28,42;28,879999;28,4;28,775;2179600;21,255049
2010-03-03;28,77;31,075001;28,745001;30,305;8428200;22,385202
2010-03-04;30,4;30,4;29,690001;29,860001;3462000;22,056498
2010-03-05;30,35;30,775;30,200001;30,76;2135400;22,721298
2010-03-08;30,700001;30,875;30,18;30,309999;3283200;22,388897
2010-03-09;30,129999;30,65;30,125;30,375;1840000;22,436911
2010-03-10;30,43;30,905001;30,264999;30,719999;1807200;22,691746
2010-03-11;30,530001;30,695;30,235001;30,540001;1862600;22,55879
2010-03-12;30,639999;31,139999;30,565001;31,084999;1812000;22,961359
2010-03-15;31,004999;31,17;30,25;30,43;2477600;22,477537
2010-03-16;30,49;31,785;30,459999;31,68;3806000;23,400866
2010-03-17;31,915001;32;31,440001;31,799999;3097000;23,489506
2010-03-18;31,84;31,985001;30,905001;31,004999;1677400;22,902267
2010-03-19;30,09;31,290001;29,945;30,09;2913200;22,226391
2010-03-22;29,709999;30,625;29,514999;30,48;1738400;22,514467
2010-03-23;30,610001;31,049999;30,495001;30,969999;1924200;22,876413
2010-03-24;30,735001;31,075001;30,540001;30,540001;1614200;22,55879
2010-03-25;30,84;31,105;30,549999;30,65;3216200;22,640039
2010-03-26;30,780001;31,1;30,545;30,82;2515600;22,765614
2010-03-29;31,075001;31,6;30,98;31,48;1899800;23,253132
