"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;14,634615;15,038462;14,567307;14,855769;69763000;10,759819
2010-01-05;14,865385;15,067307;14,855769;14,932693;67132600;10,815536
2010-01-06;14,932693;15,019231;14,846154;14,855769;57683400;10,759819
2010-01-07;14,884615;15,846154;14,836538;15,625;192891100;11,316964
2010-01-08;15,682693;16,048077;15,644231;15,961538;119717100;11,560715
2010-01-11;16,182692;16,23077;15,903846;16,115385;79742400;11,672145
2010-01-12;15,942307;16,192308;15,932693;16,125;67207700;11,679109
2010-01-13;16,115385;16,26923;15,932693;16,182692;67956000;11,720891
2010-01-14;16,14423;16,221153;16,038462;16,057692;59655900;11,630354
2010-01-15;16,038462;16,10577;15,721154;15,807693;77072400;11,449286
2010-01-19;15,721154;16,10577;15,711538;15,903846;63125200;11,518926
2010-01-20;15,865385;16,038462;15,701923;15,865385;67075400;11,49107
2010-01-21;15,836538;15,846154;15,336538;15,403846;103117200;11,156785
2010-01-22;15,913462;16,115385;15,471154;15,490385;169184800;11,219463
2010-01-25;15,826923;15,894231;15,596154;15,740385;78166800;11,400534
2010-01-26;15,701923;16,057692;15,634615;15,721154;81137600;11,386606
2010-01-27;15,663462;15,759615;15,413462;15,673077;79924600;11,351786
2010-01-28;15,798077;15,817307;15,394231;15,538462;82301400;11,254283
2010-01-29;15,596154;15,865385;15,451923;15,461538;84404900;11,19857
2010-02-01;15,576923;15,711538;15,480769;15,625;59218100;11,316964
2010-02-02;15,644231;16,298077;15,615385;16,201923;120379300;11,734821
2010-02-03;16,14423;16,375;15,980769;16,038462;73609300;11,616426
2010-02-04;15,846154;15,865385;15,394231;15,423077;114503100;11,170713
2010-02-05;15,423077;15,567307;14,663462;15,182693;149243300;10,996606
2010-02-08;15,221154;15,230769;14,875;15;73306400;10,864286
2010-02-09;15,153846;15,278846;14,836538;15;101483500;10,864286
2010-02-10;14,971154;15,259615;14,903846;15,086538;71112100;10,926965
2010-02-11;15,019231;15,182693;14,884615;15,163462;69572500;10,98268
2010-02-12;14,990385;15,144231;14,759615;14,951923;79563200;10,829466
2010-02-16;15,096154;15,5;15,076923;15,423077;72222500;11,170713
2010-02-17;15,567307;15,596154;15,442307;15,528846;62976000;11,24732
2010-02-18;15,480769;15,663462;15,461538;15,615385;49226800;11,310002
2010-02-19;15,519231;15,625;15,384615;15,548077;67809600;11,261249
2010-02-22;15,605769;15,711538;15,538462;15,625;46787500;11,316964
2010-02-23;15,567307;15,692307;15,25;15,336538;65905900;11,108034
2010-02-24;15,365385;15,519231;15,269231;15,5;58916600;11,226429
