"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;35,595001;35,639999;35,314999;35,450001;5156400;24,687231
2010-01-05;35,580002;35,59;34,805;35,119999;7439200;24,457415
2010-01-06;35,154999;35,459999;34,970001;35,330002;4686800;24,603659
2010-01-07;35,099998;35,715;34,974998;35,650002;6706800;25,175678
2010-01-08;35,700001;35,700001;35,130001;35,360001;4445800;24,970882
2010-01-11;35,325001;35,459999;35,150002;35,395;2452200;24,995602
2010-01-12;35,349998;35,720001;35,275002;35,66;3686400;25,182735
2010-01-13;35,619999;35,955002;35,43;35,82;4028000;25,295732
2010-01-14;35,830002;35,895;35,595001;35,82;2270800;25,295732
2010-01-15;35,830002;35,985001;35,555;35,665001;3872400;25,18627
2010-01-19;35,855;36,125;35,724998;35,955002;5109600;25,391066
2010-01-20;35,77;35,77;35,529999;35,715;4087000;25,221584
2010-01-21;35,75;35,965;35,43;35,560001;5222000;25,112122
2010-01-22;35,575001;35,924999;35,43;35,48;7612800;25,055624
2010-01-25;35,634998;35,869999;35,32;35,384998;3934000;24,988535
2010-01-26;35,25;35,525002;34,974998;35,48;5024200;25,055624
2010-01-27;35,490002;35,895;35,305;35,759998;5461000;25,253353
2010-01-28;35,939999;36,23;35,845001;35,974998;6167400;25,405186
2010-01-29;36,150002;36,154999;35,634998;35,654999;5146400;25,179207
2010-02-01;35,915001;35,915001;35,369999;35,514999;5566800;25,080339
2010-02-02;35,599998;35,810001;35,345001;35,514999;7693400;25,080339
2010-02-03;35,575001;35,575001;35,099998;35,27;6018400;24,90733
2010-02-04;35,075001;35,125;34,490002;34,5;8263800;24,363564
2010-02-05;34,369999;34,540001;34,035;34,314999;5895600;24,232924
2010-02-08;34,355;34,630001;34,259998;34,290001;3941000;24,215258
2010-02-09;34,435001;34,91;34,435001;34,724998;3763600;24,522459
2010-02-10;34,755001;34,865002;34,470001;34,735001;3514000;24,529512
2010-02-11;34,630001;34,724998;34,349998;34,715;4131000;24,515392
2010-02-12;34,529999;34,830002;34,25;34,744999;5271600;24,536573
2010-02-16;34,775002;35,330002;34,575001;35,310001;4646400;24,935574
2010-02-17;35,32;35,575001;35,290001;35,485001;3416800;25,05916
2010-02-18;35,474998;36,02;35,474998;36,014999;4300200;25,433439
2010-02-19;35,994999;36,235001;35,849998;36,18;2998000;25,549967
2010-02-22;36,195;36,240002;35,98;36,145;2646800;25,525244
2010-02-23;36,055;36,200001;35,84;35,939999;2297200;25,380472
2010-02-24;36,049999;36,169998;35,84;35,959999;2578800;25,394596
2010-02-25;35,785;35,889999;35,439999;35,845001;4094600;25,313377
2010-02-26;35,889999;36,195;35,564999;36,005001;3671400;25,42638
2010-03-01;35,994999;36,389999;35,994999;36,224998;4221000;25,58173
2010-03-02;36,299999;36,490002;36,255001;36,349998;4592800;25,670012
2010-03-03;36,365002;36,630001;36,305;36,48;3210200;25,76182
2010-03-04;36,59;36,615002;35,849998;36,189999;6746000;25,557022
2010-03-05;36,18;36,445;36,150002;36,345001;3623200;25,666487
2010-03-08;36,404999;36,404999;35,915001;36,075001;3749600;25,475798
2010-03-09;36,005001;36,299999;36;36,035;3365600;25,447557
2010-03-10;36,055;36,209999;35,945;36,125;4021800;25,511116
2010-03-11;35,994999;36,310001;35,900002;36,310001;2792400;25,641766
2010-03-12;36,389999;36,5;36,025002;36,185001;3535800;25,553497
2010-03-15;36,169998;36,345001;36,134998;36,279999;3758200;25,620586
2010-03-16;36,310001;36,695;36,275002;36,634998;4055000;25,871277
2010-03-17;36,634998;36,665001;36,375;36,584999;3369000;25,835962
2010-03-18;36,595001;36,869999;36,494999;36,82;4336000;26,001919
2010-03-19;36,669998;36,974998;36,619999;36,669998;5539000;25,895987
2010-03-22;36,560001;36,625;36,334999;36,490002;6166400;25,768879
2010-03-23;36,584999;36,84;36,509998;36,785;4904800;25,9772
2010-03-24;36,494999;36,650002;36,025002;36,09;9006800;25,486401
2010-03-25;36,259998;36,275002;35,5;35,575001;8410000;25,122719
2010-03-26;35,630001;35,630001;35,134998;35,240002;5831000;24,886143
2010-03-29;35,334999;35,535;35,150002;35,43;5175800;25,020311
2010-03-30;35,450001;35,68;35,435001;35,584999;6082200;25,12978
2010-03-31;35,584999;35,605;35,299999;35,395;5512400;24,995602
2010-04-01;35,544998;35,845001;35,544998;35,689999;5265000;25,20393
2010-04-05;35,740002;35,830002;35,244999;35,419998;5360200;25,01325
2010-04-06;35,325001;35,455002;35,205002;35,255001;5471400;24,89674
2010-04-07;35,240002;35,244999;34,955002;35,064999;5748800;24,76256
2010-04-08;34,895;35,154999;34,674999;35,080002;5765600;25,124237
2010-04-09;35,130001;35,435001;35,105;35,41;4877200;25,36058
2010-04-12;35,439999;35,52;35,064999;35,18;4816200;25,19586
2010-04-13;35,080002;35,43;34,875;35,34;7381400;25,31045
2010-04-14;35,330002;35,575001;35,084999;35,435001;5421600;25,37849
2010-04-15;35,314999;35,450001;35,064999;35,305;4964200;25,285379
2010-04-16;35,174999;35,404999;34,985001;35,099998;5528800;25,138563
2010-04-19;35,095001;35,18;34,93;35,154999;5124200;25,177954
2010-04-20;35,185001;35,264999;35,009998;35,244999;4669200;25,242403
2010-04-21;35,314999;35,450001;35,209999;35,314999;4122800;25,292545
2010-04-22;35,125;35,445;34,970001;35,200001;3871600;25,210184
2010-04-23;35,25;35,314999;34,919998;35,314999;5255400;25,292545
2010-04-26;35,334999;35,494999;35,209999;35,305;4236600;25,285379
2010-04-27;35,18;35,220001;34,705002;34,735001;4404800;24,877144
2010-04-28;34,759998;35,165001;34,27;35,150002;7443800;25,174379
2010-04-29;35,154999;35,689999;35,154999;35,595001;5929400;25,493078
2010-04-30;35,695;35,889999;35,57;35,580002;6576000;25,482334
2010-05-03;35,790001;35,84;35,439999;35,735001;4553600;25,593349
2010-05-04;35,950001;36;35,555;35,790001;8312400;25,632738
2010-05-05;35,705002;36,424999;35,665001;36,275002;7139200;25,980093
2010-05-06;36,224998;36,445;34,75;35,455002;9246000;25,392813
2010-05-07;35,505001;35,505001;34,705002;34,834999;10124200;24,948767
2010-05-10;36,044998;36,044998;35,445;35,965;5716800;25,758074
2010-05-11;35,82;36,389999;35,68;36,16;5140400;25,897732
2010-05-12;36,279999;36,755001;36,075001;36,755001;6524600;26,323872
2010-05-13;36,645;37,099998;36,5;36,715;5875400;26,295229
2010-05-14;36,595001;36,669998;36,18;36,369999;6114200;26,04813
2010-05-17;36,459999;36,990002;36,310001;36,955002;6667400;26,46711
2010-05-18;37,115002;37,224998;36,84;36,855;5721400;26,395487
2010-05-19;36,740002;36,895;36,525002;36,775002;7605600;26,338194
2010-05-20;36,32;36,439999;35,685001;35,759998;6000400;25,611248
2010-05-21;35,029999;35,860001;35,029999;35,860001;7023400;25,682871
2010-05-24;35,715;36,150002;35,525002;35,785;4867600;25,629156
2010-05-25;35,07;35,474998;34,959999;35,435001;6815400;25,37849
2010-05-26;35,654999;35,715;35,215;35,25;5246800;25,245996
2010-05-27;35,785;35,805;35,395;35,700001;5126600;25,568275
2010-05-28;35,799999;35,919998;35,595001;35,615002;4174400;25,507404
2010-06-01;35,525002;36,349998;35,505001;36;6438600;25,783146
2010-06-02;36,040001;37,150002;36,040001;37,150002;7895800;26,606768
2010-06-03;37,279999;37,57;37,205002;37,369999;7888200;26,764336
2010-06-04;37,139999;37,139999;36,52;36,650002;6654200;26,248676
2010-06-07;36,650002;37,84;36,625;37,275002;7015400;26,696287
2010-06-08;37,369999;37,695;37,18;37,57;19954200;26,907574
2010-06-09;37,400002;37,709999;37,330002;37,5;10692100;26,857437
2010-06-10;37,700001;38,040001;37,57;37,919998;7374100;27,158239
2010-06-11;37,779999;37,779999;37,459999;37,66;6250600;26,972019
2010-06-14;37,98;38,32;37,759998;38,09;5297900;27,279987
2010-06-15;38,459999;38,459999;37,959999;38,169998;7774300;27,337294
2010-06-16;37,959999;38,400002;37,84;38,330002;4107000;27,451874
2010-06-17;38,549999;38,98;38,369999;38,93;6003700;27,881594
2010-06-18;38,939999;38,98;38,439999;38,540001;5842200;27,602289
2010-06-21;38,790001;38,849998;37,82;37,950001;6259600;27,179724
2010-06-22;37,970001;38,139999;37,66;37,709999;5165500;27,007833
2010-06-23;37,639999;37,990002;37,5;37,84;4071000;27,100941
2010-06-24;37,799999;38,009998;37,5;37,57;5502900;26,907574
2010-06-25;37,700001;37,799999;37,290001;37,34;8835700;26,74284
2010-06-28;37,310001;37,639999;37,09;37,400002;5089800;26,785818
2010-06-29;37,240002;37,43;36,689999;36,900002;6407300;26,427727
2010-06-30;35,049999;35,900002;34,950001;35,52;14095400;25,43936
2010-07-01;35,610001;35,68;35,130001;35,450001;8049100;25,389233
2010-07-02;35,450001;35,639999;35,200001;35,419998;5031200;25,367748
2010-07-06;35,759998;35,93;35,549999;35,810001;7046200;25,647068
2010-07-07;35,810001;36,459999;35,68;36,439999;6278400;26,098261
2010-07-08;36,490002;36,830002;36,23;36,720001;7242800;26,502443
2010-07-09;36,639999;36,720001;36,150002;36,150002;6047700;26,091053
2010-07-12;36,02;36,27;35,799999;36,220001;5784500;26,141577
2010-07-13;36,380001;36,610001;36,27;36,380001;4089100;26,257051
2010-07-14;36,34;36,41;36,02;36,25;3449800;26,163219
2010-07-15;36,18;36,310001;35,860001;36,07;5567600;26,033306
2010-07-16;35,919998;36,080002;35,43;35,540001;6165200;25,650787
2010-07-19;35,700001;35,700001;35,259998;35,389999;4158800;25,54253
2010-07-20;35,099998;35,419998;35;35,360001;5681300;25,520874
2010-07-21;35,560001;35,560001;34,939999;35,029999;4740800;25,282696
2010-07-22;35,240002;35,48;35,09;35,360001;5973900;25,520874
2010-07-23;35,419998;35,580002;35,220001;35,52;4666500;25,636345
