"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;32,529999;32,75;32,32;32,540001;1652600;24,53948
2010-01-05;32,630001;32,630001;31,85;32,18;1646900;24,267994
2010-01-06;32,220001;32,220001;31,700001;32,150002;1307500;24,245375
2010-01-07;32,060001;32,259998;31,370001;31,690001;3140300;23,898468
2010-01-08;32,09;32,34;31,469999;31,77;2699600;23,958799
2010-01-11;31,9;32;31,5;31,74;1082500;23,936176
2010-01-12;31,65;31,690001;31,040001;31,24;3105500;23,559109
2010-01-13;31,219999;31,76;31,200001;31,690001;1277300;23,898468
2010-01-14;31,610001;32,07;31,51;32,02;1269000;24,147329
2010-01-15;31,99;32,240002;31,700001;32,16;2017200;24,252913
2010-01-19;32,18;32,43;31,98;32,330002;998500;24,381117
2010-01-20;32,080002;32,310001;31,799999;32,259998;1499100;24,328323
2010-01-21;32,150002;32,540001;32;32,099998;2252400;24,207663
2010-01-22;32;32,27;31,23;31,290001;1615100;23,596813
2010-01-25;31,450001;31,620001;31,209999;31,42;1101000;23,694853
2010-01-26;31,299999;31,59;31,25;31,280001;1045500;23,589272
2010-01-27;31,209999;31,530001;31,01;31,49;1042300;23,747639
2010-01-28;31,559999;31,73;31,219999;31,540001;971500;23,785343
2010-01-29;31,620001;31,620001;30,530001;30,549999;2446200;23,18578
2010-02-01;30,719999;31,379999;30,549999;31,190001;2397600;23,671513
2010-02-02;31,27;32,009998;31,07;31,959999;2635000;24,255896
2010-02-03;31,85;32,23;31,690001;32,07;1631600;24,339378
2010-02-04;31,84;32,029999;31,219999;31,26;2043400;23,72463
2010-02-05;31,200001;31,35;30,200001;30,799999;2782800;23,375521
2010-02-08;33,650002;35,189999;33,529999;34,709999;11443600;26,342991
2010-02-09;34,759998;35,279999;34,470001;35,060001;4256100;26,608627
2010-02-10;35,040001;35,610001;34,889999;35,299999;3308300;26,790762
2010-02-11;35,330002;36,189999;35,060001;36,139999;2432600;27,428286
2010-02-12;35,919998;36;35,470001;35,549999;4321800;26,980501
2010-02-16;35,84;35,98;34,759998;35,029999;3858100;26,585848
2010-02-17;35,139999;35,509998;35,02;35,43;1485800;26,889433
2010-02-18;35,330002;35,82;35,18;35,759998;1821500;27,139881
2010-02-19;35,619999;35,990002;35,369999;35,799999;1565200;27,170254
2010-02-22;35,91;35,919998;35,419998;35,52;1627800;26,957741
2010-02-23;35,5;35,540001;35,049999;35,279999;1283800;26,775595
2010-02-24;35,48;35,540001;35,110001;35,48;1461100;26,927387
2010-02-25;35,200001;35,740002;34,650002;35,689999;2058100;27,086752
2010-02-26;35,529999;35,990002;35,41;35,779999;1570700;27,15506
2010-03-01;35,799999;36,189999;35,5;36,060001;1668600;27,367573
2010-03-02;36,16;36,68;36,049999;36,610001;2394400;27,784986
2010-03-03;36,59;36,669998;36,299999;36,330002;1665100;27,572493
2010-03-04;36,310001;36,73;36,310001;36,73;1514500;27,876072
2010-03-05;36,939999;37,52;36,610001;37,470001;1363900;28,437683
2010-03-08;37,470001;37,73;37,290001;37,5;1398500;28,460449
2010-03-09;37,400002;37,93;37,400002;37,68;1147600;28,597067
2010-03-10;37,669998;38,009998;37,43;38,009998;1623000;28,847509
2010-03-11;37,900002;38,150002;37,650002;38,09;897900;28,908228
2010-03-12;38,82;38,82;37,75;38,200001;942300;28,991713
2010-03-15;37,610001;37,91;37,389999;37,630001;1839200;28,559122
2010-03-16;37,68;38,130001;37,639999;37,849998;1767000;28,726078
2010-03-17;37,98;38,240002;37,77;38,139999;1404400;28,946175
2010-03-18;38,209999;38,34;37,919998;38,099998;1110700;28,915812
2010-03-19;37,889999;38,34;37,849998;37,889999;1436300;28,756443
2010-03-22;38,009998;38,299999;37,799999;38,25;1408500;29,029661
2010-03-23;38,389999;38,5;37,900002;38,23;1177600;29,014482
