"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;3,71;3,74;3,65;3,68;10462800;2,854986
2010-01-05;3,68;3,77;3,65;3,76;21226600;2,917051
2010-01-06;3,75;3,89;3,72;3,86;18761000;2,994632
2010-01-07;3,85;4,35;3,83;4,29;66130600;3,32823
2010-01-08;4,23;4,37;4,13;4,22;29869600;3,273924
2010-01-11;4,31;4,44;4,21;4,33;28307500;3,359263
2010-01-12;4,26;4,42;4,15;4,21;25239200;3,266166
2010-01-13;4,21;4,34;4,08;4,31;26868200;3,343747
2010-01-14;4,31;4,45;4,27;4,41;24295600;3,421328
2010-01-15;4,4;4,41;4,22;4,28;17671600;3,320473
2010-01-19;4,27;4,36;4,21;4,3;15203200;3,335989
2010-01-20;4,25;4,41;4,23;4,29;20893700;3,32823
2010-01-21;4,38;4,75;4,37;4,53;63969900;3,514426
2010-01-22;4,42;4,87;4,25;4,69;61227600;3,638556
2010-01-25;4,77;4,94;4,65;4,8;34705900;3,723896
2010-01-26;4,86;4,99;4,6;4,6;45439900;3,568733
2010-01-27;4,67;4,9;4,65;4,88;34009000;3,78596
2010-01-28;5,08;5,09;4,92;4,99;40498900;3,871299
2010-01-29;5,05;5,05;4,74;4,79;27561700;3,716136
2010-02-01;4,85;4,94;4,78;4,9;18652800;3,801475
2010-02-02;4,88;4,94;4,82;4,93;35142400;3,82475
2010-02-03;4,88;4,9;4,63;4,71;41303100;3,654071
2010-02-04;4,66;4,68;4,46;4,54;35832300;3,522185
2010-02-05;4,56;4,69;4,4;4,63;25099500;3,592008
2010-02-08;4,68;4,73;4,53;4,58;17834600;3,553217
2010-02-09;4,66;4,73;4,57;4,65;17433300;3,607523
2010-02-10;4,61;4,75;4,61;4,71;14027800;3,654071
2010-02-11;4,75;4,81;4,68;4,79;16127900;3,716136
2010-02-12;4,71;4,77;4,62;4,68;13711900;3,630798
2010-02-16;4,73;4,82;4,7;4,82;14918600;3,739411
2010-02-17;4,83;4,88;4,73;4,76;12692100;3,692861
2010-02-18;4,76;4,8;4,69;4,72;11941600;3,661829
2010-02-19;4,72;4,85;4,71;4,85;11149600;3,762685
2010-02-22;4,91;4,95;4,88;4,93;16529800;3,82475
2010-02-23;4,89;4,95;4,8;4,81;13714300;3,731653
2010-02-24;4,86;4,94;4,83;4,89;12362900;3,793719
2010-02-25;4,76;4,84;4,75;4,8;10031300;3,723896
