"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;6,07;6,22;6,07;6,175;3658400;4,885631
2010-01-05;6,18;6,2675;6,1275;6,195;2300400;4,901454
2010-01-06;6,2225;6,23;6,1525;6,2225;1973200;4,923213
2010-01-07;6,195;6,275;6,0875;6,11;3284000;4,834203
2010-01-08;6,1125;6,2025;6,0525;6,1825;2953600;4,891564
2010-01-11;6,2375;6,365;6,1475;6,16;2662800;4,873763
2010-01-12;6,0925;6,1125;5,8975;5,9725;3633600;4,725413
2010-01-13;6,005;6,0475;5,8825;6,03;4270000;4,770907
2010-01-14;5,995;6,11;5,9775;6,095;1902800;4,822334
2010-01-15;6,1;6,135;5,955;5,9875;1762000;4,737281
2010-01-19;6,0125;6,035;5,9425;5,9825;3280800;4,733326
2010-01-20;5,9125;5,9425;5,5875;5,8625;9663600;4,638384
2010-01-21;5,865;5,9475;5,77;5,7725;4024800;4,567174
2010-01-22;5,7725;5,8925;5,7025;5,72;2408000;4,525637
2010-01-25;5,795;5,8;5,68;5,725;2163600;4,529593
2010-01-26;5,705;5,82;5,6925;5,75;2957200;4,549373
2010-01-27;5,7425;5,84;5,6975;5,79;3150000;4,581021
2010-01-28;5,625;6,0525;5,6125;5,945;7434400;4,703655
2010-01-29;5,97;6,0225;5,7275;5,7425;3995200;4,543438
2010-02-01;5,76;5,8275;5,6725;5,7925;3008400;4,582999
2010-02-02;5,7875;5,825;5,7125;5,7975;3220800;4,586955
2010-02-03;5,775;5,775;5,6075;5,655;3061200;4,474211
2010-02-04;5,6075;5,6075;5,4;5,4175;3843600;4,2863
2010-02-05;5,4025;5,455;5,2375;5,4375;4368400;4,302124
2010-02-08;5,46;5,57;5,3975;5,45;2963200;4,312014
2010-02-09;5,5425;5,65;5,5125;5,59;2731600;4,42278
2010-02-10;5,6025;5,725;5,5775;5,6675;3033200;4,484099
2010-02-11;5,64;5,7775;5,605;5,7575;1676800;4,555306
2010-02-12;5,7;5,88;5,6425;5,88;3217200;4,652228
2010-02-16;5,915;5,9775;5,8575;5,935;2158000;4,695743
2010-02-17;5,9375;6,0575;5,915;6,0025;2915600;4,749149
2010-02-18;6,0075;6,0625;5,995;6,0225;2444000;4,764973
2010-02-19;6,02;6,1275;5,9975;6,0675;2002400;4,800577
2010-02-22;6,075;6,17;6,075;6,1425;2502800;4,859917
2010-02-23;6,16;6,27;6,05;6,0775;4073200;4,808489
2010-02-24;6,12;6,225;6,0775;6,2125;3300000;4,915301
2010-02-25;6,1175;6,28;6,09;6,26;3001200;4,952881
2010-02-26;6,25;6,555;6,2475;6,4825;5360800;5,128923
2010-03-01;6,5075;6,5775;6,4625;6,5525;4155200;5,184308
2010-03-02;6,565;6,6275;6,5325;6,62;3745600;5,237711
2010-03-03;6,6475;6,66;6,47;6,535;2436400;5,170461
2010-03-04;6,5575;6,6675;6,53;6,58;1379200;5,206065
2010-03-05;6,61;6,6825;6,58;6,665;2158000;5,273317
2010-03-08;6,6425;6,7675;6,61;6,735;2644000;5,3287
2010-03-09;6,715;6,8025;6,715;6,7625;1665600;5,350457
2010-03-10;6,7425;6,8375;6,7025;6,835;2190800;5,40782
2010-03-11;6,7625;6,8175;6,7275;6,78;2520000;5,364304
2010-03-12;6,8;6,8075;6,7;6,7725;2686400;5,35837
2010-03-15;6,7775;6,7775;6,6625;6,7325;1644400;5,326722
2010-03-16;6,735;6,7925;6,69;6,7525;1630400;5,342546
2010-03-17;6,7825;6,8525;6,765;6,8375;1506000;5,409797
2010-03-18;6,825;6,875;6,8;6,82;1400000;5,39595
2010-03-19;6,71;6,8325;6,69;6,71;2748800;5,30892
2010-03-22;6,645;7,02;6,6375;6,96;2503200;5,506719
2010-03-23;6,955;7,0125;6,8925;7,0025;1592400;5,540345
2010-03-24;6,9425;6,9875;6,84;6,93;1878000;5,482984
2010-03-25;7,0175;7,095;6,875;6,885;1461200;5,447379
2010-03-26;6,8875;7,0775;6,885;7,0075;1483200;5,544302
2010-03-29;7,025;7,1;6,925;7,035;2206800;5,566058
2010-03-30;7,035;7,08;6,9175;7,005;1400800;5,542323
2010-03-31;6,995;7,0525;6,935;6,955;2121600;5,502763
2010-04-01;6,9925;7,075;6,9625;7,0525;1418800;5,579905
2010-04-05;7,0725;7,3075;7,0325;7,25;1414000;5,736166
2010-04-06;7,1975;7,3875;7,125;7,3225;2918800;5,793529
2010-04-07;7,325;7,3525;7,2125;7,2675;1553200;5,750012
2010-04-08;7,22;7,3775;7,15;7,31;3105600;5,783637
2010-04-09;7,3175;7,385;7,2975;7,3825;1109600;5,841
2010-04-12;7,3725;7,3925;7,2925;7,3425;2347200;5,809351
2010-04-13;7,3075;7,325;7,205;7,26;2662800;5,744078
2010-04-14;7,315;7,4825;7,2375;7,4675;4050800;5,908251
2010-04-15;7,4575;7,4675;7,3075;7,415;1611200;5,866713
2010-04-16;7,365;7,4275;7,22;7,335;2109200;5,803417
2010-04-19;7,295;7,445;7,1775;7,2725;3052000;5,753967
2010-04-20;7,325;7,415;7,255;7,275;4891600;5,755946
2010-04-21;7,3;7,58;7,285;7,46;4615200;5,902316
2010-04-22;7,56;7,8625;7,555;7,6975;11234400;6,090226
2010-04-23;7,7125;7,78;7,635;7,7025;4677600;6,094181
2010-04-26;7,735;7,735;7,45;7,535;3426000;5,961655
2010-04-27;7,4675;7,535;7,2625;7,29;3999200;5,767813
2010-04-28;7,315;7,375;7,165;7,2475;3019600;5,734188
2010-04-29;7,2975;7,385;7,2225;7,3525;2586800;5,817263
2010-04-30;7,365;7,45;7,1175;7,1175;1829600;5,631332
2010-05-03;7,1325;7,3525;7,1225;7,28;1771600;5,759901
2010-05-04;7,18;7,18;6,9575;7,03;2296000;5,562102
2010-05-05;6,9375;7,185;6,835;6,8625;2565200;5,429577
2010-05-06;6,8375;7,0025;6,2575;6,8225;7900000;5,39793
2010-05-07;6,7925;6,8025;6,3675;6,585;8207600;5,210021
2010-05-10;6,9475;7,035;6,8125;6,93;5206400;5,482984
2010-05-11;6,845;7,1075;6,8;7,0025;2866000;5,540345
2010-05-12;7,0225;7,245;6,975;7,235;2260400;5,724298
2010-05-13;7,205;7,28;7,05;7,1025;1591600;5,619465
2010-05-14;7,07;7,095;6,91;7,0075;2679200;5,544302
2010-05-17;7,0525;7,09;6,6875;6,9425;2583600;5,492874
2010-05-18;7;7,125;6,785;6,8275;3153200;5,401885
2010-05-19;6,81;6,905;6,5975;6,7725;3415600;5,35837
2010-05-20;6,5875;6,6825;6,45;6,5275;4495200;5,164527
2010-05-21;6,39;6,6825;6,2775;6,66;3077600;5,269361
2010-05-24;6,6375;6,6975;6,5725;6,595;1621600;5,217932
2010-05-25;6,4225;6,6625;6,3025;6,6375;3937600;5,251557
2010-05-26;6,6825;6,7875;6,58;6,6725;2755200;5,279251
2010-05-27;6,84;6,95;6,795;6,9425;1597600;5,492874
2010-05-28;6,9075;6,9425;6,7475;6,82;2426000;5,39595
2010-06-01;6,7575;6,8825;6,6825;6,685;2746800;5,289141
2010-06-02;6,7125;6,8425;6,625;6,8425;2108800;5,413754
2010-06-03;6,85;6,9975;6,8325;6,985;2572800;5,526499
2010-06-04;6,86;6,9;6,65;6,7075;3024400;5,306943
2010-06-07;6,7075;6,7375;6,55;6,6025;2871600;5,223866
2010-06-08;6,6;6,7225;6,43;6,7075;4084800;5,306943
2010-06-09;6,735;6,98;6,71;6,7775;2300800;5,362325
2010-06-10;6,9075;7,09;6,905;7,075;2300000;5,597705
2010-06-11;6,97;7,1725;6,91;7,125;2283200;5,637265
2010-06-14;7,19;7,3275;7,1375;7,18;1781600;5,680781
2010-06-15;7,2475;7,3225;7,1125;7,3025;2610800;5,777703
2010-06-16;7,2275;7,235;7,145;7,2075;2912800;5,70254
2010-06-17;7,22;7,26;7,0825;7,115;3036400;5,629354
2010-06-18;7,1125;7,21;7,085;7,14;2501200;5,649134
2010-06-21;7,2175;7,225;6,8825;6,91;2748400;5,46716
2010-06-22;6,9075;6,9275;6,56;6,5625;2992400;5,192217
2010-06-23;6,575;6,6;6,4375;6,54;3216800;5,174417
2010-06-24;6,4875;6,4925;6,24;6,3025;5076800;4,986506
2010-06-25;6,315;6,3225;6,2;6,2375;6304800;4,93508
2010-06-28;6,3025;6,5175;6,16;6,2375;5986000;4,93508
2010-06-29;6,1375;6,2375;5,9075;5,99;11092800;4,73926
2010-06-30;5,9675;6,115;5,9325;6,015;4762000;4,759039
2010-07-01;5,995;6,18;5,86;6,15;4993600;4,865851
2010-07-02;6,1475;6,2;5,9775;6,075;4070000;4,806511
2010-07-06;6,1575;6,2575;5,9;5,935;3700800;4,695743
2010-07-07;5,9425;6,115;5,9075;6,1125;5018800;4,836181
2010-07-08;6,1625;6,2225;6,0275;6,135;4359600;4,853982
2010-07-09;6,1325;6,26;6,0725;6,2525;2225200;4,946949
2010-07-12;6,2175;6,295;6,08;6,1875;1657200;4,89552
2010-07-13;6,2625;6,4875;6,2625;6,4625;2833600;5,113099
2010-07-14;6,4325;6,495;6,335;6,4925;2277600;5,136835
2010-07-15;6,4825;6,51;6,3375;6,4625;2285600;5,113099
2010-07-16;6,4375;6,44;6,11;6,11;3403600;4,834203
2010-07-19;6,15;6,185;6,035;6,0825;2297200;4,812445
2010-07-20;6,01;6,2725;5,97;6,2575;2346800;4,950904
2010-07-21;6,2925;6,35;6,175;6,235;2756800;4,933103
